,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–2,Nott'ham Forest,Arsenal,N,CM,1,0,0,0,0,1,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,3,1,1,0,0,0,39,21,2,2,1,1,0,0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,7.0,6.0,0,0,0,0,1,0,0,2,0,0.2,0.5,3.4,2023-08-12 12:00:00+00:00,1,0,1,0,2265,1.0,1,0,0,0,50,2023-08-12
1,2023-08-18,Fri,2,Home,W 2–1,Nott'ham Forest,Sheffield Utd,N,DM,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,0,2,0,1,1,31,16,3,5,0,0,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3.0,0.0,0,0,0,0,1,0,0,4,0,0.0,0.1,1.4,2023-08-18 18:45:00+00:00,1,0,2,0,2581,0.0,1,-292,74,366,50,2023-08-18
2,2023-08-26,Sat,3,Away,L 2–3,Nott'ham Forest,Manchester Utd,N,AM,21,0,0,0,0,0,0,1,0,9,3,0,0,0.0,0.0,0.0,1,0,4,7,1,3,0,0,0,51,17,3,5,1,1,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,3,4,2,1,10.0,5.0,0,0,0,0,2,0,0,2,0,0.5,0.8,5.4,2023-08-26 14:00:00+00:00,20,0,3,0,2496,2.0,0,-283,32,315,50,2023-08-26
3,2023-09-02,Sat,4,Away,W 1–0,Nott'ham Forest,Chelsea,N,CM,18,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,3,0,2,0,0,0,26,25,1,1,1,1,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,4,4,3,0,0,1.0,1.0,0,0,0,0,0,0,0,6,0,10.0,2.0,10.4,2023-09-02 14:00:00+00:00,17,0,4,0,2447,0.0,1,-160,71,231,49,2023-09-02
4,2023-10-01,Sun,7,Home,D 1–1,Nott'ham Forest,Brentford,N,RM,14,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,2,10,0,4,0,0,0,21,9,2,6,0,2,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,6,4,0,11.0,1.0,0,0,2,1,8,1,0,3,0,0.3,0.4,3.2,2023-10-01 13:00:00+00:00,13,0,7,0,2418,0.0,1,-90,56,146,49,2023-10-01
5,2023-10-07,Sat,8,Away,D 0–0,Nott'ham Forest,Crystal Palace,N,CM,8,0,0,0,0,1,0,0,0,11,0,1,0,0.1,0.1,0.0,2,0,8,9,0,4,0,0,0,131,12,6,7,1,1,1,1,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,11.0,1.0,0,0,0,0,5,0,0,2,0,1.2,0.2,0.0,2023-10-07 16:30:00+00:00,7,0,8,0,2413,1.0,1,-57,54,111,49,2023-10-07
6,2023-10-21,Sat,9,Home,D 2–2,Nott'ham Forest,Luton Town,N,LM,13,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,2,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,3,1,1,3.0,0.0,0,0,1,0,2,0,0,3,0,0.0,0.6,4.0,2023-10-21 14:00:00+00:00,12,0,9,0,2410,2.0,1,-39,64,103,48,2023-10-21
7,2023-12-09,Sat,16,Away,D 1–1,Nott'ham Forest,Wolves,Y,CM,62,0,0,0,0,2,1,1,0,27,2,1,1,0.2,0.2,0.0,3,1,15,19,2,10,0,0,0,172,28,12,13,2,3,0,0,0.0,0,2,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,1,5,15,7,1,21.0,13.0,1,0,0,0,18,3,0,2,0,1.5,1.7,4.0,2023-12-09 15:00:00+00:00,62,0,16,0,2353,11.0,1,-43,9,52,48,2023-12-09
8,2023-12-15,Fri,17,Home,L 0–2,Nott'ham Forest,Tottenham,Y,CM,66,0,0,0,0,0,0,0,0,14,3,0,1,0.0,0.0,0.0,1,0,7,10,1,6,0,0,0,77,21,3,3,2,4,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,0,1,0,0,0,3,5,6,0,20.0,13.0,0,0,0,2,7,1,0,3,0,0.5,0.7,4.2,2023-12-15 20:00:00+00:00,67,0,17,0,2345,2.0,2,-34,27,61,48,2023-12-15
9,2023-12-26,Tue,19,Away,W 3–1,Nott'ham Forest,Newcastle Utd,N,"CM,DM",1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-12-26 12:30:00+00:00,1,0,19,0,2369,0.0,1,4,36,32,48,2023-12-26
