,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-01,Fri,4,Away,W 2–1,West Ham,Luton Town,N,AM,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,2,0,8.0,8.0,1,0,0,0,1,0,0,5,0,0.0,0.3,3.0,2023-09-01 19:00:00+00:00,1,0,4,0,21100,0.0,1,18190,20052,1862,65,2023-09-01
1,2023-09-16,Sat,5,Home,L 1–3,West Ham,Manchester City,N,"RW,AM,FW",24,0,0,0,0,0,0,0,0,17,2,1,1,0.0,0.0,0.0,1,0,4,7,0,8,1,2,0,61,14,3,3,1,1,0,2,0.0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,1,0,0,3,12,6,1,0,47.0,32.0,0,0,3,0,6,0,0,7,0,0.0,0.4,4.2,2023-09-16 14:00:00+00:00,23,0,5,0,24161,0.0,1,1192,7101,5909,65,2023-09-16
2,2023-09-24,Sun,6,Away,L 1–3,West Ham,Liverpool,N,FW,17,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,4,4,1,3,0,2,1,69,4,2,2,1,1,1,1,0.0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,4,0,14.0,4.0,0,0,1,0,6,0,0,4,0,1.5,0.4,2.2,2023-09-24 13:00:00+00:00,16,0,6,0,27051,0.0,1,1823,6202,4379,65,2023-09-24
3,2023-09-30,Sat,7,Home,W 2–0,West Ham,Sheffield Utd,N,"RW,FW",19,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,2,0,8,9,2,9,2,4,4,186,35,2,2,3,3,3,3,0.0,0,0,1,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,7,5,3,121.0,66.0,1,0,0,0,7,1,0,9,0,0.8,1.3,6.6,2023-09-30 14:00:00+00:00,18,0,7,0,33550,6.0,1,4930,10027,5097,65,2023-09-30
4,2023-10-08,Sun,8,Home,D 2–2,West Ham,Newcastle Utd,N,AM,15,1,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,1,0,9,11,1,11,1,1,1,156,3,4,5,5,5,0,0,0.0,1,0,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,1,93.0,14.0,0,1,0,1,11,3,1,23,0,11.0,5.6,36.2,2023-10-08 13:00:00+00:00,14,0,8,0,30073,9.0,7,-3775,3677,7452,65,2023-10-08
5,2023-10-22,Sun,9,Away,L 1–4,West Ham,Aston Villa,N,AM,24,0,0,0,0,1,1,0,0,11,1,0,0,0.0,0.0,0.0,2,0,6,6,0,7,0,1,0,94,16,2,2,4,4,0,0,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,4,6,1,46.0,11.0,0,0,1,1,7,3,0,1,0,0.9,2.3,5.4,2023-10-22 15:30:00+00:00,23,0,9,0,41371,17.0,1,8919,12417,3498,65,2023-10-22
6,2023-10-29,Sun,10,Home,L 0–1,West Ham,Everton,Y,AM,90,0,0,0,0,0,0,1,0,65,1,0,2,0.0,0.0,0.0,1,0,43,48,4,45,5,7,4,694,79,18,21,14,14,6,6,0.1,0,2,1,0,48,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,0,0,0,2,38,27,6,265.0,99.0,2,2,3,8,45,11,0,3,0,7.3,2.4,5.0,2023-10-29 13:00:00+00:00,90,0,10,0,36496,12.0,1,-4876,2343,7219,65,2023-10-29
7,2023-11-04,Sat,11,Away,L 2–3,West Ham,Brentford,Y,RM,90,1,0,0,0,4,1,0,0,51,3,0,0,0.6,0.6,0.1,4,1,24,33,6,32,3,4,1,400,87,12,14,10,14,2,5,0.2,2,1,5,0,33,0,0,0,0,6,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,1,8,14,30,5,203.0,105.0,3,0,2,2,34,5,1,29,0,23.4,9.7,38.6,2023-11-04 15:00:00+00:00,90,0,11,0,43708,35.0,11,5984,10776,4792,65,2023-11-04
8,2023-11-12,Sun,12,Home,W 3–2,West Ham,Nott'ham Forest,Y,RW,89,0,0,0,0,2,0,1,0,63,1,0,3,0.1,0.1,0.3,2,0,41,47,8,44,6,5,1,694,109,18,19,21,24,2,2,0.1,2,0,0,0,47,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,8,31,24,2,351.0,150.0,2,2,2,3,45,13,0,11,0,28.4,4.4,7.2,2023-11-12 14:00:00+00:00,90,0,12,0,137585,8.0,1,88732,93254,4522,65,2023-11-12
9,2023-11-25,Sat,13,Away,W 2–1,West Ham,Burnley,Y,RW,90,0,1,0,0,1,0,0,0,41,5,0,0,0.1,0.1,0.3,5,1,23,29,2,30,3,7,5,422,63,9,11,10,12,3,3,0.4,2,0,2,2,29,0,0,0,0,2,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,4,2,3,0,1,2,1,0,0,0,0,0,5,24,15,3,205.0,80.0,2,1,1,5,33,9,2,28,0,31.7,7.3,30.6,2023-11-25 15:00:00+00:00,90,0,13,0,250033,11.0,10,104583,119417,14834,66,2023-11-25
10,2023-12-03,Sun,14,Home,D 1–1,West Ham,Crystal Palace,Y,"RW,AM",90,1,0,0,0,4,1,0,0,58,3,1,2,0.3,0.3,0.2,2,0,25,37,4,40,6,9,6,433,67,13,15,11,15,1,4,0.3,1,4,3,2,36,0,0,0,0,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,9,19,32,3,331.0,142.0,2,0,6,6,40,12,2,25,0,21.5,9.7,47.8,2023-12-03 14:00:00+00:00,90,0,14,0,284051,28.0,9,39332,74006,34674,66,2023-12-03
11,2023-12-07,Thu,15,Away,W 2–1,West Ham,Tottenham,Y,FW,87,0,0,0,0,2,1,0,0,29,2,0,0,0.0,0.0,0.1,4,1,13,21,2,24,0,3,1,203,25,8,10,5,9,0,1,0.1,1,0,0,0,20,1,0,0,0,3,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,5,15,12,1,187.0,80.0,2,0,4,2,22,5,0,9,0,15.8,3.6,9.6,2023-12-07 20:15:00+00:00,87,0,15,0,340410,11.0,2,54928,70342,15414,66,2023-12-07
12,2023-12-10,Sun,16,Away,L 0–5,West Ham,Fulham,Y,"RM,AM",63,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,1,0,11,16,0,15,0,7,4,222,8,4,6,5,6,2,2,0.0,1,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,12,8,0,111.0,19.0,2,0,1,4,15,3,0,8,0,10.5,1.8,7.2,2023-12-10 14:00:00+00:00,63,0,16,0,396882,0.0,2,54722,73009,18287,67,2023-12-10
13,2023-12-17,Sun,17,Home,W 3–0,West Ham,Wolves,Y,RW,85,2,0,0,0,3,2,0,0,45,2,1,0,0.5,0.5,0.2,4,0,23,33,4,34,4,7,5,393,96,12,16,7,10,3,3,0.2,1,3,1,1,32,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,4,25,17,2,228.0,103.0,2,1,1,5,32,11,3,51,1,16.9,12.6,79.6,2023-12-17 14:00:00+00:00,86,0,17,0,393539,29.0,16,-3220,35202,38422,67,2023-12-17
14,2023-12-23,Sat,18,Home,W 2–0,West Ham,Manchester Utd,Y,"RW,AM",89,1,0,0,0,2,1,1,0,47,5,0,3,0.2,0.2,0.0,3,1,22,25,0,27,4,12,6,405,30,13,13,4,5,4,6,0.0,0,1,1,1,24,1,1,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4,2,3,0,4,4,0,0,3,1,1,2,9,28,13,2,257.0,77.0,2,1,4,1,31,6,2,28,1,6.2,7.2,45.2,2023-12-23 12:30:00+00:00,90,0,18,0,562455,21.0,9,149600,164562,14962,67,2023-12-23
15,2023-12-28,Thu,19,Away,W 2–0,West Ham,Arsenal,Y,RW,90,0,0,0,0,1,0,0,0,43,2,0,2,0.0,0.0,0.0,0,0,18,25,3,21,2,5,2,322,80,10,12,4,6,4,4,0.0,0,3,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,0,2,2,0,4,20,19,7,1,226.0,95.0,1,0,5,3,24,3,0,5,1,1.3,1.3,7.6,2023-12-28 20:15:00+00:00,90,0,19,0,720920,4.0,3,164719,188133,23414,68,2023-12-28
16,2024-02-01,Thu,22,Home,D 1–1,West Ham,Bournemouth,Y,"AM,RW",89,0,0,0,0,0,0,0,0,44,3,1,1,0.0,0.0,0.2,4,1,18,27,5,35,7,10,5,302,75,11,12,4,7,3,5,0.2,1,0,1,0,26,1,0,0,0,6,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,3,0,2,1,1,1,0,0,1,0,0,0,7,16,24,3,354.0,159.0,3,3,4,5,35,6,0,18,0,17.1,3.4,11.0,2024-02-01 19:30:00+00:00,90,0,22,0,332058,6.0,5,-93416,28341,121757,68,2024-02-01
17,2024-02-04,Sun,23,Away,L 0–3,West Ham,Manchester Utd,Y,"LW,RW",90,0,0,0,0,4,1,0,0,55,4,1,0,0.2,0.2,0.0,7,0,31,36,6,40,3,11,7,459,52,18,19,10,11,2,4,0.0,1,2,1,0,35,1,1,0,0,1,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,2,4,0,0,1,2,1,0,0,0,0,0,9,19,29,3,240.0,147.0,2,1,1,1,42,5,0,13,0,15.8,6.5,20.6,2024-02-04 14:00:00+00:00,90,0,23,0,351744,29.0,2,15871,33224,17353,68,2024-02-04
18,2024-02-11,Sun,24,Home,L 0–6,West Ham,Arsenal,Y,"RW,FW",90,0,0,0,0,2,1,1,0,34,2,0,0,0.1,0.1,0.0,4,0,15,19,5,19,4,5,3,227,28,10,11,4,5,1,2,0.0,0,1,0,0,18,1,1,0,1,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,0,0,0,0,1,5,13,17,2,142.0,85.0,2,1,5,2,19,3,0,0,0,4.4,5.1,7.4,2024-02-11 14:00:00+00:00,90,0,24,0,344153,39.0,1,-9472,28861,38333,68,2024-02-11
19,2024-02-17,Sat,25,Away,L 0–2,West Ham,Nott'ham Forest,Y,"LW,RW,RM,LM",90,0,0,0,0,2,0,1,0,55,1,0,1,0.1,0.1,0.0,2,0,26,38,1,35,5,7,5,400,33,14,16,12,15,0,2,0.0,0,1,0,0,38,0,0,1,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,20,31,4,197.0,100.0,1,0,2,3,39,15,0,8,0,6.6,2.7,4.0,2024-02-17 15:00:00+00:00,90,0,25,0,307428,16.0,1,-31524,18332,49856,68,2024-02-17
20,2024-02-26,Mon,26,Home,W 4–2,West Ham,Brentford,Y,RW,89,0,1,0,0,6,1,0,0,57,1,0,2,0.1,0.1,0.5,5,3,27,37,1,42,10,9,5,381,34,13,13,10,13,1,4,0.5,2,0,2,1,37,0,0,0,0,6,0,0,0,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,4,28,28,6,378.0,185.0,6,4,4,4,45,10,0,17,0,32.5,7.8,19.4,2024-02-26 20:00:00+00:00,90,0,26,0,329842,26.0,5,8716,39620,30904,68,2024-02-26
21,2024-03-02,Sat,27,Away,W 3–1,West Ham,Everton,Y,"RW,LW",89,0,1,0,0,4,1,0,0,50,2,0,1,0.5,0.5,0.1,3,2,27,35,2,37,6,6,3,485,107,17,17,6,7,4,8,0.1,2,0,2,2,35,0,0,1,0,6,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,2,1,0,1,1,2,1,0,1,1,0,1,11,17,26,6,339.0,175.0,4,3,4,2,37,9,0,20,0,35.5,10.3,32.2,2024-03-02 15:00:00+00:00,90,0,27,0,338105,35.0,5,11507,36787,25280,68,2024-03-02
22,2024-03-10,Sun,28,Home,D 2–2,West Ham,Burnley,Y,RW,90,0,0,0,0,3,0,0,0,48,1,0,1,0.3,0.3,0.1,6,1,28,35,3,32,3,11,6,410,110,15,17,9,12,2,3,0.1,2,1,1,1,33,1,0,0,0,8,1,0,1,3,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,1,2,1,0,1,0,0,1,4,17,28,5,168.0,64.0,2,1,2,1,34,9,0,9,0,30.4,6.1,12.4,2024-03-10 14:00:00+00:00,90,0,28,0,384484,18.0,2,43423,61552,18129,68,2024-03-10
23,2024-03-17,Sun,29,Home,D 1–1,West Ham,Aston Villa,Y,"LW,RW",90,0,0,0,0,2,0,1,0,41,0,0,0,0.1,0.1,0.4,4,0,22,27,1,33,7,6,2,264,42,17,17,5,5,0,0,0.2,1,0,0,0,27,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,6,14,22,7,311.0,181.0,4,5,3,2,35,5,0,-1,0,12.5,3.3,0.0,2024-03-17 14:00:00+00:00,90,0,29,0,1106919,20.0,1,106295,121674,15379,68,2024-03-17
24,2024-03-30,Sat,30,Away,L 3–4,West Ham,Newcastle Utd,Y,LW,90,1,1,0,0,3,1,0,0,54,5,0,0,0.3,0.3,0.4,4,3,28,35,2,34,3,13,6,529,105,15,17,8,9,5,6,0.2,2,0,1,1,35,0,0,1,0,1,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,5,2,1,2,0,1,1,0,0,0,0,1,12,29,20,5,263.0,150.0,5,0,3,2,35,9,2,50,0,30.1,13.0,69.4,2024-03-30 12:30:00+00:00,90,0,30,0,391011,30.0,12,-96430,10024,106454,68,2024-03-30
25,2024-04-02,Tue,31,Home,D 1–1,West Ham,Tottenham,Y,LW,90,0,0,0,0,2,0,0,0,53,2,2,1,0.1,0.1,0.0,3,0,28,39,4,32,3,11,6,530,100,13,16,9,11,5,6,0.0,0,4,1,1,38,1,1,0,1,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,2,0,1,1,0,1,5,28,22,3,167.0,55.0,2,1,3,2,36,7,0,13,0,7.7,3.5,14.8,2024-04-02 19:15:00+00:00,90,0,31,0,429540,12.0,2,35309,52704,17395,68,2024-04-02
26,2024-04-06,Sat,32,Away,W 2–1,West Ham,Wolves,Y,"LW,RW",90,0,0,0,0,3,0,0,0,43,2,0,0,0.1,0.1,0.0,1,0,20,27,2,36,3,4,2,276,63,14,14,4,7,1,4,0.0,0,3,0,0,26,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,13,27,5,188.0,92.0,0,2,3,7,40,9,0,-3,0,3.7,2.3,2.2,2024-04-06 14:00:00+00:00,90,0,32,0,439901,17.0,2,9034,36560,27526,68,2024-04-06
27,2024-04-14,Sun,33,Home,L 0–2,West Ham,Fulham,Y,RW,90,0,0,0,0,4,0,0,0,55,2,2,0,0.2,0.2,0.1,7,0,31,40,4,39,4,11,6,603,121,12,15,14,15,5,8,0.2,2,3,3,3,37,3,1,0,1,7,0,2,0,3,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,6,21,28,5,209.0,92.0,0,3,2,2,38,10,0,15,0,36.3,7.2,16.6,2024-04-14 13:00:00+00:00,90,0,33,0,451781,19.0,2,10178,41400,31222,68,2024-04-14
28,2024-04-21,Sun,34,Away,L 2–5,West Ham,Crystal Palace,Y,"RW,AM",84,0,0,0,0,1,0,0,0,29,0,0,1,0.0,0.0,0.0,1,0,16,18,1,23,1,5,1,197,15,12,13,4,5,0,0,0.0,0,0,0,0,17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5,11,14,1,114.0,28.0,0,1,3,5,24,3,0,-4,0,2.9,0.9,0.0,2024-04-21 14:00:00+00:00,84,0,34,0,395037,6.0,2,-49434,18293,67727,68,2024-04-21
29,2024-04-27,Sat,35,Home,D 2–2,West Ham,Liverpool,Y,LW,90,0,1,0,0,1,1,0,0,36,2,0,1,0.0,0.0,0.0,3,1,12,20,1,23,4,9,5,189,32,6,11,5,5,1,3,0.1,1,0,2,1,19,1,1,0,0,3,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,1,0,1,1,0,0,4,14,19,4,206.0,97.0,1,1,3,2,23,8,0,17,0,17.3,7.2,31.2,2024-04-27 11:30:00+00:00,90,0,35,0,362460,23.0,5,-41911,9242,51153,68,2024-04-27
30,2024-05-05,Sun,36,Away,L 0–5,West Ham,Chelsea,Y,"LW,RW",90,0,0,0,0,2,1,0,0,36,3,2,0,0.0,0.0,0.0,5,0,18,24,0,33,7,17,14,346,35,7,9,8,10,2,3,0.0,0,0,0,0,24,0,0,0,1,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,1,3,18,17,2,378.0,205.0,5,0,1,1,26,12,0,17,0,4.3,4.4,24.4,2024-05-05 13:00:00+00:00,90,0,36,0,351502,15.0,2,-13043,6745,19788,67,2024-05-05
31,2024-05-11,Sat,37,Home,W 3–1,West Ham,Luton Town,Y,"AM,RW",90,0,1,0,0,5,0,0,0,56,2,0,0,0.7,0.7,0.5,8,1,37,43,3,43,8,5,3,603,62,20,22,10,11,5,5,0.6,3,1,1,0,43,0,0,0,1,1,0,0,0,6,0,1,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,5,29,24,8,397.0,249.0,3,5,1,0,46,7,0,25,0,35.6,8.2,22.8,2024-05-11 14:00:00+00:00,90,0,37,0,331064,24.0,5,-19557,9033,28590,67,2024-05-11
32,2024-05-19,Sun,38,Away,L 1–3,West Ham,Manchester City,Y,RW,90,1,0,0,0,2,2,0,0,37,2,0,1,0.3,0.3,0.0,1,0,19,23,2,17,2,5,4,308,34,13,15,4,4,2,3,0.0,0,1,0,0,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,9,23,5,3,130.0,76.0,0,1,2,11,23,4,0,16,0,3.0,8.6,42.8,2024-05-19 15:00:00+00:00,90,0,38,0,327637,40.0,7,-6147,15734,21881,67,2024-05-19
