,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Away,L 0–1,Wolves,Manchester Utd,Y,"CM,DM",90,0,0,0,0,3,0,1,0,64,1,3,0,0.1,0.1,0.0,3,0,42,52,3,34,1,1,1,599,193,27,28,11,15,2,3,0.0,0,3,1,0,51,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,27,26,13,1,163.0,27.0,1,0,1,0,40,2,0,11,0,3.3,2.3,10.2,2023-08-14 19:00:00+00:00,90,0,1,0,2776,9.0,1,0,0,0,50,2023-08-14
1,2023-08-19,Sat,2,Home,L 1–4,Wolves,Brighton,Y,CM,90,0,0,0,0,2,0,0,0,59,3,1,2,0.7,0.7,0.0,1,0,38,46,1,34,0,3,2,462,92,27,29,10,11,0,2,0.0,0,1,0,0,42,2,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,2,1,1,1,1,0,5,19,34,8,1,125.0,28.0,2,0,2,1,36,0,0,9,0,2.5,2.4,12.6,2023-08-19 14:00:00+00:00,90,0,2,0,4201,9.0,2,264,726,462,50,2023-08-19
2,2023-08-26,Sat,3,Away,W 1–0,Wolves,Everton,Y,CM,90,0,0,0,0,3,0,1,0,49,3,1,0,0.1,0.1,0.0,1,1,34,37,2,31,0,4,2,543,125,18,19,13,14,3,4,0.0,0,2,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,14,26,10,2,130.0,34.0,0,0,2,0,36,3,0,8,1,1.7,1.7,5.4,2023-08-26 14:00:00+00:00,90,0,3,0,4281,10.0,2,-324,379,703,50,2023-08-26
3,2023-09-03,Sun,4,Away,L 2–3,Wolves,Crystal Palace,Y,CM,90,0,0,0,0,0,0,0,0,64,5,3,1,0.0,0.0,0.0,4,0,44,52,3,24,1,2,0,723,135,18,22,19,21,4,6,0.0,2,2,1,1,52,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,1,1,0,1,3,0,5,16,40,8,0,110.0,54.0,1,0,0,1,44,0,0,24,0,28.1,5.3,24.8,2023-09-03 13:00:00+00:00,90,0,4,0,4094,0.0,2,-401,170,571,50,2023-09-03
4,2023-09-16,Sat,5,Home,L 1–3,Wolves,Liverpool,Y,DM,77,0,0,0,0,1,0,0,0,39,5,2,1,0.0,0.0,0.0,0,0,23,29,3,22,0,0,0,467,177,7,8,14,16,2,4,0.0,0,1,0,0,27,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,3,2,0,1,1,0,4,17,15,7,2,61.0,27.0,0,0,1,0,15,1,0,14,0,4.8,2.3,11.8,2023-09-16 11:30:00+00:00,77,0,5,0,4153,6.0,2,-240,227,467,50,2023-09-16
5,2023-09-23,Sat,6,Away,D 1–1,Wolves,Luton Town,Y,"CM,DM",90,0,0,0,0,1,1,1,0,49,0,3,1,0.1,0.1,0.0,1,0,24,30,3,21,0,0,0,400,138,14,16,7,11,3,3,0.0,0,0,0,0,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,9,0,8,24,24,1,1,93.0,15.0,0,0,2,2,23,0,0,9,0,0.2,6.7,18.4,2023-09-23 14:00:00+00:00,90,0,6,0,4705,48.0,1,381,715,334,50,2023-09-23
6,2023-09-30,Sat,7,Home,W 2–1,Wolves,Manchester City,Y,CM,90,0,0,0,0,0,0,1,0,28,1,1,0,0.0,0.0,0.0,0,0,16,21,1,17,0,0,0,255,86,11,12,3,4,2,5,0.0,0,1,0,0,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,4,0,5,14,11,3,0,43.0,7.0,0,0,0,0,15,0,0,4,0,0.7,0.8,7.2,2023-09-30 14:00:00+00:00,90,0,7,0,4202,0.0,1,-523,167,690,50,2023-09-30
7,2023-10-08,Sun,8,Home,D 1–1,Wolves,Aston Villa,Y,CM,89,0,0,0,0,1,1,2,1,45,2,3,1,0.0,0.0,0.0,1,0,29,38,4,23,2,1,1,485,159,16,19,11,12,2,4,0.0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,1,0,0,0,4,14,22,10,0,154.0,64.0,1,0,0,0,27,0,0,5,0,1.8,2.0,10.8,2023-10-08 13:00:00+00:00,90,0,8,0,4186,7.0,-1,-124,195,319,49,2023-10-08
8,2023-10-28,Sat,10,Home,D 2–2,Wolves,Newcastle Utd,Y,CM,85,1,0,0,0,1,1,0,0,48,3,0,0,0.1,0.1,0.0,2,0,41,43,5,23,1,2,2,670,202,21,21,18,20,2,2,0.0,1,5,0,0,42,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,3,2,0,0,0,0,1,11,28,9,3,127.0,54.0,0,0,0,0,26,0,2,38,0,12.4,7.8,44.8,2023-10-28 16:30:00+00:00,85,0,10,0,3562,21.0,9,-122,59,181,49,2023-10-28
9,2023-11-04,Sat,11,Away,L 1–2,Wolves,Sheffield Utd,Y,CM,90,0,0,0,0,2,1,0,0,56,0,1,0,0.3,0.3,0.0,1,0,39,47,0,32,0,0,0,523,111,24,28,12,12,0,3,0.0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,23,22,11,2,129.0,35.0,1,0,0,2,44,1,0,9,0,3.3,4.7,6.4,2023-11-04 15:00:00+00:00,90,0,11,0,7253,37.0,2,3249,3617,368,49,2023-11-04
