,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-11-27,Sat,13,Home,D 0–0,Brighton,Leeds United,N,"AM,FW",23,0,0,0,0,1,0,0,0,3,0,0,0,0.2,0.2,0.0,0,0,1,1,0,3,0,0,0,25,0,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16.0,0.0,0,0,1,1,3,0,0,0,0,1.1,0.1,0.0,2021-11-27 17:30:00+00:00,22,0,13,0,80532,3.0,1,13646,21732,8086,44,2021-11-27
1,2019-08-10,Sat,1,Away,W 3–0,Brighton,Watford,Y,LW,63,0,0,0,0,1,1,0,0,20,0,0,0,0.1,0.1,0.0,2,0,9,17,0,8,1,1,1,117,1,6,8,3,5,0,0,0.0,0,0,0,0,16,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9,2,34.0,18.0,0,1,3,0,16,4,0,8,1,1.3,2.4,3.2,2019-08-10 14:00:00+00:00,63,0,1,0,19327,19.0,2,0,0,0,55,2019-08-10
2,2019-08-24,Sat,3,Home,L 0–2,Brighton,Southampton,N,LM,23,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.0,0,0,1,4,0,4,0,0,0,9,0,1,2,0,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,10.0,1.0,0,0,2,2,6,2,0,-3,0,0.0,0.9,0.0,2019-08-24 14:00:00+00:00,22,0,3,0,18463,11.0,1,-3631,1735,5366,55,2019-08-24
3,2018-08-19,Sun,2,Home,W 3–2,Brighton,Manchester Utd,N,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2018-08-19 15:00:00+00:00,1,0,2,0,6710,0.0,1,-615,379,994,55,2018-08-19
4,2018-08-25,Sat,3,Away,L 0–1,Brighton,Liverpool,N,"LM,LW",16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,0,5,0,0,0,71,14,1,3,3,3,0,0,0.0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,12.0,2.0,0,0,0,1,6,1,0,3,0,0.2,0.1,0.4,2018-08-25 16:30:00+00:00,15,0,3,0,6677,0.0,1,-615,439,1054,55,2018-08-25
5,2018-09-01,Sat,4,Home,D 2–2,Brighton,Fulham,N,"FW,CM",17,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,1,0,3,4,0,4,0,0,0,40,0,3,4,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,11.0,7.0,0,0,0,1,5,2,0,1,0,1.6,2.2,3.0,2018-09-01 14:00:00+00:00,16,0,4,0,6613,17.0,1,-402,366,768,54,2018-09-01
6,2018-09-17,Mon,5,Away,D 2–2,Brighton,Southampton,N,FW,15,0,0,0,0,1,1,1,0,12,0,0,0,0.2,0.2,0.0,1,0,3,6,0,9,0,0,0,26,0,2,5,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,19.0,4.0,0,0,4,0,11,3,0,-3,0,10.3,4.8,3.0,2018-09-17 19:00:00+00:00,14,0,5,0,6372,35.0,0,-415,263,678,54,2018-09-17
7,2018-09-22,Sat,6,Home,L 1–2,Brighton,Tottenham,N,FW,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,4,0,5,0,0,0,23,6,3,3,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,8.0,0.0,0,0,2,0,5,2,0,2,0,1.3,0.6,0.2,2018-09-22 16:30:00+00:00,11,0,6,0,6236,4.0,1,-248,155,403,54,2018-09-22
8,2018-09-29,Sat,7,Away,L 0–2,Brighton,Manchester City,Y,FW,72,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,10,14,0,8,0,0,0,138,4,4,6,5,6,0,0,0.0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4,1,11.0,0.0,0,0,3,1,13,2,0,1,0,0.6,0.0,0.0,2018-09-29 14:00:00+00:00,72,0,7,0,6075,4.0,2,-252,89,341,54,2018-09-29
9,2018-10-05,Fri,8,Home,W 1–0,Brighton,West Ham,N,FW,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,16,0,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0.1,0.0,0.0,2018-10-05 19:00:00+00:00,4,0,8,0,6142,0.0,1,-28,196,224,54,2018-10-05
