,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,W 1–0,Chelsea,Everton,N,RM,26,0,0,0,0,0,0,0,0,19,2,0,1,0.0,0.0,0.0,1,0,9,12,1,7,0,1,0,103,50,6,7,2,4,0,0,0.0,0,2,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2,4,13,2,0,39.0,9.0,0,0,2,0,10,2,0,1,0,0.8,0.6,5.6,2022-08-06 16:30:00+00:00,25,0,1,0,8103,0.0,1,0,0,0,50,2022-08-06
1,2022-08-14,Sun,2,Home,D 2–2,Chelsea,Tottenham,Y,"WB,CM",90,0,0,0,0,1,0,0,0,59,3,0,2,0.1,0.1,0.2,4,0,39,48,5,30,5,4,3,519,133,26,30,11,12,1,1,0.6,2,6,2,0,45,3,0,0,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,1,1,1,0,2,10,27,23,8,188.0,121.0,2,3,1,3,40,10,0,13,0,25.1,8.1,21.6,2022-08-14 15:30:00+00:00,90,0,2,0,8995,34.0,2,-694,376,1070,50,2022-08-14
2,2022-08-21,Sun,3,Away,L 0–3,Chelsea,Leeds United,Y,"WB,DM,CM",90,0,0,0,0,2,0,0,0,56,3,2,0,0.2,0.2,0.1,5,0,29,39,7,39,6,6,3,531,124,12,16,11,11,4,4,0.0,1,1,1,0,35,2,0,0,2,1,2,0,2,3,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,3,5,2,0,0,3,0,3,11,25,21,4,224.0,132.0,1,0,4,3,43,7,0,12,0,12.6,6.6,19.0,2022-08-21 13:00:00+00:00,90,0,3,0,19351,34.0,2,7561,10338,2777,50,2022-08-21
3,2022-08-27,Sat,4,Home,W 2–1,Chelsea,Leicester City,Y,"CM,RM",90,0,0,0,0,1,1,0,0,43,1,0,3,0.4,0.4,0.0,1,0,24,31,4,21,1,3,2,409,168,10,13,13,16,1,1,0.0,0,2,1,0,29,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,4,0,4,17,17,11,1,194.0,113.0,2,0,1,1,26,3,0,9,0,2.1,4.1,21.8,2022-08-27 14:00:00+00:00,90,0,4,0,19975,17.0,2,-414,3944,4358,50,2022-08-27
4,2022-08-30,Tue,5,Away,L 1–2,Chelsea,Southampton,Y,DM,45,0,0,0,0,0,0,0,0,35,1,2,0,0.0,0.0,0.0,0,0,23,30,3,20,0,0,0,330,88,15,20,7,8,1,1,0.0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,2,12,19,4,1,125.0,58.0,0,0,0,1,27,1,0,6,0,1.3,0.9,5.2,2022-08-30 18:45:00+00:00,45,0,5,0,22724,2.0,1,1454,4855,3401,50,2022-08-30
5,2022-09-03,Sat,6,Home,W 2–1,Chelsea,West Ham,Y,"DM,CM",82,0,0,0,0,0,0,1,0,91,2,0,1,0.0,0.0,0.0,0,0,79,84,15,57,4,2,1,1359,351,37,38,34,36,6,8,0.1,0,14,1,0,83,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,2,0,3,5,61,26,1,329.0,192.0,4,0,1,1,78,3,0,10,0,9.8,2.6,12.2,2022-09-03 14:00:00+00:00,82,0,6,0,17708,4.0,1,-5157,1154,6311,50,2022-09-03
6,2022-10-01,Sat,9,Away,W 2–1,Chelsea,Crystal Palace,N,DM,35,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,27,29,4,22,1,1,0,391,99,13,13,12,12,1,2,0.0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,3,99.0,57.0,1,0,1,0,27,0,0,2,0,5.1,1.3,2.2,2022-10-01 14:00:00+00:00,34,0,9,0,16380,6.0,1,-595,856,1451,50,2022-10-01
7,2022-10-08,Sat,10,Home,W 3–0,Chelsea,Wolves,Y,DM,65,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.4,2,0,34,39,5,32,2,1,0,441,124,25,26,9,10,0,0,0.2,2,6,1,0,38,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,17,19,3,147.0,71.0,0,0,0,1,34,3,0,13,1,28.9,4.3,3.6,2022-10-08 14:00:00+00:00,65,0,10,0,16963,10.0,3,215,1726,1511,50,2022-10-08
8,2022-10-16,Sun,11,Away,W 2–0,Chelsea,Aston Villa,Y,"CM,WB",90,0,0,0,0,0,0,0,0,68,1,1,0,0.0,0.0,0.0,3,1,47,56,5,29,2,3,1,676,156,30,33,11,12,5,7,0.0,0,2,1,0,52,4,1,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,13,52,3,1,191.0,76.0,1,1,2,2,45,0,0,10,1,1.1,0.9,5.8,2022-10-16 13:00:00+00:00,90,0,11,0,17635,2.0,3,354,1474,1120,50,2022-10-16
9,2022-10-19,Wed,12,Away,D 0–0,Chelsea,Brentford,Y,WB,90,0,0,0,0,1,0,0,0,73,0,1,1,0.1,0.1,0.0,1,0,54,66,4,34,3,5,3,729,152,39,44,13,17,1,2,0.1,0,0,2,0,62,4,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,12,23,38,4,188.0,118.0,1,1,2,0,53,11,0,13,1,11.3,2.7,6.4,2022-10-19 18:30:00+00:00,90,0,12,0,18551,9.0,3,599,1412,813,50,2022-10-19
