,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-09-11,Sat,4,Home,L 0–1,Leicester City,Manchester City,N,LW,18,0,0,0,0,2,1,0,0,12,0,0,1,0.2,0.2,0.0,0,0,6,8,0,4,0,0,0,77,24,3,4,2,2,0,0,0.0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,5,2,16.0,5.0,0,0,1,0,8,1,0,0,0,0.5,3.9,3.4,2021-09-11 14:00:00+00:00,17,0,4,0,1673,35.0,1,1135,2026,891,60,2021-09-11
1,2021-09-19,Sun,5,Away,L 1–2,Leicester City,Brighton,N,"RW,RM",45,0,0,0,0,2,0,0,0,28,0,0,0,0.1,0.1,0.1,4,0,14,18,4,16,0,4,4,161,26,10,12,4,4,0,0,0.1,2,2,2,0,17,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,8,88.0,38.0,1,0,2,2,24,6,0,6,0,22.7,7.9,8.2,2021-09-19 13:00:00+00:00,45,0,5,0,3039,48.0,1,886,1733,847,60,2021-09-19
2,2021-09-25,Sat,6,Home,D 2–2,Leicester City,Burnley,Y,RW,77,0,0,0,0,1,0,0,0,46,2,1,0,0.1,0.1,0.3,7,0,26,37,3,30,4,3,3,330,97,16,21,3,5,2,5,0.4,4,0,3,1,37,0,0,0,1,5,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,2,2,0,0,0,1,0,1,5,15,26,6,287.0,120.0,4,2,2,1,37,5,1,20,0,47.9,8.7,19.2,2021-09-25 14:00:00+00:00,77,0,6,0,4732,20.0,3,1198,2118,920,60,2021-09-25
3,2021-10-03,Sun,7,Away,D 2–2,Leicester City,Crystal Palace,Y,RM,79,0,0,0,0,1,1,0,0,46,1,0,2,0.1,0.1,0.0,2,0,25,34,3,23,1,5,3,335,71,15,16,8,10,1,2,0.0,0,1,0,0,32,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,5,25,17,2,93.0,40.0,0,0,4,5,25,5,0,6,0,2.0,1.8,7.0,2021-10-03 13:00:00+00:00,79,0,7,0,5593,9.0,2,567,1505,938,60,2021-10-03
4,2021-10-30,Sat,10,Home,L 0–2,Leicester City,Arsenal,N,RW,45,0,0,0,0,1,1,0,0,21,2,1,0,0.1,0.1,0.0,0,0,12,14,2,11,1,0,0,170,43,8,9,4,4,0,1,0.0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,4,6,11,2,82.0,42.0,1,1,2,0,16,3,0,2,0,2.8,3.0,7.8,2021-10-30 11:30:00+00:00,45,0,10,0,4734,19.0,1,-736,487,1223,60,2021-10-30
5,2021-11-07,Sun,11,Away,D 1–1,Leicester City,Leeds United,Y,"RW,FW",79,0,0,0,0,0,0,0,0,34,5,0,1,0.0,0.0,0.3,1,0,15,21,1,17,0,0,0,236,31,8,9,6,8,1,1,0.2,1,0,1,0,20,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,1,1,0,1,0,1,7,16,11,3,72.0,24.0,0,0,2,1,20,8,0,7,0,15.4,3.9,17.6,2021-11-07 14:00:00+00:00,79,0,11,0,4618,6.0,2,-331,312,643,60,2021-11-07
6,2021-11-20,Sat,12,Home,L 0–3,Leicester City,Chelsea,Y,RW,45,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.0,0,0,6,12,1,8,0,1,1,73,25,3,5,2,3,0,2,0.0,0,1,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,7,0,48.0,21.0,0,0,1,0,8,1,0,4,0,0.3,0.3,2.2,2021-11-20 12:30:00+00:00,45,0,12,0,4892,0.0,1,19,591,572,60,2021-11-20
7,2021-11-28,Sun,13,Home,W 4–2,Leicester City,Watford,Y,RW,74,1,0,0,0,2,1,0,0,42,0,0,1,1.0,1.0,0.1,3,1,24,34,3,34,2,1,0,308,90,13,18,7,7,1,2,0.0,1,3,1,0,32,1,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,4,25,14,3,125.0,51.0,2,1,3,1,33,7,0,28,0,16.3,9.9,37.6,2021-11-28 14:00:00+00:00,74,0,13,0,5870,45.0,7,815,1389,574,60,2021-11-28
8,2021-12-01,Wed,14,Away,D 2–2,Leicester City,Southampton,Y,RW,60,0,0,0,0,0,0,1,0,31,1,1,0,0.0,0.0,0.1,1,0,15,24,2,18,0,2,1,202,51,9,13,6,9,0,0,0.1,1,1,0,0,22,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,0,0,1,8,17,6,2,64.0,21.0,1,0,2,3,23,6,0,3,0,10.8,1.8,2.8,2021-12-01 19:30:00+00:00,60,0,14,0,9575,4.0,1,3449,4071,622,60,2021-12-01
9,2021-12-05,Sun,15,Away,L 1–2,Leicester City,Aston Villa,Y,RW,64,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.1,2,0,22,28,3,35,2,2,0,253,82,15,19,7,8,0,1,0.1,1,1,2,0,28,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,2,23,14,3,135.0,82.0,0,0,3,2,32,2,0,-2,0,12.3,1.9,0.6,2021-12-05 16:30:00+00:00,64,0,15,0,8788,6.0,2,-796,1111,1907,60,2021-12-05
10,2021-12-26,Sun,19,Away,L 3–6,Leicester City,Manchester City,Y,LM,90,1,0,0,0,1,1,0,0,30,3,2,1,0.5,0.5,0.1,5,0,12,16,2,21,4,5,5,159,61,8,9,4,5,0,1,0.1,2,1,2,0,16,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,3,0,1,0,0,1,8,14,9,5,170.0,96.0,2,3,1,2,14,7,0,29,0,21.4,9.5,49.0,2021-12-26 15:00:00+00:00,90,0,19,0,5423,25.0,7,-361,192,553,60,2021-12-26
