,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,W 4–1,Tottenham,Southampton,N,AM,5,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,20,0,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,10.0,0.0,0,0,0,0,2,0,0,5,0,0.0,0.2,2.0,2022-08-06 14:00:00+00:00,4,0,1,0,28944,0.0,1,0,0,0,60,2022-08-06
1,2022-08-14,Sun,2,Away,D 2–2,Tottenham,Chelsea,N,RB,9,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,5,6,0,4,0,2,1,55,13,5,5,0,0,0,0,0.0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,24.0,3.0,0,0,1,0,3,1,0,3,0,0.1,0.2,2.0,2022-08-14 15:30:00+00:00,8,0,2,0,31502,0.0,1,-4992,2100,7092,60,2022-08-14
2,2022-10-15,Sat,11,Home,W 2–0,Tottenham,Everton,N,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2022-10-15 16:30:00+00:00,1,0,11,0,14840,0.0,1,-48,340,388,58,2022-10-15
3,2022-10-19,Wed,12,Away,L 0–2,Tottenham,Manchester Utd,N,AM,9,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,4,6,1,5,1,1,0,64,31,2,3,2,3,0,0,0.0,0,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,5,0,51.0,32.0,2,0,1,0,7,0,0,2,0,1.6,0.4,2.2,2022-10-19 19:15:00+00:00,8,0,12,0,15766,0.0,1,416,683,267,58,2022-10-19
4,2022-10-23,Sun,13,Home,L 1–2,Tottenham,Newcastle Utd,N,AM,25,0,0,0,0,0,0,0,0,16,3,0,0,0.0,0.0,0.0,0,0,7,10,2,9,0,3,1,68,20,5,5,1,3,0,0,0.0,0,0,2,0,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,2,8,6,1,41.0,3.0,0,0,1,1,9,3,0,3,0,1.0,0.9,6.0,2022-10-23 15:30:00+00:00,24,0,13,0,16195,2.0,1,250,628,378,58,2022-10-23
5,2022-10-29,Sat,14,Away,W 3–2,Tottenham,Bournemouth,N,"AM,WB",45,0,0,0,0,1,0,0,0,34,1,1,0,0.1,0.1,0.0,5,0,20,27,4,20,2,1,0,286,74,12,15,8,10,0,1,0.1,1,1,1,1,26,1,0,0,0,5,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,8,24,2,121.0,50.0,1,1,1,2,28,6,0,4,0,17.0,4.6,9.2,2022-10-29 14:00:00+00:00,45,0,14,0,17234,20.0,1,585,1191,606,58,2022-10-29
6,2022-11-06,Sun,15,Home,L 1–2,Tottenham,Liverpool,N,AM,3,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0.0,0.0,0,0,0,0,1,0,0,5,0,0.0,0.6,2.0,2022-11-06 16:30:00+00:00,2,0,15,0,17361,4.0,1,-220,785,1005,58,2022-11-06
7,2022-11-12,Sat,16,Home,W 4–3,Tottenham,Leeds United,N,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2022-11-12 15:00:00+00:00,1,0,16,0,17294,0.0,1,-317,470,787,58,2022-11-12
8,2023-02-19,Sun,24,Home,W 2–0,Tottenham,West Ham,N,AM,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,0,24,24,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.0,14.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,2023-02-19 16:30:00+00:00,1,0,24,0,16637,0.0,1,90,221,131,58,2023-02-19
9,2023-03-04,Sat,26,Away,L 0–1,Tottenham,Wolves,N,"RM,AM",14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.2,2,0,6,8,1,6,0,1,1,92,35,3,4,3,3,0,0,0.2,2,0,1,0,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,31.0,9.0,0,0,0,0,8,0,0,6,0,23.6,3.1,5.4,2023-03-04 15:00:00+00:00,13,0,26,0,17014,2.0,1,-13,185,198,58,2023-03-04
