,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Fulham,Everton,Y,CM,90,0,0,0,0,1,0,0,0,70,1,1,1,0.0,0.0,0.1,1,0,60,67,4,57,0,0,0,1001,204,23,26,32,33,4,5,0.0,1,3,0,0,63,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,0,2,22,45,5,0,251.0,99.0,2,0,0,0,56,1,0,15,1,12.1,2.1,8.0,2023-08-12 14:00:00+00:00,90,0,1,0,25104,1.0,3,0,0,0,45,2023-08-12
1,2023-08-19,Sat,2,Home,L 0–3,Fulham,Brentford,Y,CM,90,0,0,0,0,0,0,0,0,64,1,0,0,0.0,0.0,0.0,1,0,55,59,4,49,2,3,3,920,195,20,22,31,32,1,2,0.1,1,4,1,0,57,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,1,0,1,8,42,15,2,287.0,159.0,3,0,1,0,54,2,0,14,0,18.3,3.3,11.0,2023-08-19 14:00:00+00:00,90,0,2,0,72725,4.0,2,26374,35175,8801,45,2023-08-19
2,2023-08-26,Sat,3,Away,D 2–2,Fulham,Arsenal,Y,RM,69,0,0,0,0,1,0,1,0,22,2,1,0,0.0,0.0,0.0,2,0,12,14,2,4,0,1,0,131,37,9,11,3,3,0,0,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,3,2,0,0,1,0,1,8,13,1,1,4.0,1.0,0,0,1,1,5,1,0,2,0,0.5,0.6,1.6,2023-08-26 14:00:00+00:00,70,0,3,0,68209,4.0,1,-3930,8399,12329,45,2023-08-26
3,2023-10-02,Mon,7,Home,L 0–2,Fulham,Chelsea,N,LM,16,0,0,0,0,1,1,0,0,14,1,1,0,0.6,0.6,0.0,2,0,10,10,1,8,1,0,0,180,15,6,6,3,3,1,1,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,9,3,1,46.0,21.0,0,0,0,1,11,0,0,-1,0,1.8,2.6,7.0,2023-10-02 19:00:00+00:00,15,0,7,0,34962,17.0,1,-4556,288,4844,44,2023-10-02
4,2023-10-23,Mon,9,Away,L 0–2,Fulham,Tottenham,Y,DM,71,0,0,0,0,1,0,0,0,35,0,0,1,0.0,0.0,0.0,0,0,26,31,1,23,0,0,0,442,53,10,12,13,14,3,3,0.0,0,3,0,0,28,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,11,18,7,0,109.0,38.0,1,0,1,2,26,1,0,3,0,1.8,0.5,2.2,2023-10-23 19:00:00+00:00,71,0,9,0,34115,1.0,2,-983,720,1703,44,2023-10-23
5,2023-10-29,Sun,10,Away,D 1–1,Fulham,Brighton,N,DM,1,0,0,0,0,0,0,0,0,7,2,0,1,0.0,0.0,0.0,0,0,2,3,0,1,0,0,0,16,10,2,2,0,1,0,0,0.0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,3,4,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.2,1.0,9.4,2023-10-29 14:00:00+00:00,1,0,10,0,34970,0.0,1,690,2428,1738,44,2023-10-29
6,2023-11-04,Sat,11,Home,L 0–1,Fulham,Manchester Utd,N,DM,15,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,4,5,1,3,0,0,0,71,13,2,3,2,2,0,0,0.0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,6,0,0,11.0,4.0,0,0,0,0,3,0,0,3,0,0.5,0.2,1.2,2023-11-04 12:30:00+00:00,14,0,11,0,36560,0.0,1,1332,2789,1457,44,2023-11-04
7,2023-11-27,Mon,13,Home,W 3–2,Fulham,Wolves,N,DM,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0.0,0.1,1.0,2023-11-27 20:00:00+00:00,1,0,13,0,35056,0.0,1,-714,966,1680,44,2023-11-27
8,2023-12-06,Wed,15,Home,W 5–0,Fulham,Nott'ham Forest,N,DM,12,0,0,0,0,1,0,0,0,9,0,1,1,0.0,0.0,0.0,0,0,4,5,0,4,0,0,0,51,1,3,3,1,2,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,2,1,11.0,0.0,1,0,1,0,4,0,0,1,0,0.2,0.0,0.0,2023-12-06 19:30:00+00:00,11,0,15,0,34606,3.0,1,-293,755,1048,44,2023-12-06
9,2023-12-16,Sat,17,Away,L 0–3,Fulham,Newcastle Utd,N,DM,15,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,1,0,12,13,1,6,0,0,0,192,44,5,5,7,8,0,0,0.2,1,1,1,0,12,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,3,4,8,3,0,30.0,17.0,0,0,0,0,9,0,0,3,0,14.1,1.9,4.8,2023-12-16 15:00:00+00:00,14,0,17,0,32387,0.0,1,-1396,427,1823,44,2023-12-16
