,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Away,D 1–1,Liverpool,Chelsea,Y,CM,90,0,0,0,0,0,0,1,0,61,3,1,2,0.0,0.0,0.0,2,1,46,52,5,42,1,3,2,825,355,18,19,21,23,5,7,0.2,1,2,2,0,52,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,2,4,2,0,2,0,0,3,16,32,13,0,159.0,102.0,1,1,1,0,47,1,0,13,0,13.5,2.7,13.6,2023-08-13 15:30:00+00:00,90,0,1,0,993930,0.0,1,0,0,0,60,2023-08-13
1,2023-08-19,Sat,2,Home,W 3–1,Liverpool,Bournemouth,Y,CM,57,0,0,0,0,0,0,0,1,60,2,0,1,0.0,0.0,0.0,2,0,40,50,6,37,1,3,2,704,183,17,22,19,21,4,6,0.0,0,2,1,0,50,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,1,2,0,1,10,41,9,0,135.0,61.0,0,0,0,0,43,0,0,1,0,7.9,1.6,7.8,2023-08-19 14:00:00+00:00,57,0,2,0,1022382,0.0,-2,-57686,45356,103042,60,2023-08-19
2,2023-08-27,Sun,3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"CM,LM",76,0,0,0,0,0,0,0,0,36,2,4,4,0.0,0.0,0.0,1,0,23,27,1,17,2,0,0,310,75,17,19,4,5,2,3,0.0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,3,13,15,9,0,69.0,39.0,1,0,0,1,25,2,0,8,0,1.8,1.9,17.6,2023-08-27 15:30:00+00:00,76,0,3,0,607408,0.0,2,-417199,6672,423871,60,2023-08-27
3,2023-09-03,Sun,4,Home,W 3–0,Liverpool,Aston Villa,Y,CM,86,0,0,0,0,0,0,0,0,76,3,0,1,0.0,0.0,0.0,0,0,63,72,6,58,0,3,1,954,258,35,36,25,26,2,7,0.0,0,2,1,0,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,3,2,0,1,0,0,0,12,59,5,0,292.0,164.0,0,0,0,0,65,0,0,14,1,10.1,1.7,6.6,2023-09-03 13:00:00+00:00,86,0,4,0,536871,0.0,3,-88216,7783,95999,60,2023-09-03
4,2023-09-16,Sat,5,Away,W 3–1,Liverpool,Wolves,Y,CM,45,0,0,0,0,0,0,1,0,52,3,0,3,0.0,0.0,0.0,2,0,40,46,5,32,1,0,0,630,158,22,24,15,19,2,2,0.0,0,5,1,0,45,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,5,2,1,2,0,0,2,8,42,2,0,102.0,66.0,1,0,0,1,43,0,0,2,0,6.0,1.7,10.8,2023-09-16 11:30:00+00:00,45,0,5,0,488393,0.0,0,-58538,12267,70805,60,2023-09-16
5,2023-09-24,Sun,6,Home,W 3–1,Liverpool,West Ham,Y,CM,87,0,1,0,0,1,0,0,0,98,2,1,2,0.0,0.0,0.3,4,1,86,90,10,78,3,3,2,1277,349,44,45,37,37,3,5,0.4,2,6,1,0,88,2,2,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,1,14,68,19,0,327.0,178.0,1,0,1,2,79,0,1,24,0,34.2,6.3,27.4,2023-09-24 13:00:00+00:00,87,0,6,0,430767,1.0,6,-60636,5849,66485,59,2023-09-24
6,2023-09-30,Sat,7,Away,L 1–2,Liverpool,Tottenham,Y,CM,79,0,0,0,0,1,0,1,0,51,4,0,2,0.0,0.0,0.0,0,0,36,41,1,32,0,0,0,597,104,19,20,12,12,4,6,0.0,0,0,0,0,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,6,2,1,1,0,0,3,23,25,3,0,120.0,48.0,0,0,0,1,36,0,0,3,0,2.5,1.1,7.4,2023-09-30 16:30:00+00:00,79,0,7,0,425056,1.0,1,-9795,17154,26949,59,2023-09-30
7,2023-10-08,Sun,8,Away,D 2–2,Liverpool,Brighton,Y,CM,90,0,0,0,0,1,0,0,0,82,3,6,2,0.0,0.0,0.0,0,0,64,69,6,46,2,1,1,1039,270,26,29,34,35,3,3,0.0,0,6,1,0,67,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,3,1,0,2,1,0,2,19,54,11,1,149.0,65.0,2,0,1,2,56,1,0,16,0,3.0,2.2,15.4,2023-10-08 13:00:00+00:00,90,0,8,0,410873,4.0,2,-16224,12021,28245,59,2023-10-08
8,2023-10-21,Sat,9,Home,W 2–0,Liverpool,Everton,Y,CM,90,0,0,0,0,1,1,0,0,101,2,1,2,0.0,0.0,0.1,7,1,83,93,4,61,4,0,0,1316,316,36,41,35,36,5,8,0.1,3,13,1,0,93,0,0,1,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,2,6,4,0,2,0,0,0,13,55,34,0,342.0,195.0,5,0,0,2,88,0,0,18,1,42.9,7.0,20.4,2023-10-21 11:30:00+00:00,90,0,9,0,401917,7.0,3,-11767,12320,24087,59,2023-10-21
9,2023-10-29,Sun,10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,CM,90,0,0,0,0,1,0,1,0,101,2,1,2,0.0,0.0,0.0,4,0,69,85,17,56,0,1,1,1076,353,37,42,26,33,3,5,0.2,1,7,3,0,84,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,2,1,0,2,1,0,4,16,64,21,1,304.0,209.0,3,0,3,2,72,1,0,8,1,15.4,2.9,10.8,2023-10-29 14:00:00+00:00,90,0,10,0,384912,3.0,2,-17982,6071,24053,59,2023-10-29
10,2023-11-05,Sun,11,Away,D 1–1,Liverpool,Luton Town,Y,CM,90,0,0,0,0,0,0,1,0,96,1,0,2,0.0,0.0,0.0,3,0,75,88,11,68,0,0,0,1233,340,38,46,30,32,6,8,0.1,1,8,1,0,88,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,3,0,2,3,0,4,20,56,20,0,234.0,126.0,2,0,2,0,71,1,0,11,0,16.6,2.6,9.8,2023-11-05 16:30:00+00:00,90,0,11,0,374914,0.0,1,-11366,9529,20895,58,2023-11-05
11,2023-11-25,Sat,13,Away,D 1–1,Liverpool,Manchester City,Y,CM,84,0,0,0,0,1,0,0,0,56,2,2,3,0.0,0.0,0.0,0,0,43,46,3,29,0,0,0,736,218,20,21,19,19,3,3,0.0,0,1,0,0,44,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,6,5,0,3,0,0,2,15,33,8,0,139.0,41.0,0,0,0,2,34,0,0,11,0,4.2,1.1,5.8,2023-11-25 12:30:00+00:00,84,0,13,0,316098,1.0,2,-12590,2082,14672,58,2023-11-25
12,2023-12-03,Sun,14,Home,W 4–3,Liverpool,Fulham,Y,CM,64,1,0,0,0,1,1,0,0,47,2,1,2,0.0,0.0,0.0,1,0,33,38,4,19,1,1,0,462,157,18,20,12,13,1,1,0.0,0,3,0,0,37,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,1,0,2,1,0,3,8,31,8,0,122.0,64.0,1,0,2,2,23,0,2,32,0,2.9,5.1,41.2,2023-12-03 14:00:00+00:00,64,0,14,0,315310,7.0,9,-2086,3745,5831,58,2023-12-03
