,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-11-26,Sun,13,Away,W 3–0,Manchester Utd,Everton,Y,DM,71,0,0,0,0,0,0,0,0,57,1,2,1,0.0,0.0,0.0,0,0,38,46,3,36,0,3,2,659,159,19,22,16,19,3,5,0.0,0,2,0,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,5,31,20,6,1,210.0,117.0,0,0,3,1,43,2,0,15,1,4.3,2.4,17.2,2023-11-26 16:30:00+00:00,71,0,13,0,3471,2.0,3,88,396,308,44,2023-11-26
1,2023-12-02,Sat,14,Away,L 0–1,Manchester Utd,Newcastle Utd,Y,DM,79,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,1,0,35,38,2,30,0,0,0,477,130,23,25,9,10,1,1,0.0,0,2,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,13,18,12,0,88.0,25.0,1,0,1,1,37,0,0,13,0,4.0,1.2,7.6,2023-12-02 20:00:00+00:00,79,0,14,0,12445,0.0,2,8305,8840,535,44,2023-12-02
2,2023-12-17,Sun,17,Away,D 0–0,Manchester Utd,Liverpool,Y,DM,81,0,0,0,0,0,0,1,0,30,2,1,4,0.0,0.0,0.0,1,0,17,19,2,11,0,1,0,248,119,10,10,2,4,3,3,0.2,0,3,0,0,18,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,3,1,2,0,7,14,14,2,1,44.0,19.0,0,0,1,0,15,1,0,5,1,0.8,2.2,19.4,2023-12-17 16:30:00+00:00,81,0,17,0,14889,2.0,2,-1500,1393,2893,44,2023-12-17
3,2023-12-23,Sat,18,Away,L 0–2,Manchester Utd,West Ham,Y,DM,90,0,0,0,0,1,1,0,0,82,5,1,0,0.0,0.0,0.0,2,0,65,74,2,51,3,0,0,1103,168,26,29,35,40,2,3,0.0,1,3,0,0,74,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,2,0,2,3,1,0,0,2,1,3,18,57,8,2,217.0,93.0,1,1,2,0,63,2,0,13,0,17.6,4.7,18.4,2023-12-23 12:30:00+00:00,90,0,18,0,15177,11.0,2,44,1695,1651,44,2023-12-23
4,2023-12-26,Tue,19,Home,W 3–2,Manchester Utd,Aston Villa,Y,DM,80,0,0,0,0,0,0,0,0,50,2,1,0,0.0,0.0,0.0,1,1,35,41,5,27,0,0,0,579,103,15,17,20,21,0,2,0.0,0,1,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,3,0,3,15,26,9,0,104.0,60.0,1,0,0,0,32,0,0,11,0,2.5,1.3,10.4,2023-12-26 20:00:00+00:00,80,0,19,0,16613,0.0,2,1104,2277,1173,44,2023-12-26
5,2023-12-30,Sat,20,Away,L 1–2,Manchester Utd,Nott'ham Forest,Y,DM,45,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,9,11,0,3,0,3,0,70,13,5,6,0,0,0,1,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,7,5,9,0,11.0,0.0,0,0,0,0,12,0,0,0,0,1.6,1.2,10.8,2023-12-30 17:30:00+00:00,45,0,20,0,17422,0.0,1,655,2858,2203,44,2023-12-30
6,2024-01-14,Sun,21,Home,D 2–2,Manchester Utd,Tottenham,Y,DM,90,0,0,0,0,0,0,0,0,42,1,1,0,0.0,0.0,0.0,0,0,25,34,2,24,0,3,2,404,100,14,18,9,9,2,5,0.0,0,3,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,4,18,20,4,0,109.0,36.0,1,0,1,1,28,0,0,9,0,2.5,1.2,9.0,2024-01-14 16:30:00+00:00,90,0,21,0,16814,0.0,2,-875,3031,3906,44,2024-01-14
7,2024-02-01,Thu,22,Away,W 4–3,Manchester Utd,Wolves,Y,DM,90,1,0,0,0,2,1,0,0,48,3,2,1,0.1,0.1,0.0,4,3,30,35,0,35,2,5,2,366,78,20,22,9,10,0,0,0.0,0,0,0,0,34,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,1,0,0,3,0,1,2,1,1,0,1,0,2,0,2,15,24,11,2,153.0,88.0,0,2,1,3,34,0,3,36,0,2.9,7.6,51.6,2024-02-01 20:15:00+00:00,90,0,22,0,17979,21.0,10,612,2844,2232,44,2024-02-01
8,2024-02-04,Sun,23,Home,W 3–0,Manchester Utd,West Ham,Y,DM,63,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.0,1,0,25,30,1,21,0,2,1,341,87,10,12,10,11,1,3,0.0,0,1,0,0,30,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,10,20,4,0,128.0,60.0,0,0,0,1,25,1,0,9,1,1.4,0.7,5.6,2024-02-04 14:00:00+00:00,63,0,23,0,36489,0.0,3,17874,18949,1075,44,2024-02-04
9,2024-02-11,Sun,24,Away,W 2–1,Manchester Utd,Aston Villa,Y,DM,89,0,0,0,0,0,0,1,0,50,3,1,2,0.0,0.0,0.3,5,0,34,41,3,25,1,0,0,514,121,20,23,11,13,3,5,0.0,4,2,1,0,41,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,4,2,0,2,0,0,1,14,25,11,1,105.0,48.0,0,1,1,1,30,3,0,11,0,45.3,6.2,14.6,2024-02-11 16:30:00+00:00,90,0,24,0,50871,2.0,1,13524,17972,4448,44,2024-02-11
10,2024-02-18,Sun,25,Away,W 2–1,Manchester Utd,Luton Town,Y,DM,90,0,0,0,0,0,0,1,0,45,0,1,1,0.0,0.0,0.1,3,0,35,40,5,24,2,7,6,446,151,22,23,10,11,1,1,0.0,2,2,0,0,40,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,4,11,25,11,0,94.0,45.0,1,0,0,1,25,2,0,13,0,23.8,3.4,10.6,2024-02-18 16:30:00+00:00,90,0,25,0,69805,0.0,1,14610,21435,6825,44,2024-02-18
11,2024-02-24,Sat,26,Home,L 1–2,Manchester Utd,Fulham,Y,DM,79,0,0,0,0,2,0,0,0,41,1,1,1,0.1,0.1,0.0,1,0,27,31,4,31,0,1,0,392,79,14,14,12,14,1,2,0.4,0,0,1,0,31,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,1,0,2,7,19,16,0,144.0,65.0,4,0,1,1,35,0,0,10,0,11.6,1.9,5.8,2024-02-24 15:00:00+00:00,79,0,26,0,78069,2.0,2,9332,16368,7036,44,2024-02-24
12,2024-03-03,Sun,27,Away,L 1–3,Manchester Utd,Manchester City,Y,CM,81,0,0,0,0,0,0,0,0,27,3,1,2,0.0,0.0,0.0,0,0,14,18,3,13,2,0,0,207,70,9,12,4,4,1,2,0.0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,1,2,0,4,15,6,6,1,67.0,45.0,2,1,0,0,13,1,0,11,0,4.6,2.3,16.0,2024-03-03 15:30:00+00:00,81,0,27,0,73803,2.0,2,-2663,6190,8853,44,2024-03-03
13,2024-03-09,Sat,28,Home,W 2–0,Manchester Utd,Everton,Y,CM,78,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.0,2,0,20,25,1,19,0,0,0,249,73,15,18,3,3,1,1,0.1,0,0,0,0,25,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,10,14,6,2,114.0,60.0,0,0,1,3,24,2,0,5,1,3.5,1.1,3.6,2024-03-09 12:30:00+00:00,78,0,28,0,70979,4.0,3,-3177,4244,7421,44,2024-03-09
14,2024-03-30,Sat,30,Away,D 1–1,Manchester Utd,Brentford,Y,DM,79,0,0,0,0,0,0,0,0,54,2,1,1,0.0,0.0,0.0,0,0,37,42,3,31,0,3,1,458,143,24,27,9,10,1,1,0.0,0,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,3,0,1,2,0,2,9,33,13,0,136.0,63.0,1,0,0,0,34,0,0,11,1,4.5,1.5,10.6,2024-03-30 20:00:00+00:00,79,0,30,0,73339,0.0,3,5691,10562,4871,44,2024-03-30
15,2024-04-04,Thu,31,Away,L 3–4,Manchester Utd,Chelsea,Y,DM,90,0,0,0,0,1,1,0,0,47,3,3,1,0.0,0.0,0.0,4,0,23,32,1,29,1,1,0,329,117,14,16,4,6,3,5,0.0,2,2,1,1,32,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,1,0,1,13,22,13,1,112.0,56.0,1,0,2,1,28,3,0,12,0,26.1,6.0,24.4,2024-04-04 19:15:00+00:00,90,0,31,0,75220,9.0,2,1630,5637,4007,44,2024-04-04
16,2024-04-07,Sun,32,Home,D 2–2,Manchester Utd,Liverpool,Y,"DM,AM",83,1,0,0,0,1,1,0,0,32,5,1,2,0.1,0.1,0.0,0,0,14,18,2,22,2,3,2,187,34,8,10,4,4,0,0,0.0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,2,2,0,2,0,0,0,4,11,12,9,3,134.0,64.0,2,0,4,0,19,2,3,29,0,0.9,7.8,55.8,2024-04-07 14:30:00+00:00,84,0,32,0,72089,21.0,10,-3439,3030,6469,44,2024-04-07
17,2024-04-13,Sat,33,Away,D 2–2,Manchester Utd,Bournemouth,Y,DM,77,0,0,0,0,1,0,0,0,45,1,0,0,0.0,0.0,0.0,1,1,35,38,6,27,0,2,1,542,147,17,19,15,15,2,3,0.0,0,3,1,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,8,33,5,1,132.0,61.0,0,0,2,1,41,2,0,11,0,4.8,1.3,4.2,2024-04-13 16:30:00+00:00,77,0,33,0,95888,4.0,2,22337,25422,3085,44,2024-04-13
18,2024-04-24,Wed,29,Home,W 4–2,Manchester Utd,Sheffield Utd,Y,DM,89,0,1,0,0,1,0,0,0,54,1,0,0,0.1,0.1,0.0,3,2,40,44,4,38,1,5,3,431,139,30,31,4,6,1,1,0.3,1,6,1,0,43,1,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,0,0,0,7,37,11,5,197.0,77.0,0,0,4,1,41,3,0,28,0,16.0,5.7,23.8,2024-04-24 19:00:00+00:00,90,0,34,0,95561,17.0,5,570,10809,10239,44,2024-04-24
19,2024-04-27,Sat,35,Home,D 1–1,Manchester Utd,Burnley,Y,DM,64,0,0,0,0,1,0,0,0,35,1,1,0,0.0,0.0,0.0,4,0,27,29,2,28,0,4,2,325,74,15,16,7,7,1,1,0.0,1,2,0,0,28,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,2,9,15,11,1,98.0,31.0,1,0,1,4,26,0,0,3,1,14.6,2.4,5.8,2024-04-27 14:00:00+00:00,64,0,35,0,90852,4.0,3,-6163,4670,10833,44,2024-04-27
20,2024-05-06,Mon,36,Away,L 0–4,Manchester Utd,Crystal Palace,Y,"DM,AM",90,0,0,0,0,0,0,0,0,83,5,0,1,0.0,0.0,0.0,0,0,64,69,6,45,1,2,1,993,295,41,42,21,23,2,3,0.3,0,5,3,0,69,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,3,5,2,0,1,0,0,2,23,47,13,0,243.0,113.0,0,0,1,0,57,2,0,15,0,9.3,2.5,15.8,2024-05-06 19:00:00+00:00,90,0,36,0,90840,0.0,2,-682,5198,5880,44,2024-05-06
21,2024-05-12,Sun,37,Home,L 0–1,Manchester Utd,Arsenal,Y,DM,90,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.1,4,0,50,53,4,45,4,7,4,593,121,33,34,13,14,1,1,0.0,2,3,0,0,53,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,1,0,1,8,33,21,1,237.0,87.0,2,0,1,3,45,2,0,14,0,27.3,4.4,14.4,2024-05-12 15:30:00+00:00,90,0,37,0,95948,2.0,2,3732,11363,7631,44,2024-05-12
22,2024-05-15,Wed,34,Home,W 3–2,Manchester Utd,Newcastle Utd,Y,DM,82,1,0,0,0,1,1,0,0,37,2,3,2,0.5,0.5,0.0,2,1,21,27,2,23,4,2,1,235,48,15,18,3,4,0,0,0.0,0,1,1,0,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,1,1,1,1,0,4,7,16,16,6,122.0,64.0,2,1,1,0,21,4,2,30,0,4.1,7.9,47.4,2024-05-15 19:00:00+00:00,82,0,37,0,95948,27.0,9,3732,11363,7631,44,2024-05-15
23,2024-05-19,Sun,38,Away,W 2–0,Manchester Utd,Brighton,Y,DM,74,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.1,1,0,28,33,1,29,2,4,3,371,85,20,22,7,8,1,2,0.0,2,2,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,9,27,9,2,153.0,70.0,2,0,1,1,39,4,0,13,1,22.7,3.7,10.6,2024-05-19 15:00:00+00:00,74,0,38,0,100711,4.0,3,4696,9987,5291,44,2024-05-19
24,2023-02-19,Sun,24,Home,W 3–0,Manchester Utd,Leicester City,N,DM,11,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,2,0,7,8,1,5,2,1,0,83,31,5,6,2,2,0,0,0.1,0,1,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,5,3,64.0,48.0,0,0,0,0,6,1,0,2,0,0.8,1.3,5.8,2023-02-19 14:00:00+00:00,10,0,24,0,418,6.0,1,4,17,13,45,2023-02-19
