,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-02-06,Sat,23,Home,D 0–0,Fulham,West Ham,N,FW,12,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,2,0,3,4,2,3,0,0,0,33,3,2,3,1,1,0,0,0.0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5.0,2.0,0,0,0,0,5,3,0,2,0,0.8,0.3,0.0,2021-02-06 17:30:00+00:00,11,0,23,0,409,4.0,1,390,418,28,55,2021-02-06
1,2021-02-14,Sun,24,Away,W 2–0,Fulham,Everton,Y,FW,72,2,0,0,0,3,2,0,0,30,1,2,1,1.8,1.8,0.0,1,0,17,18,3,17,1,1,0,278,27,8,9,7,7,2,2,0.0,0,2,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,10,19,4,70.0,29.0,1,0,4,3,21,3,3,50,1,4.8,14.6,66.8,2021-02-14 19:00:00+00:00,72,0,24,0,1504,74.0,13,903,1141,238,55,2021-02-14
2,2021-02-17,Wed,17,Away,D 1–1,Fulham,Burnley,Y,FW,90,0,0,0,0,2,1,0,0,26,0,1,0,0.1,0.1,0.1,2,0,15,18,1,17,0,3,2,196,21,7,8,6,7,0,1,0.0,1,0,1,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,9,1,88.0,17.0,2,0,3,0,20,2,0,7,0,11.3,2.8,5.4,2021-02-17 18:00:00+00:00,90,0,24,0,1504,11.0,2,903,1141,238,55,2021-02-17
3,2021-02-20,Sat,25,Home,W 1–0,Fulham,Sheffield Utd,Y,FW,85,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,2,0,12,13,0,10,0,0,0,133,13,9,9,1,1,0,0,0.0,1,0,0,0,12,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,4,11,2,18.0,3.0,0,0,2,1,13,5,0,4,1,12.4,2.0,1.4,2021-02-20 20:00:00+00:00,85,0,25,0,73622,6.0,2,68686,73806,5120,55,2021-02-20
4,2021-02-28,Sun,26,Away,D 0–0,Fulham,Crystal Palace,Y,FW,90,0,0,0,0,4,1,0,0,32,1,0,0,0.5,0.5,0.0,2,0,19,25,0,14,1,4,3,238,3,13,15,2,2,2,2,0.0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,5,14,14,4,82.0,21.0,0,0,1,3,26,3,0,2,1,4.3,3.5,1.2,2021-02-28 12:00:00+00:00,90,0,26,0,109950,29.0,2,34109,57584,23475,55,2021-02-28
5,2021-03-04,Thu,33,Home,L 0–1,Fulham,Tottenham,Y,"FW,RW",90,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.1,1,0,15,17,0,16,0,1,1,251,10,4,5,9,9,1,1,0.2,1,0,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,7,3,43.0,6.0,0,1,3,2,20,2,0,6,0,14.6,2.8,5.4,2021-03-04 18:00:00+00:00,90,0,26,0,109950,8.0,2,34109,57584,23475,55,2021-03-04
6,2021-03-07,Sun,27,Away,W 1–0,Fulham,Liverpool,Y,FW,66,0,0,0,0,4,1,0,0,25,0,0,0,0.9,0.9,0.0,2,0,13,16,1,15,0,0,0,146,16,7,7,2,3,1,2,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,3,44.0,18.0,0,0,3,0,20,4,0,1,1,2.2,6.0,0.0,2021-03-07 14:00:00+00:00,66,0,27,0,99917,59.0,2,-8410,9690,18100,55,2021-03-07
7,2021-03-19,Fri,29,Home,L 1–2,Fulham,Leeds United,Y,FW,45,0,0,0,0,1,1,0,0,16,1,0,0,0.1,0.1,0.0,0,0,8,10,0,8,1,0,0,98,24,5,7,3,3,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,8,6,3,47.0,14.0,1,0,4,0,12,1,0,2,0,0.8,2.6,4.6,2021-03-19 20:00:00+00:00,45,0,29,0,120314,21.0,1,14567,23793,9226,55,2021-03-19
8,2021-04-04,Sun,30,Away,L 1–3,Fulham,Aston Villa,N,AM,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.1,1,0,6,6,0,3,0,0,0,52,2,6,6,0,0,0,0,0.1,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,4,1,1,13.0,0.0,0,0,0,0,5,0,0,3,0,12.4,1.7,3.0,2021-04-04 15:30:00+00:00,7,0,30,0,83780,2.0,1,-27456,1502,28958,55,2021-04-04
9,2021-04-09,Fri,31,Home,L 0–1,Fulham,Wolves,N,"FW,AM",17,0,0,0,0,2,1,0,0,6,0,0,0,0.2,0.2,0.0,1,0,4,4,0,1,0,0,0,41,7,3,3,0,0,0,0,0.0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3.0,3.0,0,0,0,0,5,0,0,4,0,10.5,5.1,5.2,2021-04-09 19:00:00+00:00,16,0,31,0,66972,35.0,1,-16935,1209,18144,54,2021-04-09
