,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–2,Nott'ham Forest,Arsenal,Y,CM,89,0,0,0,0,0,0,1,0,21,1,1,1,0.0,0.0,0.0,1,0,10,13,1,13,0,2,0,170,68,5,7,3,3,1,1,0.0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,3,10,8,3,0,54.0,18.0,0,0,1,3,11,0,0,-2,0,10.8,1.7,6.0,2023-08-12 12:00:00+00:00,89,0,1,0,1930,0.0,1,0,0,0,50,2023-08-12
1,2023-08-18,Fri,2,Home,W 2–1,Nott'ham Forest,Sheffield Utd,Y,CM,68,0,0,0,0,0,0,0,0,34,4,2,1,0.0,0.0,0.0,1,0,19,24,2,15,0,0,0,306,45,10,12,7,8,2,3,0.0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,3,0,0,1,0,0,1,8,20,6,0,70.0,21.0,1,0,0,1,19,0,0,5,0,0.9,1.0,9.0,2023-08-18 18:45:00+00:00,68,0,2,0,2314,0.0,2,-164,164,328,50,2023-08-18
2,2023-09-02,Sat,4,Away,W 1–0,Nott'ham Forest,Chelsea,Y,CM,71,0,0,0,0,1,0,0,0,27,1,2,1,0.0,0.0,0.0,2,1,14,18,2,8,0,2,0,175,81,8,9,5,6,0,1,0.0,0,2,0,0,17,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,2,10,14,3,0,28.0,15.0,0,0,0,1,13,2,0,2,1,0.6,0.3,1.4,2023-09-02 14:00:00+00:00,71,0,4,0,1863,1.0,3,-467,17,484,50,2023-09-02
3,2023-09-18,Mon,5,Home,D 1–1,Nott'ham Forest,Burnley,Y,DM,70,0,0,0,0,2,0,1,0,36,1,0,1,0.1,0.1,0.0,3,0,24,28,1,18,0,0,0,352,44,13,14,11,13,0,1,0.0,1,0,0,0,28,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,2,9,17,12,1,93.0,17.0,1,0,3,0,22,1,0,3,0,11.9,2.2,5.2,2023-09-18 18:45:00+00:00,70,0,5,0,2208,5.0,1,65,244,179,50,2023-09-18
4,2023-09-23,Sat,6,Away,L 0–2,Nott'ham Forest,Manchester City,Y,"CM,DM",90,0,0,0,0,1,0,1,0,46,2,2,0,0.1,0.1,0.0,0,0,32,38,2,30,0,0,0,482,131,19,21,11,13,2,2,0.0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,0,0,0,0,0,9,26,12,1,81.0,37.0,0,0,2,0,34,1,0,7,0,3.6,1.2,4.8,2023-09-23 14:00:00+00:00,90,0,6,0,2250,4.0,1,-17,123,140,50,2023-09-23
5,2023-10-01,Sun,7,Home,D 1–1,Nott'ham Forest,Brentford,Y,"CM,DM",90,0,0,0,0,0,0,0,0,57,1,3,0,0.0,0.0,0.0,0,0,47,48,2,34,0,2,2,739,160,23,23,23,23,1,1,0.0,0,3,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,15,38,5,0,125.0,26.0,0,0,1,0,42,0,0,18,0,3.3,1.4,10.6,2023-10-01 13:00:00+00:00,90,0,7,0,2218,0.0,2,-59,114,173,50,2023-10-01
6,2023-10-07,Sat,8,Away,D 0–0,Nott'ham Forest,Crystal Palace,Y,CM,82,0,0,0,0,2,0,0,0,48,2,1,0,0.1,0.1,0.0,2,0,39,40,3,27,1,1,0,550,131,24,24,12,12,2,2,0.0,1,2,0,0,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,0,1,11,31,7,2,122.0,56.0,1,0,0,2,37,0,0,14,1,13.3,2.6,5.0,2023-10-07 16:30:00+00:00,82,0,8,0,2314,8.0,3,2,136,134,50,2023-10-07
7,2023-10-21,Sat,9,Home,D 2–2,Nott'ham Forest,Luton Town,Y,CM,90,0,0,0,0,0,0,0,0,67,0,1,1,0.0,0.0,0.1,4,0,47,58,5,39,2,4,2,638,206,23,26,17,23,2,4,0.0,1,6,0,0,57,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,1,16,45,7,0,306.0,155.0,1,0,3,0,48,0,0,13,0,15.8,2.6,10.4,2023-10-21 14:00:00+00:00,90,0,9,0,2320,0.0,2,-42,135,177,50,2023-10-21
8,2023-10-29,Sun,10,Away,L 0–3,Nott'ham Forest,Liverpool,Y,CM,82,0,0,0,0,0,0,1,0,25,1,0,1,0.0,0.0,0.0,0,0,14,18,0,14,0,1,1,150,27,12,15,2,2,0,1,0.0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,2,0,1,14,9,2,0,91.0,38.0,0,0,0,2,15,0,0,5,0,0.6,0.2,1.6,2023-10-29 14:00:00+00:00,82,0,10,0,2285,0.0,1,-63,75,138,50,2023-10-29
9,2023-11-05,Sun,11,Home,W 2–0,Nott'ham Forest,Aston Villa,Y,CM,90,1,0,0,0,1,1,0,0,30,1,1,1,0.0,0.0,0.0,0,0,20,21,0,13,0,1,1,326,88,9,9,9,9,2,3,0.0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,0,4,0,5,16,12,3,0,43.0,22.0,0,0,0,2,17,0,0,29,1,0.6,5.6,48.8,2023-11-05 14:00:00+00:00,90,0,11,0,2329,7.0,8,-11,93,104,50,2023-11-05
