,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,N,DM,22,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,14,16,1,9,1,0,0,209,63,8,9,5,6,1,1,0.0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,10,2,0,57.0,29.0,2,0,0,0,11,0,0,4,0,1.7,0.8,6.6,2021-08-14 11:30:00+00:00,21,0,1,0,14969,0.0,1,0,0,0,45,2021-08-14
1,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,DM,85,0,0,0,0,1,1,0,0,85,1,3,1,0.1,0.1,0.0,0,0,54,71,3,42,0,2,2,866,339,26,33,23,28,3,4,0.0,0,6,0,0,68,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,20,59,7,2,290.0,134.0,2,0,2,3,52,1,0,12,0,2.6,3.6,14.4,2021-08-22 13:00:00+00:00,85,0,2,0,18966,19.0,2,-641,2447,3088,45,2021-08-22
2,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,DM,90,0,0,0,0,2,0,0,0,118,3,0,1,0.0,0.0,0.1,4,0,98,107,17,79,11,1,0,1657,501,46,49,39,41,10,11,0.1,2,14,0,0,106,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,3,2,0,1,0,1,4,13,66,40,0,549.0,439.0,9,0,2,0,96,1,0,15,0,31.0,5.5,14.6,2021-09-11 14:00:00+00:00,90,0,4,0,21968,9.0,2,-1524,4325,5849,45,2021-09-11
3,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,N,DM,3,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,1,7,8,2,5,0,1,1,104,44,3,3,4,5,0,0,0.0,1,1,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,30.0,22.0,1,0,0,0,7,0,0,14,0,10.8,3.0,19.2,2021-09-19 13:00:00+00:00,2,0,5,0,27782,0.0,4,3462,8132,4670,45,2021-09-19
4,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,DM,79,0,0,0,0,1,0,0,0,55,2,2,1,0.0,0.0,0.0,4,0,45,47,5,31,0,0,0,773,227,24,24,15,15,6,6,0.0,1,7,0,0,47,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,1,1,0,0,0,2,13,31,11,0,136.0,82.0,1,0,1,0,37,0,0,13,0,15.4,2.9,12.6,2021-10-16 14:00:00+00:00,79,0,8,0,29294,1.0,2,-856,2773,3629,45,2021-10-16
5,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,N,CM,15,0,1,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.4,2,2,8,8,2,5,0,0,0,97,53,3,3,4,4,0,0,0.2,1,1,0,0,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,6,0,0,18.0,5.0,0,0,0,1,6,0,0,15,0,13.3,3.4,20.8,2021-10-30 16:30:00+00:00,14,0,10,0,28033,0.0,4,-1844,1360,3204,45,2021-10-30
6,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,Y,"CM,DM",90,0,0,0,0,1,0,0,0,96,1,0,4,0.0,0.0,0.0,1,0,71,86,3,52,2,2,0,1236,404,39,45,23,27,9,13,0.0,0,3,0,0,81,4,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,3,43,50,3,1,317.0,219.0,0,0,1,1,69,2,0,8,0,1.0,1.8,12.6,2021-11-20 15:00:00+00:00,90,0,12,0,28178,4.0,2,-985,1151,2136,45,2021-11-20
7,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,Y,CM,90,0,0,0,0,0,0,0,0,46,4,0,0,0.0,0.0,0.0,0,0,28,37,1,22,1,2,2,467,193,11,14,17,20,0,2,0.0,0,4,0,0,32,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,3,4,1,0,0,1,0,5,21,26,0,0,144.0,70.0,0,0,3,0,25,0,0,16,0,0.6,1.3,12.8,2021-11-28 16:30:00+00:00,90,0,13,0,28361,0.0,2,-112,1297,1409,45,2021-11-28
8,2021-12-27,Mon,19,Away,D 1–1,Manchester Utd,Newcastle Utd,N,DM,13,0,0,0,0,0,0,0,0,18,1,3,0,0.0,0.0,0.0,0,0,9,12,1,12,0,0,0,140,30,5,5,4,5,0,1,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,2,7,10,2,0,92.0,56.0,0,0,0,0,10,0,0,5,0,0.7,0.8,7.6,2021-12-27 20:00:00+00:00,12,0,19,0,25943,0.0,1,-384,606,990,44,2021-12-27
9,2021-12-30,Thu,20,Home,W 3–1,Manchester Utd,Burnley,Y,DM,90,0,0,0,0,0,0,0,0,62,0,0,0,0.0,0.0,0.0,2,0,51,57,6,40,0,0,0,811,231,27,31,23,23,1,2,0.0,1,4,0,0,54,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,39,6,0,197.0,127.0,1,0,0,2,51,1,0,9,0,12.3,1.9,6.8,2021-12-30 20:15:00+00:00,90,0,20,0,25589,0.0,2,100,535,435,44,2021-12-30
