,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Home,D 2–2,Brentford,Tottenham,Y,FW,90,1,0,1,1,2,1,0,0,41,0,1,0,1.4,0.6,0.0,1,1,22,33,6,25,1,1,0,312,100,12,14,8,13,1,3,0.0,0,1,2,0,29,4,1,0,0,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,18,19,6,77.0,38.0,1,0,2,3,32,7,0,14,0,6.0,8.3,33.4,2023-08-13 13:00:00+00:00,90,0,1,0,717486,44.0,7,0,0,0,65,2023-08-13
1,2023-08-19,Sat,2,Away,W 3–0,Brentford,Fulham,Y,"RW,FW",90,2,0,1,1,2,2,0,0,35,1,0,1,1.9,1.1,0.1,2,0,20,28,2,23,2,0,0,296,65,15,17,2,5,3,4,0.2,1,1,1,0,26,2,1,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,7,11,18,5,125.0,36.0,0,2,1,2,24,8,3,43,1,16.1,16.3,75.8,2023-08-19 14:00:00+00:00,90,0,2,0,1037007,71.0,16,230616,257141,26525,65,2023-08-19
2,2023-08-26,Sat,3,Home,D 1–1,Brentford,Crystal Palace,Y,RW,90,0,0,0,0,1,0,0,0,54,1,0,0,0.0,0.0,0.2,5,0,29,45,1,30,3,2,0,430,152,21,23,3,10,5,10,0.3,2,0,0,0,35,9,3,0,0,9,0,6,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,2,0,2,6,18,30,4,145.0,77.0,3,1,2,1,37,11,0,10,0,41.0,6.3,11.0,2023-08-26 14:00:00+00:00,90,0,3,0,2276776,11.0,2,1118529,1150369,31840,67,2023-08-26
3,2023-09-02,Sat,4,Home,D 2–2,Brentford,Bournemouth,Y,"RW,RM",90,1,0,0,0,2,1,0,0,45,1,0,0,0.8,0.8,0.3,4,0,27,38,4,26,9,4,0,591,215,15,16,5,11,7,8,0.4,2,0,3,1,33,5,2,0,1,10,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,2,18,26,8,188.0,110.0,1,5,1,2,38,9,1,22,0,45.5,12.2,43.8,2023-09-02 14:00:00+00:00,90,0,4,0,2513023,33.0,8,204760,321449,116689,68,2023-09-02
4,2023-09-16,Sat,5,Away,L 0–1,Brentford,Newcastle Utd,Y,"FW,RB",90,0,0,0,0,1,0,0,0,37,1,0,0,0.0,0.0,0.0,1,0,16,26,3,25,0,4,0,194,34,12,20,4,5,0,0,0.0,0,2,1,0,26,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,6,6,25,5,130.0,41.0,1,0,4,0,24,10,0,4,0,4.3,2.2,2.2,2023-09-16 16:30:00+00:00,90,0,5,0,2723497,15.0,2,174081,327361,153280,68,2023-09-16
5,2023-09-23,Sat,6,Home,L 1–3,Brentford,Everton,Y,"RW,WB",90,0,0,0,0,3,1,1,0,64,4,0,3,0.2,0.2,0.0,4,1,32,44,4,31,1,4,2,445,141,16,24,12,14,1,1,0.2,1,1,0,0,41,3,2,0,0,4,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,2,2,0,1,1,0,0,3,2,0,5,10,31,24,2,185.0,43.0,4,0,5,1,43,12,0,5,0,20.8,5.4,11.4,2023-09-23 16:30:00+00:00,90,0,6,0,3141164,22.0,1,387961,456822,68861,69,2023-09-23
6,2023-10-01,Sun,7,Away,D 1–1,Brentford,Nott'ham Forest,Y,"RW,WB",90,0,0,0,0,2,0,0,0,73,0,0,1,0.2,0.2,0.3,7,0,53,65,6,48,3,4,3,817,225,30,33,18,22,4,7,0.2,4,3,3,0,51,14,2,1,0,8,5,7,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,24,44,5,280.0,111.0,0,2,1,2,46,9,0,15,0,62.3,9.3,13.6,2023-10-01 13:00:00+00:00,90,0,7,0,2809604,17.0,2,-309512,88441,397953,69,2023-10-01
7,2023-10-07,Sat,8,Away,L 1–2,Brentford,Manchester Utd,Y,FW,90,0,0,0,0,2,0,0,0,37,1,2,1,0.1,0.1,0.2,4,0,21,26,4,16,4,1,0,350,126,12,14,5,5,3,5,0.3,2,2,1,0,21,5,1,0,0,3,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,6,15,16,3,159.0,100.0,2,1,3,0,22,3,0,8,0,32.5,4.6,4.6,2023-10-07 14:00:00+00:00,90,0,8,0,2236287,9.0,2,-564505,39336,603841,68,2023-10-07
8,2023-10-21,Sat,9,Home,W 3–0,Brentford,Burnley,Y,RW,90,1,1,0,0,6,4,0,0,61,1,0,3,0.4,0.4,1.0,7,1,30,42,9,34,5,5,2,491,202,15,16,11,16,3,6,1.2,3,2,4,0,36,5,1,1,0,5,2,2,1,5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,3,0,0,0,1,23,38,11,258.0,135.0,3,3,4,2,39,13,3,42,1,42.9,17.8,69.4,2023-10-21 14:00:00+00:00,90,0,9,0,2064585,66.0,14,-210596,64151,274747,67,2023-10-21
9,2023-10-28,Sat,10,Away,W 2–0,Brentford,Chelsea,Y,FW,90,1,1,0,0,4,2,0,0,36,1,0,2,1.2,1.2,0.2,2,1,13,24,2,18,3,3,1,219,99,7,10,5,10,1,2,0.3,1,0,2,1,22,2,1,2,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,6,16,15,4,96.0,73.0,1,1,0,0,26,8,2,34,1,25.4,12.4,55.6,2023-10-28 11:30:00+00:00,90,0,10,0,1881394,43.0,13,-186316,90874,277190,67,2023-10-28
