,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2017-08-12,Sat,1,Home,W 1–0,West Brom,Bournemouth,Y,LM,90,0,0,0,0,2,0,0,0,30,7,0,1,0.1,0.1,0.0,2,0,13,18,1,16,2,1,0,262,68,4,5,5,5,2,4,0.1,2,1,2,1,16,1,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,1,1,0,1,0,2,0,3,8,10,12,1,75.0,41.0,3,1,0,2,13,5,13,0,0,0,13,1,2,11,25.9,0,0,0,0,2,5.2,430,21.4,2,2017-08-12 14:00:00+00:00,12 Aug 15:00,0,0,90,1,1,0,0,4,1,0,5761,3,5,2,5.0,3,0,0,0,50,0,2017-08-12
1,2017-08-19,Sat,2,Away,W 1–0,West Brom,Burnley,Y,LM,62,0,0,0,0,1,0,0,0,19,1,1,2,0.0,0.0,0.0,0,0,9,11,0,10,1,1,1,97,0,6,7,1,1,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,1,0,0,4,9,7,1,58.0,17.0,1,1,2,1,11,2,11,0,0,0,5,1,1,8,2.1,1,0,0,0,2,2.2,941,2.2,0,2017-08-19 14:00:00+00:00,19 Aug 15:00,0,0,62,0,0,0,0,3,2,0,7881,1,0,0,18.0,3,549,1033,484,50,0,2017-08-19
2,2017-08-27,Sun,3,Home,D 1–1,West Brom,Stoke City,N,RW,17,0,0,0,0,2,0,0,0,8,0,0,0,0.1,0.1,0.1,3,0,4,5,0,6,1,0,0,46,12,3,3,1,1,0,1,0.1,1,0,1,1,5,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,2,37.0,25.0,1,0,1,1,8,3,3,0,0,0,2,0,0,3,14.6,0,0,0,0,2,3.6,1457,0.0,1,2017-08-27 12:30:00+00:00,27 Aug 13:30,0,0,16,0,1,0,0,0,3,0,9466,0,0,1,21.0,1,911,1787,876,50,0,2017-08-27
3,2017-09-16,Sat,5,Home,D 0–0,West Brom,West Ham,N,RW,15,0,0,0,0,0,0,1,0,10,0,2,0,0.0,0.0,0.1,1,0,3,7,0,7,1,1,1,79,44,1,2,0,0,2,5,0.1,1,0,2,2,7,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,3,0,54.0,23.0,0,0,0,0,6,1,4,0,0,0,4,0,2,1,18.0,1,0,0,0,1,2.5,2532,7.0,1,2017-09-16 14:00:00+00:00,16 Sep 15:00,0,0,14,1,2,0,0,3,5,0,8058,0,0,0,0.0,0,-1114,91,1205,50,0,2017-09-16
4,2017-09-30,Sat,7,Home,D 2–2,West Brom,Watford,N,LW,33,0,0,0,0,2,1,1,0,12,0,0,0,0.1,0.1,0.0,0,0,4,9,0,10,2,1,0,51,0,3,3,1,4,0,2,0.0,0,0,0,0,6,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,3,6,2,87.0,43.0,0,1,0,2,9,3,5,0,0,0,-4,0,0,4,0.0,0,0,0,0,1,2.8,3628,1.0,0,2017-09-30 14:00:00+00:00,30 Sep 15:00,0,0,32,0,0,0,0,2,7,0,6802,3,0,0,27.0,0,-477,128,605,50,0,2017-09-30
5,2017-10-16,Mon,8,Away,D 1–1,West Brom,Leicester City,N,RM,7,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,2,0,7,1,2,1,33,2,0,0,2,2,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,1,58.0,16.0,0,1,0,2,4,3,2,0,0,0,3,0,1,2,0.3,2,0,0,0,0,2.2,4182,4.0,0,2017-10-16 19:00:00+00:00,16 Oct 20:00,0,0,6,0,0,0,0,3,8,0,6900,3,0,0,18.0,1,42,500,458,49,0,2017-10-16
6,2017-10-28,Sat,10,Home,L 2–3,West Brom,Manchester City,N,DM,10,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,3,6,0,5,0,0,0,53,12,1,2,2,2,0,1,0.0,0,0,0,0,3,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,4,2,0,40.0,3.0,1,0,1,1,6,0,3,0,0,0,0,0,0,2,0.1,0,0,0,0,2,0.0,5298,0.0,0,2017-10-28 14:00:00+00:00,28 Oct 15:00,0,0,9,0,0,0,0,0,10,0,6495,1,0,0,0.0,1,-373,105,478,49,0,2017-10-28
7,2017-11-04,Sat,11,Away,L 0–1,West Brom,Huddersfield,N,LM,32,0,0,0,0,1,1,1,0,21,1,0,0,0.0,0.0,0.0,2,0,10,16,0,11,1,1,1,196,36,4,5,3,4,3,6,0.0,1,0,1,1,14,2,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,6,13,1,105.0,28.0,2,0,1,0,13,4,11,0,0,0,3,0,0,9,15.5,1,0,0,0,1,4.1,5861,8.6,1,2017-11-04 15:00:00+00:00,04 Nov 15:00,0,0,31,0,1,0,0,1,11,0,6277,1,1,0,17.0,0,-238,56,294,49,0,2017-11-04
8,2017-11-18,Sat,12,Home,L 0–4,West Brom,Chelsea,N,LW,7,0,0,0,0,1,0,0,0,5,0,0,0,0.5,0.5,0.0,1,0,2,3,0,4,1,1,1,18,14,2,2,0,1,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,59.0,29.0,1,1,0,1,3,1,2,0,1,0,-1,0,0,2,0.3,1,0,0,0,0,0.4,6427,0.0,0,2017-11-18 15:00:00+00:00,18 Nov 15:00,0,0,6,0,0,0,0,2,12,0,6036,1,0,1,4.0,1,-275,47,322,49,0,2017-11-18
9,2017-11-25,Sat,13,Away,D 1–1,West Brom,Tottenham,N,CM,24,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,5,0,5,0,1,1,10,1,1,1,0,2,0,2,0.0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,1,0,13.0,6.0,0,0,1,1,5,0,4,0,0,0,3,0,0,1,0.1,1,0,0,0,0,0.1,6996,1.0,0,2017-11-25 15:00:00+00:00,25 Nov 15:00,0,0,23,0,0,0,0,0,13,0,5892,1,0,0,0.0,1,-161,66,227,48,0,2017-11-25
