,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-02-05,Sun,22,Away,L 0–1,Leeds United,Nott'ham Forest,N,DM,34,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,0,0,22,29,6,18,0,0,0,289,56,14,17,7,10,0,1,0.0,0,2,0,0,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,8,18,6,0,49.0,23.0,0,0,0,2,21,0,0,1,0,3.5,0.6,2.4,2023-02-05 14:00:00+00:00,33,0,22,0,5613,0.0,1,5174,5517,343,50,2023-02-05
1,2023-02-08,Wed,8,Away,D 2–2,Leeds United,Manchester Utd,Y,DM,89,0,0,0,0,0,0,1,0,53,3,3,3,0.0,0.0,0.0,1,0,20,31,4,14,0,0,0,314,70,12,19,6,7,1,2,0.0,0,2,1,0,30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,2,0,3,7,0,7,17,26,11,0,55.0,29.0,1,0,2,2,23,2,0,4,0,2.3,2.0,17.2,2023-02-08 20:00:00+00:00,89,0,22,0,5613,0.0,1,5174,5517,343,50,2023-02-08
2,2023-02-12,Sun,23,Home,L 0–2,Leeds United,Manchester Utd,Y,DM,85,0,0,0,0,1,0,1,0,31,2,1,3,0.2,0.2,0.1,1,0,18,22,3,17,0,1,1,240,68,11,14,5,5,1,1,0.0,1,2,1,0,22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,3,0,0,1,2,19,10,1,83.0,15.0,1,0,0,3,16,0,0,3,0,14.5,2.7,5.8,2023-02-12 14:00:00+00:00,85,0,23,0,5018,7.0,1,-392,1043,1435,50,2023-02-12
3,2023-02-18,Sat,24,Away,L 0–1,Leeds United,Everton,Y,DM,77,0,0,0,0,0,0,1,0,36,0,1,1,0.0,0.0,0.0,2,0,23,28,3,19,2,2,2,447,117,9,12,10,11,3,4,0.0,1,2,1,0,28,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,11,17,8,1,94.0,48.0,0,0,1,1,24,4,0,6,0,11.7,2.3,9.2,2023-02-18 15:00:00+00:00,77,0,24,0,4691,2.0,1,-420,481,901,50,2023-02-18
4,2023-02-25,Sat,25,Home,W 1–0,Leeds United,Southampton,Y,"DM,RM",90,0,0,0,0,1,0,0,0,80,3,0,2,0.1,0.1,0.1,4,0,62,70,11,50,2,1,0,934,345,30,33,18,21,5,7,0.1,2,5,4,1,66,4,2,0,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,2,0,0,0,13,41,27,1,155.0,53.0,2,0,2,0,56,4,0,17,1,30.4,4.9,14.4,2023-02-25 15:00:00+00:00,90,0,25,0,4624,4.0,3,-154,606,760,49,2023-02-25
5,2023-03-04,Sat,26,Away,L 0–1,Leeds United,Chelsea,Y,DM,90,0,0,0,0,1,0,0,0,72,1,0,1,0.0,0.0,0.0,0,0,54,65,8,50,2,2,2,975,380,29,30,17,22,7,9,0.0,0,5,1,0,61,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,1,1,0,2,21,43,11,1,289.0,121.0,4,0,3,4,57,1,0,11,0,6.9,1.9,8.2,2023-03-04 15:00:00+00:00,90,0,26,0,4216,4.0,2,-482,235,717,49,2023-03-04
6,2023-03-11,Sat,27,Home,D 2–2,Leeds United,Brighton,N,DM,25,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,6,10,1,6,0,0,0,62,26,5,7,1,1,0,1,0.0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,2,7,0,32.0,13.0,0,0,0,0,5,1,0,5,0,1.3,0.8,6.6,2023-03-11 15:00:00+00:00,24,0,27,0,3732,0.0,1,-537,230,767,48,2023-03-11
7,2023-03-18,Sat,28,Away,W 4–2,Leeds United,Wolves,Y,"DM,CM",90,0,0,0,0,2,0,1,0,34,0,3,1,0.1,0.1,0.0,1,0,19,24,2,18,2,1,1,287,89,13,15,3,4,3,3,0.0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,14,12,9,2,111.0,56.0,2,0,1,2,22,2,0,4,0,2.3,2.1,9.4,2023-03-18 15:00:00+00:00,90,0,28,0,3618,9.0,1,-181,214,395,48,2023-03-18
8,2023-04-01,Sat,29,Away,L 1–4,Leeds United,Arsenal,N,LM,26,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,0,2,0,0,0,8,9,1,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,11.0,0.0,0,0,0,1,2,0,0,1,0,0.0,0.0,0.0,2023-04-01 14:00:00+00:00,25,0,29,0,3393,0.0,1,-255,184,439,47,2023-04-01
9,2023-04-04,Tue,7,Home,W 2–1,Leeds United,Nott'ham Forest,Y,DM,90,0,0,0,0,1,1,0,0,71,2,0,1,0.0,0.0,0.1,3,0,49,61,14,36,0,2,2,943,337,15,18,24,26,8,12,0.1,2,7,3,0,59,2,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,0,1,1,0,3,14,33,24,2,166.0,92.0,1,0,4,0,40,0,0,13,0,30.2,6.8,19.0,2023-04-04 18:45:00+00:00,90,0,29,0,3393,19.0,2,-255,184,439,47,2023-04-04
