,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-02,Sat,4,Away,D 2–2,Everton,Sheffield Utd,N,RM,16,0,0,0,0,1,0,0,0,10,0,1,1,0.0,0.0,0.0,1,0,7,8,0,10,0,0,0,123,9,3,3,3,4,1,1,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,0,132.0,17.0,1,0,0,3,11,2,0,-1,0,2.0,0.5,0.6,2023-09-02 11:30:00+00:00,15,0,4,0,4315,2.0,1,-711,55,766,54,2023-09-02
1,2023-09-17,Sun,5,Home,L 0–1,Everton,Arsenal,Y,LW,87,0,0,0,0,2,0,0,0,18,1,0,1,0.1,0.1,0.0,1,0,10,11,1,12,0,1,0,102,42,10,10,0,0,0,1,0.0,0,0,0,0,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,1,0,1,6,6,6,1,28.0,5.0,0,0,0,2,12,1,0,2,0,0.7,1.1,3.6,2023-09-17 15:30:00+00:00,87,0,5,0,4457,7.0,2,-58,271,329,54,2023-09-17
2,2023-09-23,Sat,6,Away,W 3–1,Everton,Brentford,Y,LM,90,0,1,0,0,3,1,0,0,60,0,2,3,0.1,0.1,0.2,4,1,38,47,2,42,5,1,0,620,157,20,20,13,17,3,5,0.3,1,1,1,1,42,5,2,0,0,7,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,8,28,24,1,291.0,141.0,2,1,2,2,40,6,0,23,0,26.1,6.1,22.8,2023-09-23 16:30:00+00:00,90,0,6,0,5091,12.0,5,477,706,229,54,2023-09-23
3,2023-09-30,Sat,7,Home,L 1–2,Everton,Luton Town,Y,LM,83,0,0,0,0,3,0,0,0,69,2,0,5,0.1,0.1,0.7,7,0,36,51,4,40,3,5,2,414,111,29,32,6,8,1,5,0.7,2,1,3,1,47,3,1,0,0,8,2,0,1,6,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,3,1,1,4,1,0,0,6,27,36,3,243.0,111.0,0,0,3,1,45,5,0,14,0,33.2,6.2,16.6,2023-09-30 14:00:00+00:00,83,0,7,0,10247,12.0,2,4506,5549,1043,54,2023-09-30
4,2023-10-07,Sat,8,Home,W 3–0,Everton,Bournemouth,Y,LM,90,0,0,0,0,2,1,0,0,53,3,0,2,0.2,0.2,0.8,9,0,21,38,2,26,8,2,2,345,116,15,16,4,9,2,8,0.9,6,0,2,1,30,7,2,2,0,10,1,4,1,6,2,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,1,1,0,0,1,8,15,33,7,266.0,115.0,5,3,3,3,30,6,0,17,1,81.7,14.0,27.2,2023-10-07 14:00:00+00:00,90,0,8,0,10042,31.0,3,-117,2083,2200,54,2023-10-07
5,2023-10-21,Sat,9,Away,L 0–2,Everton,Liverpool,Y,LM,45,0,0,0,0,1,0,0,0,16,0,1,0,0.0,0.0,0.1,3,0,5,11,0,6,1,3,3,78,22,3,3,1,3,1,4,0.1,1,0,1,1,8,3,1,0,0,3,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,5,7,5,0,43.0,10.0,0,0,1,1,7,1,0,9,0,14.0,2.4,8.0,2023-10-21 11:30:00+00:00,45,0,9,0,8017,2.0,1,-2068,382,2450,54,2023-10-21
6,2023-10-29,Sun,10,Away,W 1–0,Everton,West Ham,Y,LM,90,0,0,0,0,2,1,0,0,55,5,1,1,0.1,0.1,0.2,3,0,23,38,5,30,5,3,2,423,147,13,17,5,7,4,7,0.2,3,2,1,1,34,3,0,0,0,8,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,3,2,0,1,3,0,2,11,25,20,1,274.0,84.0,5,0,3,2,34,4,0,13,1,48.4,8.8,28.8,2023-10-29 13:00:00+00:00,90,0,10,0,6952,11.0,3,-1155,169,1324,54,2023-10-29
7,2023-11-04,Sat,11,Home,D 1–1,Everton,Brighton,Y,LM,90,0,0,0,0,1,0,0,0,32,3,0,1,0.1,0.1,0.1,2,0,13,22,2,9,2,2,0,231,120,7,9,3,4,3,5,0.1,1,1,0,0,20,2,0,0,0,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,0,1,3,0,2,6,9,17,1,74.0,29.0,1,0,1,1,18,3,0,3,0,15.7,2.9,10.0,2023-11-04 15:00:00+00:00,90,0,11,0,7557,3.0,2,425,996,571,54,2023-11-04
8,2023-11-11,Sat,12,Away,W 3–2,Everton,Crystal Palace,Y,LM,90,0,0,0,0,1,1,0,0,48,3,1,3,0.0,0.0,0.0,1,0,26,35,2,29,0,2,0,459,117,15,15,7,9,4,11,0.1,0,3,1,1,32,3,2,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,2,0,3,1,0,2,10,16,22,2,139.0,49.0,4,0,0,1,31,5,0,7,0,13.6,4.7,14.6,2023-11-11 15:00:00+00:00,90,0,12,0,7558,19.0,2,-60,806,866,54,2023-11-11
9,2023-11-26,Sun,13,Home,L 0–3,Everton,Manchester Utd,Y,LM,72,0,0,0,0,2,1,0,0,30,1,0,0,0.4,0.4,0.2,1,0,19,26,3,16,0,0,0,366,142,8,10,5,6,5,8,0.1,1,0,3,1,23,3,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,5,19,7,2,62.0,42.0,0,0,1,1,20,5,0,7,0,16.5,6.4,9.0,2023-11-26 16:30:00+00:00,72,0,13,0,6935,38.0,2,-668,264,932,54,2023-11-26
10,2023-12-02,Sat,14,Away,W 1–0,Everton,Nott'ham Forest,Y,LM,90,1,0,0,0,4,1,0,0,69,2,0,3,0.2,0.2,0.0,1,0,23,51,6,31,2,1,0,372,163,8,15,9,21,2,9,0.0,0,3,1,0,46,5,2,0,0,12,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,4,2,0,3,2,0,1,12,26,32,5,173.0,75.0,3,0,4,5,40,10,0,16,1,3.3,7.4,36.8,2023-12-02 17:30:00+00:00,90,0,14,0,7240,34.0,8,201,733,532,54,2023-12-02
11,2023-12-07,Thu,15,Home,W 3–0,Everton,Newcastle Utd,Y,LM,90,1,1,0,0,2,1,0,0,62,1,1,4,0.2,0.2,0.9,4,0,28,45,1,28,3,1,0,501,111,16,18,7,16,5,10,0.4,4,1,1,1,37,8,2,0,0,15,0,5,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,4,1,0,2,8,30,26,6,231.0,86.0,2,2,1,0,33,0,3,50,1,57.9,15.0,62.8,2023-12-07 19:30:00+00:00,90,0,15,0,8319,29.0,14,936,1534,598,54,2023-12-07
12,2023-12-10,Sun,16,Home,W 2–0,Everton,Chelsea,Y,LM,90,0,0,0,0,1,1,0,0,35,1,1,0,0.1,0.1,0.8,2,0,12,23,1,19,1,5,1,242,54,6,8,3,6,3,8,0.3,1,0,2,1,20,3,2,1,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,1,8,15,13,1,123.0,47.0,1,0,3,1,18,2,0,11,1,21.9,4.7,16.4,2023-12-10 14:00:00+00:00,90,0,16,0,28571,9.0,3,19017,19854,837,54,2023-12-10
13,2023-12-16,Sat,17,Away,W 2–0,Everton,Burnley,Y,LB,90,0,1,0,0,2,0,0,0,81,1,1,1,0.1,0.1,0.3,4,1,44,66,1,40,6,2,1,667,264,29,31,12,15,3,13,0.2,1,1,0,0,47,18,1,0,0,8,14,3,1,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,3,0,3,20,36,25,3,249.0,132.0,2,2,2,1,46,5,0,20,1,15.7,5.2,27.2,2023-12-16 17:30:00+00:00,90,0,17,0,46899,9.0,6,16108,19172,3064,54,2023-12-16
