,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Away,W 2–1,Tottenham,Newcastle Utd,N,DM,23,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,22,24,2,14,1,1,1,298,86,14,16,8,8,0,0,0.0,0,1,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,6,23,1,0,70.0,39.0,0,0,1,2,21,0,24,0,0,0,2,0,0,23,0.5,1,0,0,0,0,0.5,362,3.0,0,2018-08-11 11:30:00+00:00,11 Aug 12:30,0,0,22,0,0,0,0,3,1,0,72326,2,0,1,1.0,1,0,0,0,50,0,2018-08-11
1,2018-08-18,Sat,2,Home,W 3–1,Tottenham,Fulham,N,DM,28,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,3,0,25,27,2,20,1,0,0,349,126,16,17,9,10,0,0,0.0,0,2,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,2,0,151.0,68.0,0,0,0,0,21,0,27,0,0,0,4,0,0,25,1.7,0,0,0,0,0,0.5,887,3.2,0,2018-08-18 14:00:00+00:00,18 Aug 15:00,0,0,27,0,0,0,0,4,2,0,79455,0,0,0,0.0,1,-7219,3683,10902,50,0,2018-08-18
2,2018-08-27,Mon,3,Away,W 3–0,Tottenham,Manchester Utd,Y,"DM,CM",90,0,0,0,0,0,0,0,0,50,4,4,1,0.0,0.0,0.0,0,0,32,38,1,30,2,1,1,502,145,14,15,16,18,1,2,0.0,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,1,0,1,0,1,1,4,13,35,2,0,160.0,80.0,1,0,2,1,26,1,37,0,0,0,19,1,7,32,1.5,1,0,0,1,4,1.7,1414,15.6,0,2018-08-27 19:00:00+00:00,27 Aug 20:00,0,0,90,0,0,0,0,9,3,0,73887,1,4,0,0.0,3,-8930,2579,11509,49,0,2018-08-27
3,2018-09-02,Sun,4,Away,L 1–2,Tottenham,Watford,Y,"DM,CM",85,0,0,0,0,0,0,1,0,53,1,0,1,0.0,0.0,0.0,2,0,39,49,3,31,1,1,1,652,106,13,15,21,27,2,2,0.0,0,3,0,0,48,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,8,39,6,0,130.0,59.0,1,0,2,0,34,2,48,0,0,0,5,0,0,38,3.0,1,0,0,0,2,0.4,1945,1.2,0,2018-09-02 15:00:00+00:00,02 Sep 16:00,0,0,85,0,0,0,0,8,4,0,76050,1,0,0,0.0,1,-1686,5000,6686,49,0,2018-09-02
4,2018-09-15,Sat,5,Home,L 1–2,Tottenham,Liverpool,Y,DM,59,0,0,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.0,0,0,32,36,0,23,0,2,2,380,95,24,25,5,7,1,1,0.0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,2,7,35,0,0,141.0,78.0,1,0,1,1,27,1,36,0,0,0,7,0,0,32,1.8,2,0,0,1,2,0.2,2482,0.0,0,2018-09-15 11:30:00+00:00,15 Sep 12:30,0,0,59,0,0,0,0,7,5,0,75633,1,0,0,0.0,1,-3207,3568,6775,49,0,2018-09-15
5,2018-09-22,Sat,6,Away,W 2–1,Tottenham,Brighton,Y,DM,90,0,0,0,0,0,0,0,0,77,3,1,0,0.0,0.0,0.0,1,0,68,70,5,54,1,1,1,981,238,40,42,23,23,4,4,0.0,0,6,1,0,69,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,2,0,2,14,54,10,0,253.0,111.0,2,0,1,0,65,2,70,0,0,0,17,0,3,68,5.2,1,0,0,0,0,2.2,3019,16.4,0,2018-09-22 16:30:00+00:00,22 Sep 17:30,0,0,90,0,0,0,0,4,6,0,75073,0,1,0,0.0,2,-2140,2827,4967,49,0,2018-09-22
6,2018-09-29,Sat,7,Away,W 2–0,Tottenham,Huddersfield,Y,CM,45,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,17,18,0,14,0,0,0,259,30,11,12,5,5,1,1,0.0,0,0,0,0,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,7,16,2,0,110.0,10.0,0,0,1,0,15,1,18,0,0,0,5,0,3,17,1.8,0,0,0,0,1,0.7,3557,4.8,0,2018-09-29 14:00:00+00:00,29 Sep 15:00,0,0,45,0,0,0,0,1,7,0,74835,0,1,0,0.0,1,-1339,2488,3827,49,0,2018-09-29
7,2018-10-20,Sat,9,Away,W 1–0,Tottenham,West Ham,N,"AM,CM",15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,8,0,4,0,0,0,106,8,4,5,3,3,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,18.0,15.0,0,0,0,2,5,0,8,0,0,0,1,0,0,7,0.3,0,0,0,0,0,0.1,4638,0.2,0,2018-10-20 14:00:00+00:00,20 Oct 15:00,0,0,14,0,0,0,0,0,9,0,61166,2,0,0,0.0,1,-5946,625,6571,49,0,2018-10-20
8,2018-10-29,Mon,10,Home,L 0–1,Tottenham,Manchester City,Y,DM,74,0,0,0,0,0,0,0,0,42,2,2,0,0.0,0.0,0.0,0,0,31,35,2,29,1,2,1,507,86,12,16,16,16,2,2,0.0,0,2,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,0,0,0,0,1,8,31,3,0,111.0,40.0,0,0,1,1,24,2,35,0,0,0,11,0,2,32,1.6,1,0,0,0,3,0.8,5184,6.6,0,2018-10-29 20:00:00+00:00,29 Oct 20:00,0,0,74,0,0,0,0,8,10,0,60978,2,0,0,0.0,2,-767,801,1568,49,0,2018-10-29
9,2018-11-03,Sat,11,Away,W 3–2,Tottenham,Wolves,Y,LM,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,1,3,0,0,0,64,16,2,2,2,2,0,0,0.0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15.0,2.0,0,0,0,0,3,0,4,0,0,0,3,0,0,4,0.1,0,0,0,0,0,0.0,5732,0.0,0,2018-11-03 19:45:00+00:00,03 Nov 19:45,0,0,6,0,0,0,0,0,11,0,60985,0,0,0,0.0,1,-481,1192,1673,49,0,2018-11-03
