,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,"FW,RW",90,1,0,0,0,3,2,0,0,38,0,0,1,0.1,0.1,0.3,5,1,22,27,4,28,3,9,5,319,102,13,14,8,8,1,4,0.1,1,3,2,0,25,2,0,3,0,2,0,2,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,16,21,2,180.0,111.0,3,2,3,2,28,6,1,28,0,23.7,9.2,41.2,2021-08-14 11:30:00+00:00,90,0,1,0,506276,27.0,8,0,0,0,75,2021-08-14
1,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,"RW,FW",90,1,0,0,0,5,1,0,0,41,2,0,0,0.4,0.4,0.1,3,0,19,29,2,26,2,1,1,219,38,15,18,4,4,0,5,0.0,1,0,1,0,25,4,0,0,0,4,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,0,1,0,1,2,11,29,5,138.0,80.0,2,1,1,2,30,15,3,21,0,14.7,7.9,33.6,2021-08-22 13:00:00+00:00,90,0,2,0,712563,31.0,10,124810,169302,44492,75,2021-08-22
2,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,"FW,RW",89,1,0,0,0,3,1,0,0,40,1,0,0,0.4,0.4,0.1,5,0,22,29,1,24,5,3,1,305,42,14,16,6,8,1,3,0.1,2,1,0,0,26,3,0,0,1,5,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,17,20,6,202.0,99.0,3,3,2,2,30,8,0,24,1,26.4,9.5,37.8,2021-08-29 15:30:00+00:00,89,0,3,0,996847,31.0,8,222646,288859,66213,76,2021-08-29
3,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,RW,84,0,0,0,0,2,1,0,0,46,1,0,1,0.1,0.1,0.1,7,2,28,36,1,29,5,3,1,531,82,16,21,8,8,4,5,0.1,2,3,0,0,35,1,0,0,0,3,0,1,0,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,3,0,1,0,0,0,6,9,31,7,206.0,117.0,1,3,2,1,32,9,0,19,0,29.2,7.7,8.6,2021-09-11 14:00:00+00:00,84,0,4,0,1462701,39.0,5,374309,626177,251868,77,2021-09-11
4,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,RW,72,0,0,0,0,0,0,0,0,46,1,0,2,0.0,0.0,0.0,3,0,35,40,3,29,3,2,2,405,86,18,18,8,10,0,0,0.0,1,3,1,0,39,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,21,23,1,211.0,110.0,4,0,2,0,37,3,0,15,0,19.2,3.0,9.2,2021-09-19 13:00:00+00:00,72,0,5,0,1529037,2.0,2,61846,249764,187918,77,2021-09-19
5,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,RW,90,0,0,0,0,8,2,0,0,40,0,0,0,0.6,0.6,0.1,7,0,21,27,2,26,6,7,5,448,99,11,11,5,8,5,6,0.1,3,2,1,1,27,0,0,1,4,4,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,23,9,239.0,192.0,2,4,2,0,29,8,0,8,0,39.1,16.2,13.6,2021-09-25 11:30:00+00:00,90,0,6,0,1513826,109.0,2,-29597,122971,152568,77,2021-09-25
6,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,RW,90,0,0,0,0,2,2,1,0,68,0,0,0,0.0,0.0,0.0,1,1,45,57,6,44,2,6,4,786,132,19,21,21,26,4,6,0.0,0,3,1,0,57,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,28,35,2,283.0,111.0,3,0,3,0,62,8,0,6,0,8.7,3.8,11.2,2021-10-02 11:30:00+00:00,90,0,7,0,1341562,18.0,1,-177646,57942,235588,77,2021-10-02
7,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,RW,79,1,0,0,0,5,2,0,0,39,1,0,0,0.2,0.2,0.0,2,1,23,30,2,24,1,2,0,455,97,8,10,11,14,4,5,0.0,0,1,0,0,29,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,17,3,208.0,107.0,1,0,1,0,35,4,0,19,0,2.8,5.9,32.4,2021-10-16 14:00:00+00:00,79,0,8,0,1093969,24.0,7,-253030,31514,284544,76,2021-10-16
8,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,RW,45,0,0,0,0,1,1,0,0,18,0,1,0,0.0,0.0,0.8,3,0,10,15,3,9,1,0,0,229,46,2,3,5,6,3,5,0.2,2,1,2,0,14,0,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,3,27.0,14.0,0,1,1,0,15,2,0,7,0,21.4,5.0,7.8,2021-10-24 15:30:00+00:00,45,0,9,0,1107599,21.0,1,2596,91956,89360,76,2021-10-24
9,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,"FW,RW",66,0,0,0,0,2,0,0,0,26,1,0,0,0.8,0.8,0.0,0,0,14,16,1,14,1,2,0,205,42,7,9,6,6,0,0,0.0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,8,12,6,1,116.0,33.0,2,0,1,1,20,2,0,0,0,2.2,0.7,0.0,2021-11-06 12:30:00+00:00,66,0,11,0,831917,5.0,2,-148574,14938,163512,75,2021-11-06
10,2021-12-05,Sun,15,Home,W 1–0,Manchester Utd,Crystal Palace,N,RM,29,0,1,0,0,1,0,0,0,19,2,0,0,0.1,0.1,0.0,2,1,12,13,1,14,0,1,0,152,60,7,8,3,3,1,1,0.0,1,1,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,10,8,1,62.0,21.0,0,0,1,0,12,2,0,15,0,11.2,3.3,19.2,2021-12-05 14:00:00+00:00,28,0,15,0,492351,3.0,4,-39553,4187,43740,72,2021-12-05
11,2021-12-11,Sat,16,Away,W 1–0,Manchester Utd,Norwich City,N,AM,24,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,5,5,1,5,1,0,0,88,32,2,2,3,3,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,36.0,23.0,0,1,0,0,6,2,0,1,0,0.8,0.1,0.0,2021-12-11 17:30:00+00:00,23,0,16,0,504059,2.0,1,7364,29822,22458,72,2021-12-11
12,2021-12-27,Mon,19,Away,D 1–1,Manchester Utd,Newcastle Utd,Y,FW,45,0,0,0,0,2,1,0,0,20,0,0,0,0.2,0.2,0.0,0,0,10,16,0,11,0,1,1,93,12,9,10,1,3,0,2,0.0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,1,56.0,19.0,1,0,1,1,17,6,0,1,0,1.2,3.0,3.4,2021-12-27 20:00:00+00:00,45,0,19,0,462414,25.0,1,-763,10796,11559,72,2021-12-27
13,2021-12-30,Thu,20,Home,W 3–1,Manchester Utd,Burnley,Y,AM,80,0,0,0,0,4,2,0,0,52,1,0,0,0.2,0.2,0.2,6,1,31,43,2,36,4,2,2,596,110,12,16,13,14,5,9,0.5,2,2,2,2,39,4,1,1,2,5,0,2,0,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,25,18,5,307.0,157.0,3,2,1,1,36,8,0,12,0,31.1,10.0,16.4,2021-12-30 20:15:00+00:00,80,0,20,0,453300,52.0,2,-3847,3699,7546,72,2021-12-30
14,2022-01-03,Mon,21,Home,L 0–1,Manchester Utd,Wolves,Y,AM,59,0,0,0,0,1,0,0,0,32,1,0,1,0.0,0.0,0.1,2,0,17,23,1,22,3,6,4,347,83,7,9,6,7,3,5,0.0,1,2,0,0,22,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,7,13,13,4,150.0,83.0,1,1,1,1,27,4,0,5,0,13.1,2.8,5.4,2022-01-03 17:30:00+00:00,59,0,21,0,448594,9.0,1,-5712,6713,12425,72,2022-01-03
15,2022-01-15,Sat,22,Away,D 2–2,Manchester Utd,Aston Villa,Y,RW,88,0,0,0,0,5,2,0,0,35,1,0,0,0.2,0.2,0.0,2,0,24,26,2,27,5,2,2,488,94,10,10,9,10,5,6,0.0,0,3,0,0,26,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,6,19,10,3,257.0,141.0,2,2,0,2,27,5,0,2,0,2.3,5.6,4.6,2022-01-15 17:30:00+00:00,88,0,22,0,590839,49.0,2,69215,92727,23512,72,2022-01-15
16,2022-01-19,Wed,17,Away,W 3–1,Manchester Utd,Brentford,Y,RW,70,1,0,0,0,2,1,0,0,47,1,0,0,0.9,0.9,0.0,1,0,28,37,3,27,4,2,1,328,61,21,25,6,8,0,1,0.0,1,1,1,0,37,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,5,22,21,4,220.0,99.0,1,1,3,1,32,10,3,35,1,13.9,8.5,40.0,2022-01-19 20:00:00+00:00,70,0,22,0,590839,31.0,11,69215,92727,23512,72,2022-01-19
