,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-05,Fri,1,Home,L 0–2,Crystal Palace,Arsenal,N,DM,16,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,15,17,3,12,0,0,0,225,60,5,5,8,10,0,0,0.0,0,1,1,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,5,0,38.0,10.0,0,0,0,0,14,1,0,3,0,1.4,0.2,0.8,2022-08-05 19:00:00+00:00,15,0,1,0,54854,0.0,1,0,0,0,45,2022-08-05
1,2022-08-15,Mon,2,Away,D 1–1,Crystal Palace,Liverpool,N,CM,12,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,13,4,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0,0,1,0,1,0,0,1,0,0.0,0.0,0.2,2022-08-15 19:00:00+00:00,11,0,2,0,63529,0.0,1,651,6085,5434,45,2022-08-15
2,2022-08-20,Sat,3,Home,W 3–1,Crystal Palace,Aston Villa,N,CM,9,0,0,0,0,0,0,0,0,4,0,1,1,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,11,0,1,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,33.0,0.0,0,0,0,0,1,0,0,2,0,0.1,0.0,0.0,2022-08-20 14:00:00+00:00,8,0,3,0,65415,0.0,1,-554,7684,8238,45,2022-08-20
3,2022-08-30,Tue,5,Home,D 1–1,Crystal Palace,Brentford,N,CM,15,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,0,0,11,13,1,4,0,0,0,147,53,6,6,5,5,0,2,0.0,0,1,0,0,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,5,10,2,0,31.0,2.0,1,0,0,0,7,0,0,6,0,1.4,0.5,4.0,2022-08-30 18:30:00+00:00,14,0,5,0,54962,0.0,1,-5190,1872,7062,45,2022-08-30
4,2022-10-09,Sun,10,Home,W 2–1,Crystal Palace,Leeds United,N,CM,27,0,0,0,0,0,0,0,0,6,1,0,1,0.0,0.0,0.0,0,0,2,3,0,3,0,0,0,26,4,1,1,1,1,0,1,0.0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,3,2,1,0,15.0,0.0,0,0,1,1,4,0,0,1,0,0.1,0.1,1.2,2022-10-09 13:00:00+00:00,26,0,10,0,46864,0.0,1,-2362,1368,3730,44,2022-10-09
5,2022-10-15,Sat,11,Away,D 0–0,Crystal Palace,Leicester City,N,CM,35,0,0,0,0,1,0,0,0,32,1,1,2,0.0,0.0,0.0,0,0,22,26,3,18,1,0,0,442,162,7,7,13,14,2,3,0.0,0,3,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,2,13,14,5,0,98.0,70.0,1,0,0,1,20,0,0,2,0,1.0,0.4,2.0,2022-10-15 11:30:00+00:00,34,0,11,0,48639,1.0,1,981,3755,2774,43,2022-10-15
6,2022-10-22,Sat,13,Away,L 0–3,Crystal Palace,Everton,Y*,DM,61,0,0,0,0,1,0,0,0,43,1,0,3,0.0,0.0,0.0,0,0,32,37,0,26,0,0,0,543,173,15,16,14,16,2,3,0.0,0,1,0,0,33,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,3,19,22,3,0,79.0,27.0,0,0,0,2,27,1,0,9,0,2.1,1.3,9.8,2022-10-22 14:00:00+00:00,61,0,13,0,52106,1.0,2,1504,4392,2888,43,2022-10-22
7,2022-10-29,Sat,14,Home,W 1–0,Crystal Palace,Southampton,Y*,"CM,DM",90,0,0,0,0,3,0,0,0,59,4,2,1,0.2,0.2,0.0,1,0,33,43,6,33,0,0,0,524,154,20,22,10,15,3,4,0.0,1,3,0,0,43,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,3,3,0,0,1,4,0,7,18,23,18,0,109.0,37.0,0,0,0,1,31,0,0,14,1,14.7,4.1,16.4,2022-10-29 14:00:00+00:00,90,0,14,0,50132,10.0,3,-2063,2059,4122,43,2022-10-29
8,2022-11-06,Sun,15,Away,W 2–1,Crystal Palace,West Ham,N,LM,14,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,10,13,1,9,0,0,0,247,44,2,3,5,7,3,3,0.0,0,1,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,10,0,0,39.0,4.0,0,0,0,0,10,0,0,4,0,0.4,0.3,3.0,2022-11-06 14:00:00+00:00,13,0,15,0,49477,0.0,1,-883,2880,3763,43,2022-11-06
9,2022-12-26,Mon,17,Home,L 0–3,Crystal Palace,Fulham,N,DM,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.1,1,0,2,2,0,0,0,0,0,41,24,1,1,0,0,1,1,0.1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,5,0,14.1,1.6,2.0,2022-12-26 15:00:00+00:00,6,0,17,0,44174,0.0,1,-4092,3613,7705,43,2022-12-26
