,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 4–1,Brighton,Luton Town,Y,RB,78,0,0,0,0,0,0,0,0,52,2,0,2,0.0,0.0,0.0,3,0,39,43,5,26,1,0,0,527,206,24,25,11,12,1,2,0.0,0,2,1,0,34,9,1,0,0,2,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,1,0,2,9,26,17,0,85.0,28.0,0,0,1,0,25,3,0,16,1,3.2,1.1,7.6,2023-08-12 14:00:00+00:00,78,0,1,0,17570,0.0,3,0,0,0,50,2023-08-12
1,2023-08-19,Sat,2,Away,W 4–1,Brighton,Wolves,Y,RB,56,0,0,0,0,0,0,1,0,35,2,1,0,0.0,0.0,0.1,1,0,22,30,2,18,0,0,0,363,176,10,13,10,10,2,5,0.1,1,3,0,0,25,4,1,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,1,0,3,15,15,5,0,54.0,29.0,0,0,0,1,21,3,0,8,0,17.3,2.4,7.0,2023-08-19 14:00:00+00:00,56,0,2,0,23898,0.0,0,482,2661,2179,50,2023-08-19
2,2023-08-26,Sat,3,Home,L 1–3,Brighton,West Ham,Y,RB,71,0,0,0,0,0,0,0,0,75,1,2,1,0.0,0.0,0.0,0,0,52,63,10,54,0,1,0,886,248,28,32,21,23,3,6,0.1,0,7,2,0,57,6,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,5,7,30,39,1,151.0,49.0,2,0,1,0,52,9,0,9,0,6.9,1.9,10.0,2023-08-26 16:30:00+00:00,71,0,3,0,21181,2.0,2,-3539,928,4467,50,2023-08-26
3,2023-09-02,Sat,4,Home,W 3–1,Brighton,Newcastle Utd,N,LM,10,0,0,0,0,0,0,1,0,14,1,0,0,0.0,0.0,0.0,0,0,12,13,0,8,1,0,0,164,26,10,10,2,2,0,0,0.0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,10,0,0,32.0,23.0,0,0,0,0,11,0,0,1,0,1.6,0.3,1.6,2023-09-02 16:30:00+00:00,9,0,4,0,20387,0.0,0,-1627,795,2422,49,2023-09-02
4,2023-09-16,Sat,5,Away,W 3–1,Brighton,Manchester Utd,N,LB,14,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,0,5,0,0,0,132,32,4,4,4,4,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,6,0,0,8.0,3.0,0,0,0,0,7,0,0,2,0,0.2,0.2,1.4,2023-09-16 14:00:00+00:00,13,0,5,0,18888,0.0,1,-2046,560,2606,49,2023-09-16
5,2023-10-21,Sat,9,Away,L 1–2,Brighton,Manchester City,Y,RB,45,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,0,0,9,13,1,11,0,0,0,132,70,4,4,5,6,0,1,0.0,0,0,0,0,11,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,11,7,1,0,15.0,2.0,0,0,1,0,10,0,0,5,0,0.4,0.4,3.6,2023-10-21 14:00:00+00:00,45,0,9,0,13170,0.0,1,-620,95,715,48,2023-10-21
6,2023-11-04,Sat,11,Away,D 1–1,Brighton,Everton,Y,"LM,CM",78,0,0,0,0,0,0,0,0,94,1,1,2,0.0,0.0,0.1,3,0,71,85,10,63,1,1,1,1082,295,40,42,26,33,4,6,0.2,2,9,3,1,72,12,1,0,0,2,11,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,2,2,0,5,22,49,23,0,199.0,96.0,0,0,1,1,66,8,0,15,0,29.3,4.4,14.6,2023-11-04 15:00:00+00:00,78,0,11,0,13533,0.0,2,87,531,444,48,2023-11-04
7,2023-12-03,Sun,14,Away,L 2–3,Brighton,Chelsea,N,LB,34,0,1,0,0,1,0,1,0,48,1,0,0,0.0,0.0,0.2,4,1,40,46,13,27,0,0,0,713,243,19,22,18,19,3,5,0.2,3,6,3,2,39,7,0,0,0,5,4,3,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,5,20,23,1,72.0,31.0,0,0,0,0,30,6,0,16,0,46.8,7.4,23.6,2023-12-03 14:00:00+00:00,33,0,14,0,12268,4.0,3,-222,91,313,48,2023-12-03
8,2023-12-06,Wed,15,Home,W 2–1,Brighton,Brentford,N,"LB,AM",22,0,0,0,0,0,0,0,0,30,2,1,0,0.0,0.0,0.0,0,0,25,26,4,18,1,1,1,351,116,11,11,11,11,1,2,0.0,0,5,0,0,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,1,0,2,5,18,7,1,48.0,17.0,0,1,0,0,24,3,0,5,0,2.7,1.7,10.0,2023-12-06 19:30:00+00:00,21,0,15,0,12462,4.0,1,142,251,109,48,2023-12-06
9,2023-12-09,Sat,16,Home,D 1–1,Brighton,Burnley,Y,"LB,RB",58,0,0,0,0,1,1,0,0,58,1,0,0,0.0,0.0,0.2,3,0,47,53,7,39,1,2,1,648,258,28,30,14,16,1,2,0.2,3,7,2,1,46,7,1,0,1,5,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,26,20,2,177.0,90.0,0,0,0,1,40,10,0,13,0,38.1,7.5,17.4,2023-12-09 15:00:00+00:00,58,0,16,0,12461,19.0,1,-37,146,183,48,2023-12-09
