,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,N,LM,4,0,0,0,0,0,0,1,0,6,0,0,1,0.0,0.0,0.0,0,0,3,3,1,2,0,0,0,44,16,2,2,1,1,0,0,0.0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,7.0,2.0,0,0,0,1,3,0,0,-2,0,0.3,0.0,0.0,2021-10-30 14:00:00+00:00,3,0,10,0,4349,0.0,0,-208,135,343,51,2021-10-30
1,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,N,CM,11,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,7,7,0,9,0,0,0,89,8,3,3,3,3,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,5,2,0,17.0,7.0,0,0,1,0,9,2,0,2,0,0.8,0.2,1.2,2021-11-07 16:30:00+00:00,10,0,11,0,4376,0.0,1,-83,101,184,51,2021-11-07
2,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,N,FW,15,1,0,0,0,1,1,0,0,9,0,0,0,0.9,0.9,0.0,0,0,6,7,0,5,1,1,0,45,0,6,6,0,1,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,36.0,24.0,0,0,0,0,8,2,0,20,0,0.9,6.7,33.2,2021-11-20 17:30:00+00:00,14,0,12,0,4533,33.0,6,62,237,175,51,2021-11-20
3,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,N,FW,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,0,2,0,0,0,34,4,2,3,1,1,0,0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,16.0,8.0,0,0,0,0,4,0,0,3,0,0.4,0.1,0.2,2021-11-27 15:00:00+00:00,9,0,13,0,5720,0.0,1,1015,1331,316,51,2021-11-27
4,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,N,FW,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,0,1,0,0,0,54,17,0,0,1,1,1,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2.0,0.0,0,0,0,0,2,1,0,3,0,0.1,0.0,0.2,2021-12-01 20:15:00+00:00,2,0,14,0,5539,0.0,1,-201,271,472,51,2021-12-01
5,2021-12-11,Sat,16,Home,W 1–0,Liverpool,Aston Villa,N,LW,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,0,1,0,0,0,17,2,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2.0,0.0,0,0,0,0,1,0,0,2,0,1.3,0.0,0.0,2021-12-11 15:00:00+00:00,2,0,16,0,5194,0.0,1,-210,171,381,51,2021-12-11
6,2022-01-16,Sun,22,Home,W 3–0,Liverpool,Brentford,N,RW,17,1,0,0,0,2,1,0,0,10,1,0,0,0.4,0.4,0.4,3,1,5,7,2,4,0,0,0,49,16,3,4,1,1,0,0,0.5,1,2,0,0,6,0,0,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,7,2,5.0,2.0,0,0,1,0,5,0,0,28,0,13.9,7.9,37.6,2022-01-16 14:00:00+00:00,16,0,22,0,9499,27.0,6,2798,3912,1114,51,2022-01-16
7,2022-01-23,Sun,23,Away,W 3–1,Liverpool,Crystal Palace,N,"RW,FW",31,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,0,4,0,0,0,15,0,2,3,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,19.0,5.0,0,0,0,1,3,1,0,1,0,0.1,0.0,0.0,2022-01-23 14:00:00+00:00,30,0,23,0,10372,0.0,1,2132,3175,1043,51,2022-01-23
8,2022-02-10,Thu,24,Home,W 2–0,Liverpool,Leicester City,N,LW,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,1,0,23,5,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0,0,0,0,1,0,0,2,0,0.5,0.1,0.2,2022-02-10 19:45:00+00:00,1,0,24,0,8877,0.0,1,-1458,584,2042,51,2022-02-10
9,2022-02-19,Sat,26,Home,W 3–1,Liverpool,Norwich City,N,AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2022-02-19 15:00:00+00:00,1,0,26,0,6436,0.0,1,-846,187,1033,51,2022-02-19
10,2022-05-17,Tue,37,Away,W 2–1,Liverpool,Southampton,Y,RW,90,1,0,0,0,4,2,0,0,44,1,1,1,0.3,0.3,0.1,3,0,26,31,2,29,1,3,1,278,78,20,20,3,7,1,1,0.1,1,3,2,0,31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,2,0,1,4,14,27,6,136.0,44.0,1,2,0,3,38,9,2,27,0,15.5,10.4,44.8,2022-05-17 18:45:00+00:00,90,0,37,0,5728,44.0,9,-27,33,60,51,2022-05-17
