,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 4–1,Brighton,Luton Town,Y,LW,90,0,1,0,0,1,0,1,0,55,1,0,0,0.0,0.0,0.6,8,2,42,48,5,46,7,3,1,502,126,33,35,7,8,0,2,0.6,5,3,2,1,47,0,0,0,0,4,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20,34,10,276.0,173.0,3,3,2,0,48,20,1,26,0,61.9,11.3,28.6,2023-08-12 14:00:00+00:00,90,0,1,0,3166456,22.0,5,0,0,0,65,2023-08-12
1,2023-08-19,Sat,2,Away,W 4–1,Brighton,Wolves,Y,LW,80,1,1,0,0,1,1,0,0,37,2,1,0,0.5,0.5,0.4,6,3,25,28,3,22,5,6,2,295,29,18,19,5,6,1,1,0.7,4,0,1,0,28,0,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,1,0,0,1,0,1,5,14,19,9,183.0,142.0,3,4,0,0,25,9,2,40,0,49.1,14.9,64.6,2023-08-19 14:00:00+00:00,80,0,2,0,3482735,35.0,12,48485,151741,103256,65,2023-08-19
2,2023-08-26,Sat,3,Home,L 1–3,Brighton,West Ham,Y,LW,90,0,0,0,0,2,0,1,0,51,0,0,1,0.1,0.1,0.2,2,0,33,43,2,40,12,5,3,415,46,24,25,7,13,0,2,0.4,2,0,1,1,43,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,43,14,451.0,297.0,8,6,2,1,43,22,0,10,0,32.3,6.8,3.2,2023-08-26 16:30:00+00:00,90,0,3,0,4235929,32.0,1,567621,628321,60700,66,2023-08-26
3,2023-09-02,Sat,4,Home,W 3–1,Brighton,Newcastle Utd,Y,LW,90,0,1,0,0,4,1,0,0,36,0,0,0,0.2,0.2,0.3,5,1,17,21,1,27,4,7,2,196,72,12,15,3,3,1,1,0.2,3,1,1,0,21,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6,7,25,6,253.0,154.0,2,2,0,0,24,9,0,14,0,33.3,9.4,26.0,2023-09-02 16:30:00+00:00,90,0,4,0,3908962,35.0,5,-334818,93453,428271,66,2023-09-02
4,2023-09-16,Sat,5,Away,W 3–1,Brighton,Manchester Utd,Y,LW,90,0,0,0,0,1,1,0,0,39,1,1,1,0.1,0.1,0.0,2,0,20,26,1,31,7,5,0,238,34,14,15,4,7,0,1,0.0,0,1,0,0,26,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,1,0,0,1,5,19,15,2,311.0,174.0,4,0,3,0,31,5,0,-1,0,6.4,4.8,6.6,2023-09-16 14:00:00+00:00,90,0,5,0,3885491,35.0,2,-111359,135385,246744,65,2023-09-16
5,2023-09-24,Sun,6,Home,W 3–1,Brighton,Bournemouth,N,LW,45,2,0,0,0,2,2,0,0,19,1,0,0,0.7,0.7,0.0,0,0,8,11,1,14,0,3,0,110,56,6,8,2,3,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,7,10,4,75.0,27.0,0,0,2,1,13,3,3,42,0,0.8,14.0,69.0,2023-09-24 13:00:00+00:00,45,0,6,0,3998760,70.0,14,76494,207403,130909,65,2023-09-24
6,2023-09-30,Sat,7,Away,L 1–6,Brighton,Aston Villa,Y,"LM,LW",90,0,0,0,0,2,0,1,0,44,0,0,2,0.1,0.1,0.1,4,0,20,31,2,33,5,7,2,274,85,12,15,6,9,1,2,0.1,2,0,3,1,29,2,0,0,0,2,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,3,14,27,5,230.0,148.0,3,2,1,2,33,17,0,-3,0,28.7,5.1,5.0,2023-09-30 11:30:00+00:00,90,0,7,0,4427304,17.0,1,380149,489528,109379,66,2023-09-30
7,2023-10-08,Sun,8,Home,D 2–2,Brighton,Liverpool,Y,LW,90,0,0,0,0,1,0,0,0,42,0,2,0,0.2,0.2,0.0,2,0,21,28,3,31,7,7,5,251,61,15,19,4,5,1,3,0.0,0,1,0,0,27,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,14,20,4,281.0,177.0,4,1,3,2,29,8,0,4,0,4.5,1.9,4.6,2023-10-08 13:00:00+00:00,90,0,8,0,4107571,10.0,2,-286974,132182,419156,66,2023-10-08
8,2023-10-21,Sat,9,Away,L 1–2,Brighton,Manchester City,Y,LW,90,0,0,0,0,3,2,0,0,35,1,0,1,0.5,0.5,0.0,2,1,18,22,1,24,7,7,4,202,43,13,16,3,3,0,0,0.0,0,1,1,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,19,14,4,235.0,182.0,3,2,2,1,28,7,0,4,0,3.1,5.1,11.0,2023-10-21 14:00:00+00:00,90,0,9,0,3746565,37.0,2,-392787,63176,455963,65,2023-10-21
9,2023-10-29,Sun,10,Home,D 1–1,Brighton,Fulham,Y,WB,90,0,0,0,0,1,0,0,0,61,1,0,1,0.1,0.1,0.2,7,0,46,54,6,46,11,4,2,527,156,36,37,9,14,0,0,0.3,1,2,4,1,52,2,0,0,0,6,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,6,22,34,9,321.0,224.0,5,8,3,0,49,11,0,16,0,20.4,5.0,9.4,2023-10-29 14:00:00+00:00,90,0,10,0,3811549,20.0,2,37596,285396,247800,65,2023-10-29
10,2023-11-04,Sat,11,Away,D 1–1,Brighton,Everton,Y,"LM,LW",90,0,0,0,0,2,1,0,0,48,0,0,0,0.1,0.1,0.0,1,0,31,41,4,37,6,7,4,363,54,22,26,4,7,1,3,0.1,0,2,2,0,40,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,28,7,259.0,144.0,1,6,2,0,42,11,1,17,0,11.7,5.0,5.4,2023-11-04 15:00:00+00:00,90,0,11,0,3772048,33.0,6,-51360,177515,228875,65,2023-11-04
11,2023-11-12,Sun,12,Home,D 1–1,Brighton,Sheffield Utd,N,"LM,LW",45,0,0,0,0,2,1,0,0,29,0,0,3,0.1,0.1,0.0,1,0,17,22,5,16,5,1,1,193,78,14,15,2,2,0,0,0.1,0,0,2,0,21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,5,20,6,184.0,151.0,3,1,0,0,22,4,0,4,0,2.8,3.6,5.8,2023-11-12 14:00:00+00:00,45,0,12,0,3913673,27.0,1,120997,259129,138132,65,2023-11-12
12,2023-12-03,Sun,14,Away,L 2–3,Brighton,Chelsea,N,LW,34,0,0,0,0,1,1,0,0,30,1,0,0,0.0,0.0,0.0,3,0,13,21,3,23,9,5,3,151,30,12,15,1,3,0,0,0.0,1,0,2,0,21,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,27,11,241.0,166.0,1,7,4,0,28,14,0,4,0,13.0,8.2,10.0,2023-12-03 14:00:00+00:00,33,0,14,0,2434841,59.0,1,-400355,17687,418042,65,2023-12-03
13,2023-12-06,Wed,15,Home,W 2–1,Brighton,Brentford,Y,LW,90,0,1,0,0,1,0,0,0,82,1,0,2,0.0,0.0,0.3,4,2,54,68,5,59,7,8,3,631,120,39,44,11,13,1,3,0.2,3,4,4,1,67,1,0,0,0,2,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,3,2,1,1,1,0,1,8,26,50,7,410.0,272.0,4,3,3,0,69,22,0,21,0,43.5,9.1,31.8,2023-12-06 19:30:00+00:00,90,0,15,0,2355151,16.0,5,-88800,36512,125312,65,2023-12-06
14,2023-12-09,Sat,16,Home,D 1–1,Brighton,Burnley,N,"LW,LM",45,0,0,0,0,5,1,0,0,56,0,0,0,0.3,0.3,0.1,5,0,33,42,4,45,11,7,1,421,82,21,26,10,14,0,0,0.4,1,0,2,0,41,1,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,14,41,16,340.0,236.0,3,8,0,3,48,28,0,-2,0,16.5,7.8,2.4,2023-12-09 15:00:00+00:00,45,0,16,0,2460993,59.0,1,94607,147926,53319,65,2023-12-09
15,2023-12-17,Sun,17,Away,L 0–2,Brighton,Arsenal,Y,LW,90,0,0,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.4,3,0,24,27,3,18,3,3,1,289,73,15,17,5,6,1,1,0.1,1,1,1,0,27,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,8,11,12,2,156.0,73.0,1,1,1,1,22,4,0,4,0,12.6,1.7,0.4,2023-12-17 14:00:00+00:00,90,0,17,0,2287086,4.0,1,-159687,20861,180548,65,2023-12-17
16,2023-12-21,Thu,18,Away,D 1–1,Brighton,Crystal Palace,Y,LW,82,0,0,0,0,2,2,0,0,49,1,0,1,0.1,0.1,0.0,1,0,31,34,10,28,3,2,1,568,194,9,11,19,20,2,2,0.1,0,3,6,0,33,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,0,0,0,2,17,30,2,182.0,88.0,1,2,4,3,39,17,0,11,0,5.7,5.2,10.4,2023-12-21 20:00:00+00:00,82,0,18,0,2216139,36.0,2,-81108,21977,103085,65,2023-12-21
17,2024-02-10,Sat,24,Away,L 1–2,Brighton,Tottenham,Y,LW,90,0,0,0,0,1,1,0,0,48,2,1,2,0.1,0.1,0.1,2,0,23,31,2,28,4,4,2,254,69,16,22,5,7,0,0,0.1,1,1,1,0,31,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,6,0,5,8,19,22,6,247.0,136.0,3,1,2,1,33,5,0,12,0,13.0,6.1,21.2,2024-02-10 15:00:00+00:00,90,0,24,0,1434565,27.0,2,-21597,4241,25838,64,2024-02-10
18,2024-02-18,Sun,25,Away,W 5–0,Brighton,Sheffield Utd,Y,LW,75,0,0,0,0,2,1,0,0,61,1,0,1,0.2,0.2,0.0,4,1,33,52,3,48,8,3,2,330,78,26,33,3,10,0,3,0.1,1,3,1,0,52,0,0,0,0,7,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,6,12,43,12,244.0,183.0,2,5,4,0,51,23,0,29,1,15.8,9.0,12.2,2024-02-18 14:00:00+00:00,75,0,25,0,1442050,62.0,9,5494,20853,15359,64,2024-02-18
