,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-02-04,Sat,22,Away,W 4–2,Leicester City,Aston Villa,Y,RW,82,1,0,0,0,3,1,0,0,40,1,1,1,0.8,0.8,0.0,3,1,22,31,1,26,5,8,6,218,31,17,22,3,5,0,1,0.0,0,1,0,0,28,2,0,0,0,3,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,8,21,14,5,286.0,163.0,1,3,1,1,28,7,1,29,0,1.4,6.9,37.6,2023-02-04 15:00:00+00:00,82,0,22,0,715,30.0,8,635,673,38,55,2023-02-04
1,2023-02-11,Sat,23,Home,W 4–1,Leicester City,Tottenham,Y,RW,76,0,0,0,0,2,0,0,0,32,1,0,2,0.1,0.1,0.0,1,0,18,22,0,20,1,1,1,223,3,12,13,4,5,1,1,0.0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,2,0,0,0,3,23,7,1,73.0,32.0,1,0,3,1,21,4,0,5,0,1.7,0.5,0.0,2023-02-11 15:00:00+00:00,76,0,23,0,15675,5.0,2,13587,14593,1006,55,2023-02-11
2,2023-02-19,Sun,24,Away,L 0–3,Leicester City,Manchester Utd,Y,RW,74,0,0,0,0,3,0,0,0,39,3,0,1,0.1,0.1,0.1,4,0,25,29,6,18,7,3,1,407,104,15,15,6,10,3,3,0.0,2,2,0,0,25,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,1,3,2,0,1,0,0,0,3,18,19,5,203.0,122.0,3,4,3,0,21,6,0,12,0,23.8,4.4,5.4,2023-02-19 14:00:00+00:00,74,0,24,0,16235,15.0,2,721,3314,2593,55,2023-02-19
3,2023-02-25,Sat,25,Home,L 0–1,Leicester City,Arsenal,Y,RW,61,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,5,10,0,9,0,1,0,76,17,3,5,2,3,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,8,8,3,39.0,3.0,0,1,2,0,10,2,0,5,0,0.6,0.5,0.0,2023-02-25 15:00:00+00:00,61,0,25,0,18133,6.0,2,1511,4267,2756,55,2023-02-25
4,2023-03-04,Sat,26,Away,L 0–1,Leicester City,Southampton,Y,RW,67,0,0,0,0,2,0,0,0,42,4,0,0,0.1,0.1,0.0,2,0,18,30,5,28,1,2,1,305,72,8,11,7,10,2,3,0.0,0,5,1,0,28,2,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,5,2,0,0,0,0,0,4,20,18,6,125.0,44.0,1,1,2,3,30,9,0,3,0,2.2,2.7,8.4,2023-03-04 17:30:00+00:00,68,0,26,0,17523,16.0,2,-548,3059,3607,55,2023-03-04
5,2023-03-11,Sat,27,Home,L 1–3,Leicester City,Chelsea,N,CB,25,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,7,16,1,12,2,2,1,141,27,2,5,5,8,0,0,0.1,0,0,1,1,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,10,0,65.0,38.0,1,0,0,2,9,2,0,2,0,5.6,0.9,3.4,2023-03-11 15:00:00+00:00,24,0,27,0,14023,0.0,1,-3593,1204,4797,54,2023-03-11
6,2023-03-18,Sat,28,Away,D 1–1,Leicester City,Brentford,Y,RW,65,0,0,0,0,1,0,0,0,21,2,0,1,0.2,0.2,0.0,5,0,6,14,0,12,2,3,3,108,32,2,8,0,2,2,2,0.0,1,0,0,0,13,1,0,0,0,3,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,0,1,0,0,0,3,9,9,4,60.0,38.0,0,2,1,1,15,5,0,8,0,15.0,3.8,8.4,2023-03-18 15:00:00+00:00,65,0,28,0,13047,15.0,2,-1101,928,2029,54,2023-03-18
7,2023-04-01,Sat,29,Away,L 1–2,Leicester City,Crystal Palace,Y,RW,45,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,0,0,7,11,2,10,0,1,0,136,59,3,6,3,3,1,2,0.0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,7,10,3,0,35.0,4.0,0,0,2,1,11,2,0,3,0,0.6,0.4,3.8,2023-04-01 14:00:00+00:00,45,0,29,0,11348,0.0,1,-1708,509,2217,53,2023-04-01
8,2023-04-08,Sat,30,Home,L 0–1,Leicester City,Bournemouth,N,LW,19,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,3,0,12,16,4,17,1,3,2,319,105,1,1,8,9,3,5,0.1,0,3,1,0,16,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,0,192.0,89.0,1,0,1,1,19,2,0,2,0,0.5,0.3,1.2,2023-04-08 14:00:00+00:00,18,0,30,0,9870,1.0,1,-1586,178,1764,53,2023-04-08
9,2023-04-22,Sat,32,Home,W 2–1,Leicester City,Wolves,Y,RW,76,0,0,0,0,2,0,0,0,28,2,0,1,0.4,0.4,0.1,4,0,16,20,2,17,0,1,1,334,85,7,8,7,9,2,3,0.0,2,1,1,0,19,1,0,0,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,5,4,0,1,1,0,1,11,10,7,2,177.0,29.0,1,0,1,1,19,6,0,10,0,25.2,4.5,11.0,2023-04-22 14:00:00+00:00,76,0,32,0,8033,9.0,2,-649,85,734,51,2023-04-22
