,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Away,W 3–0,Chelsea,Huddersfield,N,RW,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,4,4,0,2,0,0,0,37,6,4,4,0,0,0,0,0.0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,26.0,1.0,0,0,0,1,4,0,4,0,0,0,2,0,0,4,10.8,0,0,0,0,1,1.2,117,1.2,1,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,9,0,0,0,0,0,1,0,211948,1,0,0,0.0,1,0,0,0,60,0,2018-08-11
1,2018-09-29,Sat,7,Home,D 1–1,Chelsea,Liverpool,N,RW,18,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,6,9,0,6,1,1,0,66,0,4,5,1,1,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,7,2,63.0,36.0,1,1,1,1,12,1,9,0,0,0,1,0,0,6,1.9,0,0,0,0,0,0.8,3312,0.0,0,2018-09-29 16:30:00+00:00,29 Sep 17:30,0,0,17,0,0,0,0,0,7,0,102081,2,0,0,6.0,1,-5022,496,5518,57,0,2018-09-29
2,2017-08-20,Sun,2,Away,W 2–1,Chelsea,Tottenham,Y,WB,90,0,0,0,0,1,0,0,0,34,4,0,2,0.0,0.0,0.1,3,1,16,22,4,16,1,3,3,269,62,8,8,4,7,2,4,0.0,1,0,1,0,20,2,0,0,1,2,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,3,3,1,0,0,1,1,1,1,3,0,3,14,11,10,2,65.0,49.0,1,0,1,0,15,3,18,0,0,0,14,0,4,13,15.4,3,0,0,0,3,4.2,613,20.4,1,2017-08-20 15:00:00+00:00,20 Aug 16:00,0,0,90,0,1,0,0,5,2,0,25708,0,2,1,6.0,2,1716,3260,1544,65,0,2017-08-20
3,2017-08-27,Sun,3,Home,W 2–0,Chelsea,Everton,Y,WB,88,0,0,0,0,2,1,1,0,32,0,1,0,0.1,0.1,0.0,3,0,17,25,3,14,3,3,2,214,41,10,11,5,11,0,1,0.0,1,0,0,0,17,8,0,0,0,3,8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,12,19,3,97.0,74.0,2,2,1,0,14,2,14,0,0,0,15,1,2,13,11.8,2,0,0,0,3,4.1,1129,4.0,1,2017-08-27 12:30:00+00:00,27 Aug 13:30,0,0,88,0,0,0,0,5,3,0,37257,1,0,1,25.0,5,4497,7716,3219,65,0,2017-08-27
4,2017-09-09,Sat,4,Away,W 2–1,Chelsea,Leicester City,Y,WB,73,0,0,0,0,1,1,0,0,36,2,0,3,0.0,0.0,0.0,0,0,22,27,4,14,6,1,0,461,112,9,12,7,7,6,6,0.0,0,1,1,0,25,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,2,1,0,0,2,6,16,14,3,133.0,103.0,2,1,0,0,21,6,22,0,0,0,6,0,3,19,6.4,0,0,0,0,2,3.8,1660,18.8,0,2017-09-09 14:00:00+00:00,09 Sep 15:00,0,0,73,0,1,0,0,2,4,0,45642,0,0,0,13.0,2,1473,4870,3397,65,0,2017-09-09
5,2017-09-17,Sun,5,Home,D 0–0,Chelsea,Arsenal,Y,WB,90,0,0,0,0,2,0,0,0,62,3,1,1,0.1,0.1,0.1,1,0,29,44,2,22,1,3,0,561,110,8,13,18,21,2,6,0.1,1,1,1,1,28,15,1,0,0,4,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,1,3,1,3,12,26,25,3,138.0,53.0,1,1,2,2,23,6,25,0,0,0,22,1,3,16,15.6,0,0,0,1,2,5.8,2204,12.2,1,2017-09-17 12:30:00+00:00,17 Sep 13:30,0,0,90,0,1,0,0,9,5,0,45821,5,3,0,30.0,6,-2636,1217,3853,65,0,2017-09-17
6,2017-09-23,Sat,6,Away,W 4–0,Chelsea,Stoke City,Y,WB,90,0,0,0,0,1,0,0,0,48,2,0,0,0.1,0.1,0.1,1,0,27,38,1,14,1,3,1,525,134,12,15,10,14,4,7,0.0,1,2,1,0,29,9,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,1,0,4,20,13,16,1,68.0,35.0,1,0,0,0,20,3,28,0,0,0,19,1,1,20,12.0,1,0,0,0,2,2.5,2750,8.6,1,2017-09-23 14:00:00+00:00,23 Sep 15:00,0,0,90,0,0,0,0,7,6,0,49499,2,1,1,4.0,6,276,3684,3408,65,0,2017-09-23
7,2017-10-14,Sat,8,Away,L 1–2,Chelsea,Crystal Palace,Y,RM,39,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,25,28,0,18,2,0,0,331,44,16,16,7,8,0,0,0.0,0,0,0,0,24,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,19,10,0,122.0,100.0,1,0,0,0,18,6,24,0,0,0,3,0,1,21,1.8,0,0,0,0,0,0.4,3854,1.8,0,2017-10-14 14:00:00+00:00,14 Oct 15:00,0,0,39,0,0,0,0,2,8,0,51734,0,0,0,0.0,1,-3191,2111,5302,65,0,2017-10-14
8,2017-11-29,Wed,14,Home,W 1–0,Chelsea,Swansea City,N,WB,16,0,0,0,0,0,0,0,0,24,2,0,0,0.0,0.0,0.0,0,0,12,20,1,9,1,0,0,202,133,6,7,4,10,2,2,0.0,0,0,0,0,13,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,12,6,6,0,46.0,25.0,1,0,0,1,11,1,13,0,0,0,2,0,1,8,0.8,0,0,0,0,0,0.6,7238,5.6,0,2017-11-29 19:45:00+00:00,29 Nov 19:45,0,0,15,0,0,0,0,1,14,0,33700,1,0,0,0.0,1,58,538,480,64,0,2017-11-29
9,2017-12-02,Sat,15,Home,W 3–1,Chelsea,Newcastle Utd,Y,WB,90,0,1,0,0,4,1,0,0,86,3,2,0,0.2,0.2,0.6,3,2,56,70,1,41,3,3,1,871,202,32,37,20,26,3,4,0.5,1,1,0,0,58,12,0,0,1,4,12,0,0,2,0,0,0,1,0,1,0,0,0,1,0,3,0,3,0,1,1,0,0,0,0,0,0,22,31,34,8,215.0,80.0,1,1,1,2,53,11,54,1,0,1,37,0,2,46,18.2,0,0,0,0,1,12.3,7809,32.2,1,2017-12-02 12:30:00+00:00,02 Dec 12:30,0,0,90,1,1,0,0,10,15,0,34520,4,3,0,73.0,9,260,835,575,64,0,2017-12-02
10,2017-12-09,Sat,16,Away,L 0–1,Chelsea,West Ham,N,WB,36,0,0,0,0,0,0,0,0,30,0,1,0,0.0,0.0,0.0,0,0,17,27,3,15,2,2,2,304,83,6,10,9,12,1,3,0.0,0,3,0,0,20,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,11,10,9,1,89.0,55.0,0,1,0,3,15,4,20,0,0,0,2,0,1,12,1.3,1,0,0,0,0,0.9,8383,4.0,0,2017-12-09 12:30:00+00:00,09 Dec 12:30,0,0,35,0,0,0,0,4,16,0,49641,3,0,0,4.0,1,13091,14404,1313,64,0,2017-12-09
11,2017-12-12,Tue,17,Away,W 3–1,Chelsea,Huddersfield,Y,WB,90,0,0,0,0,1,0,0,0,88,0,1,1,0.0,0.0,0.0,0,0,63,76,4,46,5,3,2,915,97,34,35,24,31,3,5,0.0,0,0,0,0,65,10,1,0,0,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,23,27,40,3,273.0,182.0,3,1,1,1,58,21,60,0,0,0,15,0,4,54,7.1,2,0,0,0,0,3.9,8960,10.0,0,2017-12-12 20:00:00+00:00,12 Dec 20:00,0,0,90,2,0,0,0,10,17,0,49789,2,0,0,22.0,2,-575,2808,3383,64,0,2017-12-12
12,2017-12-16,Sat,18,Home,W 1–0,Chelsea,Southampton,Y,WB,81,0,0,0,0,0,0,0,0,52,0,2,2,0.0,0.0,0.1,3,0,32,42,0,17,2,3,1,625,169,13,15,14,17,5,7,0.2,2,0,2,2,26,16,0,0,0,3,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,12,17,24,2,107.0,49.0,2,0,1,0,18,5,23,0,0,1,26,1,3,17,30.5,2,0,0,0,0,4.8,9538,13.8,2,2017-12-16 15:00:00+00:00,16 Dec 15:00,0,0,81,0,2,0,0,4,18,0,50879,2,1,0,4.0,7,349,2973,2624,64,0,2017-12-16
13,2017-12-23,Sat,19,Away,D 0–0,Chelsea,Everton,Y,WB,80,0,0,0,0,1,0,0,0,78,2,0,0,0.0,0.0,0.0,4,0,52,69,5,39,7,4,1,846,215,30,37,14,20,7,9,0.2,0,0,5,1,59,9,0,0,1,9,9,0,1,2,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,17,13,48,3,247.0,173.0,0,1,1,0,50,22,50,0,0,0,26,1,0,42,11.1,1,0,0,0,0,2.5,10118,6.6,0,2017-12-23 12:30:00+00:00,23 Dec 12:30,0,0,80,0,1,0,0,7,19,0,55490,3,2,1,7.0,6,3229,5986,2757,64,0,2017-12-23
14,2017-12-26,Tue,20,Home,W 2–0,Chelsea,Brighton,Y,WB,90,0,0,0,0,2,1,0,0,62,1,1,1,0.5,0.5,0.0,2,0,39,56,4,36,5,1,1,587,142,22,27,11,18,3,5,0.0,1,2,0,0,50,6,1,0,0,6,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,1,0,0,0,11,13,39,3,195.0,125.0,1,0,0,1,37,10,45,0,1,0,21,1,1,35,15.6,1,0,0,0,1,6.2,10703,8.4,1,2017-12-26 15:00:00+00:00,26 Dec 15:00,0,0,90,0,0,0,0,7,20,0,60896,0,1,1,38.0,6,4440,6508,2068,64,0,2017-12-26
15,2017-12-30,Sat,21,Home,W 5–0,Chelsea,Stoke City,Y,RM,56,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,1,1,20,21,0,14,1,2,0,263,12,17,17,2,2,1,1,0.0,0,0,0,0,17,4,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,1,54.0,26.0,0,0,0,2,21,6,17,0,0,0,-2,0,1,16,2.0,0,0,0,0,0,0.4,11289,0.4,0,2017-12-30 15:00:00+00:00,30 Dec 15:00,0,0,56,1,0,0,0,1,21,0,74988,4,0,0,2.0,1,11969,15812,3843,64,0,2017-12-30
16,2018-01-03,Wed,22,Away,D 2–2,Chelsea,Arsenal,Y,WB,55,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.4,1,0,13,28,2,16,3,1,1,241,84,8,10,4,7,1,6,0.2,1,2,0,0,26,2,0,1,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,1,0,2,16,9,9,0,104.0,60.0,0,0,0,0,17,5,20,1,0,0,9,0,1,12,13.8,1,0,0,0,0,2.1,11815,6.8,1,2018-01-03 19:45:00+00:00,03 Jan 19:45,0,0,55,2,0,0,0,4,22,0,69636,0,1,0,0.0,1,-5821,3101,8922,64,0,2018-01-03
17,2018-01-13,Sat,23,Home,D 0–0,Chelsea,Leicester City,Y,"WB,RM",90,0,0,0,0,3,0,0,0,67,1,1,2,0.1,0.1,0.0,3,0,41,53,6,44,5,4,4,667,170,21,22,12,19,5,7,0.0,0,2,1,0,46,7,0,0,0,5,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,19,18,31,3,257.0,125.0,2,2,3,1,48,15,41,0,0,0,26,1,2,34,8.7,3,0,0,0,1,3.6,12467,8.2,0,2018-01-13 15:00:00+00:00,13 Jan 15:00,0,0,90,1,1,0,0,6,23,0,67634,1,1,2,19.0,6,-3410,5233,8643,64,0,2018-01-13
18,2018-01-20,Sat,24,Away,W 4–0,Chelsea,Brighton,Y,RM,90,1,0,0,0,1,1,0,0,46,1,0,0,0.5,0.5,0.0,1,0,31,39,2,21,3,1,1,562,152,14,16,14,17,3,5,0.0,0,0,1,1,30,9,0,0,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,16,13,19,4,102.0,75.0,0,1,1,0,28,3,27,0,0,2,44,1,0,23,6.7,1,0,0,0,0,7.0,13065,40.6,0,2018-01-20 12:30:00+00:00,20 Jan 12:30,0,0,90,0,1,0,0,4,24,0,69280,0,1,0,23.0,17,726,4458,3732,64,0,2018-01-20
19,2018-02-05,Mon,26,Away,L 1–4,Chelsea,Watford,Y,WB,90,0,0,0,0,0,0,0,0,50,0,0,2,0.0,0.0,0.1,3,0,30,42,3,29,1,4,4,460,62,16,18,13,16,1,6,0.0,1,0,1,0,38,4,0,0,0,3,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,15,15,20,2,138.0,101.0,0,1,1,1,30,9,35,0,0,0,13,0,2,26,13.6,4,0,0,0,2,2.7,14281,9.4,1,2018-02-05 20:00:00+00:00,05 Feb 20:00,0,0,90,0,0,0,0,6,26,0,103448,1,0,0,4.0,0,-5357,6762,12119,64,0,2018-02-05
20,2018-02-12,Mon,27,Home,W 3–0,Chelsea,West Brom,Y,WB,90,1,0,0,0,4,2,0,0,55,2,0,1,0.5,0.5,0.1,3,1,28,44,2,33,8,2,1,370,113,18,22,10,16,0,5,0.3,1,1,0,0,40,4,0,1,0,4,4,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,2,14,16,25,7,267.0,198.0,3,3,0,0,37,5,35,0,0,0,29,1,0,24,14.4,1,0,0,1,0,10.0,14906,37.2,1,2018-02-12 20:00:00+00:00,12 Feb 20:00,0,0,90,0,0,0,0,3,27,0,109368,1,0,2,48.0,12,3361,13903,10542,64,0,2018-02-12
21,2018-02-25,Sun,28,Away,L 1–2,Chelsea,Manchester Utd,Y,WB,77,0,0,0,0,1,1,0,0,54,4,0,2,0.0,0.0,0.0,0,0,23,39,2,29,8,3,1,353,126,10,13,7,12,2,5,0.0,0,1,1,0,34,4,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,3,4,1,0,2,2,0,5,18,19,17,5,213.0,178.0,1,3,0,0,25,7,31,0,0,0,6,0,1,20,1.4,1,0,0,0,1,3.3,15533,14.4,0,2018-02-25 14:05:00+00:00,25 Feb 14:05,0,0,77,1,0,0,0,4,28,0,116748,2,1,0,17.0,1,3779,14708,10929,64,0,2018-02-25
22,2018-03-04,Sun,29,Away,L 0–1,Chelsea,Manchester City,Y,"WB,RM",90,0,0,0,0,1,0,0,0,39,0,0,0,0.1,0.1,0.0,0,0,23,35,3,22,1,0,0,325,129,11,12,12,16,0,5,0.0,0,2,1,0,26,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,2,18,11,10,1,117.0,69.0,0,0,0,2,22,4,26,0,0,0,6,0,3,17,1.3,0,0,0,0,0,0.8,16163,2.2,0,2018-03-04 16:00:00+00:00,04 Mar 16:00,0,0,90,0,0,0,0,5,29,0,114278,1,0,1,4.0,2,-3320,4362,7682,64,0,2018-03-04
23,2018-04-01,Sun,32,Home,L 1–3,Chelsea,Tottenham,Y,WB,80,0,1,0,0,2,1,0,0,52,2,0,1,0.1,0.1,0.4,3,1,27,42,2,31,6,1,1,538,264,9,11,14,15,4,11,0.3,1,4,2,1,36,6,0,0,0,4,6,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,2,10,24,19,3,186.0,131.0,1,2,2,1,33,9,32,1,0,0,26,0,1,21,15.9,1,0,0,0,0,7.7,17697,30.2,1,2018-04-01 15:00:00+00:00,01 Apr 16:00,0,0,81,0,1,0,0,7,32,0,109636,1,2,0,31.0,4,-3157,2089,5246,65,0,2018-04-01
24,2018-04-08,Sun,33,Home,D 1–1,Chelsea,West Ham,Y,WB,77,0,0,0,0,2,0,0,0,54,4,0,2,0.1,0.1,0.0,3,1,35,42,3,30,1,3,1,556,193,21,23,9,10,5,6,0.2,1,0,2,1,34,8,0,0,0,3,8,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,2,3,1,0,2,0,0,0,13,20,21,3,118.0,50.0,0,0,0,2,31,5,31,0,0,0,14,0,1,26,17.0,1,0,0,0,0,3.9,18334,11.8,1,2018-04-08 15:30:00+00:00,08 Apr 16:30,0,0,77,0,1,0,0,7,33,0,114929,3,2,2,10.0,2,4341,7321,2980,65,0,2018-04-08
25,2018-04-14,Sat,34,Away,W 3–2,Chelsea,Southampton,N,FW,5,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,4,1,0,0,3.0,3.0,0,0,0,0,1,0,2,0,0,0,5,0,1,0,0.0,0,0,0,0,0,0.7,19049,7.0,0,2018-04-14 11:30:00+00:00,14 Apr 12:30,0,0,4,0,0,0,0,1,34,0,126040,0,1,0,0.0,1,7764,11840,4076,65,0,2018-04-14
26,2018-04-19,Thu,31,Away,W 2–1,Chelsea,Burnley,Y,WB,90,1,0,0,0,2,2,0,0,59,1,3,1,0.1,0.1,0.1,2,0,35,47,3,30,8,2,2,599,215,15,20,13,16,5,6,0.1,2,0,2,2,40,7,0,0,0,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,22,20,18,6,224.0,174.0,3,3,3,0,37,9,35,0,0,3,43,0,4,26,29.4,2,0,0,0,1,12.6,19048,54.6,2,2018-04-19 18:45:00+00:00,19 Apr 19:45,0,0,90,0,2,0,0,6,34,0,126040,0,1,0,42.0,14,7764,11840,4076,65,1,2018-04-19
27,2018-04-28,Sat,36,Away,W 1–0,Chelsea,Swansea City,Y,WB,90,0,0,0,0,2,0,1,0,41,1,0,3,0.4,0.4,0.0,2,0,25,34,1,22,4,2,2,450,123,15,17,7,10,3,3,0.0,0,0,0,0,26,7,0,0,0,3,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,2,11,11,20,6,133.0,87.0,1,2,1,0,23,4,24,0,0,0,19,1,2,20,6.1,2,0,0,0,2,4.6,20259,4.8,0,2018-04-28 16:30:00+00:00,28 Apr 17:30,0,0,90,0,1,0,0,5,36,0,144967,0,1,1,35.0,5,21666,24705,3039,65,0,2018-04-28
28,2018-05-06,Sun,37,Home,W 1–0,Chelsea,Liverpool,Y,WB,88,0,1,0,0,1,0,1,0,52,0,1,1,0.0,0.0,0.3,4,0,24,42,1,24,5,1,0,375,96,14,16,8,17,1,5,0.2,4,1,2,1,35,7,0,0,1,4,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,17,19,17,4,198.0,164.0,1,1,0,0,30,6,31,0,0,2,30,1,5,18,55.4,0,0,0,0,2,9.7,20957,31.2,4,2018-05-06 15:30:00+00:00,06 May 16:30,0,0,88,0,3,0,0,4,37,0,156897,1,0,1,10.0,10,10662,16200,5538,65,0,2018-05-06
29,2018-05-13,Sun,38,Away,L 0–3,Chelsea,Newcastle Utd,Y,WB,90,0,0,0,0,1,0,0,0,76,0,0,2,0.1,0.1,0.0,3,0,53,67,4,45,2,0,0,785,214,34,38,14,17,3,5,0.1,1,3,0,0,56,11,0,0,1,4,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,10,33,34,3,218.0,133.0,3,0,1,1,52,16,52,0,0,0,10,0,3,40,24.8,0,0,0,0,0,4.8,21923,11.8,1,2018-05-13 14:00:00+00:00,13 May 15:00,0,0,90,1,2,0,0,5,38,0,172762,1,0,1,11.0,1,13968,18460,4492,65,0,2018-05-13
