,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Home,L 0–3,Huddersfield,Chelsea,Y,FW,90,0,0,0,0,2,0,0,0,43,0,1,0,0.1,0.1,0.0,0,0,19,31,4,16,0,2,1,341,78,7,10,10,16,2,3,0.0,0,3,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,25,14,4,82.0,27.0,0,0,6,0,27,1,31,0,1,0,2,0,2,19,2.8,1,0,0,0,0,1.5,211,1.0,0,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,90,1,0,0,0,4,1,0,11803,1,0,2,11.0,2,0,0,0,60,0,2018-08-11
1,2018-08-19,Sun,2,Away,L 1–6,Huddersfield,Manchester City,Y,FW,83,0,1,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.6,3,1,10,19,1,10,0,0,0,117,24,6,9,3,5,0,1,0.3,2,1,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,2,6,10,9,3,19.0,3.0,0,0,1,1,20,3,19,1,0,0,18,0,3,10,22.5,0,0,0,0,1,5.0,736,19.6,2,2018-08-19 12:30:00+00:00,19 Aug 13:30,0,0,83,0,0,0,0,2,2,0,12086,1,0,1,8.0,5,-899,711,1610,60,0,2018-08-19
2,2018-08-25,Sat,3,Home,D 0–0,Huddersfield,Cardiff City,Y,FW,79,0,0,0,0,3,1,0,0,26,0,0,0,0.2,0.2,0.0,2,0,15,19,0,14,0,1,1,163,20,10,12,4,6,0,0,0.0,0,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,13,10,4,67.0,7.0,0,0,1,2,20,5,19,0,0,0,3,1,3,15,3.5,1,0,0,0,2,6.5,1263,6.6,0,2018-08-25 14:00:00+00:00,25 Aug 15:00,0,0,79,1,0,0,0,2,3,0,18574,2,0,0,55.0,2,4842,7751,2909,60,0,2018-08-25
3,2018-09-01,Sat,4,Away,D 1–1,Huddersfield,Everton,Y,FW,89,0,0,0,0,3,3,0,0,46,4,0,0,0.1,0.1,0.1,2,0,17,27,1,23,0,0,0,254,41,11,14,5,8,1,2,0.0,1,2,0,0,25,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,1,0,0,0,1,0,1,2,30,14,4,129.0,24.0,1,0,7,2,34,1,27,0,0,0,7,0,1,18,12.4,0,0,0,0,3,6.8,1794,18.6,1,2018-09-01 14:00:00+00:00,01 Sep 15:00,0,0,90,0,0,0,0,4,4,0,15755,2,2,0,37.0,2,-2791,1315,4106,60,0,2018-09-01
4,2018-09-15,Sat,5,Home,L 0–1,Huddersfield,Crystal Palace,Y,FW,90,0,0,0,0,3,1,0,0,29,0,0,0,0.3,0.3,0.0,2,0,12,21,1,14,0,0,0,140,16,9,12,3,6,0,1,0.1,1,0,0,0,17,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,18,11,85.0,19.0,1,0,2,2,23,3,19,0,1,0,-2,0,0,12,11.8,0,0,0,0,2,5.4,2331,0.0,1,2018-09-15 14:00:00+00:00,15 Sep 15:00,0,0,90,1,0,0,0,3,5,0,15861,2,0,2,43.0,2,-535,2196,2731,60,0,2018-09-15
5,2018-09-29,Sat,7,Home,L 0–2,Huddersfield,Tottenham,N,FW,6,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,4,0,3,0,0,0,38,0,0,2,2,2,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,9.0,0.0,0,0,1,1,4,1,4,0,0,0,1,0,0,2,0.5,0,0,0,0,1,2.2,3406,2.2,0,2018-09-29 14:00:00+00:00,29 Sep 15:00,0,0,5,0,0,0,0,1,7,0,11698,1,0,0,19.0,1,-2200,183,2383,59,0,2018-09-29
6,2018-10-06,Sat,8,Away,D 1–1,Huddersfield,Burnley,N,FW,32,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,9,0,3,1,0,0,33,13,4,7,0,1,0,0,0.0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,19.0,14.0,1,0,0,0,9,0,9,0,0,0,1,0,0,4,1.4,0,0,0,0,2,0.4,3945,0.0,0,2018-10-06 14:00:00+00:00,06 Oct 15:00,0,0,31,0,0,0,0,0,8,0,10770,0,0,0,4.0,1,-1052,147,1199,59,0,2018-10-06
7,2018-10-20,Sat,9,Home,L 0–1,Huddersfield,Liverpool,N,FW,21,0,0,0,0,2,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,4,6,0,8,0,1,0,52,0,3,4,1,2,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,37.0,2.0,0,0,3,0,10,2,6,0,0,0,-2,0,0,4,0.4,0,0,0,0,1,0.0,4487,0.0,0,2018-10-20 16:30:00+00:00,20 Oct 17:30,0,0,20,1,0,0,0,1,9,0,9833,1,0,2,5.0,1,-1074,173,1247,58,0,2018-10-20
8,2018-10-27,Sat,10,Away,L 0–3,Huddersfield,Watford,N,FW,28,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,1,0,6,7,1,8,1,1,1,77,14,4,5,2,2,0,0,0.0,1,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,35.0,19.0,1,0,2,1,10,2,7,0,0,0,1,0,1,6,11.3,1,0,0,0,2,1.4,5033,2.4,1,2018-10-27 14:00:00+00:00,27 Oct 15:00,0,0,27,1,0,0,0,1,10,0,9610,1,0,0,0.0,1,-330,254,584,58,0,2018-10-27
9,2018-11-05,Mon,11,Home,W 1–0,Huddersfield,Fulham,Y,FW,55,0,0,0,0,2,0,0,0,28,0,0,1,0.1,0.1,0.3,1,0,14,23,0,15,2,0,0,126,27,8,15,3,4,0,0,0.1,1,0,0,0,22,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,13,5,95.0,27.0,0,0,1,2,24,5,20,0,0,0,1,0,0,13,11.8,0,0,0,0,1,3.9,5581,0.0,1,2018-11-05 20:00:00+00:00,05 Nov 20:00,0,0,55,0,0,0,0,2,11,0,10105,1,0,1,28.0,1,328,1063,735,58,0,2018-11-05
