,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Home,W 1–0,Manchester Utd,Wolves,Y,CM,67,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,1,0,17,23,1,17,1,0,0,265,72,7,10,4,6,3,4,0.0,0,0,0,0,20,3,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,5,12,13,1,56.0,30.0,1,1,2,0,18,4,0,7,1,2.0,0.4,0.0,2023-08-14 19:00:00+00:00,67,0,1,0,298055,2.0,3,0,0,0,70,2023-08-14
1,2023-08-19,Sat,2,Away,L 0–2,Manchester Utd,Tottenham,Y,"DM,AM",84,0,0,0,0,0,0,0,0,27,1,0,3,0.0,0.0,0.0,3,0,16,20,3,13,1,1,0,280,146,6,7,6,6,2,4,0.0,2,2,0,0,18,2,0,1,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,2,0,0,1,4,15,8,0,65.0,31.0,0,0,1,0,14,2,0,9,0,28.0,3.9,11.0,2023-08-19 16:30:00+00:00,84,0,2,0,296832,0.0,2,-32556,8177,40733,70,2023-08-19
2,2023-09-30,Sat,7,Home,L 0–1,Manchester Utd,Crystal Palace,Y,DM,76,0,0,0,0,2,0,1,0,64,7,1,0,0.1,0.1,0.1,7,0,41,46,5,28,3,4,3,550,152,26,27,9,12,3,4,0.1,1,6,1,0,42,4,1,0,0,3,1,2,0,2,1,2,0,0,2,0,0,0,0,0,0,4,0,2,5,0,0,0,0,0,0,0,0,4,29,32,5,183.0,101.0,2,0,1,3,38,7,0,10,0,20.8,5.6,18.0,2023-09-30 14:00:00+00:00,76,0,7,0,99880,17.0,1,-646,4251,4897,68,2023-09-30
3,2023-10-07,Sat,8,Home,W 2–1,Manchester Utd,Brentford,Y,"AM,RW",62,0,0,0,0,1,0,0,0,35,0,0,0,0.1,0.1,0.1,3,0,24,30,2,20,0,1,0,255,60,18,20,4,6,0,0,0.1,1,2,2,0,28,2,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,25,5,60.0,21.0,1,0,1,2,30,6,0,3,0,16.3,3.2,0.4,2023-10-07 14:00:00+00:00,62,0,8,0,101092,15.0,2,5,3511,3506,68,2023-10-07
4,2023-10-21,Sat,9,Away,W 2–1,Manchester Utd,Sheffield Utd,N,LW,3,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,18,13,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,6.0,3.0,0,0,1,0,1,0,0,3,0,0.0,0.2,2.2,2023-10-21 19:00:00+00:00,2,0,9,0,101387,0.0,1,-770,2452,3222,68,2023-10-21
5,2023-10-29,Sun,10,Home,L 0–3,Manchester Utd,Manchester City,N,AM,45,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,0,0,5,9,0,5,0,0,0,66,3,4,7,1,1,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,5,7,2,0,13.0,1.0,0,0,2,0,8,2,0,6,0,0.5,0.5,4.2,2023-10-29 15:30:00+00:00,45,0,10,0,98045,0.0,1,-3731,477,4208,68,2023-10-29
6,2023-11-04,Sat,11,Away,W 1–0,Manchester Utd,Fulham,N,"DM,CM",12,0,0,0,0,0,0,0,0,12,2,0,1,0.0,0.0,0.0,0,0,7,10,1,9,0,0,0,94,43,6,7,0,0,1,2,0.0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,2,0,1,0,0,0,7,4,1,1,43.0,16.0,0,0,0,1,6,1,0,6,0,0.1,0.6,3.8,2023-11-04 12:30:00+00:00,11,0,11,0,96343,2.0,1,-2251,760,3011,68,2023-11-04
7,2023-11-11,Sat,12,Home,W 1–0,Manchester Utd,Luton Town,N,DM,51,0,0,0,0,0,0,0,0,30,4,0,1,0.0,0.0,0.0,3,0,18,23,3,14,1,2,1,243,81,12,14,4,5,0,1,0.1,1,3,2,1,23,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,1,1,0,1,0,0,1,6,10,15,2,184.0,47.0,0,0,1,0,15,4,0,7,0,18.6,3.6,13.4,2023-11-11 15:00:00+00:00,50,0,12,0,95443,4.0,1,-1363,791,2154,68,2023-11-11
8,2024-03-30,Sat,30,Away,D 1–1,Manchester Utd,Brentford,N,LW,11,1,0,0,0,1,1,0,0,9,0,0,1,0.1,0.1,0.0,0,0,3,4,0,7,0,2,0,28,2,2,2,1,1,0,0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,6,1,24.0,14.0,0,0,0,0,8,3,0,18,0,0.3,5.2,34.2,2024-03-30 20:00:00+00:00,10,0,30,0,83155,17.0,6,150,292,142,68,2024-03-30
9,2024-04-04,Thu,31,Away,L 3–4,Manchester Utd,Chelsea,N,LW,5,0,0,0,0,0,0,0,0,15,2,2,0,0.0,0.0,0.0,0,0,12,12,0,11,0,1,0,104,18,9,9,1,1,0,0,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,6,8,0,15.0,3.0,0,0,0,0,10,1,0,7,0,2.9,0.9,6.2,2024-04-04 19:15:00+00:00,4,0,31,0,84002,0.0,1,660,808,148,68,2024-04-04
10,2024-04-07,Sun,32,Home,D 2–2,Manchester Utd,Liverpool,N,AM,7,0,0,0,0,0,0,1,0,4,1,1,0,0.0,0.0,0.0,0,0,2,2,1,1,0,0,0,25,24,0,0,1,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0.0,0.0,0,0,0,0,1,0,0,-1,0,0.0,0.1,1.4,2024-04-07 14:30:00+00:00,6,0,32,0,84178,0.0,0,-13,334,347,68,2024-04-07
11,2024-04-13,Sat,33,Away,D 2–2,Manchester Utd,Bournemouth,N,DM,13,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,7,0,3,0,0,0,82,4,5,5,2,2,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,3,0,25.0,0.0,0,0,1,0,6,1,0,3,0,1.7,0.2,0.2,2024-04-13 16:30:00+00:00,12,0,33,0,84627,0.0,1,154,595,441,68,2024-04-13
12,2024-04-27,Sat,35,Home,D 1–1,Manchester Utd,Burnley,N,DM,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.1,1,0,2,2,1,2,1,0,0,56,54,1,1,0,0,1,1,0.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,1,0,0,12.0,12.0,0,0,0,0,0,0,0,4,0,10.1,1.5,4.4,2024-04-27 14:00:00+00:00,1,0,35,0,84746,0.0,1,-335,205,540,68,2024-04-27
