,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-19,Sat,2,Home,L 0–3,Fulham,Brentford,N,FW,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,8,0,1,1,0,1,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2.0,2.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-08-19 14:00:00+00:00,4,0,2,0,42124,0.0,1,-3849,1589,5438,45,2023-08-19
1,2023-09-02,Sat,4,Away,L 1–5,Fulham,Manchester City,N,FW,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,1,2,0,0,0,27,15,2,3,0,0,0,0,0.0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,9.0,0.0,0,0,0,3,3,0,0,0,0,0.5,0.5,0.2,2023-09-02 14:00:00+00:00,9,0,4,0,39433,4.0,1,-795,3715,4510,44,2023-09-02
2,2023-10-07,Sat,8,Home,W 3–1,Fulham,Sheffield Utd,N,FW,13,0,0,0,0,1,0,0,0,9,0,1,0,0.2,0.2,0.0,1,0,3,4,0,7,0,0,0,44,13,2,3,1,1,0,0,0.0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,5,3,30.0,5.0,0,0,0,2,8,1,0,3,0,11.2,2.8,5.4,2023-10-07 14:00:00+00:00,12,0,8,0,58583,11.0,1,-2790,4124,6914,44,2023-10-07
3,2023-10-29,Sun,10,Away,D 1–1,Fulham,Brighton,N,FW,33,0,0,0,0,1,1,1,0,8,0,0,0,0.1,0.1,0.2,0,0,1,4,0,6,0,0,0,8,7,1,2,0,1,0,1,0.0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,4,3,12.0,4.0,0,0,0,2,7,0,0,-4,0,10.1,3.5,4.2,2023-10-29 14:00:00+00:00,32,0,10,0,59736,21.0,0,-20,4090,4110,44,2023-10-29
4,2023-11-04,Sat,11,Home,L 0–1,Fulham,Manchester Utd,Y,FW,75,0,0,0,0,2,0,0,0,21,0,0,1,0.1,0.1,0.0,2,0,6,11,0,8,0,1,0,91,0,3,4,3,6,0,0,0.0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,13,6,32.0,3.0,0,0,2,1,15,1,0,1,1,11.7,2.4,0.0,2023-11-04 12:30:00+00:00,75,0,11,0,59916,16.0,2,-176,3813,3989,44,2023-11-04
5,2023-12-16,Sat,17,Away,L 0–3,Fulham,Newcastle Utd,N,FW,30,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,3,0,2,0,0,0,9,0,1,1,0,1,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2.0,0.0,0,0,0,0,4,1,0,2,0,0.1,0.2,0.0,2023-12-16 15:00:00+00:00,29,0,17,0,44952,4.0,1,-1121,1318,2439,44,2023-12-16
6,2023-12-23,Sat,18,Home,L 0–2,Fulham,Burnley,Y,FW,63,0,0,0,0,2,0,0,0,22,0,0,3,0.1,0.1,0.2,2,0,7,10,0,15,1,0,0,70,19,5,6,1,2,0,1,0.1,2,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,7,13,9,63.0,33.0,0,1,3,2,16,3,0,4,0,21.2,4.5,1.4,2023-12-23 15:00:00+00:00,63,0,18,0,47505,22.0,2,1912,3575,1663,44,2023-12-23
7,2023-12-26,Tue,19,Away,L 0–3,Fulham,Bournemouth,Y,FW,90,0,0,0,0,4,1,0,0,28,0,0,1,0.2,0.2,0.0,1,0,10,15,1,10,0,3,1,98,8,5,9,3,4,0,0,0.0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,18,9,6,17.0,5.0,0,0,2,1,23,7,0,4,0,3.0,4.8,10.2,2023-12-26 15:00:00+00:00,90,0,19,0,48230,35.0,2,611,2995,2384,44,2023-12-26
8,2024-01-13,Sat,21,Away,L 0–1,Fulham,Chelsea,N,AM,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,2,0,2,4,1,1,0,0,0,14,4,1,3,0,0,0,0,0.1,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2.0,2.0,0,0,1,0,3,1,0,4,0,10.5,1.7,2.2,2024-01-13 12:30:00+00:00,8,0,21,0,42497,4.0,1,-5129,1263,6392,44,2024-01-13
9,2024-01-30,Tue,22,Home,D 0–0,Fulham,Everton,N,FW,45,0,0,0,0,2,1,0,0,12,0,1,0,0.3,0.3,0.0,1,0,4,5,0,2,0,2,0,38,6,4,4,0,0,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,4,1,7.0,4.0,0,0,2,0,7,0,0,0,0,0.3,2.5,5.2,2024-01-30 19:45:00+00:00,45,0,22,0,41445,19.0,1,-1448,963,2411,44,2024-01-30
