,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–4,Luton Town,Brighton,Y,CM,90,0,0,0,0,1,0,0,0,32,3,0,2,0.0,0.0,0.0,1,0,19,21,0,13,0,0,0,264,54,10,11,8,8,0,1,0.0,1,1,0,0,19,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,3,1,1,1,0,0,5,15,14,3,0,107.0,16.0,1,0,1,1,11,2,0,9,0,10.8,2.6,12.8,2023-08-12 14:00:00+00:00,90,0,1,0,112853,2.0,2,0,0,0,45,2023-08-12
1,2023-08-25,Fri,3,Away,L 0–3,Luton Town,Chelsea,Y,CM,90,0,0,0,0,0,0,1,0,42,3,1,0,0.0,0.0,0.0,3,0,33,37,3,26,0,0,0,504,162,18,21,13,14,1,1,0.0,2,6,0,0,35,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,3,1,0,0,0,0,1,6,27,9,0,121.0,56.0,0,0,0,0,25,0,0,11,0,23.1,3.5,12.2,2023-08-25 19:00:00+00:00,90,0,3,0,109146,0.0,1,-13424,4746,18170,45,2023-08-25
2,2023-09-01,Fri,4,Home,L 1–2,Luton Town,West Ham,Y,CM,90,0,0,0,0,0,0,1,0,69,2,2,2,0.0,0.0,0.2,2,0,48,56,6,29,0,1,0,880,306,21,22,19,20,6,8,0.2,2,7,2,1,49,7,5,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,1,0,4,12,47,10,0,156.0,39.0,0,0,1,1,34,0,0,17,0,27.2,4.2,15.0,2023-09-01 19:00:00+00:00,90,0,4,0,97418,0.0,1,-12497,3352,15849,45,2023-09-01
3,2023-09-16,Sat,5,Away,L 0–1,Luton Town,Fulham,Y,CM,90,0,0,0,0,0,0,0,0,30,6,1,2,0.0,0.0,0.0,0,0,17,20,0,11,0,0,0,202,48,13,13,4,4,0,1,0.0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,3,5,2,2,0,1,0,0,13,17,0,0,44.0,5.0,0,0,0,0,11,0,0,19,0,0.7,2.4,23.2,2023-09-16 14:00:00+00:00,90,0,5,0,103354,0.0,2,2737,16770,14033,44,2023-09-16
4,2023-09-23,Sat,6,Home,D 1–1,Luton Town,Wolves,Y,CM,90,0,0,0,0,1,0,0,0,60,6,1,0,0.1,0.1,0.0,0,0,41,51,4,31,0,1,1,606,197,27,31,11,12,2,4,0.0,0,2,0,0,50,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,2,4,2,0,0,0,0,0,8,41,14,1,85.0,31.0,2,0,1,0,24,2,0,14,0,3.8,2.1,13.2,2023-09-23 14:00:00+00:00,90,0,6,0,107419,4.0,2,3783,12829,9046,44,2023-09-23
5,2023-09-30,Sat,7,Away,W 2–1,Luton Town,Everton,Y,CM,90,0,0,0,0,1,0,0,0,45,6,2,2,0.0,0.0,0.0,2,0,23,31,5,15,0,3,1,432,122,8,10,10,14,4,6,0.0,1,2,0,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,6,9,3,0,2,0,0,2,11,20,14,1,72.0,23.0,1,0,1,0,14,0,0,14,0,14.2,3.4,15.4,2023-09-30 14:00:00+00:00,90,0,7,0,120281,4.0,2,10638,21298,10660,44,2023-09-30
6,2023-10-03,Tue,2,Home,L 1–2,Luton Town,Burnley,Y,CM,90,0,0,0,0,0,0,1,0,50,5,0,3,0.0,0.0,0.0,2,0,31,36,5,16,0,0,0,460,121,13,14,9,10,3,4,0.0,0,3,0,0,35,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,3,3,0,0,3,0,0,2,14,26,11,0,59.0,14.0,2,0,2,0,19,0,0,8,0,3.0,1.4,11.0,2023-10-03 18:30:00+00:00,90,0,7,0,120281,0.0,1,10638,21298,10660,44,2023-10-03
7,2023-10-07,Sat,8,Home,L 0–1,Luton Town,Tottenham,Y,CM,90,0,0,0,0,1,0,0,0,44,5,0,3,0.0,0.0,0.1,1,0,25,32,4,20,0,2,1,442,167,13,14,10,13,2,4,0.1,1,2,0,0,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,7,4,0,3,3,1,5,9,22,14,1,60.0,33.0,1,0,1,1,24,0,0,4,0,12.3,2.8,12.2,2023-10-07 11:30:00+00:00,90,0,8,0,124520,3.0,2,4939,25596,20657,44,2023-10-07
8,2023-10-21,Sat,9,Away,D 2–2,Luton Town,Nott'ham Forest,Y,CM,90,0,0,0,0,1,0,0,0,57,1,1,1,0.0,0.0,0.0,1,0,43,48,5,15,0,0,0,668,214,20,22,16,16,4,5,0.0,0,0,0,0,47,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,1,0,1,9,36,14,0,87.0,35.0,0,0,1,0,29,0,0,12,0,3.6,1.0,5.4,2023-10-21 14:00:00+00:00,90,0,9,0,127787,1.0,2,2806,13761,10955,44,2023-10-21
9,2023-10-29,Sun,10,Away,L 1–3,Luton Town,Aston Villa,Y,CM,75,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,23,27,0,17,0,0,0,305,73,15,15,7,9,0,1,0.0,0,0,0,0,23,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,23,1,0,100.0,25.0,0,0,0,0,19,0,0,6,0,1.1,0.3,1.4,2023-10-29 14:00:00+00:00,75,0,10,0,137792,0.0,2,9658,23099,13441,44,2023-10-29
10,2023-11-05,Sun,11,Home,D 1–1,Luton Town,Liverpool,Y,CM,90,0,0,0,0,0,0,1,0,28,0,1,1,0.0,0.0,0.0,1,0,16,22,1,8,1,0,0,190,55,11,15,2,3,1,2,0.0,0,1,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,11,14,3,0,53.0,22.0,0,0,1,1,8,0,0,4,0,0.4,0.3,2.2,2023-11-05 16:30:00+00:00,90,0,11,0,153699,0.0,1,14828,23251,8423,44,2023-11-05
