,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2017-10-14,Sat,8,Home,W 2–0,Swansea City,Huddersfield,N,"AM,LM",15,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,7,8,0,7,1,0,0,71,9,7,7,0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,8,2,1,48.0,32.0,0,0,2,0,11,4,8,0,0,0,3,0,1,7,0.7,0,0,0,0,0,0.4,4118,1.0,0,2017-10-14 14:00:00+00:00,14 Oct 15:00,0,0,14,0,0,0,0,0,8,0,3762,0,0,0,2.0,1,1303,1740,437,44,0,2017-10-14
1,2017-10-21,Sat,9,Home,L 1–2,Swansea City,Leicester City,N,RW,35,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,3,0,17,21,1,12,5,1,1,267,40,8,10,8,9,0,0,0.0,1,1,0,0,21,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,9,12,2,145.0,109.0,3,1,0,1,19,6,19,0,0,0,6,0,0,17,17.5,2,0,0,0,1,3.5,4675,5.8,1,2017-10-21 14:00:00+00:00,21 Oct 15:00,0,0,34,0,1,0,0,4,9,0,5024,1,0,0,12.0,1,1001,1520,519,44,0,2017-10-21
2,2017-10-28,Sat,10,Away,L 1–2,Swansea City,Arsenal,N,"RM,CB",9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,0,5,1,0,0,99,4,3,3,3,3,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,35.0,13.0,1,0,0,1,5,0,6,0,0,0,2,0,0,6,0.8,0,0,0,0,0,0.1,5234,0.0,0,2017-10-28 14:00:00+00:00,28 Oct 15:00,0,0,8,0,0,0,0,0,10,0,5527,1,0,0,0.0,1,280,905,625,44,0,2017-10-28
3,2017-11-04,Sat,11,Home,L 0–1,Swansea City,Brighton,Y,RW,90,0,0,0,0,0,0,0,0,47,2,0,2,0.0,0.0,0.2,3,0,25,35,4,29,5,8,4,284,84,18,21,5,10,0,1,0.5,1,2,2,0,33,2,1,1,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,4,23,22,4,282.0,190.0,2,2,2,0,34,11,31,0,0,0,15,0,0,24,16.8,4,0,0,0,0,3.7,5797,12.2,1,2017-11-04 15:00:00+00:00,04 Nov 15:00,0,0,90,0,0,0,0,7,11,0,5788,4,2,0,8.0,2,108,537,429,44,0,2017-11-04
4,2017-11-18,Sat,12,Away,L 0–2,Swansea City,Burnley,Y,RW,90,0,0,0,0,0,0,1,0,56,0,0,1,0.0,0.0,0.0,5,0,33,50,2,35,2,5,3,508,129,25,29,6,13,2,3,0.0,1,6,2,1,48,2,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,36,14,0,306.0,98.0,2,0,1,4,46,8,45,0,0,0,-1,0,0,30,19.0,3,0,0,0,5,1.7,6363,0.0,1,2017-11-18 15:00:00+00:00,18 Nov 15:00,0,0,90,0,1,0,0,7,12,0,6645,6,0,0,0.0,1,541,1047,506,44,0,2017-11-18
5,2017-12-09,Sat,16,Home,W 1–0,Swansea City,West Brom,Y,RW,64,0,0,0,0,1,0,0,0,48,4,1,0,0.0,0.0,0.0,1,0,27,40,2,30,5,2,1,364,83,19,21,7,12,1,3,0.0,1,0,1,0,38,2,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,6,21,21,2,362.0,130.0,4,1,2,2,37,3,36,0,0,0,13,1,2,27,15.3,1,0,0,0,1,4.7,8647,11.2,1,2017-12-09 15:00:00+00:00,09 Dec 15:00,0,0,64,0,0,0,0,4,16,0,6468,2,2,0,20.0,3,-217,191,408,44,0,2017-12-09
6,2017-12-13,Wed,17,Home,L 0–4,Swansea City,Manchester City,Y,RW,64,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,1,0,8,11,1,9,1,2,2,104,16,4,4,4,6,0,0,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,5,0,0,0,0,0,7,7,2,0,68.0,16.0,1,0,2,1,8,1,11,0,0,0,10,0,1,8,2.5,2,0,0,0,0,0.7,9224,4.4,0,2017-12-13 19:45:00+00:00,13 Dec 19:45,0,0,64,0,0,0,0,4,17,0,6500,1,1,0,0.0,2,-23,218,241,44,0,2017-12-13
7,2017-12-18,Mon,18,Away,L 1–3,Swansea City,Everton,Y,LW,73,0,0,0,0,1,0,1,0,39,0,1,1,0.0,0.0,0.0,1,0,25,27,2,26,3,5,0,299,33,18,18,6,7,0,0,0.0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,18,17,2,250.0,114.0,6,0,2,1,32,5,26,0,0,0,-4,0,2,26,4.3,0,0,0,0,1,0.9,9802,0.0,0,2017-12-18 20:00:00+00:00,18 Dec 20:00,0,0,73,0,0,0,0,2,18,0,6429,6,0,1,5.0,1,-114,118,232,44,0,2017-12-18
8,2017-12-23,Sat,19,Home,D 1–1,Swansea City,Crystal Palace,Y,LW,90,0,0,0,0,0,0,0,0,62,1,1,0,0.0,0.0,0.0,1,0,43,52,3,42,9,8,5,562,88,27,30,11,16,1,2,0.0,0,1,0,0,52,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,1,4,21,37,3,399.0,211.0,10,0,4,1,53,16,49,0,0,0,13,0,1,42,8.6,5,0,0,0,1,2.2,10382,9.0,0,2017-12-23 15:00:00+00:00,23 Dec 15:00,0,0,90,0,0,0,0,5,19,0,6324,4,1,0,4.0,2,-174,189,363,44,0,2017-12-23
9,2017-12-30,Sat,21,Away,W 2–1,Swansea City,Watford,N,LM,10,0,0,0,0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,1,1,1,1,1,3,1,0,0,16,9,0,0,1,1,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,39.0,36.0,0,0,0,0,2,0,1,0,0,0,12,0,0,1,0.1,0,0,0,0,0,1.0,11552,3.2,0,2017-12-30 15:00:00+00:00,30 Dec 15:00,0,0,9,0,0,0,0,1,21,0,6200,0,0,0,7.0,4,-170,175,345,44,0,2017-12-30
