,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Away,L 0–1,Wolves,Manchester Utd,Y,"RM,RW",90,0,0,0,0,3,2,1,0,59,0,0,0,0.9,0.9,0.4,6,0,29,49,2,33,7,7,4,482,180,14,18,9,12,4,12,0.4,4,0,3,2,41,8,2,0,0,15,0,6,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,22,37,6,250.0,148.0,3,1,2,0,35,7,0,19,0,65.4,13.1,20.0,2023-08-14 19:00:00+00:00,90,0,1,0,13344,46.0,1,0,0,0,55,2023-08-14
1,2023-08-19,Sat,2,Home,L 1–4,Wolves,Brighton,Y,RM,90,0,0,0,0,2,0,0,0,48,1,1,0,0.1,0.1,0.0,3,0,27,36,6,39,9,5,3,357,104,19,21,6,10,1,2,0.0,2,1,1,0,35,0,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,16,30,8,365.0,173.0,4,5,3,2,42,14,0,7,0,24.3,5.6,9.0,2023-08-19 14:00:00+00:00,90,0,2,0,24430,23.0,2,5287,7679,2392,55,2023-08-19
2,2023-08-26,Sat,3,Away,W 1–0,Wolves,Everton,Y,RM,90,0,1,0,0,1,0,0,0,58,0,0,0,0.0,0.0,0.4,5,1,41,47,3,39,3,4,1,647,156,27,27,5,10,7,8,0.4,4,2,2,2,42,5,3,0,1,7,2,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,20,3,331.0,125.0,3,1,5,1,43,11,1,29,1,61.0,9.5,26.0,2023-08-26 14:00:00+00:00,90,0,3,0,23316,8.0,7,-2117,2841,4958,55,2023-08-26
3,2023-09-03,Sun,4,Away,L 2–3,Wolves,Crystal Palace,Y,LM,90,0,2,0,0,3,2,0,0,64,1,1,1,0.1,0.1,0.6,5,2,43,56,7,25,5,3,1,698,248,24,26,12,15,5,11,0.5,3,3,6,3,44,12,4,0,1,11,6,2,0,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,4,23,39,2,222.0,135.0,4,1,0,1,43,9,2,43,0,51.6,13.5,54.4,2023-09-03 13:00:00+00:00,90,0,4,0,24684,29.0,10,-106,2721,2827,55,2023-09-03
4,2023-09-16,Sat,5,Home,L 1–3,Wolves,Liverpool,Y,LW,90,0,1,0,0,1,0,0,0,39,1,1,1,0.0,0.0,0.2,7,2,25,32,1,31,6,6,4,423,166,14,17,8,11,3,4,0.7,4,1,1,0,27,5,1,0,0,6,0,4,0,2,3,2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,6,16,19,7,268.0,131.0,3,5,2,1,26,10,0,22,0,54.9,10.5,33.2,2023-09-16 11:30:00+00:00,90,0,5,0,43243,17.0,5,13979,19034,5055,55,2023-09-16
5,2023-09-23,Sat,6,Away,D 1–1,Wolves,Luton Town,Y,"RM,RW",90,1,0,0,0,1,1,0,0,36,0,0,0,0.1,0.1,0.1,2,0,17,22,2,28,5,4,2,210,66,14,15,2,3,1,3,0.1,1,0,1,0,20,2,1,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,6,12,18,3,194.0,110.0,1,2,6,2,26,4,2,24,0,18.2,7.6,36.8,2023-09-23 14:00:00+00:00,90,0,6,0,255270,21.0,9,193004,206001,12997,55,2023-09-23
6,2023-09-30,Sat,7,Home,W 2–1,Wolves,Manchester City,Y,RW,90,0,0,0,0,0,0,1,0,33,0,0,1,0.0,0.0,0.0,0,0,14,21,0,27,5,3,1,173,0,12,14,2,5,0,1,0.0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,5,15,16,1,307.0,215.0,7,1,4,2,22,3,0,9,0,1.8,0.2,0.0,2023-09-30 14:00:00+00:00,90,0,7,0,370406,2.0,4,115384,172898,57514,56,2023-09-30
7,2023-10-08,Sun,8,Home,D 1–1,Wolves,Aston Villa,Y,RW,90,0,1,0,0,1,0,0,0,37,0,0,0,0.6,0.6,0.4,3,1,18,31,0,17,2,3,2,312,12,10,12,5,8,2,6,0.1,2,0,0,0,26,4,2,1,0,8,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,19,4,157.0,84.0,2,3,3,0,26,6,0,17,0,25.8,5.5,19.2,2023-10-08 13:00:00+00:00,90,0,8,0,792719,10.0,5,394010,482831,88821,57,2023-10-08
8,2023-10-21,Sat,9,Away,W 2–1,Wolves,Bournemouth,Y,RW,90,0,1,0,0,4,0,1,0,73,0,0,1,0.3,0.3,0.4,8,1,52,63,7,47,6,6,2,862,165,28,31,18,21,5,6,0.3,4,2,4,0,57,6,2,0,0,9,1,3,0,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,51,10,318.0,199.0,4,3,2,0,57,10,0,18,0,62.8,11.3,22.4,2023-10-21 14:00:00+00:00,90,0,9,0,1069520,28.0,4,275499,315689,40190,58,2023-10-21
9,2023-10-28,Sat,10,Home,D 2–2,Wolves,Newcastle Utd,Y,RM,76,0,1,0,0,2,1,0,0,45,1,0,0,0.1,0.1,0.1,4,2,23,36,3,26,3,5,3,411,97,12,15,8,12,3,8,0.1,1,0,2,1,27,9,2,0,0,8,0,7,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,5,11,29,3,264.0,108.0,4,2,4,0,32,7,0,18,0,22.3,7.2,27.0,2023-10-28 16:30:00+00:00,76,0,10,0,983472,23.0,5,-75194,79555,154749,58,2023-10-28
