,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-10-15,Sat,11,Home,D 0–0,Leicester City,Crystal Palace,N,DM,26,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,0,0,21,22,0,16,0,0,0,243,41,15,16,6,6,0,0,0.0,0,2,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,4,0,87.0,23.0,1,0,0,0,17,0,0,3,0,1.8,0.4,2.4,2022-10-15 11:30:00+00:00,25,0,11,0,52443,0.0,1,-5551,849,6400,43,2022-10-15
1,2022-10-20,Thu,12,Home,W 2–0,Leicester City,Leeds United,N,"DM,CM",27,0,0,0,0,0,0,0,0,9,0,0,2,0.0,0.0,0.0,0,0,6,7,1,2,0,0,0,92,23,3,3,3,4,0,0,0.0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,7,0,0,1.0,1.0,0,0,0,0,4,0,0,3,0,0.2,0.1,0.4,2022-10-20 19:15:00+00:00,26,0,12,0,54064,0.0,1,-212,1737,1949,43,2022-10-20
2,2022-10-23,Sun,13,Away,W 4–0,Leicester City,Wolves,N,DM,30,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,12,17,1,10,0,0,0,201,26,5,6,5,7,1,1,0.0,0,1,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,11,1,0,74.0,10.0,0,0,0,0,14,0,0,4,0,0.3,0.1,0.4,2022-10-23 13:00:00+00:00,29,0,13,0,53730,0.0,1,319,1890,1571,43,2022-10-23
3,2022-10-29,Sat,14,Home,L 0–1,Leicester City,Manchester City,N,CM,45,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,16,18,0,11,0,1,1,249,21,8,10,8,8,0,0,0.0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,9,1,0,47.0,7.0,0,0,0,0,14,1,0,3,0,0.6,0.6,5.2,2022-10-29 11:30:00+00:00,45,0,14,0,54998,0.0,1,646,3287,2641,43,2022-10-29
4,2022-11-05,Sat,15,Away,W 2–0,Leicester City,Everton,N,CM,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,0,1,0,0,0,35,4,3,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7.0,0.0,0,0,0,0,2,0,0,3,0,0.0,0.0,0.2,2022-11-05 17:30:00+00:00,1,0,15,0,51983,0.0,1,-3191,915,4106,43,2022-11-05
5,2022-11-12,Sat,16,Away,W 2–0,Leicester City,West Ham,N,DM,23,0,0,0,0,1,0,0,0,19,0,3,0,0.1,0.1,0.0,1,0,11,14,1,12,0,0,0,146,22,6,6,2,2,1,1,0.0,0,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,2,0,33.0,6.0,0,0,0,0,13,0,0,3,0,0.5,0.3,1.4,2022-11-12 15:00:00+00:00,21,0,16,0,50748,1.0,1,-1548,617,2165,43,2022-11-12
6,2023-01-03,Tue,19,Home,L 0–1,Leicester City,Fulham,N,DM,19,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,19,21,0,16,1,0,0,321,38,11,11,6,7,1,2,0.0,0,1,0,0,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,18,2,0,134.0,49.0,1,0,0,0,17,1,0,3,0,1.2,0.2,1.0,2023-01-03 19:45:00+00:00,18,0,19,0,48041,0.0,1,-761,193,954,43,2023-01-03
7,2023-01-14,Sat,20,Away,L 0–2,Leicester City,Nott'ham Forest,Y,DM,67,0,0,0,0,0,0,0,0,47,1,1,3,0.0,0.0,0.0,2,0,37,41,6,19,0,0,0,656,160,13,15,20,21,3,4,0.0,0,4,0,0,41,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,1,2,0,0,1,18,26,3,0,124.0,59.0,0,0,0,0,32,1,0,15,0,1.5,1.1,9.2,2023-01-14 15:00:00+00:00,67,0,20,0,47389,0.0,2,-848,316,1164,43,2023-01-14
8,2023-01-21,Sat,21,Home,D 2–2,Leicester City,Brighton,Y,CM,90,0,0,0,0,0,0,0,0,46,2,0,0,0.0,0.0,0.0,0,0,33,40,0,28,0,0,0,493,155,19,21,14,16,0,3,0.0,0,0,0,0,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,0,0,0,0,1,14,30,2,0,107.0,40.0,0,0,2,0,36,0,0,10,0,1.5,0.9,7.2,2023-01-21 15:00:00+00:00,90,0,21,0,46869,0.0,2,-616,262,878,43,2023-01-21
9,2023-02-04,Sat,22,Away,W 4–2,Leicester City,Aston Villa,N,"DM,CM",24,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,1,1,0,1,1,29,20,3,4,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,2,1,0,13.0,8.0,0,0,0,0,2,0,0,3,0,0.3,0.2,1.6,2023-02-04 15:00:00+00:00,23,0,22,0,46298,0.0,1,-755,481,1236,43,2023-02-04
