,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-09-18,Sat,5,Home,L 1–3,Norwich City,Watford,Y,CM,69,0,1,0,0,2,1,0,0,44,2,2,2,0.0,0.0,0.3,1,1,24,34,8,13,1,0,0,588,279,8,9,9,13,7,11,0.2,1,8,3,0,28,6,3,1,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,1,0,2,1,0,2,12,22,10,0,62.0,47.0,1,0,0,0,19,0,0,20,0,14.3,5.7,28.0,2021-09-18 14:00:00+00:00,69,0,5,0,1956,15.0,5,332,727,395,45,2021-09-18
1,2021-09-25,Sat,6,Away,L 0–2,Norwich City,Everton,Y,CM,68,0,0,0,0,3,2,0,0,54,1,2,0,0.1,0.1,0.0,4,0,32,44,4,29,1,4,2,658,229,14,18,11,13,6,11,0.1,1,3,0,0,41,3,0,0,2,4,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,17,26,12,0,129.0,47.0,2,0,0,1,39,1,0,8,0,15.5,4.3,12.8,2021-09-25 14:00:00+00:00,68,0,6,0,8067,15.0,2,5022,6180,1158,45,2021-09-25
2,2021-10-02,Sat,7,Away,D 0–0,Norwich City,Burnley,Y,CM,90,0,0,0,0,2,1,1,0,67,2,0,3,0.3,0.3,0.0,3,0,32,47,4,33,3,3,2,684,273,13,14,10,16,8,14,0.1,2,3,1,0,41,6,0,0,4,7,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,3,0,8,0,10,29,26,13,2,218.0,130.0,0,1,0,0,35,0,0,18,1,33.1,9.6,43.4,2021-10-02 14:00:00+00:00,90,0,7,0,9574,19.0,2,1441,3127,1686,45,2021-10-02
3,2021-10-16,Sat,8,Home,D 0–0,Norwich City,Brighton,Y,CM,82,0,0,0,0,3,0,0,0,37,0,1,0,0.1,0.1,0.0,5,0,15,29,1,12,1,2,2,400,238,4,6,7,14,4,8,0.0,0,2,1,1,22,7,3,0,3,7,0,4,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,14,14,0,53.0,28.0,0,0,3,2,16,0,0,8,1,8.1,2.9,4.0,2021-10-16 14:00:00+00:00,82,0,8,0,13805,17.0,3,4065,8844,4779,45,2021-10-16
4,2021-10-23,Sat,9,Away,L 0–7,Norwich City,Chelsea,Y,CM,90,0,0,0,0,1,0,1,0,47,0,0,0,0.0,0.0,0.0,2,0,27,38,1,30,1,2,2,574,169,8,12,11,14,6,10,0.0,0,1,0,0,35,3,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,17,24,6,0,149.0,50.0,0,0,4,2,39,0,0,-2,0,4.8,0.9,0.0,2021-10-23 11:30:00+00:00,90,0,9,0,15852,8.0,1,1841,3303,1462,45,2021-10-23
5,2021-10-31,Sun,10,Home,L 1–2,Norwich City,Leeds United,Y,CM,90,0,0,0,0,2,0,0,0,49,3,1,3,0.0,0.0,0.0,2,0,20,36,4,23,0,5,4,424,183,6,9,10,13,4,13,0.1,1,2,1,0,35,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3,1,1,2,0,0,2,16,27,8,0,124.0,53.0,0,0,2,1,25,1,0,8,0,14.0,3.0,14.0,2021-10-31 14:00:00+00:00,90,0,10,0,15540,2.0,2,-371,1323,1694,45,2021-10-31
6,2021-11-06,Sat,11,Away,W 2–1,Norwich City,Brentford,Y,DM,90,1,0,0,0,2,1,1,0,53,3,2,1,0.1,0.1,0.0,1,1,23,36,5,20,2,2,1,457,164,8,10,12,18,3,7,0.2,0,2,0,0,35,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,2,1,0,1,5,0,4,25,27,3,0,103.0,66.0,0,0,2,0,20,0,3,26,0,3.7,5.6,44.2,2021-11-06 15:00:00+00:00,90,0,11,0,15932,8.0,9,240,1416,1176,45,2021-11-06
7,2021-11-20,Sat,12,Home,W 2–1,Norwich City,Southampton,Y,CM,90,0,0,0,0,1,0,1,0,57,3,1,0,0.0,0.0,0.1,2,0,28,46,5,33,0,1,0,556,177,14,17,7,18,5,7,0.0,1,7,0,0,45,1,1,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,4,3,0,0,3,0,5,15,35,7,0,96.0,28.0,0,0,2,0,31,1,0,5,0,12.0,2.6,13.4,2021-11-20 15:00:00+00:00,90,0,12,0,34492,1.0,1,16771,19220,2449,45,2021-11-20
8,2021-11-27,Sat,13,Home,D 0–0,Norwich City,Wolves,Y,DM,34,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,1,0,13,20,2,14,0,0,0,278,110,5,8,7,8,1,4,0.0,0,2,1,0,18,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,2,0,48.0,16.0,0,0,0,0,11,0,0,3,0,0.5,0.0,0.0,2021-11-27 15:00:00+00:00,34,0,13,0,48845,0.0,1,14034,17933,3899,45,2021-11-27
9,2022-02-09,Wed,24,Home,D 1–1,Norwich City,Crystal Palace,N,CM,17,0,0,0,0,0,0,0,0,10,0,1,1,0.0,0.0,0.0,0,0,3,8,0,4,0,0,0,69,57,2,4,0,2,1,2,0.0,0,2,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,4,7,0,0,8.0,2.0,0,0,0,0,1,0,0,3,0,0.2,0.2,1.6,2022-02-09 19:45:00+00:00,15,0,24,0,10031,0.0,1,-414,125,539,45,2022-02-09
