,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,"CM,LM",90,0,0,0,0,2,1,0,0,57,1,1,3,0.0,0.0,0.1,4,0,35,49,4,26,0,0,0,792,351,12,13,12,19,11,16,0.1,2,5,0,0,41,8,3,0,0,5,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,2,1,0,2,11,34,12,0,81.0,18.0,0,0,1,1,32,1,0,11,0,29.9,5.5,17.0,2023-08-12 14:00:00+00:00,90,0,1,0,2002,8.0,2,0,0,0,50,2023-08-12
1,2023-08-18,Fri,2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,CM,90,0,0,0,0,0,0,1,0,87,3,1,0,0.0,0.0,0.0,1,0,59,78,6,42,0,0,0,1181,413,18,20,31,35,10,22,0.2,0,4,1,0,73,5,2,1,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,2,0,0,0,2,0,4,27,44,16,1,186.0,77.0,1,0,2,0,59,0,0,15,0,11.1,2.9,15.6,2023-08-18 18:45:00+00:00,90,0,2,0,3404,2.0,1,520,925,405,50,2023-08-18
2,2023-08-27,Sun,3,Home,L 1–2,Sheffield Utd,Manchester City,Y,CM,79,0,0,0,0,0,0,0,0,27,2,0,2,0.0,0.0,0.0,1,0,12,16,0,6,0,0,0,292,181,4,5,4,5,4,5,0.0,1,3,0,0,15,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,1,2,0,7,0,10,17,7,3,0,19.0,3.0,0,0,0,0,11,0,0,16,0,14.6,4.0,25.2,2023-08-27 13:00:00+00:00,79,0,3,0,2555,0.0,2,-921,141,1062,50,2023-08-27
3,2023-09-02,Sat,4,Home,D 2–2,Sheffield Utd,Everton,Y,CM,90,0,0,0,0,1,0,0,0,71,2,0,0,0.0,0.0,0.2,5,0,46,65,4,40,0,0,0,835,353,21,23,14,17,8,20,0.1,2,5,1,0,55,9,6,0,1,4,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,1,0,0,1,0,1,25,36,10,0,165.0,68.0,0,0,1,1,44,0,0,19,0,29.8,4.4,13.2,2023-09-02 11:30:00+00:00,90,0,4,0,3503,1.0,2,550,1026,476,50,2023-09-02
4,2023-09-16,Sat,5,Away,L 1–2,Sheffield Utd,Tottenham,N,CM,21,0,0,0,0,1,1,0,0,15,4,1,2,0.0,0.0,0.0,0,0,2,7,0,3,0,0,0,28,17,1,1,1,2,0,4,0.0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,2,0,0,0,3,10,2,0,2.0,0.0,0,0,0,0,4,0,0,3,0,0.0,2.5,12.2,2023-09-16 14:00:00+00:00,20,0,5,0,2898,13.0,1,-793,137,930,50,2023-09-16
5,2023-09-24,Sun,6,Home,L 0–8,Sheffield Utd,Newcastle Utd,Y,CM,61,0,0,0,0,0,0,0,0,57,2,0,0,0.0,0.0,0.0,0,0,39,55,3,22,0,0,0,638,190,17,20,14,17,4,12,0.0,0,1,0,0,50,5,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,0,0,0,0,2,19,34,4,0,62.0,9.0,0,0,0,0,35,1,0,11,0,1.1,0.7,5.8,2023-09-24 15:30:00+00:00,61,0,6,0,2714,0.0,2,-276,92,368,49,2023-09-24
6,2023-10-07,Sat,8,Away,L 1–3,Sheffield Utd,Fulham,Y,CM,90,0,0,0,0,1,0,1,0,77,3,1,0,0.0,0.0,0.1,4,0,57,71,5,26,0,0,0,1251,522,19,23,24,27,13,19,0.1,2,4,0,0,65,6,3,0,1,4,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,3,3,0,0,2,5,3,0,0,1,0,4,21,46,11,0,91.0,48.0,1,0,0,1,44,0,0,16,0,35.2,5.3,15.6,2023-10-07 14:00:00+00:00,90,0,8,0,2608,2.0,1,-58,142,200,49,2023-10-07
7,2023-10-21,Sat,9,Home,L 1–2,Sheffield Utd,Manchester Utd,Y*,CM,90,0,0,0,0,1,1,0,0,68,1,4,1,0.1,0.1,0.0,2,0,33,57,4,28,0,0,0,734,320,11,15,11,18,10,20,0.0,1,7,0,0,46,11,8,0,1,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,3,0,4,20,34,15,1,51.0,14.0,0,0,1,0,39,2,0,11,0,16.2,4.2,16.8,2023-10-21 19:00:00+00:00,90,0,9,0,2515,9.0,2,-137,61,198,49,2023-10-21
8,2023-10-28,Sat,10,Away,L 0–5,Sheffield Utd,Arsenal,Y*,CM,90,0,0,0,0,0,0,1,0,68,1,3,3,0.0,0.0,0.0,0,0,36,54,3,36,0,0,0,673,276,18,25,11,15,5,11,0.0,0,5,0,0,52,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,2,6,0,9,29,33,6,0,124.0,72.0,1,0,1,0,40,1,0,7,0,2.2,1.7,14.6,2023-10-28 14:00:00+00:00,90,0,10,0,2495,0.0,1,-46,75,121,48,2023-10-28
9,2023-11-04,Sat,11,Home,W 2–1,Sheffield Utd,Wolves,Y*,CM,90,1,0,1,1,3,0,0,0,60,2,0,1,0.8,0.0,0.0,3,0,32,49,6,28,0,1,0,538,278,17,21,9,14,4,12,0.1,1,5,2,1,47,2,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,2,0,2,9,37,14,2,107.0,52.0,1,0,0,0,34,0,3,28,0,16.3,8.4,43.8,2023-11-04 15:00:00+00:00,90,0,11,0,2551,24.0,10,35,127,92,48,2023-11-04
