,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,Y,"RW,FW",90,0,0,0,0,4,1,0,0,60,0,1,0,0.2,0.2,0.2,6,0,34,44,1,37,3,4,2,457,55,23,26,10,15,1,2,0.2,3,0,0,0,40,3,0,1,0,3,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,17,38,9,173.0,74.0,1,3,4,1,44,11,0,9,0,43.9,10.3,7.6,2021-08-13 19:00:00+00:00,90,0,1,0,243459,51.0,2,0,0,0,75,2021-08-13
1,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,RW,90,0,0,0,0,0,0,0,0,44,0,1,1,0.0,0.0,0.0,2,0,23,34,2,18,1,3,3,434,85,10,11,9,13,3,9,0.0,0,1,0,0,24,10,0,0,0,9,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,16,24,0,105.0,44.0,1,0,3,1,24,3,0,4,0,8.3,1.1,2.6,2021-08-22 15:30:00+00:00,90,0,2,0,170310,0.0,2,-86710,4955,91665,74,2021-08-22
2,2021-09-11,Sat,4,Home,W 1–0,Arsenal,Norwich City,Y,RW,90,0,1,0,0,6,2,0,0,76,2,1,2,0.5,0.5,1.3,12,1,36,46,4,43,4,8,3,645,221,17,20,14,15,4,8,0.3,6,3,2,1,36,9,1,0,0,9,0,8,1,4,5,2,1,0,0,0,0,0,1,0,0,1,2,0,0,2,3,1,0,2,1,0,2,14,18,47,12,260.0,73.0,1,4,7,3,42,15,0,22,1,84.7,21.7,40.2,2021-09-11 14:00:00+00:00,90,0,4,0,115338,92.0,6,-20455,24313,44768,72,2021-09-11
3,2021-09-18,Sat,5,Away,W 1–0,Arsenal,Burnley,Y,"RM,RW",90,0,0,0,0,2,1,0,0,56,1,2,0,0.3,0.3,0.1,3,0,31,41,2,28,3,4,2,414,128,19,24,9,11,1,2,0.2,2,2,0,0,38,3,0,0,0,3,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,11,20,26,6,176.0,85.0,3,2,3,3,34,8,0,7,1,27.6,8.7,11.2,2021-09-18 14:00:00+00:00,90,0,5,0,128512,48.0,3,8122,27494,19372,72,2021-09-18
4,2021-10-02,Sat,7,Away,D 0–0,Arsenal,Brighton,N,LW,28,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,9,13,2,7,1,2,0,166,52,3,3,4,6,1,2,0.0,0,0,2,0,9,4,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,3,13,2,66.0,20.0,1,0,1,1,9,4,0,3,0,6.6,1.3,2.4,2021-10-02 16:30:00+00:00,27,0,7,0,98171,4.0,1,-16917,5423,22340,71,2021-10-02
5,2021-10-18,Mon,8,Home,D 2–2,Arsenal,Crystal Palace,Y,"RM,RW",90,0,0,0,0,3,1,0,0,69,1,2,3,0.2,0.2,0.0,6,1,36,47,1,33,1,6,1,496,100,21,21,10,13,2,5,0.1,0,1,2,2,42,5,0,0,0,7,1,4,0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,2,0,3,0,0,1,9,15,45,8,70.0,23.0,0,1,5,1,47,9,0,17,0,15.3,7.0,11.6,2021-10-18 19:00:00+00:00,90,0,8,0,88868,43.0,5,-10941,2898,13839,71,2021-10-18
6,2021-10-30,Sat,10,Away,W 2–0,Arsenal,Leicester City,N,RM,6,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,11,0,8,1,3,2,159,24,6,6,3,4,1,1,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,3,0,45.0,18.0,0,0,0,1,11,0,0,3,0,0.9,0.4,2.6,2021-10-30 11:30:00+00:00,5,0,10,0,82349,0.0,1,-14606,2277,16883,70,2021-10-30
7,2021-12-11,Sat,16,Home,W 3–0,Arsenal,Southampton,N,LM,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,0,4,0,1,0,20,0,2,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,9.0,2.0,0,0,1,0,5,3,0,2,0,0.5,0.1,0.0,2021-12-11 15:00:00+00:00,7,0,16,0,70153,0.0,1,-1244,790,2034,69,2021-12-11
8,2021-12-26,Sun,19,Away,W 5–0,Arsenal,Norwich City,N,RW,13,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,1,1,8,14,0,6,0,0,0,103,23,5,11,3,3,0,0,0.0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,19.0,5.0,0,0,0,0,11,1,0,12,0,1.2,1.9,0.2,2021-12-26 15:00:00+00:00,12,0,19,0,71094,18.0,4,266,1941,1675,69,2021-12-26
9,2022-02-19,Sat,26,Home,W 2–1,Arsenal,Brentford,N,"RW,LW",16,0,0,0,0,1,0,0,0,15,0,1,0,0.2,0.2,0.0,0,0,12,12,0,11,0,1,1,117,21,10,10,1,1,0,0,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,11,2,45.0,6.0,0,1,1,1,11,3,0,3,0,2.4,4.2,2.0,2022-02-19 15:00:00+00:00,15,0,26,0,68945,38.0,1,1819,2609,790,69,2022-02-19
