,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-11-11,Sat,12,Away,L 1–3,Burnley,Arsenal,N,CM,6,0,0,0,0,1,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,1,0,2,0,1,1,8,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,18.0,5.0,0,0,0,0,2,1,0,1,0,0.0,0.0,0.0,2023-11-11 15:00:00+00:00,5,0,12,0,2460,1.0,1,-22,112,134,49,2023-11-11
1,2023-12-02,Sat,14,Home,W 5–0,Burnley,Sheffield Utd,N,FW,14,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,1,1,3,4,0,4,0,2,2,47,2,2,2,1,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,14.0,6.0,0,0,0,1,4,2,0,3,0,0.6,1.7,0.0,2023-12-02 15:00:00+00:00,14,0,14,0,3006,16.0,1,-17,249,266,49,2023-12-02
2,2020-09-26,Sat,3,Away,W 1–0,Southampton,Burnley,N,FW,14,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,0,3,0,0,0,21,15,2,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,3.0,1.0,0,0,0,2,2,1,0,2,0,0.1,0.1,0.4,2020-09-26 19:00:00+00:00,13,0,3,0,131923,0.0,1,-30763,9259,40022,49,2020-09-26
3,2021-05-08,Sat,35,Away,L 0–2,Southampton,Liverpool,N,FW,25,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,5,5,0,1,0,1,0,57,0,3,3,2,2,0,0,0.0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4.0,0.0,0,0,0,0,4,1,0,3,0,10.3,1.6,2.0,2021-05-08 19:15:00+00:00,24,0,35,0,54454,4.0,1,-180,105,285,46,2021-05-08
4,2021-05-11,Tue,32,Home,W 3–1,Southampton,Crystal Palace,N,FW,15,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,2,3,1,4,1,0,0,38,7,1,2,0,0,1,1,0.0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,5,1,0,27.0,17.0,0,0,1,0,4,2,0,4,0,0.1,0.3,3.2,2021-05-11 19:15:00+00:00,14,0,35,0,54454,0.0,1,-180,105,285,46,2021-05-11
5,2021-05-23,Sun,38,Away,L 0–3,Southampton,West Ham,N,FW,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,10,0,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5.0,0.0,0,0,0,0,2,1,0,3,0,0.3,0.0,0.0,2021-05-23 15:00:00+00:00,6,0,38,0,55363,0.0,1,98,618,520,46,2021-05-23
6,2019-08-10,Sat,1,Away,L 0–3,Southampton,Burnley,N,"RW,AM",25,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,6,0,9,1,1,1,39,1,2,3,1,1,0,0,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,5,4,2,43.0,18.0,0,0,0,2,9,2,0,0,0,0.4,0.4,0.0,2019-08-10 14:00:00+00:00,24,0,1,0,14065,4.0,1,0,0,0,50,2019-08-10
7,2019-09-28,Sat,7,Away,L 1–2,Southampton,Tottenham,N,FW,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,0,0,2,0,0.0,0.0,0.0,2019-09-28 14:00:00+00:00,7,0,7,0,12890,0.0,1,-318,845,1163,50,2019-09-28
8,2019-10-06,Sun,8,Home,L 1–4,Southampton,Chelsea,N,RW,18,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,2,3,0,3,0,2,1,26,0,1,1,1,2,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,40.0,0.0,0,0,0,1,3,2,0,1,0,1.3,0.2,1.0,2019-10-06 13:00:00+00:00,17,0,8,0,12957,0.0,1,-239,577,816,50,2019-10-06
9,2019-11-09,Sat,12,Home,L 1–2,Southampton,Everton,N,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2019-11-09 15:00:00+00:00,1,0,12,0,12286,0.0,1,-361,117,478,49,2019-11-09
