,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 2–1,Arsenal,Nott'ham Forest,Y*,RM,90,0,0,0,0,3,0,0,0,80,3,0,0,0.1,0.1,0.0,6,0,55,69,9,65,8,0,0,761,137,36,41,15,19,2,4,0.1,1,4,4,0,62,6,1,2,0,3,2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,2,0,0,1,0,1,4,30,46,4,396.0,196.0,4,2,2,1,62,6,0,11,0,23.4,4.9,12.0,2023-08-12 12:00:00+00:00,90,0,1,0,1941821,14.0,2,0,0,0,85,2023-08-12
1,2023-08-21,Mon,2,Away,W 1–0,Arsenal,Crystal Palace,Y*,"RM,CM",88,1,0,1,1,2,1,0,0,47,4,0,0,0.8,0.0,0.0,3,0,33,37,3,28,1,1,0,466,77,23,24,3,4,5,6,0.1,1,0,1,0,35,2,2,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,5,3,0,0,0,0,0,11,12,24,2,139.0,29.0,1,1,0,1,28,0,3,32,1,19.8,9.1,44.6,2023-08-21 19:00:00+00:00,89,0,2,0,2052971,27.0,11,-87344,75089,162433,85,2023-08-21
2,2023-08-26,Sat,3,Home,D 2–2,Arsenal,Fulham,Y*,RM,83,0,0,0,0,3,2,0,0,60,2,0,2,0.1,0.1,0.0,2,0,45,51,6,38,3,5,3,690,206,23,25,17,19,3,3,0.1,0,7,3,0,50,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,4,21,36,3,243.0,76.0,5,0,2,3,48,10,0,10,0,12.4,4.8,11.8,2023-08-26 14:00:00+00:00,83,0,3,0,2222102,24.0,2,68376,166740,98364,85,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–1,Arsenal,Manchester Utd,Y*,RM,89,1,0,0,0,5,2,0,0,46,0,1,2,0.3,0.3,0.0,5,1,26,35,7,31,4,1,1,371,102,14,16,11,15,0,0,0.1,0,5,4,0,34,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,15,29,2,164.0,68.0,0,1,1,2,39,3,0,24,0,5.4,8.4,38.2,2023-09-03 15:30:00+00:00,90,0,4,0,2020789,40.0,7,-228233,38052,266285,85,2023-09-03
4,2023-09-17,Sun,5,Away,W 1–0,Arsenal,Everton,Y*,RM,90,0,0,0,0,2,2,0,0,57,0,0,0,0.3,0.3,0.1,9,1,44,51,7,42,3,2,1,699,108,18,21,22,24,2,3,0.1,3,1,2,0,48,3,2,0,0,2,1,0,0,6,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,13,35,4,237.0,130.0,2,1,2,3,46,9,0,12,1,37.8,9.4,15.8,2023-09-17 15:30:00+00:00,90,0,5,0,2102450,40.0,3,905,104639,103734,85,2023-09-17
5,2023-09-24,Sun,6,Home,D 2–2,Arsenal,Tottenham,Y*,RM,90,0,0,0,0,1,1,1,0,44,3,0,2,0.0,0.0,0.1,5,0,20,33,5,19,0,0,0,303,66,11,13,7,11,1,5,0.0,3,1,0,0,29,4,1,1,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,2,0,0,0,5,13,26,2,54.0,19.0,0,0,2,3,25,3,0,1,0,29.9,5.6,11.2,2023-09-24 13:00:00+00:00,90,0,6,0,2125864,15.0,1,5787,88294,82507,85,2023-09-24
6,2023-09-30,Sat,7,Away,W 4–0,Arsenal,Bournemouth,Y*,RM,90,1,1,1,1,0,0,0,0,67,2,0,1,0.8,0.0,0.2,6,2,49,56,4,43,2,2,1,666,217,27,28,18,21,1,1,0.4,3,0,2,1,54,2,2,1,0,3,0,0,0,4,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,3,2,0,1,0,0,1,11,23,33,5,186.0,71.0,1,0,4,2,53,7,3,56,1,48.3,14.0,64.8,2023-09-30 14:00:00+00:00,90,0,7,0,2213647,27.0,17,44576,183019,138443,85,2023-09-30
7,2023-10-08,Sun,8,Home,W 1–0,Arsenal,Manchester City,Y*,RM,90,0,0,0,0,3,0,0,0,57,3,1,2,0.1,0.1,0.1,3,0,32,42,3,38,1,4,1,447,105,14,18,13,14,2,5,0.2,2,1,1,0,36,5,1,0,0,5,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,4,2,0,2,0,0,0,8,16,34,3,162.0,57.0,1,0,0,2,36,5,0,7,1,32.4,5.4,12.0,2023-10-08 15:30:00+00:00,90,0,8,0,2306616,10.0,3,88758,218848,130090,85,2023-10-08
8,2023-10-21,Sat,9,Away,D 2–2,Arsenal,Chelsea,Y*,RM,77,0,0,0,0,0,0,0,0,37,1,1,0,0.0,0.0,0.2,1,0,21,27,2,19,0,1,0,388,77,9,10,10,11,2,4,0.1,2,0,0,0,22,4,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,23,13,0,68.0,15.0,1,0,4,0,20,8,0,8,0,29.8,3.7,7.0,2023-10-21 16:30:00+00:00,77,0,9,0,2374067,0.0,2,42087,126893,84806,85,2023-10-21
9,2023-11-25,Sat,13,Away,W 1–0,Arsenal,Brentford,Y*,RM,89,0,0,0,0,1,0,0,0,66,0,0,1,0.1,0.1,0.1,4,1,52,59,11,51,3,3,1,846,236,28,29,13,16,7,9,0.1,1,7,1,0,58,1,1,0,1,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,22,41,5,248.0,100.0,3,1,0,0,54,2,0,10,1,23.4,4.1,5.4,2023-11-25 17:30:00+00:00,90,0,13,0,1351496,12.0,3,-183793,6102,189895,83,2023-11-25
