,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-30,Sat,7,Away,L 0–2,Burnley,Newcastle Utd,N,LW,24,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.1,2,0,10,13,0,13,3,2,2,98,21,9,9,1,2,0,0,0.2,1,0,0,0,13,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,9,2,151.0,114.0,3,1,0,0,13,4,0,5,0,11.7,2.5,6.2,2023-09-30 14:00:00+00:00,23,0,7,0,602,7.0,1,5,34,29,50,2023-09-30
1,2023-10-07,Sat,8,Home,L 1–4,Burnley,Chelsea,Y,LW,78,1,0,0,0,3,2,1,0,26,2,0,0,0.1,0.1,0.3,2,0,11,13,0,18,3,6,3,143,20,6,6,5,5,0,0,0.5,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,1,2,10,14,4,145.0,84.0,1,2,3,0,20,2,0,29,0,12.4,9.0,42.4,2023-10-07 14:00:00+00:00,78,0,8,0,672,35.0,6,0,33,33,50,2023-10-07
2,2023-10-21,Sat,9,Away,L 0–3,Burnley,Brentford,Y,LW,45,0,0,0,0,1,0,0,0,12,0,0,2,0.0,0.0,0.0,0,0,3,5,0,8,2,2,1,30,0,3,3,0,2,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,5,5,0,87.0,41.0,1,0,2,1,6,2,0,2,0,0.3,0.0,0.0,2023-10-21 14:00:00+00:00,45,0,9,0,1155,1.0,1,325,420,95,50,2023-10-21
3,2023-11-04,Sat,11,Home,L 0–2,Burnley,Crystal Palace,N,LM,13,0,0,0,0,1,1,0,0,8,1,0,0,0.0,0.0,0.0,2,0,4,6,0,7,2,0,0,54,9,2,3,2,3,0,0,0.0,1,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,6,2,82.0,69.0,0,2,0,0,7,2,0,6,0,10.8,3.7,7.0,2023-11-04 15:00:00+00:00,12,0,11,0,1086,19.0,1,-58,70,128,50,2023-11-04
4,2023-11-11,Sat,12,Away,L 1–3,Burnley,Arsenal,N,RB,3,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,9,2,10,1,2,0,114,12,5,5,4,4,0,0,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,65.0,49.0,1,1,0,0,10,5,0,2,0,12.3,1.7,2.4,2023-11-11 15:00:00+00:00,2,0,12,0,1045,2.0,1,-77,19,96,50,2023-11-11
5,2023-12-05,Tue,15,Away,L 0–1,Burnley,Wolves,N,CM,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,0,1,0,0,0,33,8,1,2,1,1,0,0,0.0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8.0,8.0,0,0,0,0,1,1,0,3,0,0.0,0.0,0.0,2023-12-05 19:30:00+00:00,1,0,15,0,1080,0.0,1,-18,26,44,50,2023-12-05
6,2023-12-09,Sat,16,Away,D 1–1,Burnley,Brighton,Y,LM,77,1,0,0,0,2,1,1,0,27,1,1,0,0.1,0.1,0.0,1,0,10,13,0,16,1,5,1,161,24,6,8,4,4,0,0,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,2,8,6,13,5,156.0,60.0,2,2,1,0,13,4,0,20,0,1.5,5.8,36.4,2023-12-09 15:00:00+00:00,77,0,16,0,1117,20.0,6,-6,41,47,50,2023-12-09
7,2023-12-16,Sat,17,Home,L 0–2,Burnley,Everton,Y,LM,86,0,0,0,0,1,0,0,0,38,4,0,2,0.0,0.0,0.1,3,0,17,27,0,26,4,2,2,199,19,11,14,4,7,0,2,0.1,2,0,0,0,27,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,2,1,1,2,4,2,0,2,0,0,0,6,12,21,4,165.0,92.0,0,2,3,2,26,6,0,16,0,23.5,4.7,12.2,2023-12-16 17:30:00+00:00,86,0,17,0,1469,11.0,2,276,353,77,50,2023-12-16
8,2023-12-23,Sat,18,Away,W 2–0,Burnley,Fulham,Y,LM,79,1,1,0,0,1,1,0,0,30,2,1,6,0.0,0.0,0.1,4,2,11,15,3,16,3,2,0,124,48,7,8,3,4,0,1,0.0,2,1,0,0,15,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,5,1,0,1,10,12,10,0,143.0,85.0,1,0,2,1,16,2,3,38,1,22.3,9.2,62.8,2023-12-23 15:00:00+00:00,79,0,18,0,1425,7.0,14,-81,116,197,50,2023-12-23
9,2023-12-26,Tue,19,Home,L 0–2,Burnley,Liverpool,Y,"RM,LM",90,0,0,0,0,1,0,0,0,31,2,0,0,0.0,0.0,0.1,6,0,14,20,1,24,8,12,6,179,28,10,14,4,4,0,1,0.3,1,0,1,0,20,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,2,6,13,15,3,304.0,212.0,5,2,2,0,23,8,0,13,0,16.7,3.8,12.4,2023-12-26 17:30:00+00:00,90,0,19,0,3566,9.0,2,1962,2225,263,50,2023-12-26
