,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–4,Luton Town,Brighton,N,CB,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,0,2,0,1,0,64,25,1,1,1,1,1,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,5.0,0.0,0,0,1,0,0,0,0,3,0,0.3,0.5,0.4,2023-08-12 14:00:00+00:00,14,0,1,0,14400,4.0,1,0,0,0,50,2023-08-12
1,2023-08-25,Fri,3,Away,L 0–3,Luton Town,Chelsea,N,LW,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37.0,22.0,0,0,1,0,4,3,0,3,0,0.0,0.0,0.0,2023-08-25 19:00:00+00:00,13,0,3,0,12911,0.0,1,-1504,298,1802,50,2023-08-25
2,2023-09-01,Fri,4,Home,L 1–2,Luton Town,West Ham,N,RB,13,0,0,0,0,1,0,0,0,14,1,1,0,0.0,0.0,0.0,1,0,8,10,0,10,4,1,0,122,49,5,6,2,3,1,1,0.0,0,0,0,0,9,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,9,3,96.0,46.0,2,1,0,0,8,0,0,4,0,1.0,1.3,3.4,2023-09-01 19:00:00+00:00,12,0,4,0,12219,9.0,1,-1096,347,1443,49,2023-09-01
3,2023-09-16,Sat,5,Away,L 0–1,Luton Town,Fulham,N,"CM,FW",17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,4,7,0,5,0,2,1,31,8,4,4,0,2,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,11.0,2.0,0,0,0,0,5,0,0,3,0,1.0,0.4,1.4,2023-09-16 14:00:00+00:00,16,0,5,0,11729,2.0,1,-983,451,1434,49,2023-09-16
4,2023-09-23,Sat,6,Home,D 1–1,Luton Town,Wolves,Y,"LW,RM",90,0,0,0,0,1,0,0,0,40,0,0,0,0.0,0.0,0.3,9,0,23,33,2,29,13,4,2,272,57,15,17,6,9,0,1,0.4,4,1,1,0,29,4,1,0,0,8,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,29,7,402.0,307.0,7,4,1,1,26,10,0,13,0,43.6,7.2,11.0,2023-09-23 14:00:00+00:00,90,0,6,0,11062,17.0,2,-763,225,988,49,2023-09-23
5,2023-09-30,Sat,7,Away,W 2–1,Luton Town,Everton,Y,AM,90,0,0,0,0,1,0,0,0,32,2,0,0,0.0,0.0,0.0,2,0,11,19,0,13,5,6,2,182,62,4,6,6,8,0,1,0.0,0,0,0,0,14,5,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,0,0,1,0,1,10,9,13,5,201.0,130.0,3,4,2,0,16,3,0,8,0,2.3,2.4,8.2,2023-09-30 14:00:00+00:00,90,0,7,0,11956,13.0,2,692,1480,788,49,2023-09-30
6,2023-10-03,Tue,2,Home,L 1–2,Luton Town,Burnley,Y,AM,90,0,0,0,0,2,0,0,0,57,1,0,2,0.2,0.2,0.0,4,0,31,41,4,28,3,3,1,456,54,16,17,13,16,0,2,0.0,1,1,1,0,31,10,1,0,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,1,0,1,4,27,27,3,201.0,101.0,3,0,4,2,36,10,0,1,0,12.8,2.3,0.0,2023-10-03 18:30:00+00:00,90,0,7,0,11956,10.0,2,692,1480,788,49,2023-10-03
7,2023-10-07,Sat,8,Home,L 0–1,Luton Town,Tottenham,Y,LM,90,0,0,0,0,2,0,0,0,49,2,0,0,0.1,0.1,0.0,3,0,23,38,3,30,5,7,4,292,117,16,19,5,10,0,3,0.5,0,2,0,0,34,3,0,0,1,5,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,1,0,2,6,16,29,5,329.0,201.0,3,3,3,2,30,6,0,15,0,12.8,4.0,12.4,2023-10-07 11:30:00+00:00,90,0,8,0,11545,15.0,2,-465,586,1051,49,2023-10-07
8,2023-10-21,Sat,9,Away,D 2–2,Luton Town,Nott'ham Forest,Y,"RM,LM",90,1,0,0,0,2,1,0,0,49,2,0,0,0.4,0.4,0.5,4,0,22,34,1,29,4,1,1,309,108,16,19,3,8,3,4,0.4,2,0,1,0,30,4,0,0,0,6,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,4,1,4,8,11,31,6,236.0,122.0,1,2,4,1,27,4,2,41,0,23.5,10.0,46.4,2023-10-21 14:00:00+00:00,90,0,9,0,11721,30.0,8,-34,723,757,49,2023-10-21
9,2023-10-29,Sun,10,Away,L 1–3,Luton Town,Aston Villa,Y,"AM,WB",90,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,1,0,15,20,2,21,5,6,2,206,63,11,13,4,5,0,2,0.0,0,3,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,2,0,2,7,14,10,1,275.0,182.0,3,1,0,0,21,5,0,6,0,1.8,1.4,10.6,2023-10-29 14:00:00+00:00,90,0,10,0,13212,2.0,2,1262,1908,646,49,2023-10-29
10,2023-11-05,Sun,11,Home,D 1–1,Luton Town,Liverpool,Y,AM,78,0,0,0,0,1,1,0,0,32,1,0,2,0.0,0.0,0.0,3,0,16,24,2,21,6,5,4,231,28,8,11,5,8,1,1,0.0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,7,10,15,3,183.0,147.0,5,3,2,0,26,8,0,10,1,7.1,3.2,9.6,2023-11-05 16:30:00+00:00,79,0,11,0,15493,15.0,2,2040,2994,954,49,2023-11-05
11,2023-11-11,Sat,12,Away,L 0–1,Luton Town,Manchester Utd,Y,"AM,WB",85,0,0,0,0,1,1,0,0,31,1,1,0,0.0,0.0,0.1,4,0,16,21,0,20,4,1,0,190,13,15,17,0,0,1,1,0.1,2,0,0,0,19,2,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,4,7,9,16,5,203.0,113.0,1,3,1,1,19,8,0,11,0,22.1,5.3,13.4,2023-11-11 15:00:00+00:00,85,0,12,0,17877,17.0,2,2122,3162,1040,49,2023-11-11
12,2023-11-25,Sat,13,Home,W 2–1,Luton Town,Crystal Palace,Y,"AM,WB",90,0,1,0,0,1,0,0,0,46,1,1,2,0.0,0.0,0.5,2,1,25,31,0,29,7,7,3,313,82,16,17,7,9,1,2,0.3,1,0,1,1,29,2,1,0,0,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,2,0,3,11,15,24,2,267.0,156.0,4,1,3,1,29,9,0,23,0,16.7,5.2,28.4,2023-11-25 15:00:00+00:00,90,0,13,0,17192,7.0,5,-549,1708,2257,49,2023-11-25
