,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-09,Fri,1,Away,L 1–4,Norwich City,Liverpool,N,LW,21,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,3,6,1,4,1,0,0,42,2,2,3,1,2,0,0,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,28.0,24.0,1,0,0,0,4,2,0,0,0,0.6,2.1,0.0,2019-08-09 19:00:00+00:00,20,0,1,0,12943,22.0,1,0,0,0,55,2019-08-09
1,2019-10-19,Sat,9,Away,D 0–0,Norwich City,Bournemouth,N,"LM,LW",10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,1,3,0,7,2,4,1,20,1,0,1,1,1,0,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1,52.0,40.0,1,1,0,0,4,1,0,2,0,0.3,0.3,1.0,2019-10-19 14:00:00+00:00,9,0,9,0,3409,2.0,1,-139,18,157,53,2019-10-19
2,2019-10-27,Sun,10,Home,L 1–3,Norwich City,Manchester Utd,N,LW,45,1,0,0,0,5,2,0,0,34,0,1,3,0.3,0.3,0.0,2,1,6,13,0,21,4,8,3,49,5,5,6,0,2,0,1,0.0,0,1,0,0,13,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,16,17,4,189.0,96.0,1,2,5,2,17,6,0,16,0,1.0,10.1,37.2,2019-10-27 16:30:00+00:00,45,0,10,0,3499,63.0,6,43,91,48,53,2019-10-27
3,2019-11-02,Sat,11,Away,L 0–2,Norwich City,Brighton,Y,"LW,WB",90,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.1,1,0,9,16,1,21,1,3,1,108,37,6,9,3,5,0,0,0.0,1,0,0,0,15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,7,7,15,3,146.0,69.0,1,1,3,4,17,7,0,7,0,11.3,2.5,7.6,2019-11-02 15:00:00+00:00,90,0,11,0,4097,6.0,2,519,667,148,53,2019-11-02
4,2019-11-08,Fri,12,Home,L 0–2,Norwich City,Watford,Y,"LW,RW",90,0,0,0,0,1,0,0,0,45,1,1,0,0.1,0.1,0.0,5,0,21,31,2,34,11,13,7,256,56,17,21,4,7,0,1,0.1,1,0,3,1,26,5,0,0,0,6,4,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,3,6,38,11,376.0,229.0,3,8,3,1,32,15,0,7,0,18.6,5.5,12.4,2019-11-08 20:00:00+00:00,90,0,12,0,5046,24.0,2,786,947,161,53,2019-11-08
5,2019-11-23,Sat,13,Away,W 2–0,Norwich City,Everton,Y,LW,90,0,0,0,0,3,2,0,0,38,3,2,0,0.4,0.4,0.1,2,0,17,24,4,31,7,5,3,196,84,10,11,4,4,0,4,0.1,1,0,3,0,24,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,2,4,2,0,0,0,0,0,7,11,21,5,238.0,155.0,1,4,2,2,24,12,0,18,1,12.9,9.1,20.0,2019-11-23 15:00:00+00:00,90,0,13,0,5097,58.0,3,18,525,507,53,2019-11-23
6,2019-12-01,Sun,14,Home,D 2–2,Norwich City,Arsenal,Y,LW,90,0,1,0,0,0,0,0,0,43,3,3,1,0.0,0.0,0.1,3,2,22,27,0,28,10,4,2,269,56,15,16,7,9,0,0,0.0,2,0,0,0,27,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,3,3,1,0,0,0,2,9,15,21,4,361.0,245.0,6,3,2,2,22,4,0,19,0,23.9,6.8,36.0,2019-12-01 14:00:00+00:00,90,0,14,0,5441,8.0,5,265,550,285,53,2019-12-01
7,2019-12-04,Wed,15,Away,L 1–2,Norwich City,Southampton,Y,LW,90,0,0,0,0,1,0,0,0,32,0,1,1,0.0,0.0,0.2,4,0,12,18,1,27,4,3,1,168,18,8,9,2,4,1,2,0.1,3,0,1,0,18,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,6,10,16,2,169.0,69.0,1,2,4,6,22,6,0,4,0,31.9,6.2,8.2,2019-12-04 19:30:00+00:00,90,0,15,0,5967,22.0,2,440,701,261,53,2019-12-04
8,2019-12-08,Sun,16,Home,L 1–2,Norwich City,Sheffield Utd,Y,LW,71,0,0,0,0,1,0,0,0,28,1,1,0,0.0,0.0,0.1,3,0,16,21,1,23,1,3,2,197,47,11,13,4,5,0,0,0.0,2,0,1,0,21,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,7,17,3,88.0,55.0,1,1,1,2,21,8,0,7,0,22.4,3.8,6.8,2019-12-08 14:00:00+00:00,71,0,16,0,6074,9.0,2,70,449,379,53,2019-12-08
9,2019-12-14,Sat,17,Away,D 1–1,Norwich City,Leicester City,N,LW,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.1,1,0,2,2,0,3,0,2,1,25,0,1,1,1,1,0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,19.0,0.0,0,0,0,0,3,1,0,4,0,10.3,1.5,3.0,2019-12-14 15:00:00+00:00,5,0,17,0,5768,2.0,1,-352,211,563,53,2019-12-14
10,2019-12-21,Sat,18,Home,L 1–2,Norwich City,Wolves,N,LW,4,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,13,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,16.0,14.0,0,0,0,0,1,1,0,5,0,0.3,0.2,2.0,2019-12-21 15:00:00+00:00,3,0,18,0,5658,0.0,1,-158,250,408,53,2019-12-21
11,2019-12-26,Thu,19,Away,L 0–1,Norwich City,Aston Villa,N,LW,15,0,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.0,0,0,1,3,0,6,1,2,1,18,0,0,0,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,53.0,23.0,0,0,3,1,5,2,0,1,0,0.1,2.0,3.0,2019-12-26 15:00:00+00:00,14,0,19,0,5494,17.0,1,-216,196,412,53,2019-12-26
12,2019-12-28,Sat,20,Home,D 2–2,Norwich City,Tottenham,Y,LW,90,0,0,0,0,1,0,0,0,30,2,0,0,0.0,0.0,0.0,0,0,10,20,1,20,1,3,1,92,9,6,10,2,3,0,2,0.1,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,3,0,2,9,10,13,5,123.0,43.0,2,1,1,3,19,8,0,2,0,1.8,2.1,6.2,2019-12-28 17:30:00+00:00,90,0,20,0,5361,13.0,2,-172,87,259,53,2019-12-28
13,2020-01-01,Wed,21,Home,D 1–1,Norwich City,Crystal Palace,N,LW,13,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,2,1,13,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,13.0,12.0,0,0,1,0,1,0,0,5,0,0.0,0.3,3.0,2020-01-01 17:30:00+00:00,12,0,21,0,5293,0.0,1,-123,177,300,53,2020-01-01
