,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,LW,86,0,0,0,0,1,0,0,0,41,2,0,6,0.1,0.1,0.0,0,0,11,22,3,11,0,1,0,119,49,7,11,2,4,0,4,0.0,0,0,0,0,19,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,6,3,0,0,10,19,13,1,56.0,5.0,0,0,2,0,16,2,0,6,0,1.6,1.5,8.2,2023-08-12 14:00:00+00:00,86,0,1,0,2319,5.0,2,0,0,0,50,2023-08-12
1,2023-08-18,Fri,2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,WB,90,0,0,0,0,0,0,1,0,71,2,0,0,0.0,0.0,0.0,0,0,45,59,2,33,1,3,0,681,279,25,29,15,19,3,7,0.1,0,5,1,1,46,12,0,0,0,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,1,0,0,4,0,2,19,22,30,0,120.0,60.0,0,0,0,2,38,6,0,8,0,7.4,1.8,11.0,2023-08-18 18:45:00+00:00,90,0,2,0,2940,0.0,1,-40,373,413,50,2023-08-18
2,2023-08-27,Sun,3,Home,L 1–2,Sheffield Utd,Manchester City,Y,WB,16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,1,1,0,0,0,96,82,0,1,0,0,2,3,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,3.0,3.0,0,0,0,0,1,0,0,4,0,0.0,0.1,1.4,2023-08-27 13:00:00+00:00,16,0,3,0,2509,0.0,1,-560,54,614,50,2023-08-27
3,2023-10-21,Sat,9,Home,L 1–2,Sheffield Utd,Manchester Utd,N,RM,13,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,2,0,10,11,2,6,0,0,0,144,73,8,9,1,1,1,1,0.1,1,0,2,1,10,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,86.0,15.0,1,0,1,1,8,0,0,4,0,14.8,1.9,4.6,2023-10-21 19:00:00+00:00,12,0,9,0,1309,0.0,1,-80,7,87,48,2023-10-21
4,2023-10-28,Sat,10,Away,L 0–5,Sheffield Utd,Arsenal,N,"RM,LM",32,0,0,0,0,0,0,1,0,15,0,0,1,0.0,0.0,0.0,0,0,7,11,0,8,1,0,0,110,20,6,7,0,2,1,1,0.0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,7,0,64.0,19.0,0,0,1,0,10,2,0,-1,0,0.8,0.0,0.0,2023-10-28 14:00:00+00:00,31,0,10,0,1312,0.0,0,-7,21,28,48,2023-10-28
5,2023-11-04,Sat,11,Home,W 2–1,Sheffield Utd,Wolves,N,AM,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.1,0,0,1,1,0,1,0,0,0,16,0,0,0,1,1,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2.0,0.0,0,0,0,0,1,1,0,4,0,10.1,1.4,2.0,2023-11-04 15:00:00+00:00,1,0,11,0,1314,2.0,1,-11,17,28,48,2023-11-04
6,2023-11-12,Sun,12,Away,D 1–1,Sheffield Utd,Brighton,N,CM,39,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,1,0,20,23,2,18,1,0,0,276,67,10,11,7,8,1,1,0.0,0,2,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,16,9,0,86.0,52.0,0,0,0,0,19,3,0,3,0,2.3,0.5,2.6,2023-11-12 14:00:00+00:00,38,0,12,0,1314,0.0,1,-7,18,25,48,2023-11-12
7,2023-11-25,Sat,13,Home,L 1–3,Sheffield Utd,Bournemouth,N,WB,25,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,10,1,5,0,0,0,150,28,5,5,3,3,1,2,0.1,1,0,1,1,8,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,5,0,19.0,2.0,0,0,1,1,5,3,0,4,0,15.0,2.1,6.4,2023-11-25 15:00:00+00:00,24,0,13,0,1324,0.0,1,-11,16,27,48,2023-11-25
8,2023-12-30,Sat,20,Away,L 0–2,Sheffield Utd,Manchester City,N,AM,11,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,3,5,0,3,0,0,0,30,0,3,4,0,0,0,1,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,1,20.0,5.0,0,0,0,0,2,0,0,4,0,0.3,0.5,3.0,2023-12-30 15:00:00+00:00,10,0,20,0,1362,2.0,1,-2,28,30,48,2023-12-30
9,2024-02-03,Sat,23,Home,L 0–5,Sheffield Utd,Aston Villa,N,CM,41,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,2,0,21,28,4,17,0,1,1,333,92,12,14,6,10,2,2,0.0,1,2,0,0,27,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,10,1,64.0,15.0,0,0,0,0,19,1,0,5,0,12.3,2.0,5.4,2024-02-03 17:30:00+00:00,40,0,23,0,1342,2.0,1,-17,4,21,48,2024-02-03
10,2024-02-10,Sat,24,Away,W 3–1,Sheffield Utd,Luton Town,Y,LM,90,0,1,0,0,0,0,0,0,25,3,0,1,0.0,0.0,0.1,1,1,17,20,6,12,1,0,0,286,110,7,8,9,10,1,2,0.1,1,2,1,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,9,8,9,0,60.0,33.0,0,0,0,0,13,0,0,16,0,12.4,3.7,24.8,2024-02-10 15:00:00+00:00,90,0,24,0,1354,0.0,5,0,24,24,48,2024-02-10
11,2024-02-18,Sun,25,Home,L 0–5,Sheffield Utd,Brighton,Y,"DM,WB",78,0,0,0,0,1,0,0,0,26,1,0,1,0.0,0.0,0.0,2,0,16,22,2,15,0,2,2,281,77,6,7,7,10,2,4,0.0,0,0,0,0,16,6,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,9,13,6,0,42.0,23.0,0,0,1,2,14,2,0,8,0,1.8,0.8,3.8,2024-02-18 14:00:00+00:00,78,0,25,0,1424,2.0,2,41,69,28,48,2024-02-18
12,2024-02-25,Sun,26,Away,L 0–1,Sheffield Utd,Wolves,N,WB,19,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,1,0,10,15,1,6,0,0,0,185,73,3,3,7,9,0,2,0.0,1,1,1,1,13,2,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,29.0,15.0,0,0,0,0,9,1,0,5,0,14.7,1.9,4.4,2024-02-25 13:30:00+00:00,18,0,26,0,1442,0.0,1,9,42,33,48,2024-02-25
13,2024-03-04,Mon,27,Home,L 0–6,Sheffield Utd,Arsenal,N,LB,74,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,23,2,15,0,0,0,295,159,11,11,3,4,3,7,0.0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,16,6,3,1,62.0,31.0,1,0,0,0,18,0,0,8,0,0.7,0.7,4.6,2024-03-04 20:00:00+00:00,73,0,27,0,1425,2.0,2,-14,17,31,48,2024-03-04
14,2024-03-09,Sat,28,Away,D 2–2,Sheffield Utd,Bournemouth,Y,WB,90,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,14,25,3,16,0,0,0,204,97,8,9,3,7,1,4,0.0,1,0,1,1,23,2,0,0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,12,8,10,1,41.0,11.0,0,0,0,1,15,5,0,8,0,15.3,3.0,12.2,2024-03-09 15:00:00+00:00,90,0,28,0,1445,2.0,2,7,29,22,48,2024-03-09
15,2024-03-30,Sat,30,Home,D 3–3,Sheffield Utd,Fulham,Y,WB,90,0,0,0,0,0,0,0,0,37,3,2,1,0.0,0.0,0.0,1,1,15,25,2,11,2,0,0,301,100,5,6,7,9,3,9,0.0,0,1,0,0,18,6,3,0,0,4,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,1,1,0,1,3,0,3,20,10,8,0,60.0,43.0,1,0,0,0,11,1,0,13,0,5.2,1.8,13.2,2024-03-30 15:00:00+00:00,90,0,30,0,1459,0.0,2,2,23,21,48,2024-03-30
16,2024-04-04,Thu,31,Away,L 1–3,Sheffield Utd,Liverpool,N,"CM,LW",28,0,0,0,0,0,0,0,0,6,0,0,2,0.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,2,0,0,1.0,1.0,0,0,1,0,1,0,0,1,0,0.0,0.4,4.0,2024-04-04 18:30:00+00:00,28,0,31,0,1456,0.0,1,-5,9,14,48,2024-04-04
