,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,LW,74,0,4,0,0,2,1,0,0,46,1,1,1,0.3,0.3,0.7,5,4,25,33,5,29,2,2,1,523,212,10,15,6,7,7,8,0.5,5,3,2,0,32,1,1,2,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,3,2,0,1,0,0,1,3,23,20,3,125.0,73.0,3,1,6,3,35,6,2,46,0,60.0,15.0,74.8,2021-08-14 11:30:00+00:00,74,0,1,0,214089,15.0,16,0,0,0,75,2021-08-14
1,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,"LW,DM",90,0,1,0,0,4,0,1,0,54,0,0,0,0.5,0.5,0.1,4,1,34,42,8,34,3,6,5,665,215,18,20,7,9,8,9,0.2,1,5,0,0,42,0,0,0,3,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,6,29,20,9,143.0,96.0,1,1,2,3,43,5,0,13,0,19.4,11.1,21.6,2021-08-22 13:00:00+00:00,90,0,2,0,1114223,70.0,4,564447,602522,38075,76,2021-08-22
2,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,"DM,CM",90,0,0,0,0,1,1,1,0,90,0,3,1,0.0,0.0,0.0,3,0,66,80,9,54,2,0,0,1415,429,29,31,19,24,17,23,0.2,1,8,2,0,78,1,1,2,4,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,3,16,58,16,1,247.0,141.0,1,0,3,2,75,2,0,8,1,19.4,4.9,12.2,2021-08-29 15:30:00+00:00,90,0,3,0,1490294,17.0,2,271082,363680,92598,77,2021-08-29
3,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,DM,90,0,2,0,0,0,0,1,0,127,2,0,2,0.0,0.0,0.4,5,3,106,116,16,84,1,3,2,2052,429,40,42,50,52,15,20,0.2,3,20,4,0,116,0,0,0,3,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2,1,1,0,1,4,3,0,2,1,0,1,8,85,37,1,468.0,352.0,5,0,3,0,106,0,2,36,0,42.8,9.4,49.4,2021-09-11 14:00:00+00:00,90,0,4,0,1526757,2.0,9,-50796,266272,317068,77,2021-09-11
4,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,LW,72,0,0,0,0,2,0,0,0,51,3,0,0,0.1,0.1,0.1,3,0,35,39,3,35,2,9,8,525,121,22,23,9,12,3,3,0.2,2,6,0,0,39,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,5,32,15,2,176.0,85.0,1,0,4,2,42,1,0,17,0,25.3,5.4,16.0,2021-09-19 13:00:00+00:00,72,0,5,0,1886162,13.0,2,280907,400777,119870,78,2021-09-19
5,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,"LW,DM",90,0,0,0,0,6,1,0,0,59,1,0,1,0.4,0.4,0.2,8,0,27,41,8,35,5,3,1,467,182,11,17,10,12,3,4,0.1,1,7,0,0,41,0,0,1,1,3,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,2,0,1,7,23,29,6,221.0,85.0,2,2,4,1,38,13,0,4,0,16.8,7.8,5.4,2021-09-25 11:30:00+00:00,90,0,6,0,1946226,56.0,2,38560,169674,131114,78,2021-09-25
6,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,N,DM,21,0,0,0,0,2,0,0,0,28,1,1,0,0.3,0.3,0.1,2,0,17,23,7,17,0,0,0,334,141,6,7,7,7,3,3,0.1,1,3,3,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,10,14,3,102.0,20.0,0,0,0,0,23,2,0,-2,0,11.8,2.3,2.2,2021-10-02 11:30:00+00:00,20,0,7,0,1835211,9.0,1,-125286,70067,195353,78,2021-10-02
7,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,DM,90,0,0,0,0,3,0,1,0,82,0,1,3,0.2,0.2,0.0,4,0,58,65,9,41,2,1,0,1121,292,25,27,25,25,8,9,0.1,1,8,3,0,63,2,2,0,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,17,47,18,1,194.0,124.0,2,0,3,2,60,3,0,3,0,18.2,3.3,2.2,2021-10-16 14:00:00+00:00,90,0,8,0,1637712,13.0,1,-212075,43083,255158,77,2021-10-16
8,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,N,RM,14,0,0,0,0,0,0,0,1,17,0,1,0,0.0,0.0,0.0,0,0,12,16,1,3,0,1,1,128,47,10,10,2,4,0,1,0.0,0,1,0,0,13,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,0,14.0,0.0,0,0,0,1,10,0,0,-7,0,0.8,0.0,0.0,2021-10-24 15:30:00+00:00,15,0,9,0,1401685,0.0,-2,-241973,17131,259104,76,2021-10-24
9,2022-02-08,Tue,24,Away,D 1–1,Manchester Utd,Burnley,Y,DM,90,1,0,0,0,2,1,0,0,68,1,0,1,0.3,0.3,0.0,1,0,42,59,7,40,2,0,0,651,156,21,28,16,22,3,5,0.1,1,3,1,0,58,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,0,0,2,10,39,19,4,198.0,85.0,1,0,3,2,51,5,2,26,0,17.0,8.5,37.4,2022-02-08 20:00:00+00:00,90,0,24,0,598216,31.0,9,18550,23695,5145,74,2022-02-08
10,2022-02-12,Sat,25,Home,D 1–1,Manchester Utd,Southampton,Y,DM,90,0,0,0,0,2,1,1,0,66,2,1,1,0.3,0.3,0.0,2,0,40,48,8,29,0,3,2,723,245,23,25,8,11,9,9,0.0,1,7,1,0,47,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,4,2,0,1,4,0,4,13,35,18,2,103.0,45.0,1,0,2,1,47,2,0,13,0,13.2,5.3,18.6,2022-02-12 12:30:00+00:00,90,0,25,0,770923,21.0,1,162690,169674,6984,74,2022-02-12
11,2022-02-15,Tue,18,Home,W 2–0,Manchester Utd,Brighton,N,DM,18,0,1,0,0,1,0,0,0,29,0,0,0,0.1,0.1,0.1,2,1,26,28,2,16,0,2,2,413,118,12,13,8,9,3,3,0.0,1,3,0,0,26,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,12,0,75.0,37.0,2,0,0,0,22,0,0,18,0,12.7,4.2,21.4,2022-02-15 20:15:00+00:00,17,0,25,0,770923,8.0,4,162690,169674,6984,74,2022-02-15
12,2022-02-20,Sun,26,Away,W 4–2,Manchester Utd,Leeds United,Y,DM,66,0,0,0,0,2,1,0,0,29,0,1,0,0.1,0.1,0.7,6,0,15,22,1,20,4,5,5,340,97,6,10,5,6,4,4,0.6,2,1,1,1,21,0,0,0,0,1,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,4,6,16,7,2,108.0,49.0,0,2,1,3,23,2,0,13,0,25.2,5.0,13.2,2022-02-20 14:00:00+00:00,66,0,26,0,688613,12.0,2,-49950,19954,69904,74,2022-02-20
13,2022-02-26,Sat,27,Home,D 0–0,Manchester Utd,Watford,Y,"LW,DM",90,0,0,0,0,2,0,0,0,70,0,0,0,0.1,0.1,0.9,4,0,45,58,7,43,3,3,2,850,238,16,18,19,23,7,11,0.4,3,4,2,1,57,0,0,0,3,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,33,26,6,187.0,105.0,1,1,3,1,51,6,0,19,1,38.3,7.5,12.4,2022-02-26 15:00:00+00:00,90,0,27,0,711947,24.0,3,-2069,18608,20677,74,2022-02-26
14,2022-03-06,Sun,28,Away,L 1–4,Manchester Utd,Manchester City,Y,AM,63,0,1,0,0,0,0,0,0,27,0,0,1,0.0,0.0,0.1,1,1,16,22,3,21,2,0,0,256,89,9,12,4,6,2,2,0.0,1,1,0,0,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,14,8,1,69.0,47.0,1,0,2,1,26,4,0,13,0,15.3,3.2,14.8,2022-03-06 16:30:00+00:00,63,0,28,0,646849,2.0,5,-59116,3414,62530,74,2022-03-06
15,2022-03-12,Sat,29,Home,W 3–2,Manchester Utd,Tottenham,Y,"AM,CM",90,0,0,0,0,1,0,1,0,58,1,0,0,0.0,0.0,0.0,1,1,36,46,2,35,1,3,1,533,71,22,27,8,9,3,3,0.0,0,3,1,0,43,3,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,7,39,15,1,153.0,45.0,1,0,2,3,44,3,0,-2,0,4.9,0.9,0.6,2022-03-12 17:30:00+00:00,90,0,29,0,629953,3.0,1,-23190,4023,27213,74,2022-03-12
