,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-13,Sat,2,Away,L 2–4,Leicester City,Arsenal,N,RM,28,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,13,15,2,11,1,0,0,204,41,7,8,5,5,1,2,0.0,0,1,1,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,10,3,0,46.0,19.0,0,0,0,0,11,1,0,2,0,1.2,0.1,0.0,2022-08-13 14:00:00+00:00,27,0,2,0,1666,0.0,1,-162,94,256,50,2022-08-13
1,2022-08-27,Sat,4,Away,L 1–2,Leicester City,Chelsea,Y,RM,54,0,0,0,0,0,0,1,0,24,4,0,1,0.0,0.0,0.0,1,0,9,16,0,10,2,1,0,132,19,4,7,5,5,0,1,0.0,0,0,0,0,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,3,3,0,0,1,1,0,1,6,12,6,0,69.0,25.0,1,0,2,3,14,4,0,-1,0,0.4,0.8,7.6,2022-08-27 14:00:00+00:00,54,0,4,0,1942,0.0,0,-255,46,301,50,2022-08-27
2,2022-10-03,Mon,9,Home,W 4–0,Leicester City,Nott'ham Forest,N,CM,11,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,3,0,2,0,0,0,44,0,1,1,2,2,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,2.0,0.0,0,0,0,0,4,0,0,3,0,0.1,0.0,0.0,2022-10-03 19:00:00+00:00,10,0,9,0,2069,0.0,1,-48,50,98,49,2022-10-03
3,2022-10-15,Sat,11,Home,D 0–0,Leicester City,Crystal Palace,N,CM,9,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,6,7,1,6,1,1,1,81,18,2,3,3,3,0,0,0.0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,2,0,47.0,25.0,0,0,0,0,5,0,0,6,0,0.4,0.4,3.2,2022-10-15 11:30:00+00:00,8,0,11,0,2153,0.0,1,-80,33,113,49,2022-10-15
4,2022-10-20,Thu,12,Home,W 2–0,Leicester City,Leeds United,Y,RM,69,0,0,0,0,1,0,0,0,31,2,1,1,0.2,0.2,0.0,1,0,16,20,3,16,2,3,1,214,70,7,8,8,11,0,0,0.0,0,0,1,0,19,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,1,2,0,0,6,12,13,2,82.0,19.0,0,1,1,4,17,8,0,16,1,2.2,1.4,6.2,2022-10-20 19:15:00+00:00,69,0,12,0,2157,6.0,6,-25,38,63,48,2022-10-20
5,2022-10-23,Sun,13,Away,W 4–0,Leicester City,Wolves,N,RM,29,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,7,8,2,4,0,0,0,97,47,4,4,1,1,1,2,0.1,0,2,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,4,4,0,13.0,1.0,0,0,0,1,5,1,0,2,0,5.3,0.8,2.4,2022-10-23 13:00:00+00:00,28,0,13,0,2393,0.0,1,192,266,74,48,2022-10-23
6,2022-11-12,Sat,16,Away,W 2–0,Leicester City,West Ham,N,RM,66,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.0,0,0,14,20,1,15,0,1,1,192,60,11,13,1,3,1,3,0.0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,1,6,16,5,1,58.0,20.0,1,0,1,0,18,2,0,9,1,0.9,0.6,2.8,2022-11-12 15:00:00+00:00,65,0,16,0,2290,2.0,3,-44,26,70,48,2022-11-12
7,2022-12-26,Mon,17,Home,L 0–3,Leicester City,Newcastle Utd,Y,RW,16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,0,1,0,0,0,49,0,1,1,2,2,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0.0,0.0,0,0,1,0,2,1,0,3,0,0.1,0.0,0.0,2022-12-26 15:00:00+00:00,16,0,17,0,2357,0.0,1,15,152,137,48,2022-12-26
8,2023-01-14,Sat,20,Away,L 0–2,Leicester City,Nott'ham Forest,N,RB,23,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,18,1,8,2,1,1,175,54,9,9,1,3,1,2,0.0,0,0,0,0,16,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,0,58.0,19.0,1,0,0,0,15,3,0,4,0,2.1,0.4,1.4,2023-01-14 15:00:00+00:00,22,0,20,0,2159,0.0,1,-55,6,61,48,2023-01-14
9,2023-01-21,Sat,21,Home,D 2–2,Leicester City,Brighton,Y,RM,34,0,0,0,0,0,0,0,0,15,0,0,2,0.0,0.0,0.0,0,0,10,13,0,9,2,0,0,120,3,8,8,2,4,0,0,0.0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,10,0,64.0,34.0,2,0,1,0,11,3,0,2,0,1.3,0.0,0.0,2023-01-21 15:00:00+00:00,34,0,21,0,2179,0.0,1,-1,30,31,48,2023-01-21
10,2023-02-04,Sat,22,Away,W 4–2,Leicester City,Aston Villa,N,"RW,RM",24,1,0,0,0,1,1,0,0,11,0,0,1,0.3,0.3,0.0,0,0,3,6,0,6,0,0,0,37,1,2,3,1,1,0,0,0.0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,5,2,4,1,18.0,2.0,0,0,1,0,6,1,0,21,0,0.6,5.8,40.4,2023-02-04 15:00:00+00:00,23,0,22,0,2160,17.0,6,-34,27,61,48,2023-02-04
11,2023-02-11,Sat,23,Home,W 4–1,Leicester City,Tottenham,N,"RW,AM",14,0,0,0,0,0,0,0,0,10,1,1,0,0.0,0.0,0.0,1,0,4,7,0,6,0,1,0,100,2,1,2,1,1,2,3,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,6,3,0,18.0,0.0,0,0,0,0,6,2,0,3,0,0.6,0.4,3.0,2023-02-11 15:00:00+00:00,13,0,23,0,2224,0.0,1,36,73,37,48,2023-02-11
