,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Home,L 0–3,Huddersfield,Chelsea,Y,FW,45,0,0,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.0,0,0,6,10,0,12,1,3,1,97,16,2,2,0,3,2,2,0.1,0,0,1,1,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,2,13,2,60.0,23.0,0,0,1,2,13,4,8,0,0,0,2,0,1,5,4.8,1,0,0,0,1,2.3,206,7.0,0,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,45,0,1,0,0,2,1,0,3968,4,1,0,11.0,1,0,0,0,50,0,2018-08-11
1,2018-08-19,Sun,2,Away,L 1–6,Huddersfield,Manchester City,Y,RM,60,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,10,15,1,6,1,0,0,190,7,3,5,7,7,0,1,0.0,0,0,0,0,9,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,1,0,2,4,10,5,1,29.0,23.0,2,1,1,0,7,1,13,0,0,0,5,0,1,9,0.7,0,0,0,0,0,0.5,731,2.4,0,2018-08-19 12:30:00+00:00,19 Aug 13:30,0,0,60,1,0,0,0,1,2,0,3894,0,0,0,2.0,2,-354,139,493,50,0,2018-08-19
2,2018-09-22,Sat,6,Away,L 1–3,Huddersfield,Leicester City,N,AM,19,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,8,11,2,8,1,0,0,106,35,4,4,4,6,0,0,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,21.0,13.0,1,0,0,2,10,0,11,0,0,0,2,0,0,8,1.1,0,0,0,0,0,2.2,2863,0.6,0,2018-09-22 14:00:00+00:00,22 Sep 15:00,0,0,18,0,0,0,0,1,6,0,2859,1,0,0,20.0,1,-387,30,417,49,0,2018-09-22
3,2018-09-29,Sat,7,Home,L 0–2,Huddersfield,Tottenham,Y,"FW,LW",84,0,0,0,0,2,1,0,0,37,1,2,0,0.1,0.1,0.0,2,0,20,26,1,27,1,1,1,229,51,15,16,3,5,1,3,0.0,0,1,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,22,13,1,138.0,22.0,0,0,4,3,33,6,25,0,0,0,7,0,2,19,2.2,1,0,0,0,0,3.6,3401,8.4,0,2018-09-29 14:00:00+00:00,29 Sep 15:00,0,0,84,0,0,0,0,2,7,0,2610,3,1,0,25.0,2,-261,21,282,48,0,2018-09-29
4,2018-10-06,Sat,8,Away,D 1–1,Huddersfield,Burnley,Y,AM,90,0,0,0,0,2,0,0,0,56,0,1,1,0.1,0.1,0.1,3,0,29,46,3,37,5,2,0,353,78,21,23,7,14,0,3,0.0,2,1,0,0,44,2,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,20,33,4,220.0,100.0,3,3,1,2,43,9,42,0,0,0,4,0,1,29,25.3,0,0,0,0,0,4.8,3940,5.4,2,2018-10-06 14:00:00+00:00,06 Oct 15:00,0,0,90,0,0,0,0,3,8,0,2575,4,0,1,17.0,2,-58,67,125,48,0,2018-10-06
5,2018-10-20,Sat,9,Home,L 0–1,Huddersfield,Liverpool,Y,"FW,CM",90,0,0,0,0,1,0,0,0,52,1,0,0,0.1,0.1,0.0,6,0,35,46,8,38,4,5,3,545,181,21,22,10,13,3,8,0.0,1,4,0,0,45,1,0,0,1,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,32,16,2,190.0,74.0,1,1,2,1,42,7,42,0,0,0,11,0,0,33,13.7,3,0,0,0,0,2.9,4482,8.8,1,2018-10-20 16:30:00+00:00,20 Oct 17:30,0,0,90,1,0,0,0,8,9,0,2562,3,1,1,6.0,2,-42,138,180,48,0,2018-10-20
6,2018-10-27,Sat,10,Away,L 0–3,Huddersfield,Watford,Y,FW,90,0,0,0,0,3,1,0,0,57,1,1,2,0.1,0.1,0.0,2,0,30,39,3,28,2,4,2,474,63,14,16,14,17,1,3,0.0,0,3,0,0,34,4,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,5,32,20,6,122.0,31.0,1,2,6,2,41,8,35,0,0,0,6,0,1,29,2.0,2,0,0,0,1,3.6,5028,4.2,0,2018-10-27 14:00:00+00:00,27 Oct 15:00,0,0,90,0,0,0,0,5,10,0,2626,4,0,2,30.0,2,54,211,157,48,0,2018-10-27
7,2018-11-05,Mon,11,Home,W 1–0,Huddersfield,Fulham,Y,"FW,LW",81,0,0,0,0,2,1,0,0,45,2,2,1,0.1,0.1,0.0,2,0,23,35,3,25,3,1,0,309,54,16,19,5,9,1,3,0.1,0,2,2,0,34,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,1,3,2,0,1,0,0,0,0,15,30,3,120.0,66.0,1,1,1,1,31,5,31,0,0,0,9,1,2,23,5.3,0,0,0,0,1,2.6,5576,6.8,0,2018-11-05 20:00:00+00:00,05 Nov 20:00,0,0,81,2,0,0,0,6,11,0,2877,2,2,1,14.0,3,234,408,174,48,0,2018-11-05
8,2018-11-10,Sat,12,Home,D 1–1,Huddersfield,West Ham,Y,FW,71,1,0,0,0,3,2,0,0,45,2,0,1,0.1,0.1,0.0,2,1,20,27,3,27,3,4,0,274,61,10,11,9,11,0,2,0.0,0,2,0,0,25,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,1,3,0,1,7,20,18,2,157.0,49.0,2,2,5,3,32,8,26,0,0,0,18,1,2,20,2.8,0,0,0,0,0,6.5,6126,42.6,0,2018-11-10 15:00:00+00:00,10 Nov 15:00,0,0,71,1,0,0,0,7,12,0,2929,7,0,1,20.0,8,34,236,202,48,0,2018-11-10
9,2018-11-25,Sun,13,Away,W 2–0,Huddersfield,Wolves,Y,FW,89,0,0,0,0,2,1,0,0,59,0,0,0,0.1,0.1,0.0,1,0,39,51,5,37,3,2,0,514,88,18,21,13,15,2,3,0.1,0,2,1,1,49,1,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,28,6,201.0,68.0,5,2,2,5,52,11,46,0,0,0,4,1,0,38,10.4,0,0,0,0,1,5.8,6678,5.0,0,2018-11-25 16:00:00+00:00,25 Nov 16:00,0,0,90,0,1,0,0,3,13,0,5311,7,0,0,43.0,3,2010,2461,451,48,0,2018-11-25
10,2018-12-01,Sat,14,Home,L 1–2,Huddersfield,Brighton,Y,FW,48,0,0,0,0,3,0,0,0,31,0,0,0,0.2,0.2,0.0,4,0,17,23,3,15,0,1,0,259,40,7,11,6,7,2,2,0.0,0,2,0,0,21,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,16,15,4,55.0,7.0,0,0,3,1,23,0,23,0,0,0,0,0,0,17,3.2,0,0,0,0,0,4.3,7231,0.0,0,2018-12-01 15:00:00+00:00,01 Dec 15:00,0,0,48,0,0,0,0,1,14,0,7689,2,0,1,41.0,1,2252,2801,549,48,0,2018-12-01
11,2018-12-04,Tue,15,Away,L 1–2,Huddersfield,Bournemouth,Y,AM,90,0,0,0,0,5,1,0,0,71,1,0,0,0.5,0.5,0.1,10,0,48,59,8,53,5,5,3,626,122,33,35,12,16,2,4,0.1,1,5,4,0,56,3,0,0,0,7,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,24,46,4,259.0,128.0,1,1,3,3,62,7,52,0,0,0,14,0,0,48,18.2,3,0,0,0,0,9.4,7787,9.6,1,2018-12-04 19:45:00+00:00,04 Dec 19:45,0,0,90,0,0,0,0,9,15,0,7177,5,1,2,66.0,2,-331,540,871,48,0,2018-12-04
12,2018-12-08,Sat,16,Away,L 0–1,Huddersfield,Arsenal,Y,"RW,RM",90,0,0,0,0,1,0,1,0,52,1,1,2,0.1,0.1,0.0,2,0,27,37,2,27,2,3,1,342,79,19,25,6,6,1,3,0.0,1,2,1,1,34,3,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,3,23,27,5,185.0,23.0,0,0,5,1,35,7,34,0,0,0,3,0,1,25,17.4,1,0,0,0,4,3.2,8345,2.2,1,2018-12-08 15:00:00+00:00,08 Dec 15:00,0,0,90,0,1,0,0,3,16,0,6917,3,1,1,12.0,1,-276,375,651,48,0,2018-12-08
