,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,W 1–0,Chelsea,Everton,N,RW,26,0,0,0,0,1,0,0,0,10,1,1,0,0.0,0.0,0.0,0,0,3,4,0,5,1,2,1,16,3,1,1,0,0,0,1,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,6,3,1,65.0,36.0,1,0,1,0,5,1,0,7,0,0.4,0.6,2.0,2022-08-06 16:30:00+00:00,25,0,1,0,58532,4.0,1,0,0,0,60,2022-08-06
1,2022-08-14,Sun,2,Home,D 2–2,Chelsea,Tottenham,N,AM,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,1,0,1,1,0,2,0,0.0,0.0,0.0,2022-08-14 15:30:00+00:00,6,0,2,0,61764,0.0,1,-9562,3719,13281,60,2022-08-14
2,2022-08-21,Sun,3,Away,L 0–3,Chelsea,Leeds United,N,"FW,RM",27,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,12,2,10,1,1,0,197,51,4,6,3,3,2,2,0.0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,0,62.0,26.0,0,0,2,0,14,0,0,3,0,0.8,0.1,0.0,2022-08-21 13:00:00+00:00,26,0,3,0,53442,0.0,1,-12446,4542,16988,59,2022-08-21
3,2022-08-27,Sat,4,Home,W 2–1,Chelsea,Leicester City,N,CM,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,0,2,1,1,0,34,13,3,3,0,0,0,1,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,0,18.0,16.0,0,0,0,0,4,1,0,3,0,0.3,0.1,0.2,2022-08-27 14:00:00+00:00,15,0,4,0,45397,0.0,1,-10773,1870,12643,58,2022-08-27
4,2022-08-30,Tue,5,Away,L 1–2,Chelsea,Southampton,N,WB,25,0,0,0,0,0,0,1,0,25,3,0,0,0.0,0.0,0.0,0,0,11,16,1,13,1,1,0,152,19,5,6,5,7,0,1,0.0,0,0,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,0,0,0,0,6,10,10,1,92.0,45.0,1,0,3,0,14,5,0,-3,0,1.3,0.6,2.2,2022-08-30 18:45:00+00:00,24,0,5,0,44982,2.0,0,-3267,2723,5990,58,2022-08-30
5,2022-09-03,Sat,6,Home,W 2–1,Chelsea,West Ham,Y,FW,59,0,0,0,0,1,0,0,0,31,0,0,0,0.1,0.1,0.0,4,0,24,26,3,19,3,3,1,304,33,14,14,9,10,0,0,0.0,2,2,0,0,25,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,19,3,141.0,74.0,5,0,0,2,24,4,0,2,0,26.1,5.4,5.6,2022-09-03 14:00:00+00:00,59,0,6,0,44740,22.0,1,-3187,3490,6677,58,2022-09-03
6,2022-10-01,Sat,9,Away,W 2–1,Chelsea,Crystal Palace,N,AM,7,0,1,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,1,1,4,5,0,4,2,1,1,36,2,4,4,0,0,0,1,0.0,1,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,48.0,29.0,0,2,0,1,3,1,0,13,0,10.5,3.5,20.0,2022-10-01 14:00:00+00:00,6,0,9,0,47022,4.0,4,267,2690,2423,57,2022-10-01
7,2022-10-08,Sat,10,Home,W 3–0,Chelsea,Wolves,Y,LW,71,1,0,0,0,4,2,0,0,43,1,0,1,0.5,0.5,0.1,4,1,28,33,3,33,4,1,0,341,64,21,25,7,7,0,0,0.0,1,4,0,0,33,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,3,16,24,6,231.0,123.0,2,3,2,0,34,5,0,25,1,14.8,8.9,36.4,2022-10-08 14:00:00+00:00,71,0,10,0,49971,38.0,8,1482,4321,2839,57,2022-10-08
8,2022-10-19,Wed,12,Away,D 0–0,Chelsea,Brentford,N,WB,30,0,0,0,0,2,1,0,0,30,0,0,0,0.1,0.1,0.3,4,0,18,23,1,21,3,3,1,229,35,14,16,2,3,1,1,0.1,3,1,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,21,7,152.0,81.0,2,3,0,0,25,8,0,4,0,33.3,7.4,11.6,2022-10-19 18:30:00+00:00,29,0,12,0,70452,29.0,1,629,6349,5720,57,2022-10-19
9,2022-10-22,Sat,13,Home,D 1–1,Chelsea,Manchester Utd,N,FW,17,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,4,0,4,0,1,1,13,3,1,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,0,38.0,9.0,0,0,0,1,5,1,0,2,0,0.1,0.1,1.2,2022-10-22 16:30:00+00:00,16,0,13,0,66063,0.0,1,-4777,3376,8153,57,2022-10-22
