,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-24,Sun,6,Away,W 1–0,Aston Villa,Chelsea,N,LM,16,0,0,0,0,1,1,0,0,18,4,0,2,0.1,0.1,0.0,1,0,4,6,0,8,1,1,0,57,1,2,2,2,3,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0,1,2,1,0,2,0,0,1,6,7,5,1,47.0,26.0,0,1,2,1,7,0,0,2,0,0.5,2.9,11.0,2023-09-24 13:00:00+00:00,15,0,6,0,6716,17.0,1,41,325,284,59,2023-09-24
1,2023-09-30,Sat,7,Home,W 6–1,Aston Villa,Brighton,N,LW,34,1,0,0,0,2,1,0,0,12,0,1,0,0.1,0.1,0.0,0,0,9,9,2,11,3,0,0,128,47,5,5,4,4,0,0,0.0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,6,5,1,113.0,66.0,1,1,0,1,12,0,0,19,0,1.1,4.5,32.8,2023-09-30 11:30:00+00:00,33,0,7,0,7218,11.0,6,171,727,556,59,2023-09-30
2,2023-11-26,Sun,13,Away,W 2–1,Aston Villa,Tottenham,N,LM,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3.0,0.0,0,0,1,0,2,0,0,3,0,0.0,0.2,2.0,2023-11-26 14:00:00+00:00,1,0,13,0,6572,0.0,1,-122,90,212,59,2023-11-26
3,2023-12-03,Sun,14,Away,D 2–2,Aston Villa,Bournemouth,N,FW,45,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,12,16,0,12,1,1,0,236,25,4,8,7,7,1,1,0.0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,10,9,2,94.0,20.0,1,0,0,1,16,6,0,-1,0,1.6,0.6,0.6,2023-12-03 14:00:00+00:00,45,0,14,0,7218,4.0,1,473,600,127,59,2023-12-03
4,2023-12-06,Wed,15,Home,W 1–0,Aston Villa,Manchester City,N,"FW,LM",6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,1,1,0,1,0,43,27,2,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,4.0,0.0,0,0,2,0,3,0,0,2,0,0.3,0.1,0.6,2023-12-06 20:15:00+00:00,5,0,15,0,7528,0.0,1,194,412,218,59,2023-12-06
5,2023-12-09,Sat,16,Home,W 1–0,Aston Villa,Arsenal,N,FW,35,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,6,10,0,5,0,3,0,112,40,3,3,2,4,1,3,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,3,9,1,25.0,3.0,0,0,0,4,6,1,0,0,0,0.8,0.8,3.6,2023-12-09 17:30:00+00:00,34,0,16,0,8099,4.0,1,366,612,246,59,2023-12-09
6,2023-12-17,Sun,17,Away,W 2–1,Aston Villa,Brentford,Y,CM,89,0,0,0,0,2,1,0,0,58,1,0,2,0.1,0.1,0.3,6,1,39,48,5,28,3,1,0,606,248,21,24,16,20,2,2,0.3,3,5,2,0,38,10,0,1,0,4,0,10,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,1,0,1,4,20,36,5,165.0,78.0,3,0,3,1,40,10,0,10,0,47.3,7.8,11.2,2023-12-17 14:00:00+00:00,89,0,17,0,9312,19.0,2,887,1304,417,59,2023-12-17
7,2023-12-22,Fri,18,Home,D 1–1,Aston Villa,Sheffield Utd,Y,LM,90,0,0,0,0,0,0,0,0,49,1,0,2,0.0,0.0,0.0,2,1,32,43,6,31,3,0,0,452,80,21,27,10,13,1,2,0.2,0,3,1,0,43,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1,0,2,0,0,1,6,21,23,4,188.0,96.0,3,1,0,2,41,12,0,8,0,8.5,2.0,3.2,2023-12-22 20:00:00+00:00,90,0,18,0,11506,8.0,2,1806,2279,473,59,2023-12-22
8,2023-12-26,Tue,19,Away,L 2–3,Aston Villa,Manchester Utd,Y,LW,76,0,0,0,0,1,0,1,0,29,1,1,2,0.1,0.1,0.0,3,0,12,19,0,19,2,0,0,129,12,10,14,1,3,0,0,0.0,0,0,0,0,19,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,8,10,12,6,107.0,57.0,1,1,3,1,21,7,0,2,0,1.5,2.8,6.4,2023-12-26 20:00:00+00:00,76,0,19,0,11415,20.0,1,-132,863,995,59,2023-12-26
9,2023-12-30,Sat,20,Home,W 3–2,Aston Villa,Burnley,Y,LM,90,0,0,0,0,2,0,1,0,35,1,0,2,0.3,0.3,0.1,4,0,18,24,2,23,5,4,2,325,52,5,8,12,12,1,1,0.3,2,2,0,0,23,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,1,0,1,8,10,18,7,214.0,106.0,2,4,0,1,22,5,0,3,0,22.5,5.1,7.0,2023-12-30 15:00:00+00:00,90,0,20,0,12244,21.0,1,573,1546,973,59,2023-12-30
10,2024-01-30,Tue,22,Home,L 1–3,Aston Villa,Newcastle Utd,N,CM,28,0,0,0,0,0,0,0,0,12,3,0,0,0.0,0.0,0.0,0,0,6,7,0,9,1,2,0,90,13,4,4,2,3,0,0,0.0,0,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,3,3,6,1,76.0,49.0,0,0,0,0,6,3,0,5,0,0.7,0.9,6.2,2024-01-30 20:15:00+00:00,27,0,22,0,11077,2.0,1,-1745,194,1939,59,2024-01-30
11,2024-02-03,Sat,23,Away,W 5–0,Aston Villa,Sheffield Utd,N,LW,45,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,16,21,1,20,1,3,2,220,18,7,9,6,9,1,1,0.0,0,1,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,3,19,2,0,81.0,26.0,0,0,0,1,20,1,0,4,0,5.8,1.5,9.4,2024-02-03 17:30:00+00:00,45,0,23,0,11214,0.0,1,-27,307,334,59,2024-02-03
12,2024-02-11,Sun,24,Home,L 1–2,Aston Villa,Manchester Utd,Y,LW,90,0,0,0,0,5,0,0,0,47,0,0,1,0.3,0.3,0.0,3,0,30,36,5,34,6,0,0,408,124,19,22,9,10,1,1,0.1,0,2,1,0,36,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,6,12,30,8,286.0,145.0,4,1,2,3,40,12,0,6,0,6.1,3.5,1.0,2024-02-11 16:30:00+00:00,90,0,24,0,11302,28.0,2,-106,440,546,59,2024-02-11
13,2024-02-17,Sat,25,Away,W 2–1,Aston Villa,Fulham,Y,LW,90,0,0,0,0,2,0,0,0,44,0,1,2,0.2,0.2,0.1,2,0,27,30,2,24,2,1,1,359,85,16,17,8,8,1,1,0.0,2,3,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,6,27,11,2,103.0,53.0,2,1,3,3,28,2,0,12,0,24.3,3.9,6.8,2024-02-17 15:00:00+00:00,90,0,25,0,12064,8.0,2,474,1005,531,59,2024-02-17
14,2024-02-24,Sat,26,Home,W 4–2,Aston Villa,Nott'ham Forest,Y,"LM,LW",90,0,1,0,0,2,0,0,0,46,1,0,1,0.2,0.2,0.6,6,1,35,40,3,36,4,2,2,483,68,20,22,13,14,0,0,0.4,3,5,0,0,40,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,1,0,0,0,3,21,23,7,195.0,96.0,0,0,1,1,41,9,0,24,0,37.8,7.7,21.8,2024-02-24 15:00:00+00:00,90,0,26,0,14849,17.0,5,1959,2640,681,59,2024-02-24
15,2024-03-02,Sat,27,Away,W 3–2,Aston Villa,Luton Town,Y,LW,28,0,0,0,0,2,1,0,0,13,0,0,0,0.7,0.7,0.0,1,0,8,9,1,9,1,1,1,103,23,4,5,4,4,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,2,76.0,15.0,2,1,1,1,9,1,0,2,0,0.5,2.4,0.4,2024-03-02 17:30:00+00:00,28,0,27,0,15320,23.0,1,797,1790,993,59,2024-03-02
16,2022-08-06,Sat,1,Away,L 0–2,Aston Villa,Bournemouth,Y,LM,45,0,0,0,0,2,1,1,0,37,3,0,0,0.1,0.1,0.1,2,0,29,33,6,26,2,1,1,408,157,20,22,6,7,3,3,0.1,2,6,2,0,32,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0,0,1,0,2,6,25,6,0,90.0,35.0,1,0,0,2,27,4,0,11,0,22.3,4.0,10.0,2022-08-06 14:00:00+00:00,45,0,1,0,172950,8.0,0,0,0,0,55,2022-08-06
17,2022-08-13,Sat,2,Home,W 2–1,Aston Villa,Everton,Y,LM,89,0,0,0,0,0,0,0,0,79,1,3,2,0.0,0.0,0.1,1,0,59,62,6,55,5,4,2,712,165,37,38,16,17,0,1,0.0,1,9,1,0,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,6,44,29,3,272.0,150.0,1,2,4,2,59,6,0,14,0,18.5,3.8,13.4,2022-08-13 11:30:00+00:00,90,0,2,0,154255,6.0,2,-28430,4260,32690,55,2022-08-13
18,2022-08-20,Sat,3,Away,L 1–3,Aston Villa,Crystal Palace,Y,LM,90,0,0,0,0,0,0,0,0,42,1,0,2,0.0,0.0,0.1,3,0,28,31,2,19,0,2,1,438,96,14,15,12,14,2,2,0.0,1,4,0,0,30,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,2,1,0,2,6,26,10,0,78.0,31.0,1,0,2,1,30,2,0,14,0,12.6,2.0,7.6,2022-08-20 14:00:00+00:00,90,0,3,0,139775,0.0,2,-19268,8863,28131,54,2022-08-20
19,2022-08-28,Sun,4,Home,L 0–1,Aston Villa,West Ham,N,"RM,LW",25,0,0,0,0,1,1,0,0,21,0,0,1,0.0,0.0,0.1,2,0,16,17,1,16,1,0,0,203,58,10,10,5,5,0,1,0.1,1,2,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,10,1,106.0,53.0,3,0,2,0,17,2,0,4,0,11.8,2.7,6.4,2022-08-28 13:00:00+00:00,24,0,4,0,114625,9.0,1,-27037,2052,29089,53,2022-08-28
20,2022-08-31,Wed,5,Away,L 1–2,Aston Villa,Arsenal,Y,"RM,CM",90,0,0,0,0,0,0,1,0,53,3,1,5,0.0,0.0,0.4,2,0,35,40,9,27,1,0,0,485,164,21,24,12,12,1,1,0.1,2,6,1,0,39,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,1,4,2,0,3,11,34,10,0,167.0,69.0,3,0,2,1,29,1,0,10,0,23.6,4.4,20.0,2022-08-31 18:30:00+00:00,90,0,5,0,97152,0.0,1,-18904,1343,20247,53,2022-08-31
21,2022-09-03,Sat,6,Home,D 1–1,Aston Villa,Manchester City,Y,"AM,LM",90,0,1,0,0,0,0,0,0,28,3,0,0,0.0,0.0,0.1,1,1,13,19,1,8,1,1,0,159,50,11,16,2,2,0,0,0.1,1,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,2,2,0,0,0,0,1,3,11,14,6,48.0,24.0,0,2,1,1,16,4,0,15,0,11.8,4.8,23.8,2022-09-03 16:30:00+00:00,90,0,6,0,86293,12.0,5,-12099,1792,13891,52,2022-09-03
22,2022-09-16,Fri,8,Home,W 1–0,Aston Villa,Southampton,Y,RM,66,1,0,0,0,2,1,1,0,42,5,1,4,0.5,0.5,0.0,2,0,23,30,3,19,0,0,0,385,107,12,16,9,9,2,3,0.0,0,2,1,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,3,1,1,2,1,1,3,0,0,1,6,25,11,2,107.0,22.0,1,0,1,0,22,3,3,26,1,3.1,10.0,45.4,2022-09-16 19:00:00+00:00,66,0,8,0,95288,51.0,10,4981,8710,3729,52,2022-09-16
