,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Away,L 1–5,Leeds United,Manchester Utd,Y,RM,90,0,0,0,0,2,0,1,0,62,4,1,3,0.3,0.3,0.1,4,0,27,45,1,36,0,2,1,401,106,12,13,12,20,1,10,0.1,1,3,1,1,36,9,4,0,1,7,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,2,1,0,3,0,0,1,6,34,23,3,158.0,53.0,1,0,4,0,37,9,0,9,0,19.4,4.7,11.6,2021-08-14 11:30:00+00:00,90,0,1,0,1238151,16.0,1,0,0,0,65,2021-08-14
1,2021-08-21,Sat,2,Home,D 2–2,Leeds United,Everton,Y,RW,90,1,0,0,0,6,2,0,0,69,0,1,1,0.2,0.2,0.0,5,0,30,48,3,43,2,9,2,418,164,21,25,6,10,2,10,0.0,1,2,1,0,41,7,1,1,0,8,1,5,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,8,30,32,3,215.0,108.0,3,1,3,2,57,10,0,18,0,24.3,11.2,41.2,2021-08-21 14:00:00+00:00,90,0,2,0,1196087,46.0,7,-94295,51870,146165,65,2021-08-21
2,2021-08-29,Sun,3,Away,D 1–1,Leeds United,Burnley,Y,RW,90,0,0,0,0,3,0,0,0,59,3,1,1,0.2,0.2,0.1,4,0,28,39,5,34,3,7,2,486,200,12,15,11,15,4,7,0.3,2,2,1,0,35,4,0,0,0,5,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,1,0,1,0,0,1,6,26,27,4,204.0,73.0,1,0,8,2,44,15,0,3,0,30.2,6.8,11.6,2021-08-29 13:00:00+00:00,90,0,3,0,1350393,26.0,2,108379,213539,105160,65,2021-08-29
3,2021-09-12,Sun,4,Home,L 0–3,Leeds United,Liverpool,Y,RM,90,0,0,0,0,0,0,0,0,39,1,2,0,0.0,0.0,0.7,3,0,15,25,3,25,4,2,0,204,85,9,12,3,5,1,6,0.6,3,1,0,0,22,3,2,0,0,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,3,10,15,16,2,128.0,92.0,0,2,5,0,24,3,0,10,0,35.3,5.5,16.0,2021-09-12 15:30:00+00:00,90,0,4,0,1187293,4.0,2,-166636,221759,388395,65,2021-09-12
4,2021-09-17,Fri,5,Away,D 1–1,Leeds United,Newcastle Utd,Y,"RM,LM",66,1,0,0,0,5,3,0,0,52,2,0,0,0.5,0.5,0.3,6,0,25,40,3,31,4,1,0,438,134,12,16,10,13,3,9,0.2,3,3,2,0,36,4,0,0,1,5,1,3,0,5,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,4,25,23,9,187.0,108.0,2,3,1,1,40,13,1,26,0,32.9,14.3,46.0,2021-09-17 19:00:00+00:00,66,0,5,0,1332358,64.0,8,115095,269005,153910,65,2021-09-17
5,2021-09-25,Sat,6,Home,L 1–2,Leeds United,West Ham,Y,RM,68,1,0,0,0,3,2,1,0,37,0,0,3,0.2,0.2,0.4,6,0,19,25,3,23,5,4,3,348,161,10,13,6,7,3,5,0.2,3,2,1,0,21,4,0,0,0,3,1,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,4,13,21,3,216.0,131.0,1,2,0,0,24,6,2,30,0,36.4,10.5,45.2,2021-09-25 14:00:00+00:00,68,0,6,0,1138035,23.0,8,-186207,56786,242993,65,2021-09-25
6,2021-10-02,Sat,7,Home,W 1–0,Leeds United,Watford,Y,RM,90,0,0,0,0,5,0,0,0,62,1,0,2,0.4,0.4,0.1,4,1,21,42,5,36,3,8,4,462,173,8,9,7,14,6,14,0.4,1,4,1,0,35,7,3,2,0,8,0,4,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,2,26,35,4,239.0,103.0,3,1,3,2,41,13,0,1,1,18.4,3.9,0.0,2021-10-02 14:00:00+00:00,90,0,7,0,1601986,22.0,3,423999,462295,38296,66,2021-10-02
7,2021-10-23,Sat,9,Home,D 1–1,Leeds United,Wolves,Y,RM,53,0,0,0,0,3,1,0,0,50,2,3,1,0.1,0.1,0.1,7,0,24,36,7,35,3,9,9,472,184,10,10,8,14,5,9,0.1,2,6,1,0,33,3,1,0,1,3,0,2,0,3,1,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,1,1,10,22,20,3,289.0,145.0,3,2,2,2,30,5,0,8,0,26.5,5.9,16.0,2021-10-23 14:00:00+00:00,53,0,9,0,1826365,16.0,1,173012,221903,48891,67,2021-10-23
8,2021-10-31,Sun,10,Away,W 2–1,Leeds United,Norwich City,Y,RW,90,1,0,0,0,5,3,0,0,58,0,2,1,0.3,0.3,0.1,5,1,21,36,3,37,4,8,5,378,116,10,13,7,14,4,7,0.3,2,1,3,1,32,4,4,3,0,6,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,6,23,30,6,361.0,182.0,3,4,6,0,43,13,2,29,0,41.5,15.3,50.2,2021-10-31 14:00:00+00:00,90,0,10,0,1553886,61.0,9,-257442,42560,300002,67,2021-10-31
9,2021-11-07,Sun,11,Home,D 1–1,Leeds United,Leicester City,Y,"RW,RM",90,1,0,0,0,3,1,1,0,61,0,2,1,0.1,0.1,0.4,10,1,26,41,5,38,2,9,2,392,223,12,13,9,11,2,12,0.2,4,3,1,0,31,10,2,0,0,8,2,6,0,6,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,4,22,37,3,265.0,71.0,2,0,5,1,32,9,3,22,0,51.4,11.8,44.0,2021-11-07 14:00:00+00:00,90,0,11,0,1623028,23.0,9,47769,105203,57434,66,2021-11-07
