,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,L 1–2,Wolves,Leeds United,Y*,DM,90,0,0,0,0,1,0,0,0,75,4,1,2,0.0,0.0,0.1,1,0,55,61,10,53,0,3,2,1291,399,16,17,25,26,14,18,0.0,2,7,1,0,59,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,2,1,2,0,5,0,9,25,38,12,0,160.0,43.0,0,0,1,0,51,0,2,25,0,24.0,6.1,36.2,2022-08-06 14:00:00+00:00,90,0,1,0,133655,1.0,4,0,0,0,55,2022-08-06
1,2022-08-13,Sat,2,Home,D 0–0,Wolves,Fulham,Y*,DM,90,0,0,0,0,2,0,1,0,69,4,2,2,0.0,0.0,0.0,1,0,36,54,4,18,0,1,1,746,220,14,17,15,18,7,13,0.0,0,6,0,0,49,5,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,5,4,1,1,2,0,3,24,41,6,0,104.0,25.0,0,0,2,0,26,0,0,8,1,1.3,1.7,13.8,2022-08-13 14:00:00+00:00,90,0,2,0,167439,2.0,2,2647,18094,15447,55,2022-08-13
2,2022-08-20,Sat,3,Away,L 0–1,Wolves,Tottenham,Y*,CM,90,0,0,0,0,3,1,0,0,77,2,3,0,0.1,0.1,0.1,8,0,61,68,8,27,2,0,0,1490,277,14,14,31,32,16,22,0.1,3,7,1,0,62,6,3,0,2,3,0,3,0,6,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,1,0,4,14,42,22,0,206.0,140.0,1,0,0,0,51,0,0,21,0,40.9,6.7,16.8,2022-08-20 11:30:00+00:00,90,0,3,0,160130,9.0,2,-15327,11057,26384,55,2022-08-20
3,2022-08-28,Sun,4,Home,D 1–1,Wolves,Newcastle Utd,Y*,CM,90,1,0,0,0,3,1,0,0,57,6,0,4,0.1,0.1,0.0,4,0,28,35,5,23,0,1,1,818,243,6,6,9,13,13,16,0.0,1,8,0,0,31,4,4,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,2,2,2,5,8,3,3,1,6,0,9,25,24,8,0,67.0,27.0,0,0,2,1,16,0,3,35,0,11.4,10.8,73.8,2022-08-28 13:00:00+00:00,90,0,4,0,149705,23.0,10,-17441,8228,25669,55,2022-08-28
4,2022-08-31,Wed,5,Away,D 0–0,Wolves,Bournemouth,Y*,CM,90,0,0,0,0,1,0,1,0,106,6,4,0,0.0,0.0,0.0,4,0,81,94,11,59,2,0,0,1838,404,21,22,44,47,16,24,0.0,0,9,0,0,92,2,2,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,5,2,0,0,2,0,2,27,60,19,0,355.0,169.0,3,0,1,0,77,1,0,12,1,5.3,3.8,24.8,2022-08-31 18:30:00+00:00,90,0,5,0,215749,8.0,2,50557,63758,13201,55,2022-08-31
5,2022-09-03,Sat,6,Home,W 1–0,Wolves,Southampton,Y*,CM,90,0,0,0,0,0,0,1,0,72,3,1,4,0.0,0.0,0.0,0,0,45,52,5,30,0,1,0,868,186,20,21,17,21,8,9,0.0,0,5,0,0,49,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,2,2,6,0,11,29,36,7,0,124.0,53.0,1,0,0,1,38,0,0,9,1,4.8,3.1,26.6,2022-09-03 14:00:00+00:00,90,0,6,0,249290,0.0,2,23815,48662,24847,55,2022-09-03
6,2022-09-17,Sat,8,Home,L 0–3,Wolves,Manchester City,Y*,"CB,CM",90,0,0,0,0,1,0,1,0,73,2,3,0,0.0,0.0,0.0,2,0,55,63,2,39,0,0,0,1250,491,14,16,30,34,11,13,0.0,1,4,1,0,62,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,7,39,31,3,0,110.0,48.0,0,0,1,0,55,0,0,14,0,10.9,2.4,12.0,2022-09-17 11:30:00+00:00,90,0,8,0,233904,1.0,1,-1666,8726,10392,55,2022-09-17
7,2022-10-01,Sat,9,Away,L 0–2,Wolves,West Ham,Y*,CB,90,0,0,0,0,2,0,1,0,101,1,1,2,0.0,0.0,0.0,2,0,79,93,7,68,1,0,0,1707,758,15,15,52,54,11,20,0.0,0,11,0,0,92,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,17,58,38,5,2,341.0,225.0,2,0,0,0,78,0,0,9,0,1.4,4.4,22.0,2022-10-01 16:30:00+00:00,90,0,9,0,225362,21.0,1,-11904,9256,21160,55,2022-10-01
8,2022-10-15,Sat,11,Home,W 1–0,Wolves,Nott'ham Forest,Y*,DM,90,1,0,1,1,1,1,0,0,78,3,1,0,0.8,0.0,0.0,1,0,54,68,8,43,2,2,2,980,288,25,28,21,23,5,13,0.0,0,6,2,0,65,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,1,0,3,17,49,13,2,231.0,137.0,2,0,1,2,54,1,2,31,1,6.2,8.1,48.6,2022-10-15 14:00:00+00:00,90,0,11,0,159112,26.0,10,-5648,4572,10220,55,2022-10-15
9,2022-10-18,Tue,12,Away,L 1–2,Wolves,Crystal Palace,Y*,DM,90,0,0,0,0,3,1,0,0,78,3,1,4,0.1,0.1,0.0,1,1,56,65,5,40,3,1,0,1065,211,20,20,26,28,8,12,0.0,0,2,0,0,59,6,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,3,2,1,3,0,0,3,30,39,11,0,196.0,102.0,2,0,2,1,52,1,0,9,0,4.5,2.7,13.8,2022-10-18 19:15:00+00:00,90,0,12,0,188131,9.0,2,18530,22907,4377,55,2022-10-18
