,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-03,Sat,23,Away,W 5–0,Aston Villa,Sheffield Utd,N,AM,10,0,0,0,0,1,0,0,0,3,0,0,0,0.2,0.2,0.0,0,0,1,2,0,3,0,1,1,5,2,0,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7.0,0.0,0,0,0,0,3,0,0,3,0,0.1,0.3,0.0,2024-02-03 17:30:00+00:00,9,0,23,0,184,4.0,1,178,183,5,50,2024-02-03
1,2024-02-24,Sat,26,Home,W 4–2,Aston Villa,Nott'ham Forest,N,FW,1,0,0,0,0,1,0,0,0,2,0,0,0,0.1,0.1,0.0,0,0,1,1,0,2,0,1,1,40,33,0,0,0,0,1,1,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13.0,8.0,0,0,0,0,1,0,0,4,0,0.0,0.6,1.2,2024-02-24 15:00:00+00:00,1,0,26,0,517,5.0,1,23,140,117,50,2024-02-24
2,2024-03-02,Sat,27,Away,W 3–2,Aston Villa,Luton Town,N,LW,50,0,0,0,0,1,1,1,0,22,0,0,0,0.0,0.0,0.1,5,1,12,15,4,13,2,2,2,209,88,7,9,4,4,1,1,0.1,2,1,2,0,15,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,2,6,10,7,1,97.0,56.0,1,1,1,0,17,1,0,2,0,22.2,4.7,8.2,2024-03-02 17:30:00+00:00,49,0,27,0,518,17.0,0,-26,74,100,50,2024-03-02
3,2024-03-17,Sun,29,Away,D 1–1,Aston Villa,West Ham,Y,LM,62,0,0,0,0,1,1,0,0,41,1,0,3,0.0,0.0,0.0,1,0,20,27,6,19,4,3,2,280,122,13,16,7,8,0,0,0.1,0,4,1,0,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,3,0,0,7,14,21,2,148.0,96.0,2,0,2,1,22,7,0,3,0,2.9,2.1,7.0,2024-03-17 14:00:00+00:00,62,0,29,0,853,11.0,2,51,94,43,50,2024-03-17
4,2024-03-30,Sat,30,Home,W 2–0,Aston Villa,Wolves,Y,LM,62,0,0,0,0,0,0,0,0,16,1,0,2,0.0,0.0,0.0,0,0,7,10,1,9,3,7,5,122,32,2,2,4,5,1,1,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,2,1,0,0,3,10,4,1,83.0,39.0,0,1,0,1,11,1,0,10,1,0.7,1.0,7.6,2024-03-30 17:30:00+00:00,62,0,30,0,690,2.0,3,-10,52,62,50,2024-03-30
5,2024-04-03,Wed,31,Away,L 1–4,Aston Villa,Manchester City,Y,AM,90,0,1,0,0,0,0,0,0,43,2,1,2,0.0,0.0,0.3,4,1,21,25,6,18,2,4,0,354,167,10,12,6,7,4,5,0.1,2,4,2,0,20,5,0,1,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,2,1,0,2,13,22,10,2,136.0,68.0,1,0,6,1,20,1,0,22,0,26.9,5.8,27.0,2024-04-03 19:15:00+00:00,90,0,31,0,743,4.0,5,22,76,54,50,2024-04-03
6,2024-04-06,Sat,32,Home,D 3–3,Aston Villa,Brentford,Y,LM,68,1,0,0,0,3,1,0,0,38,3,1,0,0.6,0.6,0.0,1,0,24,26,0,22,2,1,0,320,65,13,15,8,8,1,1,0.0,0,2,0,0,25,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,1,8,15,15,4,123.0,49.0,2,2,1,1,24,10,0,21,0,4.8,7.4,38.2,2024-04-06 14:00:00+00:00,68,0,32,0,1084,31.0,7,298,397,99,50,2024-04-06
7,2024-04-14,Sun,33,Away,W 2–0,Aston Villa,Arsenal,Y,AM,90,0,0,0,0,1,0,1,0,34,0,0,1,0.0,0.0,0.0,1,0,19,26,3,16,1,5,3,241,57,9,13,6,8,1,1,0.0,0,0,2,0,24,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,7,16,11,0,118.0,30.0,1,0,1,2,24,1,0,3,1,7.6,1.7,7.0,2024-04-14 15:30:00+00:00,90,0,33,0,1488,2.0,2,317,529,212,50,2024-04-14
8,2024-04-21,Sun,34,Home,W 3–1,Aston Villa,Bournemouth,Y,"LW,AM",90,1,0,0,0,2,1,0,0,37,1,0,0,0.2,0.2,0.0,7,2,20,31,4,17,3,4,2,327,157,9,12,9,13,1,2,0.1,1,3,2,0,29,1,0,0,0,0,1,0,1,5,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,19,14,7,102.0,66.0,0,1,1,1,29,7,0,24,0,11.9,10.0,37.4,2024-04-21 14:00:00+00:00,90,0,34,0,1781,51.0,7,238,462,224,50,2024-04-21
9,2024-04-27,Sat,35,Home,D 2–2,Aston Villa,Chelsea,Y,"LM,CM",90,1,0,0,0,1,1,1,0,44,0,0,3,0.1,0.1,0.2,3,0,16,24,3,25,5,5,1,273,111,10,13,4,5,2,2,0.1,3,1,2,0,24,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,0,3,17,17,10,3,220.0,134.0,4,1,5,4,29,2,0,18,0,31.0,9.4,41.8,2024-04-27 19:00:00+00:00,90,0,35,0,2615,21.0,6,727,964,237,50,2024-04-27
