,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,L 0–3,Norwich City,Liverpool,Y,LM,90,0,0,0,0,4,0,0,0,58,2,0,2,0.1,0.1,0.0,2,0,36,46,5,40,0,1,1,477,130,17,18,14,15,1,4,0.0,0,3,0,0,45,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,1,0,2,2,0,2,13,34,11,1,134.0,63.0,1,0,0,1,42,2,0,13,0,2.2,2.8,5.2,2021-08-14 16:30:00+00:00,90,0,1,0,8058,21.0,2,0,0,0,45,2021-08-14
1,2021-08-21,Sat,2,Away,L 0–5,Norwich City,Manchester City,Y,LM,45,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,17,18,0,12,0,0,0,304,41,6,6,10,11,1,1,0.0,0,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,9,11,1,0,40.0,7.0,1,0,0,1,15,1,0,2,0,0.3,0.6,5.2,2021-08-21 14:00:00+00:00,45,0,2,0,10891,0.0,1,658,2032,1374,45,2021-08-21
2,2021-08-28,Sat,3,Home,L 1–2,Norwich City,Leicester City,N,"CM,RM",18,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,8,8,2,7,0,1,1,125,61,4,4,3,3,1,1,0.0,1,0,1,1,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,4,5,0,30.0,12.0,1,0,2,0,8,1,0,5,0,14.7,2.9,6.2,2021-08-28 14:00:00+00:00,17,0,3,0,10835,8.0,1,-481,909,1390,45,2021-08-28
3,2021-09-11,Sat,4,Away,L 0–1,Norwich City,Arsenal,Y,CM,79,0,0,0,0,1,0,0,0,51,1,3,0,0.0,0.0,0.0,1,0,37,43,1,32,1,0,0,457,132,26,28,10,11,0,0,0.0,0,3,0,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,7,18,24,9,1,172.0,57.0,1,0,1,0,35,0,0,10,0,2.3,0.9,4.0,2021-09-11 14:00:00+00:00,79,0,4,0,10685,3.0,2,-571,1435,2006,45,2021-09-11
4,2021-10-02,Sat,7,Away,D 0–0,Norwich City,Burnley,N,CM,11,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,6,6,1,3,0,0,0,73,12,4,4,2,2,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,4,3,0,9.0,0.0,0,0,0,1,4,0,0,3,0,0.8,0.2,1.6,2021-10-02 14:00:00+00:00,10,0,7,0,10417,0.0,1,-810,444,1254,45,2021-10-02
5,2021-10-16,Sat,8,Home,D 0–0,Norwich City,Brighton,N,CM,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,18,0,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.0,0.0,0,0,0,1,3,0,0,2,0,0.0,0.0,0.0,2021-10-16 14:00:00+00:00,7,0,8,0,9735,0.0,1,-780,191,971,45,2021-10-16
6,2021-11-20,Sat,12,Home,W 2–1,Norwich City,Southampton,N,RM,5,0,0,0,0,0,0,0,0,4,1,1,0,0.0,0.0,0.0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,26.0,0.0,1,0,1,0,0,0,0,3,0,0.0,0.5,5.0,2021-11-20 15:00:00+00:00,4,0,12,0,33808,0.0,1,124,4418,4294,44,2021-11-20
7,2021-11-27,Sat,13,Home,D 0–0,Norwich City,Wolves,N,DM,56,0,0,0,0,3,1,0,0,46,2,0,2,0.3,0.3,0.9,5,0,25,32,2,29,0,4,2,311,46,15,16,8,9,0,2,0.5,3,0,1,0,31,0,0,1,1,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,2,1,0,2,5,15,27,5,101.0,34.0,1,0,2,1,30,5,0,14,0,37.4,8.7,14.8,2021-11-27 15:00:00+00:00,55,0,13,0,33507,35.0,1,-233,2473,2706,44,2021-11-27
8,2021-11-30,Tue,14,Away,D 1–1,Norwich City,Newcastle Utd,Y,DM,90,0,0,0,0,1,0,0,0,85,0,1,3,0.0,0.0,0.1,4,0,63,73,5,55,4,2,2,1223,199,24,29,29,29,9,12,0.0,2,8,0,0,72,1,0,1,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,12,56,20,2,293.0,152.0,2,0,3,0,63,3,0,18,0,28.7,5.9,10.2,2021-11-30 19:30:00+00:00,90,0,14,0,33213,20.0,2,-464,1318,1782,44,2021-11-30
9,2021-12-11,Sat,16,Home,L 0–1,Norwich City,Manchester Utd,Y,RM,75,0,0,0,0,1,1,0,0,41,0,3,0,0.1,0.1,0.2,3,0,28,34,2,26,0,1,1,317,74,18,21,6,7,1,2,0.4,2,1,0,0,34,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,3,8,21,12,3,108.0,33.0,0,0,0,5,27,4,0,12,0,23.8,5.8,13.6,2021-12-11 17:30:00+00:00,75,0,16,0,30503,21.0,2,-1726,623,2349,44,2021-12-11
