,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,RW,90,1,0,0,0,3,2,0,0,81,5,0,1,0.2,0.2,0.1,4,0,49,67,3,62,11,2,0,787,133,24,28,21,28,3,5,0.2,3,2,2,1,62,5,0,1,0,9,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,3,5,2,0,1,0,0,1,4,20,57,7,415.0,197.0,3,2,1,1,67,20,3,37,0,46.2,13.9,53.8,2023-08-12 12:00:00+00:00,90,0,1,0,4878155,39.0,10,0,0,0,85,2023-08-12
1,2023-08-21,Mon,2,Away,W 1–0,Arsenal,Crystal Palace,Y,"RW,LB",88,0,0,0,0,3,0,0,0,70,2,1,2,0.2,0.2,0.2,7,0,37,56,5,42,8,2,1,558,167,20,24,15,24,1,4,0.1,2,3,2,0,48,7,1,0,0,9,2,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,2,1,0,2,7,21,42,11,281.0,144.0,3,3,2,1,44,16,0,15,1,30.3,7.1,10.6,2023-08-21 19:00:00+00:00,88,0,2,0,5980568,30.0,3,446931,473575,26644,86,2023-08-21
2,2023-08-26,Sat,3,Home,D 2–2,Arsenal,Fulham,Y,RW,90,1,0,1,1,2,1,0,0,86,2,0,4,1.4,0.6,0.5,5,1,52,67,4,52,6,10,6,740,148,32,37,16,20,3,5,1.1,4,1,4,1,61,6,1,0,0,8,0,5,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,4,1,1,0,1,19,67,13,345.0,190.0,3,5,3,0,62,23,1,26,0,63.2,17.9,51.0,2023-08-26 14:00:00+00:00,90,0,3,0,6259148,65.0,8,123264,208193,84929,86,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–1,Arsenal,Manchester Utd,Y,RW,90,0,1,0,0,3,1,1,0,49,3,0,0,0.4,0.4,0.4,7,1,35,39,5,29,1,2,1,643,226,21,21,9,11,5,5,0.2,5,2,2,0,35,4,0,0,0,4,0,4,0,4,3,0,0,0,0,0,1,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,7,7,35,6,112.0,68.0,3,0,2,0,34,8,0,22,0,68.2,13.5,35.0,2023-09-03 15:30:00+00:00,90,0,4,0,6352382,32.0,4,7970,144180,136210,87,2023-09-03
4,2023-09-17,Sun,5,Away,W 1–0,Arsenal,Everton,Y,RW,90,0,1,0,0,0,0,0,0,56,1,0,2,0.0,0.0,0.1,3,1,39,46,3,36,1,7,2,597,215,19,20,12,13,4,7,0.1,1,1,2,1,38,8,0,0,0,5,0,8,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,2,0,0,5,11,40,2,266.0,67.0,4,0,1,2,43,17,0,20,1,26.2,5.4,24.0,2023-09-17 15:30:00+00:00,90,0,5,0,6390390,4.0,6,-71021,111675,182696,87,2023-09-17
5,2023-09-24,Sun,6,Home,D 2–2,Arsenal,Tottenham,Y,RW,89,1,0,1,1,2,1,0,0,50,4,1,2,0.9,0.1,0.5,7,0,28,37,3,25,9,4,2,464,151,16,18,9,13,3,6,0.3,4,0,1,0,32,5,0,0,0,6,0,5,0,4,2,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,4,3,0,2,0,0,1,7,15,29,7,226.0,136.0,4,2,1,3,28,5,3,46,0,56.3,15.3,55.0,2023-09-24 13:00:00+00:00,90,0,6,0,6446869,42.0,13,22447,126776,104329,87,2023-09-24
6,2023-09-30,Sat,7,Away,W 4–0,Arsenal,Bournemouth,Y,RW,75,1,0,0,0,3,2,0,0,42,2,0,2,1.0,1.0,0.0,3,1,25,32,1,30,2,1,1,374,54,17,18,7,9,1,3,0.4,0,0,1,0,31,1,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,4,3,0,2,1,0,2,6,19,20,7,132.0,66.0,0,1,1,1,25,7,1,29,1,4.1,12.2,39.8,2023-09-30 14:00:00+00:00,75,0,7,0,5808416,78.0,9,-596518,160937,757455,87,2023-09-30
7,2023-10-21,Sat,9,Away,D 2–2,Arsenal,Chelsea,Y,RW,90,0,1,0,0,0,0,0,0,51,4,1,1,0.0,0.0,0.3,5,1,22,34,4,28,2,5,3,381,119,11,15,8,10,3,6,0.2,3,1,1,1,31,3,0,0,0,5,0,3,0,3,1,0,0,1,0,1,0,0,0,0,0,2,0,1,3,0,0,0,0,1,0,0,0,4,21,27,2,117.0,56.0,2,0,3,3,36,8,0,20,0,43.3,8.2,33.0,2023-10-21 16:30:00+00:00,90,0,9,0,4680006,6.0,5,-470223,59119,529342,85,2023-10-21
8,2023-10-28,Sat,10,Home,W 5–0,Arsenal,Sheffield Utd,Y*,RW,72,0,0,0,0,0,0,0,0,36,1,0,2,0.0,0.0,0.1,3,1,24,31,3,26,6,1,0,321,35,14,15,6,8,2,3,0.1,1,0,1,0,30,1,0,0,1,4,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,8,28,9,162.0,105.0,1,2,0,1,31,12,0,16,1,14.9,3.6,2.8,2023-10-28 14:00:00+00:00,72,0,10,0,5178459,18.0,6,440171,540989,100818,86,2023-10-28
9,2023-11-04,Sat,11,Away,L 0–1,Arsenal,Newcastle Utd,Y,RW,90,0,0,0,0,1,0,0,0,53,1,0,3,0.0,0.0,0.0,2,0,36,41,1,35,1,2,0,539,127,23,25,7,9,4,5,0.2,1,1,0,0,36,5,1,0,0,5,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,0,0,0,5,18,30,3,84.0,22.0,1,1,1,3,40,9,0,13,0,27.5,4.8,12.2,2023-11-04 17:30:00+00:00,90,0,11,0,5127799,8.0,2,-35976,123254,159230,86,2023-11-04
10,2023-11-11,Sat,12,Home,W 3–1,Arsenal,Burnley,Y,RW,80,0,1,0,0,3,1,0,0,49,0,0,0,0.1,0.1,0.6,7,1,31,44,2,25,2,1,1,511,134,14,17,14,20,3,5,0.4,3,0,2,0,36,7,0,0,0,6,2,5,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,41,5,151.0,37.0,1,1,1,1,30,12,0,20,0,43.8,9.4,21.0,2023-11-11 15:00:00+00:00,80,0,12,0,5090849,29.0,5,-45266,222994,268260,86,2023-11-11
11,2023-11-25,Sat,13,Away,W 1–0,Arsenal,Brentford,Y,RW,89,0,1,0,0,0,0,0,0,54,1,1,2,0.0,0.0,0.9,6,1,33,46,3,34,4,1,0,491,140,19,23,11,14,2,6,0.6,5,1,3,1,42,4,0,1,0,6,0,4,0,5,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1,0,2,0,0,1,2,12,40,2,216.0,98.0,5,0,1,2,33,14,2,29,1,67.6,10.4,30.6,2023-11-25 17:30:00+00:00,90,0,13,0,5442573,6.0,8,291729,365604,73875,87,2023-11-25
12,2023-12-02,Sat,14,Home,W 2–1,Arsenal,Wolves,Y,RW,89,1,0,0,0,3,2,0,0,75,3,1,2,0.3,0.3,0.4,7,1,46,57,3,52,7,7,2,779,136,24,28,15,16,6,9,0.7,4,0,2,1,53,4,0,0,0,6,1,3,0,5,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,2,1,0,1,3,11,61,6,305.0,150.0,3,0,3,2,55,27,1,27,0,61.4,16.2,55.4,2023-12-02 15:00:00+00:00,90,0,14,0,5784976,45.0,8,346127,378948,32821,88,2023-12-02
13,2023-12-05,Tue,15,Away,W 4–3,Arsenal,Luton Town,Y,RW,90,0,1,0,0,3,1,0,0,63,1,1,2,0.1,0.1,0.3,8,3,35,51,8,41,4,7,3,484,171,19,20,12,16,2,10,0.4,2,4,4,0,44,6,0,0,0,8,0,6,1,6,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,6,21,37,9,245.0,112.0,1,4,1,4,47,12,0,22,0,25.8,9.8,30.8,2023-12-05 20:15:00+00:00,90,0,15,0,5991437,41.0,5,199443,216915,17472,89,2023-12-05
14,2023-12-09,Sat,16,Away,L 0–1,Arsenal,Aston Villa,Y,RW,90,0,0,0,0,3,1,0,0,46,3,0,1,0.4,0.4,0.0,3,0,22,32,2,31,0,4,2,404,70,10,13,10,13,2,5,0.1,1,1,1,0,26,5,2,0,1,4,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,0,1,0,2,11,15,20,5,129.0,75.0,0,0,4,3,33,11,0,4,0,12.4,6.2,19.2,2023-12-09 17:30:00+00:00,90,0,16,0,6080469,30.0,2,86895,147290,60395,89,2023-12-09
15,2023-12-17,Sun,17,Home,W 2–0,Arsenal,Brighton,Y,RW,88,0,0,0,0,4,1,0,0,59,1,0,2,0.2,0.2,0.3,8,0,36,43,4,41,5,4,1,564,137,19,19,13,15,3,5,0.7,3,1,2,0,40,3,0,0,0,3,1,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,10,43,15,220.0,125.0,0,4,3,1,47,15,0,15,1,42.9,10.3,7.6,2023-12-17 14:00:00+00:00,88,0,17,0,6156547,52.0,3,44976,139820,94844,90,2023-12-17
16,2023-12-23,Sat,18,Away,D 1–1,Arsenal,Liverpool,Y,RW,90,0,0,0,0,2,0,1,0,53,1,1,2,0.0,0.0,0.3,6,0,23,33,5,36,5,9,4,429,162,9,11,11,14,3,6,0.1,3,0,0,0,30,3,0,0,0,8,0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,0,2,9,13,31,7,244.0,111.0,3,5,6,2,37,16,0,3,0,37.6,6.8,11.6,2023-12-23 17:30:00+00:00,90,0,18,0,6086940,19.0,1,-40105,51687,91792,90,2023-12-23
17,2023-12-28,Thu,19,Home,L 0–2,Arsenal,West Ham,Y,RW,90,0,0,0,0,9,3,0,0,93,3,0,0,0.6,0.6,0.4,12,0,61,72,6,74,9,5,1,756,173,50,53,8,8,3,7,0.6,4,2,6,2,66,6,0,0,0,8,2,4,0,9,0,0,3,0,0,0,0,0,0,0,0,1,1,2,0,1,3,2,0,0,0,0,0,4,10,79,13,368.0,212.0,4,2,1,2,76,45,0,6,0,61.3,17.6,27.2,2023-12-28 20:15:00+00:00,90,0,19,0,6110363,87.0,2,-10268,85560,95828,90,2023-12-28
18,2023-12-31,Sun,20,Away,L 1–2,Arsenal,Fulham,Y,"RW,WB",90,1,0,0,0,3,1,0,0,65,1,0,1,1.0,1.0,0.0,3,0,33,50,2,43,7,5,1,482,122,23,25,7,15,3,7,0.1,1,0,0,0,47,3,0,1,0,8,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,1,0,0,1,4,17,44,6,270.0,97.0,2,2,2,2,47,28,0,18,0,18.7,10.6,36.8,2023-12-31 14:00:00+00:00,90,0,20,0,6043981,50.0,7,-72591,83583,156174,90,2023-12-31
19,2024-01-20,Sat,21,Home,W 5–0,Arsenal,Crystal Palace,Y,RW,90,0,1,0,0,2,0,0,0,52,2,1,1,0.1,0.1,1.0,7,2,28,38,3,27,4,2,0,450,131,19,20,5,10,4,7,0.4,4,0,2,0,33,5,1,0,0,6,0,4,0,4,3,0,0,0,0,1,1,0,0,0,0,1,1,1,0,2,4,2,0,1,1,0,1,8,16,29,5,118.0,60.0,1,2,3,0,25,10,0,17,1,56.2,8.4,14.4,2024-01-20 12:30:00+00:00,90,0,21,0,6642816,13.0,3,543310,717662,174352,91,2024-01-20
20,2024-01-30,Tue,22,Away,W 2–1,Arsenal,Nott'ham Forest,Y,RW,90,1,0,0,0,6,1,0,0,69,3,2,0,0.3,0.3,0.3,9,0,38,56,7,46,5,2,0,556,114,22,27,14,16,1,8,0.2,4,1,5,0,50,5,0,0,0,8,0,5,1,8,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,1,5,11,53,11,235.0,111.0,1,0,0,1,49,21,3,35,0,48.0,14.5,47.2,2024-01-30 19:30:00+00:00,90,0,22,0,6495716,50.0,10,-135212,134323,269535,91,2024-01-30
21,2024-02-04,Sun,23,Home,W 3–1,Arsenal,Liverpool,Y,RW,78,1,0,0,0,3,1,0,0,43,1,0,1,1.2,1.2,0.0,2,0,18,32,2,21,4,0,0,242,32,7,11,10,17,0,3,0.0,0,0,0,0,32,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,3,0,5,9,10,24,11,94.0,45.0,1,4,2,0,29,14,2,24,0,2.7,7.9,35.6,2024-02-04 16:30:00+00:00,78,0,23,0,6387538,41.0,9,-109643,48141,157784,90,2024-02-04
22,2024-02-11,Sun,24,Away,W 6–0,Arsenal,West Ham,Y,RW,66,2,0,1,1,7,2,0,0,70,1,0,2,1.7,0.9,0.3,10,1,49,55,9,49,5,5,2,719,197,31,34,16,17,2,4,0.5,3,4,7,2,53,2,0,0,0,4,0,2,0,8,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,21,49,9,342.0,174.0,4,2,3,0,57,23,2,50,1,46.8,20.3,77.8,2024-02-11 14:00:00+00:00,66,0,24,0,6323499,78.0,15,-74059,88554,162613,90,2024-02-11
23,2024-02-17,Sat,25,Away,W 5–0,Arsenal,Burnley,Y,RW,68,2,0,1,1,2,1,1,0,45,2,0,2,0.9,0.1,0.0,0,0,24,35,2,27,0,2,1,304,62,17,20,5,8,1,5,0.2,0,1,1,0,30,4,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,3,2,0,2,1,0,1,6,12,27,6,79.0,50.0,2,0,2,0,29,7,3,45,1,3.9,11.7,68.8,2024-02-17 15:00:00+00:00,68,0,25,0,6237221,44.0,15,-13121,163918,177039,90,2024-02-17
24,2024-02-24,Sat,26,Home,W 4–1,Arsenal,Newcastle Utd,Y,RW,75,1,0,0,0,4,2,0,0,49,1,0,0,0.2,0.2,0.7,3,0,33,40,2,29,3,3,1,452,123,22,23,8,9,2,5,0.7,2,2,0,0,36,4,0,0,0,2,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,1,0,1,3,19,27,8,197.0,96.0,0,2,0,1,35,11,2,28,1,29.7,12.2,40.6,2024-02-24 20:00:00+00:00,75,0,26,0,6938934,52.0,10,501448,534023,32575,91,2024-02-24
25,2024-03-04,Mon,27,Away,W 6–0,Arsenal,Sheffield Utd,Y,RW,45,0,1,0,0,3,0,0,0,31,0,0,0,0.2,0.2,0.2,5,1,21,27,3,17,5,3,2,245,59,18,21,3,4,0,0,0.3,3,0,3,0,27,0,0,0,0,2,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,26,7,153.0,120.0,2,2,1,0,28,9,0,23,0,36.5,7.8,17.6,2024-03-04 20:00:00+00:00,45,0,27,0,7138419,24.0,7,297152,312623,15471,92,2024-03-04
26,2024-03-09,Sat,28,Home,W 2–1,Arsenal,Brentford,Y,RW,90,0,0,0,0,3,0,0,0,63,0,0,0,0.1,0.1,0.2,6,1,42,59,5,46,7,2,2,571,143,29,32,10,14,2,8,0.4,2,1,4,0,53,6,0,0,0,11,0,6,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,57,12,279.0,159.0,2,6,0,0,50,22,0,14,0,38.4,7.7,7.0,2024-03-09 17:30:00+00:00,90,0,28,0,7028824,32.0,2,-108360,73414,181774,92,2024-03-09
27,2024-03-31,Sun,30,Away,D 0–0,Arsenal,Manchester City,Y,RW,77,0,0,0,0,0,0,0,0,30,4,0,1,0.0,0.0,0.0,0,0,12,16,0,16,1,1,0,173,60,8,9,3,3,1,3,0.0,0,0,0,0,14,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,0,1,1,0,3,9,10,12,1,81.0,19.0,2,0,3,4,13,3,0,0,1,1.3,1.0,7.0,2024-03-31 15:30:00+00:00,77,0,30,0,6372619,2.0,3,-296778,76167,372945,91,2024-03-31
28,2024-04-06,Sat,32,Away,W 3–0,Arsenal,Brighton,Y,RW,63,1,0,1,1,2,0,0,0,43,2,0,0,1.0,0.2,0.3,4,0,23,33,3,19,5,2,1,278,96,18,21,1,1,2,5,0.2,3,3,0,0,28,4,0,0,0,4,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,2,0,4,5,11,27,11,112.0,82.0,0,4,0,1,29,8,2,29,1,38.5,12.5,44.2,2024-04-06 16:30:00+00:00,63,0,32,0,5926384,42.0,10,-517496,22289,539785,89,2024-04-06
29,2024-04-14,Sun,33,Home,L 0–2,Arsenal,Aston Villa,Y,"RW,WB",90,0,0,0,0,4,0,0,0,62,2,0,1,0.5,0.5,0.2,4,0,38,49,4,37,6,2,0,550,134,29,34,7,7,2,8,0.3,3,0,4,1,44,5,0,0,1,6,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,4,3,0,1,3,0,1,8,13,41,11,212.0,136.0,1,3,0,0,45,15,0,15,0,44.0,8.8,10.8,2024-04-14 15:30:00+00:00,90,0,33,0,6112362,33.0,2,175205,242157,66952,89,2024-04-14
30,2024-04-20,Sat,34,Away,W 2–0,Arsenal,Wolves,Y,RW,90,0,0,0,0,4,1,0,0,68,0,1,0,0.2,0.2,0.1,8,1,46,61,3,44,6,2,1,642,172,28,34,16,18,1,1,0.3,3,2,2,1,57,2,0,0,0,2,0,2,2,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,15,47,10,270.0,153.0,0,3,0,4,60,19,0,10,1,44.3,10.3,14.6,2024-04-20 18:30:00+00:00,90,0,34,0,6576783,44.0,3,362514,398558,36044,90,2024-04-20
31,2024-04-23,Tue,29,Home,W 5–0,Arsenal,Chelsea,Y,RW,81,0,1,0,0,4,1,0,0,42,2,1,0,0.1,0.1,0.6,8,2,29,34,4,24,6,2,1,356,109,24,25,5,7,0,2,0.2,5,2,3,0,32,2,0,0,0,2,0,2,0,6,0,1,0,0,1,2,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,5,11,27,9,190.0,122.0,0,5,0,0,32,14,0,29,1,54.4,12.4,30.4,2024-04-23 19:00:00+00:00,81,0,34,0,6576783,39.0,6,362514,398558,36044,90,2024-04-23
