,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-09-17,Mon,5,Home,D 2–2,Southampton,Brighton,N,AM,7,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,2,3,0,2,0,0,0,26,0,2,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,15.0,0.0,0,0,0,0,2,1,3,0,0,0,3,0,1,2,0.2,0,0,0,0,0,0.1,2457,1.0,0,2018-09-17 19:00:00+00:00,17 Sep 20:00,0,0,6,0,0,0,0,0,5,0,4822,0,0,0,0.0,1,-463,134,597,48,0,2018-09-17
1,2018-12-01,Sat,14,Home,D 2–2,Southampton,Manchester Utd,N,CM,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,1,1,1,1,0,0,17,13,0,0,1,1,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.0,14.0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0.1,0,0,0,0,0,0.0,7362,0.2,0,2018-12-01 17:30:00+00:00,01 Dec 17:30,0,0,1,0,0,0,0,1,14,0,3698,0,0,0,0.0,1,-37,34,71,46,0,2018-12-01
2,2018-12-05,Wed,15,Away,L 1–3,Southampton,Tottenham,Y*,DM,90,0,1,0,0,0,0,0,0,76,2,0,2,0.0,0.0,0.5,7,1,62,65,6,42,0,0,0,1171,422,28,29,24,25,9,10,0.5,3,10,3,1,65,0,0,1,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,2,5,0,3,15,53,8,1,197.0,76.0,1,0,1,0,50,0,63,1,0,2,33,0,6,60,41.3,0,0,0,0,2,8.1,7918,37.6,3,2018-12-05 20:00:00+00:00,05 Dec 20:00,0,0,90,0,1,0,0,7,15,0,3659,0,1,0,2.0,7,-48,38,86,46,0,2018-12-05
3,2017-08-12,Sat,1,Home,D 0–0,Southampton,Swansea City,Y*,DM,90,0,0,0,0,2,0,0,0,79,3,0,0,0.1,0.1,0.1,4,0,68,72,15,57,1,0,0,1155,273,29,29,33,36,5,6,0.1,2,10,1,1,71,1,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,2,0,1,6,50,23,3,241.0,149.0,2,1,0,0,62,2,71,0,0,0,22,1,2,67,32.8,0,0,0,0,2,7.5,316,19.8,2,2017-08-12 14:00:00+00:00,12 Aug 15:00,0,0,90,0,1,0,0,7,1,0,8445,0,3,0,22.0,3,0,0,0,50,0,2017-08-12
4,2017-08-19,Sat,2,Home,W 3–2,Southampton,West Ham,Y*,"AM,DM",79,0,0,0,0,1,0,0,0,68,2,0,1,0.1,0.1,0.0,7,1,59,64,11,48,5,1,1,814,223,33,33,19,23,2,3,0.1,1,6,0,0,63,1,0,0,1,1,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,0,1,1,0,1,0,0,0,1,40,28,1,264.0,155.0,5,1,1,1,58,6,63,0,0,0,25,0,1,58,18.7,1,0,0,0,1,3.6,827,9.4,1,2017-08-19 14:00:00+00:00,19 Aug 15:00,0,0,79,0,0,0,0,3,2,0,12053,1,2,1,8.0,5,1129,2101,972,50,0,2017-08-19
5,2017-08-26,Sat,3,Away,D 0–0,Southampton,Huddersfield,Y*,"AM,DM,CM",90,0,0,0,0,0,0,0,0,85,2,3,2,0.0,0.0,0.3,1,0,55,72,5,49,3,0,0,998,307,28,34,20,22,7,13,0.1,1,4,2,0,67,4,0,1,0,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,1,1,3,0,5,20,56,11,1,194.0,100.0,3,0,4,1,64,4,66,1,0,0,18,1,7,55,16.2,0,0,0,0,0,4.4,1343,25.6,1,2017-08-26 14:00:00+00:00,26 Aug 15:00,0,0,90,0,0,0,0,8,3,0,35044,1,0,0,2.0,3,18409,24146,5737,50,0,2017-08-26
6,2017-09-09,Sat,4,Home,L 0–2,Southampton,Watford,Y*,DM,90,0,0,0,0,1,0,0,0,64,2,1,0,0.0,0.0,0.1,2,0,43,56,8,32,1,0,0,701,210,18,20,20,24,3,9,0.0,1,6,1,0,52,4,3,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,0,0,4,0,4,9,44,12,0,156.0,74.0,2,0,0,1,38,0,53,0,0,0,12,0,4,42,21.6,0,0,0,0,0,4.8,1874,18.6,1,2017-09-09 14:00:00+00:00,09 Sep 15:00,0,0,90,0,1,0,0,5,4,0,59109,1,0,0,8.0,2,19357,29269,9912,50,0,2017-09-09
7,2017-09-16,Sat,5,Away,W 1–0,Southampton,Crystal Palace,Y*,"AM,RM",90,1,0,0,0,1,1,0,0,65,4,0,0,0.4,0.4,0.2,6,1,47,60,4,37,1,0,0,736,172,25,30,17,19,3,7,0.2,3,1,2,0,55,5,1,0,0,4,0,3,0,4,2,0,0,0,0,1,0,0,0,0,0,4,1,2,1,0,2,2,0,0,2,0,1,9,36,21,1,158.0,49.0,0,0,0,1,47,4,56,0,0,3,40,1,1,45,48.0,0,0,0,0,0,11.5,2418,49.8,3,2017-09-16 11:30:00+00:00,16 Sep 12:30,0,0,90,0,0,0,0,7,5,0,62382,2,3,0,17.0,11,2018,9744,7726,50,1,2017-09-16
8,2017-09-23,Sat,6,Home,L 0–1,Southampton,Manchester Utd,Y*,AM,72,0,0,0,0,1,0,0,0,61,2,0,1,0.0,0.0,0.0,2,0,43,56,8,38,0,0,0,754,188,20,24,18,19,4,9,0.1,1,4,2,0,49,7,1,0,0,6,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,1,0,1,3,36,23,1,114.0,42.0,0,0,0,0,40,5,50,0,0,0,16,0,1,41,22.6,0,0,0,0,0,3.4,2964,8.4,1,2017-09-23 14:00:00+00:00,23 Sep 15:00,0,0,72,1,1,0,0,7,6,0,145860,0,2,1,3.0,2,75128,92385,17257,50,0,2017-09-23
9,2017-09-30,Sat,7,Away,L 1–2,Southampton,Stoke City,Y*,AM,60,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,1,0,26,30,4,19,1,0,0,367,145,12,12,9,11,2,4,0.1,0,3,2,1,28,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,12,0,81.0,19.0,0,0,2,0,23,1,28,0,0,0,8,0,1,25,7.9,0,0,0,0,0,1.2,3514,4.2,0,2017-09-30 14:00:00+00:00,30 Sep 15:00,0,0,60,0,1,0,0,4,7,0,212720,0,0,0,0.0,2,61455,83089,21634,51,0,2017-09-30
