,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 3–2,Watford,Aston Villa,Y,"LM,AM",90,0,0,0,0,0,0,1,0,27,2,0,1,0.0,0.0,0.4,4,0,12,20,1,18,4,2,1,220,74,6,9,5,7,1,4,0.2,2,0,0,0,17,3,2,0,2,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,1,10,10,8,1,174.0,74.0,2,1,2,3,18,4,0,4,0,25.2,3.7,8.0,2021-08-14 14:00:00+00:00,90,0,1,0,4107,4.0,1,0,0,0,55,2021-08-14
1,2021-08-21,Sat,2,Away,L 0–2,Watford,Brighton,Y,LM,77,0,0,0,0,1,0,0,0,26,0,0,1,0.0,0.0,0.1,1,0,12,20,2,16,3,1,0,160,41,7,7,3,7,1,2,0.0,1,0,0,0,20,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,9,13,2,146.0,45.0,1,1,1,3,19,4,0,3,0,12.4,3.4,1.8,2021-08-21 16:30:00+00:00,77,0,2,0,4302,20.0,2,-510,237,747,55,2021-08-21
2,2021-09-11,Sat,4,Home,L 0–2,Watford,Wolves,N,LM,14,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,2,7,0,6,0,1,1,39,0,1,1,1,2,0,2,0.0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,4,2,0,19.0,8.0,0,0,0,1,6,1,0,5,0,1.1,0.4,3.0,2021-09-11 14:00:00+00:00,13,0,4,0,3504,0.0,1,-626,195,821,54,2021-09-11
3,2021-09-18,Sat,5,Away,W 3–1,Watford,Norwich City,N,LW,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,7,0,5,1,2,2,53,12,5,7,0,0,0,0,0.0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,5,1,46.0,24.0,1,0,2,1,8,1,0,3,0,0.8,0.4,1.2,2021-09-18 14:00:00+00:00,17,0,5,0,3236,2.0,1,-383,82,465,54,2021-09-18
4,2021-10-02,Sat,7,Away,L 0–1,Watford,Leeds United,N,"LM,FW,LW",46,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,7,11,1,9,1,2,0,85,17,6,8,1,1,0,1,0.0,0,1,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,0,1,0,2,2,9,4,0,55.0,32.0,0,0,0,0,10,4,0,2,0,0.8,0.4,3.4,2021-10-02 14:00:00+00:00,45,0,7,0,2947,0.0,1,-183,78,261,53,2021-10-02
5,2021-10-30,Sat,10,Home,L 0–1,Watford,Southampton,N,"LW,LM",45,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,4,10,0,7,1,1,0,86,64,1,3,3,5,0,2,0.0,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,4,8,4,0,52.0,15.0,1,0,1,3,7,1,0,-1,0,4.0,0.7,2.6,2021-10-30 14:00:00+00:00,45,0,10,0,2751,0.0,1,-93,78,171,52,2021-10-30
6,2021-12-10,Fri,16,Away,L 1–2,Watford,Brentford,N,RW,14,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,1,0,3.0,0.0,0,0,3,0,2,0,0,3,0,0.1,0.4,4.0,2021-12-10 20:00:00+00:00,13,0,16,0,2256,0.0,1,-11,44,55,52,2021-12-10
7,2021-12-28,Tue,20,Home,L 1–4,Watford,West Ham,N,LW,29,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,2,4,0,6,1,1,0,26,14,1,2,1,1,0,0,0.0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7,1,0,27.0,13.0,0,0,1,1,5,2,0,1,0,0.1,0.0,0.0,2021-12-28 15:00:00+00:00,28,0,20,0,2337,0.0,1,14,37,23,52,2021-12-28
8,2022-01-01,Sat,21,Home,L 0–1,Watford,Tottenham,Y,LM,89,0,0,0,0,1,1,0,0,21,3,2,1,0.0,0.0,0.0,2,0,4,10,0,11,1,3,2,82,46,2,4,1,2,1,4,0.0,1,1,0,0,10,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,4,2,0,1,1,0,4,12,7,4,0,143.0,48.0,1,0,4,0,7,1,0,9,0,10.4,3.1,13.6,2022-01-01 15:00:00+00:00,90,0,21,0,2351,7.0,2,4,52,48,52,2022-01-01
9,2022-01-21,Fri,23,Home,L 0–3,Watford,Norwich City,N,LB,7,0,0,0,0,0,0,0,0,25,2,1,0,0.0,0.0,0.0,0,0,17,22,0,14,0,0,0,247,51,13,14,1,2,2,3,0.0,0,1,0,0,19,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,1,7,9,9,1,44.0,5.0,0,0,0,1,15,2,0,3,0,5.5,1.5,7.4,2022-01-21 20:00:00+00:00,6,0,23,0,2760,2.0,1,-107,120,227,52,2022-01-21
