,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Home,L 0–2,Fulham,Crystal Palace,Y,LM,81,0,0,0,0,1,0,0,0,112,6,4,0,0.0,0.0,0.0,6,0,84,98,11,55,1,1,1,1602,355,34,38,35,38,13,19,0.1,1,8,2,0,92,6,2,0,2,5,0,3,0,4,1,0,0,1,0,0,0,0,0,0,0,4,1,5,0,2,3,1,0,0,1,0,1,9,76,28,0,274.0,182.0,1,0,2,1,84,2,93,0,0,0,26,0,4,84,23.1,2,0,0,0,0,5.8,456,27.0,1,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,81,0,0,0,0,7,1,0,95248,1,4,0,8.0,2,0,0,0,55,0,2018-08-11
1,2018-08-18,Sat,2,Away,L 1–3,Fulham,Tottenham,Y,LM,90,0,0,0,0,0,0,0,0,70,0,2,3,0.0,0.0,0.3,3,0,53,61,6,24,1,1,1,819,220,25,26,17,21,5,6,0.0,1,2,2,0,58,3,2,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,5,22,39,9,0,90.0,37.0,0,0,2,0,49,2,59,1,0,0,15,0,4,53,14.5,1,0,0,1,1,2.7,981,12.0,1,2018-08-18 14:00:00+00:00,18 Aug 15:00,0,0,90,1,0,0,0,5,2,0,87140,0,0,0,0.0,2,-14782,2048,16830,55,0,2018-08-18
2,2018-08-26,Sun,3,Home,W 4–2,Fulham,Burnley,Y,"RM,LM",90,1,0,0,0,1,1,0,0,99,1,1,1,0.0,0.0,0.1,9,2,85,95,8,36,1,1,1,1415,337,41,41,32,39,9,12,0.1,4,5,1,0,85,10,4,0,1,3,0,6,0,7,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,2,12,61,28,0,201.0,92.0,1,0,0,2,79,1,92,0,0,2,37,0,2,85,50.2,1,0,0,0,1,11.3,1508,55.6,4,2018-08-26 15:00:00+00:00,26 Aug 16:00,0,0,90,0,0,0,0,6,3,0,75669,2,1,0,7.0,9,-13434,2133,15567,54,0,2018-08-26
3,2018-09-01,Sat,4,Away,D 2–2,Fulham,Brighton,Y,LM,90,0,1,0,0,1,1,0,0,76,2,0,2,0.0,0.0,0.6,2,1,58,64,8,38,3,2,1,947,283,26,28,26,27,4,6,0.4,2,7,1,0,63,1,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,2,1,0,2,2,0,3,13,49,15,0,254.0,111.0,0,0,1,1,65,2,62,1,0,2,32,0,3,57,29.2,1,0,0,0,0,7.3,2039,36.6,2,2018-09-01 14:00:00+00:00,01 Sep 15:00,0,0,90,0,0,0,0,7,4,0,113712,2,2,0,7.0,7,28712,37372,8660,54,0,2018-09-01
4,2018-09-15,Sat,5,Away,L 0–3,Fulham,Manchester City,Y,RM,55,0,0,0,0,0,0,0,0,34,3,3,3,0.0,0.0,0.0,1,0,21,27,4,14,1,0,0,317,140,14,15,6,8,1,2,0.0,1,1,1,0,23,4,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,3,2,1,2,0,1,4,15,14,6,0,41.0,26.0,2,0,0,1,18,0,26,0,0,0,7,0,2,22,11.3,0,0,1,0,1,2.3,2576,11.2,1,2018-09-15 14:00:00+00:00,15 Sep 15:00,0,0,55,0,0,0,0,4,5,0,211825,1,3,0,0.0,1,82286,111637,29351,54,0,2018-09-15
5,2018-09-22,Sat,6,Home,D 1–1,Fulham,Watford,Y,"DM,LM",90,0,0,0,0,0,0,0,0,101,3,0,1,0.0,0.0,0.2,6,0,77,95,10,47,0,0,0,1319,385,35,39,28,29,11,19,0.1,4,5,1,0,87,8,2,0,1,8,0,6,0,4,2,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,2,1,0,1,1,0,1,17,67,17,0,191.0,101.0,2,0,1,1,69,2,86,0,0,2,22,0,1,75,53.8,0,0,0,0,0,7.6,3113,22.0,4,2018-09-22 11:30:00+00:00,22 Sep 12:30,0,0,90,0,0,0,0,11,6,0,223970,1,3,0,0.0,4,10934,36345,25411,54,0,2018-09-22
6,2018-09-29,Sat,7,Away,L 0–3,Fulham,Everton,Y,CM,83,0,0,0,0,0,0,0,0,49,0,0,1,0.0,0.0,0.3,1,0,38,45,4,15,0,1,1,692,212,13,15,20,20,3,6,0.0,1,4,1,0,41,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,11,33,5,0,55.0,29.0,1,0,0,1,34,2,45,1,0,0,14,0,2,38,12.3,1,0,0,0,2,2.3,3651,10.6,1,2018-09-29 14:00:00+00:00,29 Sep 15:00,0,0,83,0,0,0,0,4,7,0,217430,1,0,0,0.0,2,-7487,12422,19909,55,0,2018-09-29
7,2018-10-07,Sun,8,Home,L 1–5,Fulham,Arsenal,Y,"CM,DM,AM",90,0,0,0,0,1,0,0,0,76,2,0,1,0.0,0.0,0.0,6,0,56,71,4,29,1,0,0,950,171,28,31,24,32,4,6,0.1,2,3,1,1,64,7,3,0,0,4,0,4,0,3,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,3,1,0,1,0,0,1,9,47,20,1,148.0,87.0,2,0,1,1,54,3,67,0,0,0,14,0,0,54,34.3,0,0,0,0,1,5.7,4190,12.6,2,2018-10-07 11:00:00+00:00,07 Oct 12:00,0,0,90,0,1,0,0,9,8,0,204837,1,0,0,10.0,2,-12789,6112,18901,55,0,2018-10-07
8,2018-10-20,Sat,9,Away,L 2–4,Fulham,Cardiff City,Y,LM,57,0,1,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.1,3,1,39,47,4,32,1,0,0,678,212,14,17,17,21,5,6,0.1,2,2,2,1,44,3,0,0,0,3,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,10,31,12,0,150.0,69.0,0,0,2,0,42,1,44,0,0,0,20,0,1,36,32.4,0,0,0,0,0,5.9,4732,26.8,2,2018-10-20 14:00:00+00:00,20 Oct 15:00,0,0,57,0,1,0,0,5,9,0,200246,0,0,0,0.0,4,-7248,13340,20588,55,0,2018-10-20
9,2018-10-27,Sat,10,Home,L 0–3,Fulham,Bournemouth,Y,"DM,CM",79,0,0,0,0,0,0,0,0,78,0,2,1,0.0,0.0,0.3,8,0,66,73,6,41,3,0,0,1265,268,22,23,39,42,5,8,0.2,5,6,1,0,67,6,1,0,1,4,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,10,52,16,0,250.0,144.0,3,0,1,2,59,2,70,0,0,0,15,0,1,64,67.5,0,0,0,0,2,8.1,5278,13.6,5,2018-10-27 14:00:00+00:00,27 Oct 15:00,0,0,79,0,0,0,0,6,10,0,196011,2,0,0,0.0,2,-4680,9169,13849,55,0,2018-10-27
