,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-10-31,Sat,7,Home,W 2–1,Liverpool,West Ham,N,"AM,RW",21,0,1,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.4,2,1,12,14,1,12,0,1,0,151,39,8,9,4,5,0,0,0.4,1,0,1,0,14,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,4,7,5,0,45.0,18.0,0,0,0,1,11,0,0,17,0,15.7,3.5,19.6,2020-10-31 17:30:00+00:00,20,0,7,0,3912,0.0,4,-32,187,219,64,2020-10-31
1,2020-11-08,Sun,8,Away,D 1–1,Liverpool,Manchester City,N,"RW,AM",32,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,11,15,2,9,0,1,1,109,55,10,11,1,2,0,0,0.0,0,1,0,0,13,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,6,6,1,40.0,12.0,0,0,1,0,9,1,0,6,0,0.9,0.6,2.8,2020-11-08 16:30:00+00:00,31,0,8,0,4344,2.0,1,187,426,239,64,2020-11-08
2,2020-12-30,Wed,16,Away,D 0–0,Liverpool,Newcastle Utd,N,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2020-12-30 20:00:00+00:00,1,0,16,0,3908,0.0,1,11,56,45,64,2020-12-30
3,2021-01-04,Mon,17,Away,L 0–1,Liverpool,Southampton,N,RM,34,0,0,0,0,1,0,1,0,32,2,1,0,0.0,0.0,0.1,3,0,19,27,0,14,1,0,0,280,43,10,12,8,12,1,3,0.0,2,0,1,1,27,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,17,15,1,65.0,16.0,0,0,1,0,21,4,0,1,0,26.5,3.6,6.6,2021-01-04 20:00:00+00:00,33,0,17,0,4050,3.0,0,55,127,72,64,2021-01-04
4,2021-01-17,Sun,19,Home,D 0–0,Liverpool,Manchester Utd,Y,RM,75,0,0,0,0,2,0,1,0,71,0,0,1,0.1,0.1,0.1,3,0,53,61,8,49,1,1,1,748,223,30,34,18,19,2,2,0.6,1,3,4,0,58,3,0,1,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,10,29,32,0,140.0,72.0,2,0,2,2,54,4,0,5,1,24.3,3.5,1.4,2021-01-17 16:30:00+00:00,75,0,19,0,4750,9.0,2,300,455,155,64,2021-01-17
5,2021-01-21,Thu,18,Home,L 0–1,Liverpool,Burnley,Y,RM,83,0,0,0,0,4,0,0,0,86,1,0,0,0.2,0.2,0.1,4,0,66,79,17,59,2,2,2,1024,302,36,39,21,26,6,10,0.2,2,5,9,1,72,7,0,0,0,5,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,34,49,3,236.0,126.0,3,0,1,0,62,7,0,14,0,35.5,8.6,11.4,2021-01-21 20:00:00+00:00,83,0,19,0,4750,39.0,2,300,455,155,64,2021-01-21
6,2021-01-31,Sun,21,Away,W 3–1,Liverpool,West Ham,Y,AM,68,0,1,0,0,1,0,0,0,50,1,0,0,0.1,0.1,0.6,5,1,44,48,8,42,1,1,1,600,177,24,26,13,14,3,3,0.1,3,4,5,1,48,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,2,0,0,0,0,0,3,27,21,2,173.0,53.0,1,0,1,1,43,5,1,28,1,41.9,8.8,26.2,2021-01-31 16:30:00+00:00,68,0,21,0,5039,20.0,7,-137,128,265,64,2021-01-31
7,2021-02-03,Wed,22,Home,L 0–1,Liverpool,Brighton,Y,LW,63,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.1,2,0,27,31,2,21,0,0,0,309,37,17,19,5,5,1,1,0.1,2,2,0,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,16,18,1,48.0,7.0,2,0,3,1,31,2,0,9,0,26.3,3.0,1.8,2021-02-03 20:15:00+00:00,63,0,22,0,6467,2.0,2,1241,1484,243,64,2021-02-03
8,2021-02-07,Sun,23,Home,L 1–4,Liverpool,Manchester City,N,RM,23,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,13,16,0,9,0,0,0,181,35,7,7,5,5,1,3,0.0,0,1,0,0,15,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,9,5,0,36.0,20.0,0,0,0,0,13,0,0,5,0,1.9,0.5,2.6,2021-02-07 16:30:00+00:00,22,0,23,0,6262,0.0,1,-405,487,892,64,2021-02-07
9,2021-02-13,Sat,24,Away,L 1–3,Liverpool,Leicester City,N,RM,4,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,0,3,0,0,0,48,6,3,3,1,1,0,1,0.0,0,0,0,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,5.0,3.0,0,0,0,0,4,1,0,3,0,0.8,0.1,0.4,2021-02-13 12:30:00+00:00,3,0,24,0,6070,0.0,1,-370,336,706,64,2021-02-13
