,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-09-26,Sun,6,Home,L 0–1,Southampton,Wolves,N,AM,17,0,0,0,0,1,0,0,0,7,2,0,0,0.1,0.1,0.0,0,0,1,3,0,2,0,1,0,8,0,1,1,0,1,0,1,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,1,0,1,1,3,4,1,6.0,2.0,1,0,0,0,3,0,0,2,0,0.1,2.4,6.0,2021-09-26 13:00:00+00:00,16,0,6,0,11712,18.0,1,-873,694,1567,54,2021-09-26
1,2021-12-15,Wed,17,Away,D 2–2,Southampton,Crystal Palace,N,FW,21,0,0,0,0,1,1,0,0,9,1,0,0,0.1,0.1,0.0,1,0,3,5,0,7,1,0,0,28,9,3,4,0,1,0,0,0.0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,6,2,30.0,0.0,0,0,1,3,11,2,0,1,0,0.6,2.4,4.2,2021-12-15 19:30:00+00:00,20,0,17,0,14302,19.0,1,56,832,776,54,2021-12-15
2,2021-12-28,Tue,20,Home,D 1–1,Southampton,Tottenham,Y,FW,70,0,0,0,0,0,0,0,0,25,2,0,1,0.0,0.0,0.0,0,0,9,16,1,12,1,0,0,72,14,6,8,0,2,0,0,0.0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,8,15,1,49.0,20.0,1,0,2,1,21,5,0,1,0,3.6,0.6,0.2,2021-12-28 15:00:00+00:00,70,0,20,0,16354,2.0,2,-19,750,769,54,2021-12-28
3,2022-02-09,Wed,24,Away,W 3–2,Southampton,Tottenham,N,FW,3,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,6,0,2,0,1,1,24,10,2,3,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,0,10.0,0.0,0,0,0,1,5,2,0,3,0,0.6,0.2,1.2,2022-02-09 19:45:00+00:00,2,0,24,0,16193,0.0,1,-29,637,666,54,2022-02-09
4,2022-02-19,Sat,26,Home,W 2–0,Southampton,Everton,N,FW,8,1,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,1,2,0,4,0,1,0,5,0,0,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,12.0,2.0,0,0,1,1,6,1,0,26,0,0.3,6.6,33.0,2022-02-19 15:00:00+00:00,7,0,26,0,16274,33.0,5,-169,552,721,54,2022-02-19
5,2022-02-25,Fri,27,Home,W 2–0,Southampton,Norwich City,N,FW,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,1,0,9,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,3,0,0,2,0,0.0,0.0,0.0,2022-02-25 20:00:00+00:00,7,0,27,0,18143,0.0,1,1342,1895,553,54,2022-02-25
6,2022-03-10,Thu,21,Home,L 1–2,Southampton,Newcastle Utd,N,"FW,CM",12,0,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,10,0,1,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1.0,0.0,0,0,0,1,3,0,0,2,0,0.3,0.4,4.0,2022-03-10 19:30:00+00:00,11,0,28,0,17086,0.0,1,-644,579,1223,54,2022-03-10
7,2022-03-13,Sun,29,Home,L 1–2,Southampton,Watford,N,FW,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,17,2,0,0,1,1,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,0,0,0,1,0,0,4,0,10.3,1.2,2.0,2022-03-13 14:00:00+00:00,1,0,29,0,16666,0.0,1,-504,522,1026,54,2022-03-13
8,2022-04-02,Sat,31,Away,D 1–1,Southampton,Leeds United,N,FW,1,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,1,0,2,2,0,2,0,0,0,14,2,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7.0,5.0,0,0,0,0,5,1,0,3,0,0.3,1.8,0.0,2022-04-02 14:00:00+00:00,1,0,31,0,16913,18.0,1,122,507,385,54,2022-04-02
9,2022-04-16,Sat,33,Home,W 1–0,Southampton,Arsenal,N,FW,17,0,0,0,0,0,0,1,0,6,1,0,1,0.0,0.0,0.0,0,0,2,2,1,4,0,0,0,26,16,1,1,1,1,0,0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,0,25.0,2.0,1,0,2,0,5,0,0,-1,0,0.1,0.0,0.2,2022-04-16 14:00:00+00:00,16,0,33,0,16607,0.0,0,-435,334,769,54,2022-04-16
