,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 5–1,Newcastle Utd,Aston Villa,N,CM,6,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,8,2,1,1,0,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,11.0,9.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2023-08-12 16:30:00+00:00,5,0,1,0,20255,0.0,1,0,0,0,50,2023-08-12
1,2023-08-19,Sat,2,Away,L 0–1,Newcastle Utd,Manchester City,N,"RM,LM",34,0,0,0,0,0,0,0,0,21,3,0,0,0.0,0.0,0.0,0,0,10,15,1,14,0,1,0,206,89,5,7,3,3,2,3,0.0,0,2,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,4,1,0,0,0,0,0,3,16,2,0,42.0,8.0,0,0,2,0,14,2,0,2,0,0.4,0.8,7.2,2023-08-19 19:00:00+00:00,33,0,2,0,18338,0.0,1,-2955,235,3190,50,2023-08-19
2,2023-08-27,Sun,3,Home,L 1–2,Newcastle Utd,Liverpool,N,RM,19,0,0,0,0,2,2,0,0,10,0,0,0,0.2,0.2,0.0,2,0,6,6,1,4,0,0,0,91,26,3,3,3,3,0,0,0.0,1,0,1,1,3,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,11.0,4.0,0,0,1,0,4,3,0,5,0,14.3,5.1,10.2,2023-08-27 15:30:00+00:00,18,0,3,0,16460,26.0,1,-2352,303,2655,49,2023-08-27
3,2023-09-02,Sat,4,Away,L 1–3,Newcastle Utd,Brighton,N,RM,33,0,1,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.5,2,1,12,16,5,12,1,1,1,240,125,6,6,4,7,2,3,0.0,2,3,1,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,13,4,0,56.0,20.0,1,0,0,2,14,0,0,17,0,20.4,4.4,23.4,2023-09-02 16:30:00+00:00,32,0,4,0,15113,0.0,4,-1610,261,1871,49,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Newcastle Utd,Brentford,Y,RM,90,0,0,0,0,0,0,0,0,51,2,0,1,0.0,0.0,0.1,1,0,33,42,7,23,1,0,0,568,148,15,19,13,15,4,6,0.2,1,6,2,1,41,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,2,7,27,17,0,93.0,41.0,2,0,1,2,32,3,0,15,1,18.1,3.5,16.6,2023-09-16 16:30:00+00:00,90,0,5,0,15042,0.0,3,-636,663,1299,49,2023-09-16
5,2023-09-24,Sun,6,Away,W 8–0,Newcastle Utd,Sheffield Utd,Y,"RM,CM",90,1,0,0,0,2,1,0,0,72,0,1,1,0.3,0.3,0.0,4,2,50,61,6,47,0,0,0,728,251,33,41,10,10,4,4,0.0,0,5,1,0,59,2,1,1,2,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,1,0,2,12,41,19,4,119.0,29.0,0,0,1,1,56,4,0,40,1,6.3,7.2,39.4,2023-09-24 15:30:00+00:00,90,0,6,0,15957,26.0,11,682,1467,785,49,2023-09-24
6,2023-09-30,Sat,7,Home,W 2–0,Newcastle Utd,Burnley,Y,RM,90,0,0,0,0,2,0,0,0,53,3,1,4,0.1,0.1,0.3,2,0,31,39,6,17,1,1,0,532,215,16,18,12,14,3,5,0.4,1,5,2,0,39,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,0,2,2,1,0,4,13,29,11,3,98.0,48.0,1,1,0,1,31,3,0,17,1,15.8,4.7,21.6,2023-09-30 14:00:00+00:00,90,0,7,0,40629,10.0,3,22000,25249,3249,49,2023-09-30
7,2023-10-08,Sun,8,Away,D 2–2,Newcastle Utd,West Ham,Y,RM,90,0,0,0,0,0,0,1,0,45,0,0,1,0.0,0.0,0.0,1,1,33,41,6,28,1,0,0,511,202,20,21,10,13,2,4,0.0,0,1,1,0,40,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,12,26,8,0,135.0,55.0,0,0,0,2,40,2,0,4,0,3.8,0.5,0.8,2023-10-08 13:00:00+00:00,90,0,8,0,74144,0.0,1,32520,44454,11934,49,2023-10-08
8,2023-10-21,Sat,9,Home,W 4–0,Newcastle Utd,Crystal Palace,Y,RM,90,1,0,0,0,2,1,1,0,57,0,1,2,0.6,0.6,0.0,3,1,35,47,5,35,0,1,1,668,227,15,22,17,21,3,3,0.0,0,2,0,0,44,3,2,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,8,33,16,5,79.0,16.0,1,0,2,4,42,6,0,22,1,2.3,6.7,37.8,2023-10-21 14:00:00+00:00,90,0,9,0,75742,27.0,7,2644,10327,7683,49,2023-10-21
9,2023-10-28,Sat,10,Away,D 2–2,Newcastle Utd,Wolves,Y,RM,90,0,0,0,0,3,0,1,0,58,3,0,0,0.2,0.2,0.0,1,0,41,46,6,21,1,1,0,679,244,18,18,18,23,3,3,0.0,1,2,1,0,41,5,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,6,5,0,0,2,0,2,9,35,14,2,67.0,45.0,1,1,1,1,42,4,0,10,0,12.5,3.8,12.0,2023-10-28 16:30:00+00:00,90,0,10,0,101739,13.0,1,24515,33338,8823,49,2023-10-28
