,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-19,Sun,2,Away,L 1–6,Huddersfield,Manchester City,N,FW,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,0,3,1,1,1,15,0,2,2,0,1,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,30.0,25.0,0,1,0,0,3,1,2,0,0,0,4,0,0,2,2.3,1,0,0,0,0,0.5,732,1.0,0,2018-08-19 12:30:00+00:00,19 Aug 13:30,0,0,6,0,0,0,0,0,2,0,13651,0,0,0,2.0,1,-3586,475,4061,49,0,2018-08-19
1,2018-10-27,Sat,10,Away,L 0–3,Huddersfield,Watford,N,"LM,RM",28,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.1,1,0,14,19,2,13,0,0,0,182,48,11,12,3,5,0,2,0.0,1,0,0,0,15,4,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,9,0,54.0,16.0,1,0,0,3,11,4,15,0,0,0,2,0,0,13,16.1,0,0,0,0,0,1.9,5029,2.8,1,2018-10-27 14:00:00+00:00,27 Oct 15:00,0,0,27,0,0,0,0,5,10,0,5953,3,0,0,0.0,1,-146,92,238,48,0,2018-10-27
2,2018-12-04,Tue,15,Away,L 1–2,Huddersfield,Bournemouth,N,LW,13,0,0,0,0,0,0,0,0,14,1,1,1,0.0,0.0,0.0,1,0,10,11,1,10,0,1,0,113,30,7,8,2,2,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6,8,0,56.0,12.0,1,0,0,1,11,2,10,0,0,0,3,0,0,9,1.8,0,0,0,0,0,0.5,7788,3.6,0,2018-12-04 19:45:00+00:00,04 Dec 19:45,0,0,12,0,0,0,0,0,15,0,5706,2,1,0,0.0,1,-98,37,135,48,0,2018-12-04
3,2018-12-15,Sat,17,Home,L 0–1,Huddersfield,Newcastle Utd,N,LW,31,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.1,3,0,13,17,3,20,2,3,1,113,53,8,9,1,3,0,0,0.2,2,0,3,1,17,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,2,102.0,54.0,0,2,4,1,20,7,15,0,0,0,4,0,0,12,28.0,1,0,0,0,0,4.0,8905,8.0,2,2018-12-15 15:00:00+00:00,15 Dec 15:00,0,0,30,0,1,0,0,2,17,0,5547,3,0,0,4.0,1,-148,57,205,48,0,2018-12-15
4,2017-08-19,Sat,2,Home,W 1–0,Stoke City,Arsenal,N,AM,20,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,3,0,3,0,0,0,23,0,1,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,3,3,0,0,13.0,6.0,0,0,1,0,3,0,3,0,0,0,5,0,1,2,0.1,0,0,0,0,0,0.3,856,3.0,0,2017-08-19 16:30:00+00:00,19 Aug 17:30,0,0,19,0,0,0,0,1,2,0,29583,0,1,0,0.0,1,-4424,714,5138,50,0,2017-08-19
5,2017-08-27,Sun,3,Away,D 1–1,Stoke City,West Brom,N,WB,22,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,6,9,1,9,2,0,0,85,15,3,3,3,5,0,1,0.0,1,0,1,0,9,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,7,2,54.0,47.0,1,2,0,0,10,4,7,0,0,0,13,0,2,6,11.1,0,0,0,0,1,2.1,1372,5.4,1,2017-08-27 12:30:00+00:00,27 Aug 13:30,0,0,21,0,0,0,0,1,3,0,28055,0,0,0,4.0,4,-5149,941,6090,49,0,2017-08-27
6,2017-09-16,Sat,5,Away,L 1–2,Stoke City,Newcastle Utd,N,FW,29,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,6,9,1,7,1,1,1,79,11,4,5,2,3,0,1,0.0,0,1,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7,2,58.0,43.0,0,1,2,1,7,4,9,0,0,0,3,0,0,6,3.9,1,0,0,0,0,1.3,2447,3.2,0,2017-09-16 14:00:00+00:00,16 Sep 15:00,0,0,28,0,0,0,0,0,5,0,30889,1,0,0,6.0,1,-3950,813,4763,49,0,2017-09-16
7,2017-09-23,Sat,6,Home,L 0–4,Stoke City,Chelsea,Y,LM,90,0,0,0,0,0,0,0,0,65,2,3,1,0.0,0.0,0.0,2,0,45,51,6,27,2,5,0,665,308,26,27,13,18,3,3,0.0,1,3,1,0,40,11,1,0,0,1,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,3,0,1,0,0,0,6,25,34,0,188.0,79.0,3,0,1,1,39,9,39,0,0,0,9,0,3,36,14.8,0,0,0,0,0,2.7,2993,12.4,1,2017-09-23 14:00:00+00:00,23 Sep 15:00,0,0,90,0,0,0,0,5,6,0,28240,6,0,0,0.0,2,-3753,720,4473,48,0,2017-09-23
8,2017-10-14,Sat,8,Away,L 2–7,Stoke City,Manchester City,N,LM,38,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,6,12,0,10,2,1,1,58,8,6,8,0,3,0,0,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,9,3,0,63.0,47.0,2,0,0,0,9,1,12,0,0,0,5,0,0,6,0.1,1,0,0,0,0,0.1,4097,1.0,0,2017-10-14 14:00:00+00:00,14 Oct 15:00,0,0,37,0,0,0,0,3,8,0,26147,0,0,0,0.0,1,-2243,705,2948,48,0,2017-10-14
9,2017-10-28,Sat,10,Away,W 1–0,Stoke City,Watford,Y,AM,77,0,0,0,0,0,0,0,0,30,3,1,1,0.0,0.0,0.1,1,0,16,23,0,18,1,0,0,187,62,10,13,4,6,0,1,0.0,1,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,6,5,0,1,0,0,1,11,14,5,3,142.0,49.0,1,0,1,1,18,2,23,0,0,0,7,1,1,17,13.0,0,0,0,0,2,2.6,5213,7.0,1,2017-10-28 14:00:00+00:00,28 Oct 15:00,0,0,77,0,0,0,0,4,10,0,23504,1,1,0,6.0,3,-1859,342,2201,47,0,2017-10-28
