,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,W 2–0,Bournemouth,Aston Villa,N,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,0.0,0,0,1,0,1,0,0,3,0,0.0,0.0,0.0,2022-08-06 14:00:00+00:00,1,0,1,0,9491,0.0,1,0,0,0,50,2022-08-06
1,2022-08-13,Sat,2,Away,L 0–4,Bournemouth,Manchester City,N,AM,28,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,8,1,6,0,0,0,86,32,3,4,2,3,0,1,0.0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,44.0,12.0,1,0,0,0,10,0,0,2,0,0.3,0.0,0.0,2022-08-13 14:00:00+00:00,27,0,2,0,8333,1.0,1,-1913,240,2153,50,2022-08-13
2,2022-10-19,Wed,12,Home,L 0–1,Bournemouth,Southampton,N,"DM,CM,AM",29,0,0,0,0,0,0,0,0,20,0,0,2,0.0,0.0,0.1,3,0,16,18,3,8,0,0,0,229,39,8,8,7,8,0,0,0.2,2,3,0,0,17,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,10,3,34.0,1.0,0,0,0,0,14,5,0,5,0,22.6,3.9,10.0,2022-10-19 18:30:00+00:00,28,0,12,0,2533,6.0,1,-59,32,91,48,2022-10-19
3,2022-11-05,Sat,15,Away,L 3–4,Bournemouth,Leeds United,N,RM,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,0,3,0,0,0,14,0,1,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6.0,0.0,0,0,0,1,2,0,0,3,0,0.0,0.0,0.0,2022-11-05 15:00:00+00:00,2,0,15,0,2487,0.0,1,-96,40,136,48,2022-11-05
4,2019-12-28,Sat,20,Away,L 0–2,Bournemouth,Brighton,Y,LM,61,0,0,0,0,1,1,0,0,39,1,1,0,0.1,0.1,0.1,2,0,26,32,2,15,2,1,1,339,95,16,18,6,8,2,3,0.1,2,2,0,0,30,2,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,20,17,2,82.0,49.0,1,0,1,3,23,6,0,11,0,28.1,5.9,11.6,2019-12-28 12:30:00+00:00,61,0,20,0,626,19.0,2,10,62,52,59,2019-12-28
5,2020-01-01,Wed,21,Away,L 0–4,Bournemouth,West Ham,N,"RM,WB",45,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,1,0,23,28,2,30,2,2,1,311,93,15,17,7,8,0,1,0.0,0,1,0,0,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,11,12,9,0,133.0,60.0,0,0,1,0,29,3,0,5,0,5.0,0.9,4.4,2020-01-01 17:30:00+00:00,45,0,21,0,738,0.0,1,53,151,98,59,2020-01-01
6,2020-02-09,Sun,26,Away,L 1–2,Bournemouth,Sheffield Utd,N,"LM,LW",7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,5,1,5,0,2,1,85,26,2,2,3,3,0,0,0.1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,15.0,4.0,0,0,1,1,5,1,0,1,0,1.7,0.2,0.4,2020-02-09 14:00:00+00:00,6,0,26,0,700,0.0,1,36,57,21,59,2020-02-09
7,2020-02-22,Sat,27,Away,L 0–3,Bournemouth,Burnley,N,LW,21,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,1,0,12,13,3,10,1,0,0,154,46,7,7,4,5,0,0,0.0,0,0,1,0,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,6,7,0,89.0,44.0,0,0,1,0,10,1,0,3,0,1.3,1.1,1.2,2020-02-22 15:00:00+00:00,20,0,27,0,764,8.0,1,16,49,33,59,2020-02-22
8,2020-02-29,Sat,28,Home,D 2–2,Bournemouth,Chelsea,N,LW,23,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,9,1,7,1,0,0,60,16,4,5,1,1,0,3,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,1,0,29.0,15.0,1,0,0,0,5,1,0,4,0,0.5,0.1,0.2,2020-02-29 15:00:00+00:00,22,0,28,0,828,0.0,1,18,46,28,59,2020-02-29
9,2020-03-07,Sat,29,Away,L 1–2,Bournemouth,Liverpool,Y,LM,67,0,0,0,0,2,1,0,0,30,0,0,2,0.1,0.1,0.0,1,0,12,21,0,16,5,2,1,174,77,9,10,2,9,1,1,0.0,0,3,0,0,19,2,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,6,10,14,1,130.0,95.0,2,1,0,0,18,3,0,7,0,1.1,3.3,6.8,2020-03-07 12:30:00+00:00,67,0,29,0,906,25.0,2,44,86,42,59,2020-03-07
