,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Away,D 1–1,Liverpool,Chelsea,Y,"RM,LW",90,0,0,0,0,1,0,0,0,56,1,1,5,0.0,0.0,0.3,2,0,33,42,2,27,1,1,0,435,106,20,25,8,11,2,3,0.1,3,1,0,0,39,3,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,5,1,0,2,10,24,24,4,109.0,40.0,2,2,2,0,34,8,0,17,0,37.5,5.7,9.6,2023-08-13 15:30:00+00:00,90,0,1,0,308481,10.0,2,0,0,0,70,2023-08-13
1,2023-08-19,Sat,2,Home,W 3–1,Liverpool,Bournemouth,Y,"RM,CM",90,0,0,0,0,3,1,0,0,85,1,1,2,0.1,0.1,0.0,7,1,67,72,4,46,5,6,3,1072,194,34,38,26,27,5,5,0.0,1,5,2,0,67,5,1,0,2,0,1,1,0,3,1,0,2,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,0,0,2,10,53,25,4,315.0,195.0,1,2,1,1,63,2,0,26,0,15.9,5.3,15.2,2023-08-19 14:00:00+00:00,90,0,2,0,340429,22.0,5,-10856,26038,36894,70,2023-08-19
2,2023-08-27,Sun,3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"RM,CM",90,0,0,0,0,2,0,0,0,56,3,0,1,0.1,0.1,0.1,2,0,32,42,7,22,1,6,3,533,97,13,14,17,19,2,6,0.0,1,1,1,0,34,8,3,0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,6,5,0,1,1,0,1,13,27,16,1,83.0,34.0,1,0,1,0,32,3,0,10,0,15.3,2.9,8.6,2023-08-27 15:30:00+00:00,90,0,3,0,380525,5.0,2,11745,52151,40406,70,2023-08-27
3,2023-09-03,Sun,4,Home,W 3–0,Liverpool,Aston Villa,Y,"RM,LM",90,1,0,0,0,2,1,0,0,71,0,1,3,0.1,0.1,0.1,7,0,54,60,2,46,2,3,1,866,152,32,34,18,20,4,4,0.3,2,2,0,0,54,6,2,0,0,4,0,3,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,1,4,11,45,16,2,171.0,85.0,0,2,2,1,55,7,2,33,1,35.5,8.5,37.6,2023-09-03 13:00:00+00:00,90,0,4,0,366754,12.0,10,-26341,18927,45268,70,2023-09-03
4,2023-09-16,Sat,5,Away,W 3–1,Liverpool,Wolves,Y,"CM,RM",90,0,0,0,0,2,1,0,0,114,2,0,4,0.2,0.2,0.0,4,0,82,102,14,67,2,1,0,1277,401,47,49,26,30,6,16,0.1,1,15,1,0,96,6,4,0,2,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,2,0,4,2,0,4,17,66,32,1,336.0,241.0,6,0,1,1,87,3,0,15,0,19.2,5.6,19.0,2023-09-16 11:30:00+00:00,90,0,5,0,496509,18.0,2,95640,123434,27794,70,2023-09-16
5,2023-09-24,Sun,6,Home,W 3–1,Liverpool,West Ham,Y,RM,90,0,0,0,0,3,0,0,0,101,2,1,0,0.1,0.1,0.1,8,0,84,92,15,68,1,0,0,1358,410,44,47,30,31,9,11,0.4,4,7,3,0,85,6,1,0,1,3,1,3,1,7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,3,0,0,1,0,2,11,53,38,1,308.0,126.0,4,0,0,1,73,8,0,17,0,56.8,8.1,17.4,2023-09-24 13:00:00+00:00,90,0,6,0,513981,7.0,2,13495,50265,36770,70,2023-09-24
6,2023-09-30,Sat,7,Away,L 1–2,Liverpool,Tottenham,Y,"CM,RM",90,0,0,0,0,1,1,0,0,60,1,1,2,0.0,0.0,0.1,3,1,38,49,5,33,1,4,1,654,227,25,27,7,11,5,7,0.0,1,2,2,2,43,6,3,0,2,5,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,2,22,23,15,0,126.0,85.0,1,0,0,0,31,4,0,19,0,20.0,4.9,22.0,2023-09-30 16:30:00+00:00,90,0,7,0,536920,7.0,2,14148,64151,50003,70,2023-09-30
7,2023-10-08,Sun,8,Away,D 2–2,Liverpool,Brighton,Y,RM,90,0,0,0,0,1,0,1,0,49,3,1,0,0.0,0.0,0.9,7,1,33,40,6,32,0,1,1,574,179,14,16,17,19,2,4,0.5,4,4,2,1,35,5,1,0,0,1,3,0,0,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,1,4,3,0,0,0,0,0,7,26,17,2,136.0,67.0,1,0,2,1,35,3,0,24,0,47.6,7.6,18.4,2023-10-08 13:00:00+00:00,90,0,8,0,552098,10.0,4,7110,54906,47796,70,2023-10-08
8,2023-10-21,Sat,9,Home,W 2–0,Liverpool,Everton,Y,"RM,LM",90,0,0,0,0,5,0,0,0,105,1,0,1,0.1,0.1,0.2,7,1,81,92,8,58,8,2,1,1262,328,44,45,28,33,5,8,0.2,4,5,2,0,80,11,2,0,1,6,3,5,1,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,1,0,1,1,0,0,8,47,50,3,398.0,269.0,8,2,0,2,81,6,0,14,1,58.8,8.4,11.0,2023-10-21 11:30:00+00:00,90,0,9,0,579289,14.0,3,19297,52367,33070,70,2023-10-21
9,2023-10-29,Sun,10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,RM,90,0,2,0,0,1,1,0,0,100,0,1,1,0.1,0.1,1.7,4,2,81,94,11,55,6,4,3,1333,350,39,44,29,33,8,12,0.7,4,4,3,2,89,5,0,0,1,10,3,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,11,42,48,3,435.0,184.0,5,1,0,1,81,19,3,44,1,64.4,13.3,53.6,2023-10-29 14:00:00+00:00,90,0,10,0,540062,15.0,12,-39999,17996,57995,70,2023-10-29
10,2023-11-05,Sun,11,Away,D 1–1,Liverpool,Luton Town,Y,LM,65,0,0,0,0,1,0,0,0,54,0,0,0,0.0,0.0,0.0,2,0,35,46,4,42,2,0,0,660,94,14,19,15,19,5,6,0.0,1,1,1,0,41,5,2,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,25,23,2,153.0,65.0,2,0,3,3,42,7,0,8,1,14.2,2.2,1.8,2023-11-05 16:30:00+00:00,65,0,11,0,675500,6.0,3,124257,142273,18016,71,2023-11-05
11,2023-11-12,Sun,12,Home,W 3–0,Liverpool,Brentford,Y,RM,89,0,0,0,0,2,1,0,0,71,0,0,5,0.1,0.1,0.1,2,0,53,62,4,47,4,2,0,905,188,26,29,19,21,4,6,0.0,2,2,0,0,58,3,1,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,0,4,11,36,25,0,199.0,129.0,3,0,0,0,45,4,0,9,1,25.3,4.0,6.2,2023-11-12 14:00:00+00:00,90,0,12,0,667039,8.0,3,-6316,40054,46370,71,2023-11-12
12,2023-11-25,Sat,13,Away,D 1–1,Liverpool,Manchester City,Y,RM,72,0,0,0,0,1,0,0,0,32,0,0,0,0.0,0.0,0.3,1,0,23,29,6,19,3,1,0,378,124,12,13,9,11,2,3,0.4,1,3,1,0,25,3,1,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,4,18,10,3,115.0,81.0,1,1,1,0,21,4,0,7,0,17.9,2.9,2.0,2023-11-25 12:30:00+00:00,72,0,13,0,658230,9.0,2,-11252,41159,52411,71,2023-11-25
13,2023-12-03,Sun,14,Home,W 4–3,Liverpool,Fulham,Y,RM,63,0,0,0,0,3,2,0,0,49,0,0,2,0.1,0.1,0.0,3,0,34,42,4,27,3,0,0,461,116,20,25,11,12,1,1,0.0,1,4,0,0,37,4,0,0,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,3,9,21,20,0,151.0,100.0,1,0,0,0,35,4,0,10,0,15.6,4.0,9.2,2023-12-03 14:00:00+00:00,64,0,14,0,666967,15.0,2,2991,43892,40901,71,2023-12-03
14,2023-12-06,Wed,15,Away,W 2–0,Liverpool,Sheffield Utd,Y,RM,90,1,0,0,0,1,1,0,0,83,4,1,2,0.5,0.5,0.1,4,0,60,74,5,52,4,4,2,786,158,37,39,13,16,3,9,0.1,2,2,3,0,67,7,0,0,0,7,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,1,0,2,1,0,1,8,46,32,4,265.0,114.0,3,2,1,1,53,6,1,32,1,26.7,10.0,50.6,2023-12-06 19:30:00+00:00,90,0,15,0,644729,23.0,9,-23441,17585,41026,71,2023-12-06
15,2023-12-09,Sat,16,Away,W 2–1,Liverpool,Crystal Palace,Y,RM,73,0,0,0,0,2,0,0,0,62,2,0,2,0.1,0.1,0.0,3,0,47,51,4,36,2,3,0,726,155,27,29,16,17,3,4,0.0,0,3,0,0,46,5,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,0,2,0,0,1,9,29,25,1,157.0,88.0,4,0,1,1,40,3,0,7,0,5.2,1.4,3.0,2023-12-09 12:30:00+00:00,73,0,16,0,676508,6.0,2,27873,47844,19971,71,2023-12-09
16,2023-12-17,Sun,17,Home,D 0–0,Liverpool,Manchester Utd,Y,RM,60,0,0,0,0,1,0,0,0,54,2,1,0,0.0,0.0,0.0,1,0,33,47,4,33,2,1,1,494,115,22,25,9,14,2,6,0.0,0,2,0,0,43,4,0,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,7,27,20,1,151.0,56.0,2,1,1,0,36,7,0,8,1,2.3,1.0,5.0,2023-12-17 16:30:00+00:00,61,0,17,0,652986,3.0,3,-22548,24116,46664,71,2023-12-17
