,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-02,Sat,4,Away,D 2–2,Bournemouth,Brentford,N,"LW,LM",20,0,1,0,0,0,0,0,0,6,0,0,1,0.0,0.0,1.0,1,1,2,4,0,2,0,0,0,44,12,0,1,2,2,0,1,0.3,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,7.0,5.0,0,0,1,0,2,0,0,16,0,10.3,3.0,17.4,2023-09-02 14:00:00+00:00,19,0,4,0,1379,2.0,4,-227,34,261,54,2023-09-02
1,2023-09-17,Sun,5,Home,D 0–0,Bournemouth,Chelsea,Y,RW,72,0,0,0,0,2,1,0,0,26,1,0,0,0.1,0.1,0.0,3,0,15,19,0,16,3,5,3,192,27,7,7,6,7,0,1,0.0,1,0,0,0,18,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,10,13,2,132.0,76.0,2,1,0,0,20,4,0,11,1,12.0,4.0,7.6,2023-09-17 13:00:00+00:00,72,0,5,0,1793,20.0,3,203,350,147,54,2023-09-17
2,2023-09-24,Sun,6,Away,L 1–3,Bournemouth,Brighton,Y,RW,62,0,0,0,0,0,0,0,0,29,2,2,2,0.0,0.0,0.1,1,0,14,19,2,15,0,5,4,179,34,10,11,2,2,1,3,0.1,1,0,0,0,18,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,1,1,0,0,2,3,12,15,2,106.0,19.0,2,0,2,1,13,1,0,11,0,12.8,3.3,16.6,2023-09-24 13:00:00+00:00,62,0,6,0,1926,4.0,2,55,235,180,54,2023-09-24
3,2023-09-30,Sat,7,Home,L 0–4,Bournemouth,Arsenal,Y,RW,58,0,0,0,0,1,0,0,0,26,0,0,1,0.0,0.0,0.1,2,0,9,18,1,13,4,4,2,158,73,6,6,1,3,2,5,0.2,1,0,0,0,12,5,2,0,0,6,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,23,1,133.0,104.0,4,1,0,1,13,2,0,3,0,19.8,2.7,3.2,2023-09-30 14:00:00+00:00,58,0,7,0,2526,4.0,1,503,755,252,54,2023-09-30
4,2023-10-07,Sat,8,Away,L 0–3,Bournemouth,Everton,Y,"RW,LB",90,0,0,0,0,2,1,0,0,64,1,0,3,0.0,0.0,0.0,2,0,36,46,4,32,5,10,7,558,248,20,22,8,9,5,9,0.0,1,4,2,0,36,10,3,1,0,3,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,1,0,2,15,23,27,3,315.0,145.0,4,2,2,6,32,7,0,9,0,21.8,5.3,16.4,2023-10-07 14:00:00+00:00,90,0,8,0,4079,15.0,2,1336,2073,737,54,2023-10-07
5,2023-10-21,Sat,9,Home,L 1–2,Bournemouth,Wolves,Y,LW,74,0,0,0,0,0,0,0,0,29,3,0,0,0.0,0.0,0.0,2,0,16,20,1,18,3,4,2,236,32,11,13,3,4,2,3,0.0,1,0,1,0,16,4,1,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,2,0,0,1,0,1,5,7,17,0,131.0,65.0,4,0,2,2,18,1,0,5,0,14.2,2.4,10.2,2023-10-21 14:00:00+00:00,74,0,9,0,4073,0.0,2,-127,1069,1196,54,2023-10-21
6,2023-10-28,Sat,10,Home,W 2–1,Bournemouth,Burnley,Y,LW,81,0,0,0,0,3,2,0,0,55,8,0,1,0.4,0.4,0.0,2,0,25,41,1,29,0,3,2,344,90,17,21,8,12,0,7,0.1,0,3,0,0,32,8,3,0,0,12,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,4,4,0,0,1,1,0,2,10,20,27,5,177.0,44.0,1,0,1,1,29,10,0,5,0,8.1,7.1,26.0,2023-10-28 14:00:00+00:00,81,0,10,0,4388,37.0,2,209,1316,1107,54,2023-10-28
7,2023-11-04,Sat,11,Away,L 1–6,Bournemouth,Manchester City,Y,LM,71,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,13,20,0,13,0,0,0,167,51,8,9,5,6,0,1,0.0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,6,10,9,1,71.0,16.0,0,0,3,0,18,2,0,6,0,1.8,0.4,0.0,2023-11-04 15:00:00+00:00,71,0,11,0,3064,2.0,2,-1289,105,1394,54,2023-11-04
8,2023-11-11,Sat,12,Home,W 2–0,Bournemouth,Newcastle Utd,Y,"LW,RW",89,0,0,0,0,2,1,0,0,57,3,0,2,0.2,0.2,0.1,4,0,36,43,6,32,7,2,2,607,96,17,19,15,18,3,4,0.1,2,2,1,0,40,3,0,0,1,3,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,1,2,1,0,2,1,0,1,7,20,31,5,226.0,124.0,5,2,2,3,36,5,0,18,1,27.3,7.0,15.2,2023-11-11 17:30:00+00:00,90,0,12,0,2867,27.0,3,-290,93,383,54,2023-11-11
9,2023-11-25,Sat,13,Away,W 3–1,Bournemouth,Sheffield Utd,Y,LW,81,2,0,0,0,6,5,0,0,65,1,0,1,1.2,1.2,0.2,3,0,33,48,5,38,5,2,1,497,168,17,22,14,17,0,7,0.2,3,3,3,1,42,6,1,0,0,7,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,8,31,27,5,272.0,158.0,6,0,3,1,45,9,3,48,1,37.1,21.0,85.4,2023-11-25 15:00:00+00:00,81,0,13,0,4099,87.0,16,1002,1227,225,54,2023-11-25
10,2023-12-03,Sun,14,Home,D 2–2,Bournemouth,Aston Villa,Y,RW,89,0,0,0,0,2,0,0,0,45,2,0,1,0.1,0.1,0.6,5,0,16,28,3,25,3,8,3,269,120,8,11,4,6,4,10,0.4,2,1,0,0,25,3,0,0,0,3,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,2,0,4,15,10,23,5,327.0,161.0,4,2,1,1,24,4,0,11,0,22.6,4.8,11.0,2023-12-03 14:00:00+00:00,90,0,14,0,15694,14.0,2,9827,11009,1182,54,2023-12-03
11,2023-12-06,Wed,15,Away,W 2–0,Bournemouth,Crystal Palace,N,LW,29,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,2,1,12,13,1,12,1,2,0,193,66,6,6,6,7,0,0,0.1,1,1,1,0,11,2,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,7,2,59.0,22.0,1,0,2,0,11,3,0,3,0,15.3,2.1,1.4,2023-12-06 19:30:00+00:00,28,0,15,0,26774,4.0,1,10429,12667,2238,54,2023-12-06
12,2023-12-09,Sat,16,Away,W 3–0,Bournemouth,Manchester Utd,Y,LW,87,0,2,0,0,2,1,1,0,32,1,0,1,0.1,0.1,0.5,5,3,15,23,2,13,4,5,2,265,144,8,10,4,7,2,3,0.2,3,0,1,0,20,3,0,0,0,6,0,3,0,1,2,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,2,2,0,1,1,0,1,5,12,15,2,118.0,61.0,2,2,0,0,19,2,1,28,1,43.3,10.7,43.2,2023-12-09 15:00:00+00:00,87,0,16,0,26377,20.0,9,-504,5022,5526,54,2023-12-09
13,2023-12-23,Sat,18,Away,W 3–2,Bournemouth,Nott'ham Forest,Y,"LW,LB",90,0,0,0,0,2,0,0,0,68,0,0,0,0.1,0.1,0.2,5,1,43,57,9,42,3,4,1,797,243,19,20,19,25,5,8,0.2,2,3,4,1,50,7,1,0,0,5,5,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,11,21,37,2,258.0,118.0,3,1,4,2,45,14,0,15,0,34.3,5.2,9.8,2023-12-23 15:00:00+00:00,90,0,18,0,123496,8.0,2,-8238,11221,19459,54,2023-12-23
14,2023-12-26,Tue,19,Home,W 3–0,Bournemouth,Fulham,Y,"LW,RW",87,0,0,0,0,5,0,0,0,39,0,1,1,0.3,0.3,0.0,4,0,20,26,5,31,3,4,1,379,122,7,9,11,11,2,3,0.0,0,2,2,0,23,1,1,0,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,3,18,18,4,225.0,98.0,3,0,3,2,32,9,0,2,1,1.9,1.8,0.0,2023-12-26 15:00:00+00:00,87,0,19,0,130699,18.0,3,5873,18911,13038,54,2023-12-26
15,2023-12-31,Sun,20,Away,L 1–3,Bournemouth,Tottenham,Y,"RW,LB",90,0,1,0,0,4,0,0,0,83,2,1,2,0.2,0.2,0.3,10,1,49,63,4,41,4,4,1,985,253,20,23,20,23,9,14,0.4,5,3,3,2,49,12,3,0,1,8,5,4,2,7,1,0,1,1,0,1,0,0,0,0,0,1,2,0,0,2,2,0,0,2,2,0,2,13,26,44,6,250.0,155.0,7,0,2,0,51,11,1,30,0,67.4,12.6,38.6,2023-12-31 14:00:00+00:00,90,0,20,0,97236,20.0,6,-32559,1879,34438,54,2023-12-31
16,2024-01-21,Sun,21,Home,L 0–4,Bournemouth,Liverpool,Y,"RW,LW",90,0,0,0,0,1,0,0,0,59,7,0,0,0.0,0.0,0.1,4,0,28,48,1,22,1,4,1,387,141,16,21,9,14,1,9,0.2,2,0,2,1,37,11,1,0,0,9,5,5,0,3,0,0,0,1,0,0,0,0,0,0,0,7,3,4,0,3,3,0,0,0,1,0,1,7,14,38,7,92.0,30.0,0,2,2,3,29,10,0,23,0,28.0,6.7,23.4,2024-01-21 16:30:00+00:00,90,0,21,0,80108,16.0,2,-17457,6344,23801,54,2024-01-21
