,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-04,Sun,23,Away,L 1–3,Liverpool,Arsenal,N,CM,6,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,10,0,9,0,0,0,130,30,3,3,3,4,1,2,0.0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,33.0,15.0,0,0,0,0,9,0,0,3,0,0.4,0.1,0.6,2024-02-04 16:30:00+00:00,5,0,23,0,9326,0.0,1,11,37,26,47,2024-02-04
1,2022-08-06,Sat,1,Away,D 2–2,Liverpool,Fulham,Y,LM,50,0,0,0,0,0,0,0,0,61,0,1,2,0.0,0.0,0.1,1,0,47,54,9,33,0,1,0,934,268,21,23,14,15,10,11,0.0,1,7,1,0,50,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,8,49,4,0,136.0,48.0,0,0,1,1,42,0,0,8,0,16.8,2.3,6.4,2022-08-06 11:30:00+00:00,50,0,1,0,175766,0.0,1,0,0,0,55,2022-08-06
2,2022-10-01,Sat,9,Home,D 3–3,Liverpool,Brighton,Y,LM,88,0,0,0,0,0,0,0,0,88,3,1,2,0.0,0.0,0.1,4,0,62,74,9,54,1,5,3,1060,310,29,30,26,31,6,11,0.0,2,11,1,0,72,2,2,0,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,1,0,2,2,0,5,12,59,17,0,222.0,97.0,1,0,2,1,64,4,0,15,0,25.2,4.5,19.6,2022-10-01 14:00:00+00:00,88,0,9,0,78808,0.0,2,16272,19849,3577,52,2022-10-01
3,2022-10-09,Sun,10,Away,L 2–3,Liverpool,Arsenal,Y,"DM,CM,LM",90,0,0,0,0,0,0,0,0,74,2,2,0,0.0,0.0,0.0,2,1,54,69,1,44,0,0,0,977,294,27,30,17,19,7,12,0.0,0,4,0,0,64,4,3,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,2,1,0,0,0,1,4,20,48,6,0,218.0,60.0,2,0,0,2,56,1,0,3,0,2.8,0.5,1.8,2022-10-09 15:30:00+00:00,90,0,10,0,83238,0.0,2,2420,11866,9446,52,2022-10-09
4,2022-10-16,Sun,11,Home,W 1–0,Liverpool,Manchester City,Y,"DM,CM",90,0,0,0,0,0,0,1,0,58,4,2,1,0.0,0.0,0.0,3,0,39,48,7,27,0,1,1,611,238,23,24,10,13,4,6,0.0,0,4,0,0,47,1,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,3,0,2,2,0,1,0,0,0,2,18,33,7,1,122.0,52.0,1,0,0,1,35,0,0,11,1,1.9,1.9,16.6,2022-10-16 15:30:00+00:00,90,0,11,0,84280,0.0,2,-853,7215,8068,52,2022-10-16
5,2022-10-19,Wed,12,Home,W 1–0,Liverpool,West Ham,Y,CM,56,0,0,0,0,1,0,0,0,77,1,2,0,0.0,0.0,0.1,5,1,67,73,15,53,4,0,0,1141,452,30,31,21,24,9,9,0.1,2,7,2,0,70,3,3,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,14,53,11,0,358.0,278.0,3,0,0,0,66,0,0,13,0,29.9,4.9,11.2,2022-10-19 18:30:00+00:00,57,0,12,0,89579,8.0,1,4047,8220,4173,52,2022-10-19
6,2022-10-29,Sat,14,Home,L 1–2,Liverpool,Leeds United,Y,LM,90,0,0,0,0,0,0,0,0,95,7,1,2,0.0,0.0,0.1,3,0,65,79,8,42,2,3,3,1161,340,27,35,27,29,9,11,0.2,2,8,2,0,78,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,3,3,0,0,2,1,0,2,19,61,16,1,202.0,99.0,0,0,1,1,65,7,0,18,0,27.2,5.7,28.0,2022-10-29 18:45:00+00:00,90,0,14,0,83628,2.0,2,-11187,3005,14192,52,2022-10-29
7,2022-11-06,Sun,15,Away,W 2–1,Liverpool,Tottenham,Y,LM,90,0,0,0,0,3,0,0,0,88,5,0,0,0.1,0.1,0.2,3,0,65,70,4,45,0,3,2,1073,241,35,38,20,20,9,9,0.2,2,10,0,0,67,3,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,2,1,0,0,2,0,5,23,54,11,0,305.0,135.0,1,0,1,1,60,1,0,13,0,27.3,6.7,22.4,2022-11-06 16:30:00+00:00,90,0,15,0,81693,17.0,2,-3126,3208,6334,52,2022-11-06
8,2022-11-12,Sat,16,Home,W 3–1,Liverpool,Southampton,Y,LM,90,0,0,0,0,0,0,0,0,104,1,0,0,0.0,0.0,0.0,0,0,92,100,8,63,0,1,1,1667,467,40,41,38,39,11,14,0.0,0,6,1,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,28,67,10,0,317.0,152.0,1,0,2,1,80,3,0,17,0,6.8,1.9,12.0,2022-11-12 15:00:00+00:00,90,0,16,0,82172,0.0,2,-480,4028,4508,52,2022-11-12
9,2022-12-26,Mon,17,Away,W 3–1,Liverpool,Aston Villa,Y,LM,66,0,0,0,0,1,0,0,0,57,3,1,2,0.0,0.0,0.3,1,0,35,46,3,28,1,0,0,641,132,18,19,12,17,5,9,0.0,1,2,2,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,2,0,4,20,27,11,3,108.0,59.0,1,0,1,2,35,1,0,10,0,12.2,3.1,9.6,2022-12-26 17:30:00+00:00,66,0,17,0,85314,9.0,2,1609,11121,9512,52,2022-12-26
