,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-01-02,Sun,21,Away,L 1–2,Aston Villa,Brentford,N,RW,11,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,6,1,9,0,1,1,98,10,4,4,1,1,1,1,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,60.0,19.0,0,0,2,0,9,4,0,4,0,2.0,1.4,1.8,2022-01-02 14:00:00+00:00,10,0,21,0,2354,10.0,1,-83,178,261,54,2022-01-02
1,2020-09-21,Mon,2,Home,W 1–0,Aston Villa,Sheffield Utd,Y,"RW,RM",90,0,0,0,0,2,0,0,0,43,2,2,1,0.3,0.3,0.1,4,0,23,30,0,31,5,0,0,353,71,14,17,9,9,0,3,0.1,3,0,1,1,30,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,0,0,1,5,15,24,6,181.0,90.0,3,2,3,0,31,12,0,9,1,37.8,6.3,6.6,2020-09-21 17:00:00+00:00,90,0,2,0,89093,19.0,3,-472,10358,10830,55,2020-09-21
2,2020-09-28,Mon,3,Away,W 3–0,Aston Villa,Fulham,Y,RW,83,0,0,0,0,1,0,0,0,30,3,3,2,0.0,0.0,0.0,0,0,8,13,1,10,3,2,2,135,39,3,5,5,5,0,1,0.0,0,2,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,7,4,0,2,2,0,2,9,7,16,5,90.0,63.0,1,2,1,0,8,4,0,16,1,1.3,4.0,12.6,2020-09-28 16:45:00+00:00,83,0,3,0,82853,26.0,3,-10476,6683,17159,55,2020-09-28
3,2020-10-04,Sun,4,Home,W 7–2,Aston Villa,Liverpool,Y,RW,86,0,1,0,0,1,1,0,0,38,3,1,0,0.0,0.0,1.2,4,1,22,28,5,19,3,0,0,374,178,7,8,3,6,5,5,0.8,3,1,2,2,28,0,0,1,1,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,5,4,0,0,3,0,3,9,16,13,3,105.0,79.0,3,1,1,2,24,6,0,30,0,40.2,9.2,39.2,2020-10-04 18:15:00+00:00,86,0,4,0,78280,13.0,5,-7713,4618,12331,55,2020-10-04
4,2020-10-18,Sun,5,Away,W 1–0,Aston Villa,Leicester City,Y,RW,80,0,0,0,0,1,0,0,0,37,3,4,2,0.1,0.1,0.0,3,0,10,22,2,17,0,4,3,145,74,7,11,3,4,0,3,0.0,0,0,0,0,21,0,0,0,1,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,4,3,0,2,3,0,3,11,12,15,3,76.0,36.0,0,0,1,1,17,4,0,9,1,0.8,2.4,13.2,2020-10-18 18:15:00+00:00,80,0,5,0,76777,10.0,3,-5202,6657,11859,55,2020-10-18
5,2020-10-23,Fri,6,Home,L 0–3,Aston Villa,Leeds United,Y,RW,65,0,0,0,0,1,0,0,0,23,3,1,0,0.1,0.1,0.3,1,0,7,9,0,9,1,1,1,64,5,6,7,0,1,0,0,0.0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,6,9,10,4,86.0,31.0,1,1,5,1,13,3,0,4,0,11.2,2.4,3.2,2020-10-23 19:00:00+00:00,65,0,6,0,76692,10.0,2,-1846,6231,8077,54,2020-10-23
6,2020-11-01,Sun,7,Home,L 3–4,Aston Villa,Southampton,N,RW,62,0,0,0,0,4,3,0,0,28,1,0,1,0.2,0.2,0.0,2,0,9,16,1,12,1,4,2,130,44,6,8,1,3,1,3,0.0,0,1,0,0,16,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,1,12,16,4,35.0,25.0,0,0,1,1,17,3,0,0,0,1.6,8.1,10.8,2020-11-01 12:00:00+00:00,61,0,7,0,72519,69.0,2,-5100,2997,8097,54,2020-11-01
7,2020-11-08,Sun,8,Away,W 3–0,Aston Villa,Arsenal,Y,RW,87,0,0,0,0,2,1,0,0,44,6,1,2,0.1,0.1,0.0,1,0,23,28,5,16,4,1,0,337,155,15,15,6,9,1,2,0.0,0,5,1,0,28,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,3,4,1,1,1,2,0,3,8,24,13,4,106.0,81.0,2,1,1,0,21,4,0,6,1,3.3,6.5,22.6,2020-11-08 19:15:00+00:00,87,0,8,0,66168,39.0,3,-6814,1877,8691,54,2020-11-08
8,2020-11-21,Sat,9,Home,L 1–2,Aston Villa,Brighton,Y,"LW,RW",90,0,0,0,0,7,0,0,0,48,1,1,0,0.9,0.9,0.0,6,0,21,33,5,34,6,3,2,248,104,15,17,6,9,0,2,0.0,1,4,1,0,32,1,0,0,0,4,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3,18,28,9,233.0,145.0,4,3,3,2,35,8,0,-3,0,13.8,10.5,0.2,2020-11-21 15:00:00+00:00,90,0,9,0,67622,91.0,2,-33,5912,5945,53,2020-11-21
9,2020-11-30,Mon,10,Away,L 1–2,Aston Villa,West Ham,Y,RW,73,0,0,0,0,3,1,0,0,20,0,0,0,0.7,0.7,0.4,2,0,9,11,1,11,0,1,0,148,11,4,5,3,3,1,2,0.0,1,1,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,4,15,6,52.0,14.0,2,0,2,0,17,4,0,4,0,11.6,6.2,3.4,2020-11-30 20:00:00+00:00,73,0,10,0,69114,47.0,2,866,5313,4447,53,2020-11-30
10,2021-01-23,Sat,11,Home,W 2–0,Aston Villa,Newcastle Utd,N,RW,11,0,0,0,0,1,1,0,0,7,0,0,0,0.4,0.4,0.0,1,0,1,3,0,5,0,0,0,15,0,0,0,1,3,0,0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,1,5,2,15.0,9.0,0,0,1,0,4,2,0,-2,0,0.3,2.1,2.0,2021-01-23 20:00:00+00:00,10,0,19,0,36420,19.0,1,-712,15,727,52,2021-01-23
11,2021-01-27,Wed,20,Away,L 2–3,Aston Villa,Burnley,N,RW,8,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,14,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0,0,0,0,1,1,0,5,0,0.3,0.2,2.0,2021-01-27 18:00:00+00:00,7,0,20,0,36080,0.0,1,-496,260,756,52,2021-01-27
12,2021-02-03,Wed,22,Home,L 1–3,Aston Villa,West Ham,N,LW,22,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,9,10,3,6,0,0,0,152,48,1,1,7,7,0,0,0.0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,7,3,0,37.0,15.0,0,0,0,0,9,1,0,3,0,0.8,0.2,0.8,2021-02-03 20:15:00+00:00,21,0,22,0,35792,0.0,1,-256,164,420,52,2021-02-03
13,2021-02-06,Sat,23,Home,W 1–0,Aston Villa,Arsenal,N,RW,25,0,0,0,0,0,0,0,0,14,0,1,1,0.0,0.0,0.0,0,0,6,6,0,6,0,0,0,32,5,3,3,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,3,8,4,2,0,36.0,0.0,1,0,1,1,4,1,0,3,0,0.3,0.2,2.0,2021-02-06 12:30:00+00:00,24,0,23,0,35660,0.0,1,-246,113,359,52,2021-02-06
