,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 2–1,Arsenal,Nott'ham Forest,N,"LM,LW",17,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,3,0,7,10,1,5,1,1,1,93,22,3,4,4,5,0,0,0.0,1,2,0,0,9,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,8,3,0,63.0,55.0,1,0,1,0,5,0,0,8,0,10.8,1.6,5.4,2023-08-12 12:00:00+00:00,17,0,1,0,500290,0.0,1,0,0,0,70,2023-08-12
1,2023-08-26,Sat,3,Home,D 2–2,Arsenal,Fulham,Y,FW,45,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.7,6,0,15,21,1,14,1,0,0,267,77,5,7,8,8,1,2,0.7,3,0,2,1,17,4,0,0,0,4,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,16,4,73.0,26.0,1,0,3,1,18,5,0,10,0,43.9,6.3,9.4,2023-08-26 14:00:00+00:00,45,0,3,0,293748,10.0,1,-126915,4237,131152,68,2023-08-26
2,2023-09-17,Sun,5,Away,W 1–0,Arsenal,Everton,N,LW,67,1,0,0,0,1,1,0,0,35,2,2,1,0.1,0.1,0.1,2,0,22,27,6,24,1,1,1,363,110,10,12,10,13,2,2,0.0,2,0,2,0,27,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,1,1,0,1,7,15,13,4,90.0,19.0,0,1,1,0,23,5,3,35,1,22.4,9.2,46.8,2023-09-17 15:30:00+00:00,66,0,5,0,189360,23.0,11,-41861,1877,43738,66,2023-09-17
3,2023-10-08,Sun,8,Home,W 1–0,Arsenal,Manchester City,Y,LW,45,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,9,1,9,0,0,0,148,53,6,6,2,2,1,1,0.0,1,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,6,0,46.0,9.0,1,0,0,1,10,2,0,3,0,11.3,1.3,1.6,2023-10-08 15:30:00+00:00,45,0,8,0,180007,0.0,1,-9611,7973,17584,66,2023-10-08
4,2023-10-21,Sat,9,Away,D 2–2,Arsenal,Chelsea,N,LW,13,1,0,0,0,1,1,0,0,4,0,0,0,0.2,0.2,0.0,0,0,1,2,0,3,0,0,0,17,0,0,0,1,2,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5.0,2.0,0,0,0,1,3,1,0,20,0,0.0,6.6,33.0,2023-10-21 16:30:00+00:00,12,0,9,0,159436,33.0,6,-20857,1571,22428,66,2023-10-21
5,2023-10-28,Sat,10,Home,W 5–0,Arsenal,Sheffield Utd,N,LW,25,0,0,0,0,0,0,0,0,19,1,0,1,0.0,0.0,0.0,1,0,9,14,3,13,5,1,0,117,54,6,8,3,4,0,1,0.0,0,1,1,0,14,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,3,4,12,2,122.0,79.0,3,1,1,0,13,4,0,3,0,1.8,0.9,2.8,2023-10-28 14:00:00+00:00,24,0,10,0,162489,4.0,1,1509,7688,6179,65,2023-10-28
6,2023-11-04,Sat,11,Away,L 0–1,Arsenal,Newcastle Utd,N,FW,12,0,0,0,0,2,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,5,9,0,5,0,0,0,108,47,1,1,4,6,0,2,0.0,0,0,1,1,4,5,0,0,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,15.0,8.0,0,0,0,1,5,2,0,3,0,8.5,1.5,2.2,2023-11-04 17:30:00+00:00,11,0,11,0,155714,4.0,1,-7130,2513,9643,65,2023-11-04
7,2023-11-11,Sat,12,Home,W 3–1,Arsenal,Burnley,Y,FW,80,1,1,0,0,3,2,0,0,47,0,0,4,0.5,0.5,0.7,3,1,24,37,8,26,3,2,1,346,121,15,19,8,11,1,7,0.2,2,1,4,0,28,9,0,0,0,8,1,6,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,8,38,12,155.0,62.0,0,2,0,2,31,11,3,36,0,28.6,16.3,57.0,2023-11-11 15:00:00+00:00,80,0,12,0,191175,77.0,13,31602,38113,6511,65,2023-11-11
8,2023-11-25,Sat,13,Away,W 1–0,Arsenal,Brentford,Y,"LM,LW",90,0,0,0,0,2,0,0,0,43,1,0,1,0.3,0.3,0.0,4,0,20,36,4,28,2,1,0,305,64,13,17,5,13,2,4,0.0,1,1,1,0,30,6,1,0,1,7,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,4,15,24,3,106.0,46.0,0,1,1,1,30,5,0,0,1,15.8,2.6,1.2,2023-11-25 17:30:00+00:00,90,0,13,0,270536,9.0,3,75664,89185,13521,65,2023-11-25
9,2023-12-02,Sat,14,Home,W 2–1,Arsenal,Wolves,Y,"LM,LW,CM",90,0,0,0,0,5,2,0,0,66,3,3,3,0.8,0.8,0.0,4,0,35,46,4,32,0,2,0,658,106,13,18,18,22,4,5,0.0,1,3,0,0,42,4,2,0,0,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,3,2,0,3,0,0,2,12,30,24,4,159.0,45.0,1,0,2,0,41,6,0,3,0,17.2,8.9,12.8,2023-12-02 15:00:00+00:00,90,0,14,0,273532,59.0,2,5917,28380,22463,65,2023-12-02
